,link,news,tagline,,,,,,,
1141,https://tribune.com.pk/story/2084001/1-imf-appreciates-tough-decisions-made-stabilise-pakistans-economy/,IMF MD Krsitalina Georgieva assures Pakistan of continued support for successful implementation of reforms,IMF appreciates 'tough decisions' being made to stabilise Pakistan's economy,,,,,,,1
1188,https://tribune.com.pk/story/2083284/2-adb-imf-acknowledge-pakistans-stabilisation-reforms/,Hafeez Shaikh meets heads of global financial institutions to discuss overall state of economy,"ADB, IMF acknowledge Pakistans stabilisation reforms",,,,,,,1
1286,https://tribune.com.pk/story/2081024/2-pakistans-debt-rise-78-gdp-imf/,Over 60% of FBR taxes to be consumed in debt servicing,Pakistan's debt to rise to over 78% of GDP: IMF,,,,,,,2
1309,https://tribune.com.pk/story/2080416/2-imf-keeps-macroeconomic-projections-unchanged/,Sees slight rise in unemployment that indicates impact of economic slowdown,IMF keeps macroeconomic projections unchanged,,,,,,,2
2262,https://tribune.com.pk/story/2061471/2-imf-refuses-revise-projections-despite-poor-fiscal-results/,Washington-based lender keeps 2.4% low GDP growth rate forecast,IMF refuses to revise projections despite poor fiscal results,,,,,,,2
2298,https://tribune.com.pk/story/2060528/2-tough-economic-reforms-bearing-fruits-imf-told/,SBP assures fund's delegation of consistency in implementing reforms,"Tough economic reforms bearing fruits, IMF told",,,,,,,1
2464,https://tribune.com.pk/story/2057278/1-ministries-directed-submit-report-imf-targets/,Sources say since many of conditions agreed with international money lender could not be fulfilled,Ministries directed to submit report on IMF targets,,,,,,,2
3720,https://tribune.com.pk/story/2029068/2-exiting-fatf-grey-list-vital-imf-deal-daban/,IMF representative says potential blacklisting by FATF can result in a freeze of capital inflows to Pakistan,Exiting FATF grey list vital for IMF deal: Daban,,,,,,,2
3878,https://tribune.com.pk/story/2024965/imf-gives-deadline-track-trace-system/,"Production, supply of cigarettes, other products to be electronically monitored; FBR hopes to generate Rs20b revenue",IMF gives deadline for track & trace system,,,,,,,3
4110,https://tribune.com.pk/story/2018789/1-pm-imran-meets-acting-imf-chief-world-bank-president-washington/,Prime Minister Imran Khan meets Fund official during his visit to Washington,"Pakistan needs to mobilise tax revenue, cut debt: IMF",,,,,,,1
4197,https://tribune.com.pk/story/2016586/1-no-cpec-document-shared-imf-govt/,Sherry Rehman says govts statement contradicts media reports,No CPEC document shared with IMF: govt,,,,,,,0
4532,https://tribune.com.pk/story/2009838/1-govt-run-imf-wahab/,The prime minister should remember the promises says Wahab,Govt is being run by IMF: Wahab,,,,,,,0
4535,https://tribune.com.pk/story/2009921/1-imf-report-exposed-govt-lies-shehbaz/,Says fascist govt imposing burden of taxes worth 1.6 trillion on people,IMF report exposed govt lies: Shehbaz,,,,,,,2
4540,https://tribune.com.pk/story/2009906/2-sbp-receives-991-4-million-first-imf-tranche/,IMF has estimated total inflows in Pakistan at around $30 billion,SBP receives $991.4 million first IMF tranche,,,,,,,1
4713,https://tribune.com.pk/story/2006280/2-pakistan-will-get-38-billion-meet-financing-needs-imf/,"Finance adviser says 100,000 non-filers added to tax net with amnesty scheme",Pakistan will get $38 billion to meet financing needs: IMF,,,,,,,1
4722,https://tribune.com.pk/story/2005940/1-imf-loan-6b-bring-sustainable-economic-growth-hafeez/,"Hafeez Shaikh says nearly 137,000 people registered at the closure of the amnesty this week","Amnesty scheme draws 100,000 new tax filers, $450m",,,,,,,3
4758,https://tribune.com.pk/story/2005403/1-imf-approves-6-billion-loan-pakistan/,Lender to immediately disburse $1 billion out of total package,IMF finally approves $6 billion package for Pakistan,,,,,,,1
5087,https://tribune.com.pk/story/1999092/1-bilawal-continues-criticism-pti-imf-budget/,Bilawal demands of NA speaker to issue production orders for two MNAs,Sharifs must foot the bill for lavish spending: Saeed,,,,,,,0
5142,https://tribune.com.pk/story/1997951/1-even-making-imf-budget-confused-abbasi/,NA descends into disorder after a federal minister calls Sharifs corrupt,Even those who drafted budget are worried: Abbasi,,,,,,,2
5209,https://tribune.com.pk/story/1996937/1-opposition-brands-finance-bill-imf-budget/,Senate passes resolution condoling Morsis death,Opposition brands finance bill IMF budget,,,,,,,0
5808,https://tribune.com.pk/story/1985668/2-imf-wanted-600bps-interest-rate-hike-asad-umar/,Former finance minister says international lenders conditions were tougher in Oct,IMF wanted 600bps interest rate hike: Asad Umar,,,,,,,0
6074,https://tribune.com.pk/story/1979635/1-imf-programme-aimed-reducing-pakistans-public-debt/,IMF hopes the deal can create fiscal space for a substantial increase in social spending,IMF programme aimed at reducing Pakistan's public debt',,,,,,,0
6186,https://tribune.com.pk/story/1977184/1-take-parliament-board-regarding-imf-deal-ppp/,"Shah, Rabbani ask govt to present all conditions before parliament",Take parliament on board regarding IMF deal: PPP,,,,,,,0
6382,https://tribune.com.pk/story/1972260/2-expert-optimistic-imf-bailout/,Extended Fund Facility signed between Pakistan and the IMF would lead towards economic stability',Expert optimistic about IMF bailoutÂ,,,,,,,1
6385,https://tribune.com.pk/story/1972388/1-imf-bitter-pill-swallow-says-firdous/,PMs adviser says govt taking measures to provide long term relief to people,"IMF is a bitter pill to swallow, says Firdous",,,,,,,0
6402,https://tribune.com.pk/story/1971896/1-opposition-parties-reject-pakistan-imf-deal/,"Following the deal with the IMF, unbearable inflation will be seen in the country: Khursheed Shah",Opposition parties reject IMF deal,,,,,,,2
6430,https://tribune.com.pk/story/1971509/2-pakistan-imf-strike-6-billion-deal-hafeez-shaikh/,Staff level agreement on economic policies could be supported by a 39-month Extended Fund Arrangement,"Pakistan, IMF strike $6 billion deal",,,,,,,4
6633,https://tribune.com.pk/story/1966416/1-pakistan-handed-imf-hide-incompetence/,PML-N spokesperson says Imran Khan has compromised sovereignty,Pakistan handed over to IMF to hide incompetence,,,,,,,2
