link,news,tagline,,,,
https://tribune.com.pk/story/2110465/1-musharraf-hospitalised-health-deteriorates-apml/,Special court had ordered the former military ruler to record his statement in high treason case by Dec 5,Musharraf hospitalised as health deteriorates: APML,,,,0
https://tribune.com.pk/story/2110473/1-army-chief-flies-f-16-combat-mission-simulation/,"General Qamar visits PAF Base Mushaf, Sargodha and lauds professionalism, dedication of the countrys air force",Army chief flies in F-16 in combat mission simulation,,,,0
https://tribune.com.pk/story/2110346/1-awaiting-justice-naqeebullah-mehsuds-father-passes-away-battling-cancer/,Muhammad Khan was under treatment in CMH for the past five to six months,"Awaiting justice, Naqeebullah Mehsuds father passes away battling cancer",,,,0
https://tribune.com.pk/story/2110342/1-three-passengers-suffer-heart-attacks-international-pia-flight/,"Emergency services shift two passengers to the hospital, one woman dies",Three passengers suffer heart attacks on international PIA flight,,,,0
https://tribune.com.pk/story/2110299/1-fm-qureshi-discusses-bilateral-relations-sri-lankan-counterpart/,"Qureshi, State Council Wu Jianghao meet newly elected Sri Lankan president, PM","Pakistan, China on charm offensive in Sri Lanka",,,,0
https://tribune.com.pk/story/2110265/1-govt-forms-three-member-committee-lead-efforts-coas-tenure-legislation/,"Committee to approach opposition parties, govt efforts to draft legislation pick pace",Govt forms three-member committee to lead efforts on COAS tenure legislation,,,,1
https://tribune.com.pk/story/2110106/1-pc-resume-rawat-fort-conservation-soon/,Maintenance and development work of the fort cost a total of Rs60m,PC-I to resume Rawat Fort conservation soon,,,,3
https://tribune.com.pk/story/2110114/1-cleaning-capital-collective-responsibility/,,Cleaning the capital a collective responsibilityÂ,,,,1
https://tribune.com.pk/story/2110111/1-punjab-orders-consultant-nod-patient-referrals-islamabad-city/,Consultants will have to justify their reasons for referring a patient to a tertiary care hospital,Punjab orders consultant nod for patient referrals,,,,0
https://tribune.com.pk/story/2110071/1-cnics-11-dhoke-kala-khan-suspects-blocked/,"Police seek to block their passports, places their names on ECL",CNICs of 11 Dhoke Kala Khan suspects blocked,,,,0
https://tribune.com.pk/story/2110108/1-nab-anti-corruption-awareness-campaign-full-swing/,"20,000 character building societies set up to enhance interaction with youth",NAB anti-corruption awareness campaign in full swing,,,,1
https://tribune.com.pk/story/2110070/1-cda-seals-properties-razes-illegal-structures/,Officials also sealed multiple premises for not conforming to the use of the lease regulations or building by-laws,"CDA seals properties, razes illegal structures",,,,3
https://tribune.com.pk/story/2110098/1-islamabad-art-festival-draws-close/,PUCAD graduates win top three painting prizes,Islamabad Art Festival draws to a close,,,,0
https://tribune.com.pk/story/2110101/1-19-alcs-set-marginalised-communities/,All 19 ALCs began functioning from November 15,19 ALCs set up for marginalised communities,,,,0
https://tribune.com.pk/story/2110127/1-lg-awareness-nmtds/,Seminars and workshops will be organized while youth ambassadors will be trained from December 9 onwards,LG awareness for NMTDs,,,,1
https://tribune.com.pk/story/2109972/2-gmos-grossly-misunderstood-organisms/,The Express Tribune speaks to agri scientists to understand the pros and cons of genetically-modified crops,GMOs: Grossly Misunderstood Organisms,,,,0
https://tribune.com.pk/story/2109986/1-young-woman-kidnapped-gunpoint-dha/,Haris Fatah was shot while resisting the abduction attempt,"Woman abducted, friend shot in Karachi DHA",,,,2
https://tribune.com.pk/story/2109976/1-sos-pakistan-launch-app-rescue-stray-animals-danger/,"Mobile phone app, scheduled to be launched on March 23, 2020, will track exact location of wounded animals",SOS Pakistan to launch app to rescue stray animals in danger,,,,1
https://tribune.com.pk/story/2109973/1-fm-qureshi-leaves-sri-lanka-meet-newly-elected-leadership/,"Qureshi to meet his counterpart, president and prime minister",FM in Colombo to extend invite to S Lankan president,,,,0
https://tribune.com.pk/story/2109957/1-sedition-case-lodged-participants-student-solidarity-march/,"Iqbal Lala, Ammar Ali Jan and Alamgir Wazir among others booked for inciting students against state'",Sedition case lodged against participants of Student Solidarity March,,,,0
https://tribune.com.pk/story/2109945/1-one-fc-soldier-martyred-two-injured-north-waziristan-terror-attack/,"According to ISPR, two terrorist also killed in retaliatory fire","One FC soldier martyred, two injured in North Waziristan terror attack",,,,2
https://tribune.com.pk/story/2109952/1-pm-imran-vows-restore-student-unions-enforceable-laws/,Stresses need for preventing violent battleground at campuses,Must set rules before allowing student unions: PM,,,,0
https://tribune.com.pk/story/2109933/1-two-army-officers-injured-indian-fire-along-loc/,"Pakistan Army effectively responded to unprovoked firing of Indian soldiers in Rakhchikri, Rawalakot Sector, says ISPR",Two army officers injured in Indian fire along LoC,,,,1
https://tribune.com.pk/story/2109939/1-elements-conspiring-create-instability-punjab-will-not-succeed-usman-buzdar/,"Country is heading towards durable progress under the leadership of PM Imran Khan, says Punjab CM",Elements conspiring to create instability in Punjab will not succeed: Usman Buzdar,,,,1
https://tribune.com.pk/story/2109931/1-pti-suspends-hamid-khans-membership-tarnishing-partys-image/,Senior SC lawyer given seven days to explain his position over allegedly defaming the ruling party in the media,PTI suspends Hamid Khans membership for tarnishing partys image,,,,0
https://tribune.com.pk/story/2109902/2-strong-stocks-rally-reflects-investor-confidence-stabilisation-measures/,KSE-100 Index's 14.9% gain in November is highest one-month return since May 2013: Hafeez Shaikh,Strong stocks rally reflects investor confidence in stabilisation measures',,,,1
https://tribune.com.pk/story/2109832/1-bar-bench-two-wheels-justice-cjp-khosa/,I had the opportunity to propose two names and they are being actively considered: Justice Khosa,Supreme Court could soon have women judges: CJP,,,,0
https://tribune.com.pk/story/2109812/1-pm-imran-calls-strategy-protect-students-rights/,PM's aide says Imran wants problems being faced by students to be resolved promptly,PM Imran calls for strategy to protect students' rights,,,,0
https://tribune.com.pk/story/2109801/1-hafiz-saeed-indicted-december-7/,JuD chief was arrested by Punjab CTD on July 17 from Gujranwala on charges of terror financing,Hafiz Saeed to be indicted on December 7,,,,0
https://tribune.com.pk/story/2109789/1-efforts-begin-stave-off-ecp-crisis/,"Imran, Shehbaz make separate nominations for two members; opposition leader proposes three names for CEC post",Efforts begin to stave off ECP crisis,,,,0
https://tribune.com.pk/story/2109790/1-change-old-mindset-pm-tells-bureaucrats/,Imran says PTI govt has freed officers from political interference,"Change old mindset, PM tells bureaucrats",,,,0
https://tribune.com.pk/story/2109080/1-cleanliness-biodegradable-bags-awareness/,People were also briefed on how the of biodegradable bags instead of polythene bags,"Cleanliness, biodegradable bags awareness",,,,1
https://tribune.com.pk/story/2109609/1-court-orders-fir-k-p-health-minister/,Ministers guard along with 10 other respondents attacked doctor during his duty timing,Court orders FIR against K-P health minister,,,,0
https://tribune.com.pk/story/2109087/1-cm-mahmood-khan-wants-submission-deadline-extended-nmtd-residents/,He suggested that an alternative mechanism could also be developed for residents of the FATA,CM Mahmood Khan wants submission deadline extended for NMTD residents,,,,0
https://tribune.com.pk/story/2109567/1-118-power-pilferers-caught-southern-punjab/,Sum of over Rs2.4 million was imposed as cumulative fine on the power pilferers,118 power pilferers caught in southern Punjab,,,,4
https://tribune.com.pk/story/2109650/1-activists-take-mountain-related-issues/,Kick-off event of the ninth edition of the Pakistan Mountain Festival,Activists to take up mountain related issues,,,,0
https://tribune.com.pk/story/2109647/1-romania-eager-enhance-ties-pakistan-envoy/,Ambassador Goia enumerates rising economic and cultural ties,Romania eager to enhance ties with Pakistan: envoy,,,,1
https://tribune.com.pk/story/2109643/1-iia-mock-exercise-presumes-burning-plane-runway/,"CAA conducts emergency drill to check preparedness, coordination of responders",IIA mock exercise presumes burning plane on runway,,,,0
https://tribune.com.pk/story/2109660/1-winter-brings-riot-colours/,Nurseries across twin cities offer a wide range of local and imported floral plants,Winter brings riot of colours,,,,0
https://tribune.com.pk/story/2109653/1-senate-panel-directs-illegal-occupants-eviction-ministers-enclave/,"â€œIf law cannot be imposed in an area with only 40 houses, how can it be enforced in the rest of the country?â€",Senate panel orders eviction of illegal occupants from Ministers Enclave,,,,2
https://tribune.com.pk/story/2109557/2-govt-reduces-petroleum-prices-december/,"Petrol, HSD and LDO prices cut by Rs0.25, Rs2.40 and Rs2.90 respectively",Govt reduces fuel prices for December,,,,1
https://tribune.com.pk/story/2109513/1-police-investigate-mysterious-killing-minor-girl-dadu/,Parents deny their daughter was stoned to death,Police investigate 'stoning to death' of minor girl over honour in Dadu,,,,2
https://tribune.com.pk/story/2109455/1-zahida-parveen-promoted-federal-information-secretary/,Moves comes after bureaucratic reshuffle in Punjab and Islamabad,Zahida Parveen promoted as federal information secretary,,,,0
https://tribune.com.pk/story/2109456/1-pm-imran-addresses-media-lahore/,Premier was in Lahore on a day-long trip,"PM Imran rolls out plan to combat smog, improve air quality",,,,3
https://tribune.com.pk/story/2109426/1-pm-imran-proposes-names-ecp-members-balochistan-sindh/,Prime Minister Imran has suggested three names in a letter each for the two provinces,"PM Imran proposes names for ECP members from Balochistan, Sindh",,,,0
https://tribune.com.pk/story/2109396/1-shehbaz-proposes-three-names-cec-post/,"In a letter to PM, he suggests names of Nasir Mehmood Khosa, Jalil Abbas Jillani and Akhlaq Ahmed Tarar",Shehbaz proposes three names for CEC post,,,,0
https://tribune.com.pk/story/2109377/1-vow-remain-steadfast-ppps-52-year-long-struggle-bilawal/,Party celebrates its 52nd foundation day in Muzaffarabad Azad Kashmir today,I vow to remain steadfast in PPP's 52-year-long struggle: Bilawal,,,,0
https://tribune.com.pk/story/2109326/1-legislation-extension-army-chiefs-tenure-national-interest-firdous/,PM Imran constitutes a committee to contact the opposition for consensus over the issue,Legislation on extension in Army Chief's tenure is of national interest: Firdous,,,,0
