,Date,Symbol,Open,High,Low,Close,Volume
329002,2020-07-01,AGP,109.9,110.5,107.9,108.31,402500
338692,2020-07-01,AGP,109.9,110.5,107.9,108.31,402500
399246,2018-03-05,AGP,84.0,84.0,84.0,84.0,20500
399744,2018-03-06,AGP,88.2,88.2,88.2,88.2,16000
400235,2018-03-07,AGP,92.61,92.61,91.15,92.61,4040000
400720,2018-03-08,AGP,94.5,97.24,94.41,97.24,3103000
401207,2018-03-09,AGP,100.0,101.75,93.25,94.16,4225000
401694,2018-03-12,AGP,94.41,95.75,92.51,94.02,1404500
402186,2018-03-13,AGP,94.1,95.75,92.8,93.18,1210500
402693,2018-03-14,AGP,93.19,93.19,88.53,88.58,2948500
403199,2018-03-15,AGP,89.0,93.0,88.85,91.26,2309500
403696,2018-03-16,AGP,91.5,91.88,89.8,89.97,455000
404188,2018-03-19,AGP,90.5,90.8,89.2,89.55,318500
404701,2018-03-20,AGP,90.1,92.4,89.05,89.37,1178000
405218,2018-03-21,AGP,89.85,91.9,89.3,90.44,1116500
405738,2018-03-22,AGP,90.76,91.8,90.4,90.69,1064000
406228,2018-03-26,AGP,90.25,90.89,89.01,89.55,578500
406782,2018-03-27,AGP,90.0,92.68,89.75,90.89,3514500
407329,2018-03-28,AGP,90.98,91.99,90.0,90.11,1015500
407883,2018-03-29,AGP,90.36,93.0,89.9,90.32,3277000
408439,2018-03-30,AGP,90.63,91.7,90.2,90.69,1439500
408989,2018-04-02,AGP,90.98,91.7,90.5,90.82,907000
409503,2018-04-03,AGP,91.0,93.69,89.3,89.93,4197000
410021,2018-04-04,AGP,90.01,90.82,89.66,90.16,1454000
410527,2018-04-05,AGP,90.6,94.66,90.6,94.66,5804000
411028,2018-04-06,AGP,97.0,99.0,96.05,98.02,4803500
411529,2018-04-09,AGP,98.55,99.98,96.2,96.56,4096500
412034,2018-04-10,AGP,96.25,97.98,95.3,96.93,922000
412549,2018-04-11,AGP,97.25,98.3,95.99,96.18,1029000
