,Date,Symbol,Open,High,Low,Close,Volume
228,2015-01-01,ATLH,330.0,338.0,325.0,336.0,4800
749,2015-01-02,ATLH,332.0,334.0,326.15,329.57,6600
1268,2015-01-05,ATLH,329.1,332.0,326.0,330.12,6400
1775,2015-01-06,ATLH,330.0,331.9,327.0,327.0,2800
2295,2015-01-07,ATLH,326.25,335.0,326.05,330.11,6800
2808,2015-01-08,ATLH,326.55,335.0,326.55,328.0,1700
3320,2015-01-09,ATLH,327.1,333.33,324.0,326.0,4900
3846,2015-01-12,ATLH,321.0,328.99,321.0,327.98,700
4384,2015-01-13,ATLH,325.1,332.0,325.0,332.0,1800
4929,2015-01-14,ATLH,325.01,333.0,325.01,329.75,900
5476,2015-01-15,ATLH,326.0,330.0,321.25,330.0,1600
6014,2015-01-16,ATLH,332.0,332.94,322.5,329.0,2600
6549,2015-01-19,ATLH,321.11,330.0,321.11,327.55,6000
7084,2015-01-20,ATLH,327.0,328.0,321.52,326.75,2000
7620,2015-01-21,ATLH,329.0,330.98,325.0,330.47,11200
8143,2015-01-22,ATLH,331.0,331.0,325.03,325.85,3800
8652,2015-01-23,ATLH,331.31,331.5,321.0,325.16,8000
9173,2015-01-26,ATLH,329.9,329.9,323.0,329.89,2700
9729,2015-01-27,ATLH,333.33,333.33,327.0,327.0,4100
10287,2015-01-28,ATLH,330.0,330.0,325.1,329.0,2100
10837,2015-01-29,ATLH,328.0,328.0,325.0,325.0,2200
11371,2015-01-30,ATLH,322.1,341.25,322.1,334.3,17000
11932,2015-02-02,ATLH,335.0,335.2,331.05,333.0,15300
12447,2015-02-03,ATLH,333.0,335.9,333.0,334.96,32000
12967,2015-02-04,ATLH,334.9,334.96,330.01,330.36,10600
13471,2015-02-06,ATLH,333.8,339.95,331.02,336.89,6300
13979,2015-02-09,ATLH,343.33,353.73,340.0,353.73,34900
14478,2015-02-10,ATLH,364.99,371.41,360.0,370.04,46900
14987,2015-02-11,ATLH,380.0,388.54,373.33,387.79,140500
15502,2015-02-12,ATLH,381.1,405.3,378.0,393.02,302000
15999,2015-02-13,ATLH,397.0,399.88,389.0,394.0,18300
16495,2015-02-16,ATLH,399.5,399.5,393.0,394.09,5100
16990,2015-02-17,ATLH,396.0,404.38,392.0,392.63,30000
17493,2015-02-18,ATLH,390.0,390.0,378.0,379.23,7800
17997,2015-02-19,ATLH,378.5,380.0,372.1,379.55,4300
18487,2015-02-20,ATLH,373.05,380.0,370.0,376.42,1400
18976,2015-02-23,ATLH,375.0,375.0,367.03,367.52,4600
19523,2015-02-24,ATLH,379.0,379.0,361.0,375.0,900
20058,2015-02-25,ATLH,377.77,378.0,370.0,375.12,4000
20611,2015-02-26,ATLH,380.0,380.0,369.0,371.5,5400
21139,2015-02-27,ATLH,370.0,373.95,370.0,371.04,13300
21674,2015-03-02,ATLH,371.0,378.88,365.0,365.0,8300
22179,2015-03-03,ATLH,360.01,376.95,359.98,376.46,6000
22680,2015-03-04,ATLH,379.0,380.5,374.0,377.0,5900
23176,2015-03-05,ATLH,370.0,379.0,370.0,379.0,2000
23646,2015-03-06,ATLH,370.95,370.95,370.0,370.0,400
24119,2015-03-09,ATLH,370.0,374.0,370.0,374.0,300
24605,2015-03-10,ATLH,372.0,377.0,370.0,372.1,19700
25089,2015-03-11,ATLH,355.0,359.99,353.5,353.93,40200
25575,2015-03-12,ATLH,356.8,356.8,356.8,356.8,600
26057,2015-03-13,ATLH,364.0,364.0,350.7,350.7,1400
26543,2015-03-16,ATLH,363.0,363.0,345.0,346.03,900
27013,2015-03-17,ATLH,349.99,359.0,349.99,350.56,1600
27517,2015-03-18,ATLH,345.0,345.0,342.0,343.0,600
28008,2015-03-19,ATLH,349.99,349.99,347.5,347.9,1200
28478,2015-03-20,ATLH,358.0,365.29,358.0,364.19,10000
