,Unnamed: 0,Date,Symbol,Open,High,Low,Close,Volume,Compound_x,Negative_x,Neutral_x,Positive_x,Compound_y,Negative_y,Neutral_y,Positive_y
0,228,2015-01-01,ATLH,330.0,338.0,325.0,336.0,4800,-0.8834,0.255,0.745,0.0,-0.8834,0.255,0.745,0.0
1,749,2015-01-02,ATLH,332.0,334.0,326.15,329.57,6600,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,1268,2015-01-05,ATLH,329.1,332.0,326.0,330.12,6400,-0.8225,0.197,0.667,0.137,-0.8225,0.197,0.667,0.137
3,1775,2015-01-06,ATLH,330.0,331.9,327.0,327.0,2800,-0.6597,0.148,0.852,0.0,-0.6597,0.148,0.852,0.0
4,2295,2015-01-07,ATLH,326.25,335.0,326.05,330.11,6800,-0.9022,0.345,0.655,0.0,-0.9022,0.345,0.655,0.0
5,2808,2015-01-08,ATLH,326.55,335.0,326.55,328.0,1700,-0.9118,0.28,0.667,0.053,-0.9118,0.28,0.667,0.053
6,3320,2015-01-09,ATLH,327.1,333.33,324.0,326.0,4900,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7,3846,2015-01-12,ATLH,321.0,328.99,321.0,327.98,700,-0.4588,0.143,0.857,0.0,-0.4588,0.143,0.857,0.0
8,4384,2015-01-13,ATLH,325.1,332.0,325.0,332.0,1800,-0.836,0.22,0.78,0.0,-0.836,0.22,0.78,0.0
9,4929,2015-01-14,ATLH,325.01,333.0,325.01,329.75,900,0.3612,0.101,0.725,0.174,0.3612,0.101,0.725,0.174
10,5476,2015-01-15,ATLH,326.0,330.0,321.25,330.0,1600,0.34,0.09,0.749,0.162,0.34,0.09,0.749,0.162
11,6014,2015-01-16,ATLH,332.0,332.94,322.5,329.0,2600,-0.9001,0.3,0.7,0.0,-0.9001,0.3,0.7,0.0
12,6549,2015-01-19,ATLH,321.11,330.0,321.11,327.55,6000,-0.7579,0.194,0.806,0.0,-0.7579,0.194,0.806,0.0
13,7084,2015-01-20,ATLH,327.0,328.0,321.52,326.75,2000,-0.926,0.37,0.571,0.06,-0.926,0.37,0.571,0.06
14,7620,2015-01-21,ATLH,329.0,330.98,325.0,330.47,11200,-0.296,0.22,0.621,0.158,-0.296,0.22,0.621,0.158
15,8143,2015-01-22,ATLH,331.0,331.0,325.03,325.85,3800,-0.8338,0.241,0.721,0.039,-0.8338,0.241,0.721,0.039
16,8652,2015-01-23,ATLH,331.31,331.5,321.0,325.16,8000,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17,9173,2015-01-26,ATLH,329.9,329.9,323.0,329.89,2700,-0.891,0.29,0.71,0.0,-0.891,0.29,0.71,0.0
18,9729,2015-01-27,ATLH,333.33,333.33,327.0,327.0,4100,-0.3182,0.136,0.756,0.108,-0.3182,0.136,0.756,0.108
19,10287,2015-01-28,ATLH,330.0,330.0,325.1,329.0,2100,-0.8779,0.311,0.654,0.035,-0.8779,0.311,0.654,0.035
20,10837,2015-01-29,ATLH,328.0,328.0,325.0,325.0,2200,-0.7845,0.217,0.689,0.094,-0.7845,0.217,0.689,0.094
21,11371,2015-01-30,ATLH,322.1,341.25,322.1,334.3,17000,-0.9217,0.209,0.791,0.0,-0.9217,0.209,0.791,0.0
22,11932,2015-02-02,ATLH,335.0,335.2,331.05,333.0,15300,0.7351,0.0,0.895,0.105,0.7351,0.0,0.895,0.105
23,12447,2015-02-03,ATLH,333.0,335.9,333.0,334.96,32000,-0.4215,0.141,0.794,0.065,-0.4215,0.141,0.794,0.065
24,12967,2015-02-04,ATLH,334.9,334.96,330.01,330.36,10600,-0.8271,0.199,0.801,0.0,-0.8271,0.199,0.801,0.0
25,13471,2015-02-06,ATLH,333.8,339.95,331.02,336.89,6300,0.2263,0.084,0.774,0.142,0.2263,0.084,0.774,0.142
26,13979,2015-02-09,ATLH,343.33,353.73,340.0,353.73,34900,-0.8316,0.27,0.657,0.073,-0.8316,0.27,0.657,0.073
27,14478,2015-02-10,ATLH,364.99,371.41,360.0,370.04,46900,-0.9371,0.343,0.625,0.032,-0.9371,0.343,0.625,0.032
28,14987,2015-02-11,ATLH,380.0,388.54,373.33,387.79,140500,-0.7003,0.181,0.769,0.049,-0.7003,0.181,0.769,0.049
29,15502,2015-02-12,ATLH,381.1,405.3,378.0,393.02,302000,0.7717,0.0,0.854,0.146,0.7717,0.0,0.854,0.146
30,15999,2015-02-13,ATLH,397.0,399.88,389.0,394.0,18300,-0.0516,0.184,0.612,0.205,-0.0516,0.184,0.612,0.205
31,16495,2015-02-16,ATLH,399.5,399.5,393.0,394.09,5100,0.4939,0.066,0.776,0.158,0.4939,0.066,0.776,0.158
32,16990,2015-02-17,ATLH,396.0,404.38,392.0,392.63,30000,0.6486,0.068,0.741,0.191,0.6486,0.068,0.741,0.191
33,17493,2015-02-18,ATLH,390.0,390.0,378.0,379.23,7800,-0.4404,0.244,0.585,0.17,-0.4404,0.244,0.585,0.17
34,17997,2015-02-19,ATLH,378.5,380.0,372.1,379.55,4300,-0.5719,0.192,0.703,0.105,-0.5719,0.192,0.703,0.105
