,Date,Symbol,Open,High,Low,Close,Volume
264,2015-01-01,ABOT,700.0,703.5,695.0,700.84,3550
789,2015-01-02,ABOT,706.0,729.5,700.5,724.05,18950
1308,2015-01-05,ABOT,715.9,727.5,715.0,716.91,1350
1815,2015-01-06,ABOT,707.9,707.9,697.0,700.19,8850
2334,2015-01-07,ABOT,699.95,714.9,697.0,701.53,9000
2847,2015-01-08,ABOT,699.0,702.5,698.0,700.0,2000
3360,2015-01-09,ABOT,705.0,705.0,690.0,692.69,4200
3886,2015-01-12,ABOT,698.0,719.85,698.0,710.71,19100
4424,2015-01-13,ABOT,709.0,716.0,700.0,703.4,6450
4969,2015-01-14,ABOT,715.0,717.5,708.0,712.94,5650
5516,2015-01-15,ABOT,710.01,715.0,698.0,703.25,9600
6053,2015-01-16,ABOT,705.1,710.0,695.0,700.63,18600
6587,2015-01-19,ABOT,695.01,704.0,692.0,694.93,8300
7123,2015-01-20,ABOT,699.0,699.99,684.0,687.73,3500
7660,2015-01-21,ABOT,695.0,698.0,684.0,686.97,8600
8182,2015-01-22,ABOT,690.0,690.0,670.0,671.5,6950
8690,2015-01-23,ABOT,679.0,685.0,656.0,663.1,4250
9213,2015-01-26,ABOT,645.25,680.0,645.25,668.84,9700
9769,2015-01-27,ABOT,670.0,702.28,670.0,696.06,33650
10327,2015-01-28,ABOT,695.0,700.0,675.0,681.5,4750
10877,2015-01-29,ABOT,682.0,709.0,682.0,699.94,10700
11411,2015-01-30,ABOT,704.99,721.0,701.0,719.35,16250
11971,2015-02-02,ABOT,719.99,720.0,711.0,713.38,2450
12488,2015-02-03,ABOT,714.0,721.0,700.0,709.79,7550
13007,2015-02-04,ABOT,705.2,705.2,690.0,694.95,4150
13511,2015-02-06,ABOT,682.01,695.9,682.0,683.19,4250
14019,2015-02-09,ABOT,689.99,700.0,680.0,687.2,10150
14519,2015-02-10,ABOT,692.0,692.0,675.0,691.9,2400
15028,2015-02-11,ABOT,680.02,683.9,680.0,680.0,2850
15543,2015-02-12,ABOT,683.8,685.0,668.12,672.71,13850
16039,2015-02-13,ABOT,671.0,671.0,665.0,666.81,5000
