,Date,Symbol,Open,High,Low,Close,Volume
147,2015-01-01,AGSML,10.98,10.98,10.98,10.98,500
663,2015-01-02,AGSML,9.98,10.24,9.98,10.11,3000
2207,2015-01-07,AGSML,9.11,9.74,9.11,9.74,1000
3234,2015-01-09,AGSML,8.8,9.93,8.75,9.93,2000
3752,2015-01-12,AGSML,8.93,9.48,8.93,9.48,1000
4292,2015-01-13,AGSML,9.74,9.74,9.74,9.74,500
4839,2015-01-14,AGSML,9.9,9.9,9.9,9.9,500
5384,2015-01-15,AGSML,10.29,10.29,10.29,10.29,500
5926,2015-01-16,AGSML,10.5,10.5,10.5,10.5,500
6458,2015-01-19,AGSML,10.2,10.99,10.2,10.99,3500
8565,2015-01-23,AGSML,9.99,10.24,9.99,10.24,1000
9639,2015-01-27,AGSML,9.8,10.09,9.25,10.09,1500
10195,2015-01-28,AGSML,10.2,10.2,10.2,10.2,500
10746,2015-01-29,AGSML,9.8,9.8,9.8,9.8,1000
11288,2015-01-30,AGSML,10.74,10.74,10.74,10.74,500
11840,2015-02-02,AGSML,11.3,11.3,11.3,11.3,500
12876,2015-02-04,AGSML,11.3,11.3,10.3,10.75,2500
13382,2015-02-06,AGSML,11.25,11.25,11.25,11.25,500
14394,2015-02-10,AGSML,11.79,11.79,11.79,11.79,500
14899,2015-02-11,AGSML,11.0,11.25,11.0,11.25,1000
15416,2015-02-12,AGSML,11.4,11.4,11.4,11.4,500
15913,2015-02-13,AGSML,11.45,11.45,11.45,11.45,500
18407,2015-02-20,AGSML,12.34,12.34,12.34,12.34,500
18896,2015-02-23,AGSML,11.34,11.75,11.34,11.75,1000
19978,2015-02-25,AGSML,11.95,11.95,11.95,11.95,500
21062,2015-02-27,AGSML,12.7,12.7,12.7,12.7,500
23099,2015-03-05,AGSML,13.24,13.24,11.7,12.35,2000
23569,2015-03-06,AGSML,12.99,12.99,11.35,12.17,1000
24044,2015-03-09,AGSML,12.5,12.5,12.5,12.5,500
24528,2015-03-10,AGSML,12.0,12.24,11.95,12.1,2500
25010,2015-03-11,AGSML,11.25,12.48,11.25,11.91,3000
25497,2015-03-12,AGSML,12.3,12.39,11.01,12.0,2000
25982,2015-03-13,AGSML,11.01,11.01,11.0,11.01,1500
