,Date,Symbol,Open,High,Low,Close,Volume
146,2015-01-01,ADAMS,23.15,23.15,22.25,22.31,16500
662,2015-01-02,ADAMS,22.8,23.42,22.79,23.32,227500
1180,2015-01-05,ADAMS,24.48,24.48,23.51,24.3,780000
1690,2015-01-06,ADAMS,23.41,23.7,23.09,23.09,138500
2205,2015-01-07,ADAMS,22.5,22.69,21.94,22.14,47500
2719,2015-01-08,ADAMS,22.3,22.3,21.96,22.07,5500
3232,2015-01-09,ADAMS,22.01,22.2,22.0,22.18,6500
3750,2015-01-12,ADAMS,22.0,22.05,21.65,21.7,12500
4290,2015-01-13,ADAMS,21.54,22.45,21.51,22.45,14500
4837,2015-01-14,ADAMS,22.45,22.5,22.45,22.5,4500
5382,2015-01-15,ADAMS,22.9,23.0,22.75,22.98,38000
5924,2015-01-16,ADAMS,22.5,22.5,22.17,22.49,9500
6456,2015-01-19,ADAMS,22.5,22.5,22.01,22.42,9000
6993,2015-01-20,ADAMS,22.02,22.5,22.02,22.5,9500
7527,2015-01-21,ADAMS,22.43,22.45,22.29,22.36,11000
8050,2015-01-22,ADAMS,22.73,22.73,22.27,22.27,2000
8563,2015-01-23,ADAMS,21.71,22.0,21.5,21.79,25500
9082,2015-01-26,ADAMS,21.8,22.33,21.8,22.1,14000
9638,2015-01-27,ADAMS,21.85,22.0,21.85,22.0,4500
10193,2015-01-28,ADAMS,21.82,21.97,21.16,21.33,8500
10744,2015-01-29,ADAMS,21.94,21.94,21.94,21.94,1500
11286,2015-01-30,ADAMS,21.06,21.06,21.01,21.01,12000
11838,2015-02-02,ADAMS,21.76,21.85,21.26,21.26,15000
12356,2015-02-03,ADAMS,20.5,22.0,20.5,21.79,33000
12874,2015-02-04,ADAMS,22.0,22.15,21.5,21.52,16500
13380,2015-02-06,ADAMS,21.52,21.65,21.52,21.6,4000
13887,2015-02-09,ADAMS,21.5,21.6,21.25,21.5,12500
14392,2015-02-10,ADAMS,21.3,21.3,21.2,21.2,2000
15414,2015-02-12,ADAMS,20.81,20.81,20.14,20.48,22500
15912,2015-02-13,ADAMS,20.5,20.75,20.5,20.75,4000
16406,2015-02-16,ADAMS,20.3,20.5,20.3,20.5,1500
16905,2015-02-17,ADAMS,20.49,20.85,20.2,20.2,5000
17405,2015-02-18,ADAMS,20.75,20.84,20.41,20.41,2500
17912,2015-02-19,ADAMS,20.95,21.0,20.95,21.0,2000
18405,2015-02-20,ADAMS,20.65,20.7,20.11,20.7,11000
18894,2015-02-23,ADAMS,20.69,21.0,20.25,20.83,24000
19977,2015-02-25,ADAMS,20.9,20.9,20.5,20.5,6500
20523,2015-02-26,ADAMS,20.75,20.79,20.3,20.3,3000
21061,2015-02-27,ADAMS,20.3,20.3,20.25,20.25,2000
21593,2015-03-02,ADAMS,20.0,20.0,19.75,19.75,6000
22097,2015-03-03,ADAMS,19.5,20.19,19.5,20.19,1000
22603,2015-03-04,ADAMS,20.0,20.0,19.99,20.0,3000
23098,2015-03-05,ADAMS,20.0,20.0,19.55,20.0,3500
23568,2015-03-06,ADAMS,19.75,20.29,19.55,19.73,6500
24042,2015-03-09,ADAMS,19.61,19.61,19.6,19.6,1500
24527,2015-03-10,ADAMS,19.2,19.45,19.0,19.45,10500
25008,2015-03-11,ADAMS,19.29,19.3,19.02,19.2,7000
25495,2015-03-12,ADAMS,19.0,19.05,19.0,19.05,3000
25981,2015-03-13,ADAMS,19.0,19.0,19.0,19.0,1000
27436,2015-03-18,ADAMS,18.16,19.0,18.0,18.3,9500
27929,2015-03-19,ADAMS,18.0,18.0,18.0,18.0,500
28870,2015-03-24,ADAMS,18.1,18.1,18.1,18.1,2500
29376,2015-03-25,ADAMS,18.0,18.45,18.0,18.45,6000
29887,2015-03-26,ADAMS,18.0,18.0,18.0,18.0,2000
30416,2015-03-27,ADAMS,17.5,17.5,17.1,17.18,2500
30961,2015-03-30,ADAMS,16.18,17.25,16.18,16.23,18500
31473,2015-03-31,ADAMS,17.0,17.23,17.0,17.16,16500
31980,2015-04-01,ADAMS,17.0,17.0,17.0,17.0,500
32488,2015-04-02,ADAMS,17.01,17.5,17.0,17.49,3000
33497,2015-04-06,ADAMS,17.5,18.09,17.5,18.09,11000
34003,2015-04-07,ADAMS,18.01,18.3,18.0,18.3,3500
34489,2015-04-08,ADAMS,18.5,18.5,18.5,18.5,500
34976,2015-04-09,ADAMS,18.5,18.5,18.5,18.5,1000
35998,2015-04-13,ADAMS,18.5,18.5,18.05,18.23,2500
36471,2015-04-14,ADAMS,18.0,18.2,18.0,18.2,1500
36950,2015-04-15,ADAMS,18.5,18.5,18.03,18.03,2000
37958,2015-04-17,ADAMS,18.9,18.9,18.9,18.9,500
38463,2015-04-20,ADAMS,19.0,19.0,19.0,19.0,1000
39523,2015-04-22,ADAMS,18.5,19.68,18.5,19.68,4500
40582,2015-04-24,ADAMS,19.0,20.19,19.0,20.13,22000
41120,2015-04-27,ADAMS,19.15,20.3,19.13,20.22,15500
41624,2015-04-28,ADAMS,19.23,19.89,19.21,19.89,6500
42145,2015-04-29,ADAMS,19.01,19.47,18.89,18.89,5000
42647,2015-04-30,ADAMS,18.5,18.5,18.5,18.5,1500
43147,2015-05-04,ADAMS,18.1,18.49,18.0,18.49,4000
43640,2015-05-05,ADAMS,18.5,19.49,17.49,17.53,212000
44147,2015-05-06,ADAMS,17.5,18.0,17.5,18.0,23000
44650,2015-05-07,ADAMS,17.5,17.8,17.5,17.65,4500
45138,2015-05-08,ADAMS,17.8,17.8,17.55,17.8,1000
45626,2015-05-11,ADAMS,17.51,17.51,17.06,17.5,9500
46106,2015-05-12,ADAMS,17.6,17.75,17.6,17.75,1500
46572,2015-05-13,ADAMS,0.0,17.3,17.3,17.75,2000
47049,2015-05-14,ADAMS,17.8,17.8,17.5,17.5,2000
47534,2015-05-15,ADAMS,17.75,18.0,17.55,18.0,12500
48970,2015-05-21,ADAMS,17.99,17.99,17.5,17.99,2000
49438,2015-05-22,ADAMS,18.0,18.5,18.0,18.0,5000
49903,2015-05-25,ADAMS,18.77,19.0,18.65,19.0,74000
50426,2015-05-27,ADAMS,17.0,17.49,17.0,17.19,66500
50953,2015-05-28,ADAMS,17.49,17.5,17.0,17.0,6500
51481,2015-05-29,ADAMS,17.48,17.49,17.01,17.04,6000
52030,2015-06-01,ADAMS,17.5,17.5,17.3,17.3,4500
52551,2015-06-02,ADAMS,17.8,17.95,17.66,17.7,24000
53065,2015-06-03,ADAMS,17.36,17.4,17.35,17.4,2500
53592,2015-06-04,ADAMS,17.41,17.5,17.4,17.5,14000
54107,2015-06-05,ADAMS,17.34,17.35,17.34,17.34,2500
54632,2015-06-08,ADAMS,17.2,17.2,17.0,17.16,20000
55158,2015-06-09,ADAMS,17.03,17.25,17.03,17.2,10000
55680,2015-06-10,ADAMS,17.03,17.27,17.0,17.27,31500
56211,2015-06-12,ADAMS,17.25,17.45,17.25,17.45,2000
56751,2015-06-15,ADAMS,17.22,18.0,17.2,17.96,11000
57272,2015-06-16,ADAMS,17.38,17.69,17.38,17.69,2000
57801,2015-06-17,ADAMS,17.8,17.84,17.5,17.5,2500
58340,2015-06-18,ADAMS,17.36,18.5,17.36,18.5,30500
58845,2015-06-19,ADAMS,18.65,19.49,18.65,19.1,38500
59341,2015-06-22,ADAMS,18.5,19.0,18.31,18.93,12000
59877,2015-06-23,ADAMS,18.89,18.89,18.5,18.5,2000
60447,2015-06-24,ADAMS,18.0,18.5,18.0,18.5,3500
61002,2015-06-25,ADAMS,18.11,18.36,18.1,18.23,7500
61532,2015-06-26,ADAMS,18.15,18.5,18.15,18.45,15500
62557,2015-06-30,ADAMS,17.71,18.5,17.71,18.1,2000
63054,2015-07-01,ADAMS,18.89,19.1,18.52,19.04,57500
63565,2015-07-02,ADAMS,19.89,20.04,19.89,20.04,25500
64062,2015-07-03,ADAMS,21.04,21.04,20.0,21.04,92500
64567,2015-07-06,ADAMS,22.0,22.09,22.0,22.09,48500
65078,2015-07-07,ADAMS,22.99,23.14,22.65,22.68,71000
65597,2015-07-08,ADAMS,22.2,22.7,22.2,22.33,8500
66105,2015-07-09,ADAMS,23.25,23.25,21.5,21.54,30500
66601,2015-07-10,ADAMS,22.0,22.0,21.5,21.56,27500
67092,2015-07-13,ADAMS,21.25,21.4,21.2,21.23,10500
67602,2015-07-14,ADAMS,21.4,21.4,21.02,21.1,4500
