,Date,Symbol,Open,High,Low,Close,Volume
239,2015-01-01,AGIL,,152.0,150.25,150.25,3600
760,2015-01-02,AGIL,151.5,156.48,150.0,155.15,30200
1279,2015-01-05,AGIL,155.99,162.9,155.0,162.13,38100
1786,2015-01-06,AGIL,162.15,170.0,162.0,169.81,52900
2306,2015-01-07,AGIL,171.0,173.5,170.0,170.0,12300
2819,2015-01-08,AGIL,170.0,170.0,170.0,170.0,1000
3331,2015-01-09,AGIL,169.0,170.98,169.0,170.98,48300
3857,2015-01-12,AGIL,170.5,172.03,170.0,170.0,31700
4395,2015-01-13,AGIL,165.14,169.4,165.0,169.4,12200
4940,2015-01-14,AGIL,169.5,172.75,169.49,172.0,7300
5487,2015-01-15,AGIL,171.0,179.99,171.0,175.0,107400
6025,2015-01-16,AGIL,176.89,176.89,176.89,176.89,1500
7095,2015-01-20,AGIL,170.0,175.0,168.06,173.92,62000
7631,2015-01-21,AGIL,172.0,182.5,172.0,181.77,93000
8154,2015-01-22,AGIL,182.0,182.0,175.01,175.53,8200
8663,2015-01-23,AGIL,175.0,179.9,175.0,179.08,1300
9184,2015-01-26,AGIL,180.0,181.94,171.5,175.08,5700
9740,2015-01-27,AGIL,175.54,175.55,171.5,174.83,42600
10298,2015-01-28,AGIL,172.52,172.52,171.55,171.61,2000
10848,2015-01-29,AGIL,173.0,174.79,172.0,172.63,1200
11382,2015-01-30,AGIL,172.0,174.99,172.0,173.0,1400
11943,2015-02-02,AGIL,171.53,171.53,169.0,170.78,18000
12458,2015-02-03,AGIL,168.0,171.0,168.0,170.99,1800
12978,2015-02-04,AGIL,170.5,170.99,167.0,170.0,19500
13482,2015-02-06,AGIL,169.0,170.4,169.0,169.01,2300
13990,2015-02-09,AGIL,168.0,169.95,165.0,168.5,33400
14489,2015-02-10,AGIL,165.01,168.5,165.01,168.5,300
14998,2015-02-11,AGIL,165.0,165.0,165.0,165.0,4100
15513,2015-02-12,AGIL,169.0,172.95,165.05,171.48,6300
16010,2015-02-13,AGIL,175.0,177.0,170.0,170.06,5300
16506,2015-02-16,AGIL,164.0,170.0,164.0,168.5,2000
17001,2015-02-17,AGIL,168.0,169.0,168.0,168.17,600
17504,2015-02-18,AGIL,164.0,169.19,164.0,166.55,10400
18008,2015-02-19,AGIL,174.0,174.87,168.0,170.4,2800
18498,2015-02-20,AGIL,171.99,174.0,171.99,173.9,6500
18987,2015-02-23,AGIL,170.02,172.45,170.01,171.63,2000
19534,2015-02-24,AGIL,170.0,170.0,168.0,168.0,6900
20069,2015-02-25,AGIL,165.0,170.0,165.0,170.0,1200
22190,2015-03-03,AGIL,165.01,165.01,163.0,163.0,1900
22691,2015-03-04,AGIL,165.0,165.0,162.0,162.33,4400
23657,2015-03-06,AGIL,162.0,162.0,162.0,162.0,1500
24130,2015-03-09,AGIL,162.25,162.25,162.25,162.25,400
24616,2015-03-10,AGIL,162.1,162.1,162.0,162.0,400
25100,2015-03-11,AGIL,164.0,166.0,164.0,165.92,5400
25586,2015-03-12,AGIL,162.0,171.0,162.0,171.0,6300
26068,2015-03-13,AGIL,171.05,171.05,171.0,171.0,1700
27024,2015-03-17,AGIL,170.0,170.0,170.0,170.0,500
27528,2015-03-18,AGIL,162.0,162.0,162.0,170.0,100
28019,2015-03-19,AGIL,173.0,173.5,173.0,173.5,600
28960,2015-03-24,AGIL,167.0,170.0,166.5,170.0,9500
29463,2015-03-25,AGIL,166.0,171.0,165.0,169.92,13700
29976,2015-03-26,AGIL,166.0,168.9,162.05,167.21,5900
30507,2015-03-27,AGIL,165.0,169.9,165.0,169.9,8000
31060,2015-03-30,AGIL,163.0,163.0,161.41,161.41,13300
31567,2015-03-31,AGIL,161.0,162.0,160.0,160.0,19000
32580,2015-04-02,AGIL,160.0,160.0,160.0,160.0,600
33084,2015-04-03,AGIL,159.0,166.0,159.0,160.0,5900
33587,2015-04-06,AGIL,160.0,160.0,160.0,160.0,100
34091,2015-04-07,AGIL,155.0,160.0,155.0,156.0,1700
34576,2015-04-08,AGIL,155.0,162.5,155.0,161.1,3200
35067,2015-04-09,AGIL,160.5,163.0,160.0,162.49,5700
35574,2015-04-10,AGIL,164.99,165.0,162.0,164.89,2800
36555,2015-04-14,AGIL,164.0,164.0,164.0,164.0,700
37039,2015-04-15,AGIL,161.61,168.0,161.61,168.0,1100
37535,2015-04-16,AGIL,164.9,165.0,164.9,164.99,1100
38557,2015-04-20,AGIL,162.5,166.0,162.1,165.58,2100
39080,2015-04-21,AGIL,164.0,165.0,163.0,163.5,5100
39616,2015-04-22,AGIL,168.0,168.0,165.0,167.85,2800
40666,2015-04-24,AGIL,165.01,173.9,165.01,172.33,9500
41208,2015-04-27,AGIL,175.0,180.94,175.0,180.94,26000
41721,2015-04-28,AGIL,188.99,189.98,188.99,189.98,29900
42240,2015-04-29,AGIL,183.05,189.99,180.49,184.54,43800
42738,2015-04-30,AGIL,181.0,184.0,179.0,183.45,5300
43235,2015-05-04,AGIL,186.0,190.0,182.0,182.25,10800
43732,2015-05-05,AGIL,179.0,180.5,179.0,180.45,2200
44240,2015-05-06,AGIL,180.2,180.2,180.2,180.45,100
44742,2015-05-07,AGIL,180.01,180.01,178.0,179.0,3500
45228,2015-05-08,AGIL,183.25,183.25,178.0,179.99,400
45717,2015-05-11,AGIL,178.0,179.98,175.0,175.0,3400
46194,2015-05-12,AGIL,174.01,178.99,174.0,178.98,900
46665,2015-05-13,AGIL,184.99,184.99,176.0,181.38,3800
47138,2015-05-14,AGIL,179.0,179.0,179.0,181.38,100
48108,2015-05-18,AGIL,176.0,176.0,176.0,176.0,500
48584,2015-05-20,AGIL,177.99,180.0,177.99,179.3,1800
49058,2015-05-21,AGIL,180.0,180.0,180.0,179.3,100
49527,2015-05-22,AGIL,171.0,184.49,171.0,184.49,2200
50001,2015-05-25,AGIL,184.9,184.9,180.0,182.46,10700
50525,2015-05-27,AGIL,180.0,184.0,180.0,184.0,5100
51048,2015-05-28,AGIL,180.56,184.9,180.56,184.9,1800
