,Date,Symbol,Open,High,Low,Close,Volume
655,2015-01-02,AGL,8.0,8.0,8.0,8.0,1000
1173,2015-01-05,AGL,7.85,8.0,7.85,7.9,30000
1681,2015-01-06,AGL,7.9,7.9,7.75,7.77,32500
2198,2015-01-07,AGL,7.75,7.75,7.75,7.75,2000
2712,2015-01-08,AGL,7.65,7.65,7.5,7.63,8500
3225,2015-01-09,AGL,7.57,7.62,7.57,7.62,10000
4282,2015-01-13,AGL,7.75,7.75,7.7,7.7,2000
4830,2015-01-14,AGL,7.8,8.0,7.8,7.98,115000
5376,2015-01-15,AGL,8.69,8.69,8.1,8.25,170500
6447,2015-01-19,AGL,8.1,8.44,8.1,8.3,15000
6985,2015-01-20,AGL,8.25,8.35,8.1,8.3,9000
7520,2015-01-21,AGL,8.1,8.1,8.05,8.1,47500
8556,2015-01-23,AGL,0.0,7.71,7.71,8.1,25000
9074,2015-01-26,AGL,7.78,8.22,7.78,7.78,6000
11278,2015-01-30,AGL,7.75,7.75,7.75,7.75,2500
11832,2015-02-02,AGL,7.75,7.86,7.7,7.84,120500
12348,2015-02-03,AGL,7.9,8.0,7.9,7.95,1000
12866,2015-02-04,AGL,8.1,8.1,8.0,8.01,112500
13372,2015-02-06,AGL,8.15,8.24,8.05,8.05,63500
13879,2015-02-09,AGL,8.15,8.15,8.15,8.15,2500
14890,2015-02-11,AGL,8.1,8.1,8.0,8.0,105000
15404,2015-02-12,AGL,8.0,8.1,7.9,8.1,105000
15903,2015-02-13,AGL,8.2,8.3,8.1,8.1,107500
16399,2015-02-16,AGL,8.15,8.2,8.15,8.2,48000
16897,2015-02-17,AGL,8.15,8.2,8.15,8.2,7500
17398,2015-02-18,AGL,8.1,8.8,8.05,8.05,71000
17905,2015-02-19,AGL,8.0,8.0,7.99,8.0,36000
18396,2015-02-20,AGL,8.15,8.15,8.15,8.15,500
18887,2015-02-23,AGL,8.2,8.2,8.2,8.2,5000
20516,2015-02-26,AGL,7.8,8.0,7.8,7.8,1500
22088,2015-03-03,AGL,7.7,7.7,7.7,7.7,1500
22595,2015-03-04,AGL,7.61,7.61,7.6,7.6,72000
23090,2015-03-05,AGL,7.65,7.85,7.65,7.85,1000
23559,2015-03-06,AGL,7.99,8.0,7.99,8.0,2000
25487,2015-03-12,AGL,7.51,7.51,7.51,7.51,2500
25974,2015-03-13,AGL,7.5,7.5,7.5,7.5,2000
27427,2015-03-18,AGL,7.5,7.5,7.35,7.35,3000
27922,2015-03-19,AGL,7.5,7.96,7.5,7.96,10000
29882,2015-03-26,AGL,7.1,7.4,7.1,7.4,1000
30952,2015-03-30,AGL,7.01,7.01,7.01,7.01,1500
31465,2015-03-31,AGL,7.49,7.5,7.49,7.5,1500
34480,2015-04-08,AGL,7.5,7.5,7.5,7.5,4000
34966,2015-04-09,AGL,7.35,7.35,7.3,7.3,35000
35473,2015-04-10,AGL,7.5,7.55,7.5,7.5,25000
37433,2015-04-16,AGL,7.65,7.65,7.65,7.65,2000
37947,2015-04-17,AGL,7.98,7.98,7.6,7.65,1500
40048,2015-04-23,AGL,7.17,7.17,7.0,7.08,5000
40573,2015-04-24,AGL,7.3,7.5,7.3,7.5,3000
41111,2015-04-27,AGL,7.2,7.2,7.2,7.2,500
41615,2015-04-28,AGL,7.0,7.0,7.0,7.0,500
42136,2015-04-29,AGL,7.0,7.0,6.9,6.9,4000
42640,2015-04-30,AGL,7.0,7.0,7.0,7.0,6000
44138,2015-05-06,AGL,7.0,7.0,7.0,7.0,1000
44639,2015-05-07,AGL,6.7,6.7,6.7,6.7,500
45130,2015-05-08,AGL,7.0,7.0,7.0,7.0,500
46097,2015-05-12,AGL,7.0,7.0,7.0,7.0,1000
47040,2015-05-14,AGL,7.0,7.0,7.0,7.0,500
47528,2015-05-15,AGL,7.05,7.05,7.0,7.0,3000
49896,2015-05-25,AGL,6.8,6.9,6.6,6.9,3000
50418,2015-05-27,AGL,6.5,6.5,6.5,6.5,69500
51475,2015-05-29,AGL,6.65,6.65,6.5,6.58,8000
52022,2015-06-01,AGL,6.9,6.95,6.5,6.75,72000
54100,2015-06-05,AGL,6.8,6.8,6.8,6.8,1000
55151,2015-06-09,AGL,7.0,7.09,7.0,7.01,80000
55672,2015-06-10,AGL,7.0,7.7,7.0,7.25,129000
56203,2015-06-12,AGL,7.99,8.29,7.83,7.89,122000
56741,2015-06-15,AGL,7.75,8.89,7.7,8.31,1110000
57261,2015-06-16,AGL,8.65,8.65,8.2,8.45,25500
57790,2015-06-17,AGL,8.55,8.6,8.01,8.4,19500
58331,2015-06-18,AGL,8.05,8.3,8.0,8.3,14000
58838,2015-06-19,AGL,8.1,8.24,7.9,7.9,15000
59335,2015-06-22,AGL,7.75,8.28,7.51,8.0,8000
59869,2015-06-23,AGL,8.1,8.2,7.71,8.19,2500
60438,2015-06-24,AGL,8.0,8.0,7.51,7.94,64000
60993,2015-06-25,AGL,8.1,8.1,7.9,7.98,22500
61521,2015-06-26,AGL,7.99,7.99,7.6,7.6,9500
62056,2015-06-29,AGL,7.9,8.0,7.75,8.0,11500
62549,2015-06-30,AGL,7.95,7.99,7.7,7.7,13000
63046,2015-07-01,AGL,7.9,7.9,7.68,7.69,9500
63555,2015-07-02,AGL,7.71,7.89,7.67,7.67,17500
64054,2015-07-03,AGL,7.68,7.7,7.5,7.6,11500
64559,2015-07-06,AGL,7.65,7.65,7.01,7.01,5500
65071,2015-07-07,AGL,7.47,7.47,7.3,7.32,5500
65590,2015-07-08,AGL,7.5,7.5,7.5,7.5,10000
66096,2015-07-09,AGL,7.27,7.45,7.27,7.45,1500
66593,2015-07-10,AGL,7.5,8.45,7.5,7.9,837500
67084,2015-07-13,AGL,7.8,8.9,7.6,8.9,773500
67593,2015-07-14,AGL,9.9,9.9,9.16,9.9,780500
68113,2015-07-15,AGL,10.55,10.9,10.55,10.9,930500
68638,2015-07-16,AGL,11.9,11.9,11.15,11.9,1393500
69167,2015-07-22,AGL,12.55,12.9,11.9,12.9,953000
69701,2015-07-23,AGL,13.85,13.9,13.0,13.29,1382000
70233,2015-07-24,AGL,13.6,13.7,12.29,12.5,463000
70758,2015-07-27,AGL,12.0,12.0,11.5,11.5,383500
71313,2015-07-28,AGL,10.65,11.9,10.65,10.93,112500
71875,2015-07-29,AGL,11.05,11.11,10.2,10.39,81000
72427,2015-07-30,AGL,10.05,11.39,10.0,11.1,1007000
72974,2015-07-31,AGL,11.07,11.1,10.1,10.77,113500
73500,2015-08-03,AGL,10.35,10.9,10.05,10.69,49000
73987,2015-08-04,AGL,10.36,10.89,9.92,10.26,178500
74501,2015-08-05,AGL,10.07,10.35,10.05,10.2,30500
75022,2015-08-06,AGL,10.45,10.9,10.3,10.66,314000
75548,2015-08-07,AGL,10.36,10.78,10.3,10.75,57500
76058,2015-08-10,AGL,10.35,11.5,10.11,10.63,345500
76577,2015-08-11,AGL,10.9,10.99,10.57,10.85,13500
77093,2015-08-12,AGL,10.5,11.5,10.5,11.4,336000
77618,2015-08-13,AGL,11.06,11.55,11.0,11.29,506000
78132,2015-08-17,AGL,10.7,11.2,10.7,11.04,19500
78637,2015-08-18,AGL,10.86,11.75,10.75,10.95,363000
79153,2015-08-19,AGL,11.2,11.2,10.61,11.0,40000
79673,2015-08-20,AGL,10.99,10.99,10.6,10.7,33000
80175,2015-08-21,AGL,10.25,10.5,10.0,10.5,40500
80688,2015-08-24,AGL,9.51,10.14,9.5,9.5,111500
81227,2015-08-25,AGL,9.0,9.99,8.5,9.89,35500
81770,2015-08-26,AGL,9.52,9.52,9.06,9.48,21000
82310,2015-08-27,AGL,9.74,10.48,9.74,10.03,169500
83418,2015-08-31,AGL,10.4,11.03,9.22,10.4,1211000
83943,2015-09-01,AGL,10.25,11.0,9.52,10.34,1087500
84432,2015-09-14,AGL,9.5,9.65,9.49,9.6,103000
84909,2015-09-15,AGL,9.5,10.2,9.5,10.01,509500
85389,2015-09-16,AGL,10.0,10.2,10.0,10.18,249000
85879,2015-09-17,AGL,9.65,10.1,9.58,9.7,62000
86352,2015-09-18,AGL,9.75,10.0,9.65,9.65,113500
86813,2015-09-21,AGL,9.64,10.0,9.64,10.0,135500
87315,2015-09-22,AGL,9.71,9.9,9.6,9.6,15500
87807,2015-09-23,AGL,9.51,9.89,9.51,9.89,5000
88299,2015-09-28,AGL,9.95,10.2,9.1,9.14,54000
88772,2015-09-29,AGL,8.66,9.4,8.66,8.83,11500
89241,2015-09-30,AGL,8.81,9.25,8.65,9.1,46000
89718,2015-10-01,AGL,9.1,9.1,9.0,9.0,13000
90195,2015-10-02,AGL,8.81,9.0,8.81,9.0,4000
90674,2015-10-05,AGL,8.85,8.9,8.65,8.7,8500
91177,2015-10-06,AGL,8.7,9.0,8.6,9.0,112000
91659,2015-10-07,AGL,8.8,8.8,8.73,8.78,2000
92145,2015-10-08,AGL,8.62,8.62,8.5,8.5,13500
92650,2015-10-09,AGL,8.37,9.0,8.37,8.61,10500
93153,2015-10-12,AGL,8.8,8.99,8.66,8.66,4000
93659,2015-10-13,AGL,8.71,8.71,8.71,8.71,500
94174,2015-10-14,AGL,8.8,8.8,8.5,8.54,16500
94673,2015-10-15,AGL,8.55,8.8,8.51,8.8,6500
95171,2015-10-16,AGL,8.9,8.9,8.6,8.63,17000
95672,2015-10-19,AGL,8.61,9.03,8.61,8.78,24500
96172,2015-10-20,AGL,8.7,9.04,8.5,8.63,16000
96674,2015-10-21,AGL,8.61,8.61,8.61,8.61,500
97172,2015-10-22,AGL,8.61,8.61,8.55,8.61,6500
97669,2015-10-26,AGL,8.48,8.48,8.48,8.48,1000
98197,2015-10-27,AGL,8.41,8.5,8.3,8.5,19500
98723,2015-10-28,AGL,8.41,8.46,8.4,8.46,4000
99270,2015-10-29,AGL,8.47,8.47,8.0,8.31,33000
99817,2015-10-30,AGL,8.5,8.5,8.31,8.31,48500
100350,2015-11-02,AGL,8.15,8.16,8.12,8.16,4500
100841,2015-11-03,AGL,8.2,9.15,8.2,8.75,87500
101344,2015-11-04,AGL,8.7,8.7,7.75,8.17,25500
101857,2015-11-05,AGL,8.1,8.65,8.1,8.45,8000
102363,2015-11-06,AGL,8.01,8.55,8.0,8.5,15500
102849,2015-11-09,AGL,8.26,8.5,8.15,8.15,33500
103335,2015-11-10,AGL,8.25,8.3,8.0,8.16,22500
103825,2015-11-11,AGL,8.15,8.2,8.0,8.07,92000
104329,2015-11-12,AGL,8.44,8.8,8.2,8.28,134000
104841,2015-11-13,AGL,8.4,8.98,8.31,8.87,44000
105324,2015-11-16,AGL,8.5,9.25,8.25,9.02,177500
105833,2015-11-17,AGL,9.25,9.7,8.9,9.5,550000
106360,2015-11-18,AGL,9.64,10.0,9.28,9.59,423500
106866,2015-11-19,AGL,9.6,10.49,9.6,9.96,1219500
107355,2015-11-20,AGL,10.04,10.6,9.95,10.01,502000
107865,2015-11-23,AGL,10.0,10.2,9.53,9.75,48000
108411,2015-11-24,AGL,9.8,9.99,9.45,9.49,28500
108953,2015-11-25,AGL,9.31,9.31,9.2,9.2,25500
109491,2015-11-26,AGL,9.74,9.74,8.9,9.02,35000
110018,2015-11-27,AGL,0.0,8.98,8.98,9.02,1000
110546,2015-11-30,AGL,8.75,8.79,8.55,8.79,54500
111037,2015-12-01,AGL,8.9,9.0,8.05,8.19,18000
111529,2015-12-02,AGL,8.0,8.99,8.0,8.96,17000
112017,2015-12-03,AGL,8.75,9.0,8.75,8.93,37000
112493,2015-12-04,AGL,8.99,9.05,8.9,9.01,96500
112985,2015-12-07,AGL,8.76,9.05,8.76,9.0,17000
113472,2015-12-08,AGL,9.28,9.3,8.9,8.9,6000
113970,2015-12-09,AGL,9.0,9.0,8.9,9.0,25000
114457,2015-12-10,AGL,9.0,9.0,8.9,8.9,9000
114927,2015-12-14,AGL,8.75,9.0,8.75,9.0,15500
115402,2015-12-15,AGL,9.0,9.0,8.75,8.9,31500
115878,2015-12-16,AGL,8.7,9.74,8.7,9.02,96500
116357,2015-12-17,AGL,9.03,9.49,9.0,9.05,27500
116822,2015-12-18,AGL,8.71,9.4,8.7,9.12,2500
117295,2015-12-22,AGL,9.25,9.92,9.25,9.25,198500
117805,2015-12-23,AGL,9.1,9.69,9.1,9.5,34500
118315,2015-12-28,AGL,9.7,9.7,9.4,9.6,96000
118786,2015-12-29,AGL,9.65,9.65,9.15,9.15,6000
119261,2015-12-30,AGL,9.05,9.05,9.0,9.0,7500
119725,2015-12-31,AGL,9.0,9.45,9.0,9.35,23000
120196,2016-01-01,AGL,9.1,9.4,9.07,9.4,51500
121583,2016-01-07,AGL,9.5,9.54,9.5,9.54,7500
122499,2016-01-12,AGL,8.5,8.6,8.5,8.6,3500
122962,2016-01-13,AGL,8.3,8.3,7.97,7.99,31500
123446,2016-01-14,AGL,8.1,8.1,7.79,8.0,26000
123924,2016-01-15,AGL,8.37,9.0,8.25,8.47,286500
