,Date,Symbol,Open,High,Low,Close,Volume
168,2015-01-01,AKZO,359.9,368.0,357.55,357.93,23600
685,2015-01-02,AKZO,360.0,366.96,359.5,360.38,121200
1205,2015-01-05,AKZO,360.0,378.39,358.0,378.39,165100
1716,2015-01-06,AKZO,387.93,397.3,384.99,397.3,369700
2233,2015-01-07,AKZO,400.0,406.5,381.25,387.07,158000
2746,2015-01-08,AKZO,389.0,389.0,381.05,384.27,41600
3258,2015-01-09,AKZO,390.0,403.48,384.05,403.48,201400
3781,2015-01-12,AKZO,419.0,421.0,408.0,417.92,303900
4321,2015-01-13,AKZO,420.0,438.81,418.15,438.81,432300
4868,2015-01-14,AKZO,450.0,454.0,435.0,440.12,365500
5412,2015-01-15,AKZO,442.99,462.12,440.0,462.11,489300
5953,2015-01-16,AKZO,469.0,473.99,439.01,439.83,257600
6487,2015-01-19,AKZO,439.99,451.0,435.5,441.61,193500
7021,2015-01-20,AKZO,444.7,446.0,434.0,439.38,119500
7557,2015-01-21,AKZO,439.5,450.0,439.5,442.67,166500
8079,2015-01-22,AKZO,440.1,449.0,421.0,424.23,86600
8590,2015-01-23,AKZO,424.0,427.0,412.0,415.48,25100
9110,2015-01-26,AKZO,430.0,436.25,420.0,436.25,165300
9667,2015-01-27,AKZO,440.0,443.5,421.0,425.72,129600
10224,2015-01-28,AKZO,430.0,430.0,421.0,422.01,29000
10773,2015-01-29,AKZO,418.01,437.61,418.0,429.19,151500
11310,2015-01-30,AKZO,429.98,436.64,420.0,422.12,62100
11870,2015-02-02,AKZO,423.5,433.0,422.1,423.2,55800
12385,2015-02-03,AKZO,421.07,431.98,418.05,421.91,79400
12904,2015-02-04,AKZO,423.0,428.0,418.75,420.12,43600
13409,2015-02-06,AKZO,425.0,441.12,423.98,430.56,226300
13915,2015-02-09,AKZO,434.9,436.8,423.0,424.48,56600
14419,2015-02-10,AKZO,426.99,428.0,417.1,420.21,24000
14929,2015-02-11,AKZO,419.99,425.89,415.0,416.86,23600
15443,2015-02-12,AKZO,400.0,416.0,398.2,408.5,22900
15939,2015-02-13,AKZO,406.5,428.0,406.5,417.73,75900
16434,2015-02-16,AKZO,419.58,424.97,412.02,421.22,36400
16929,2015-02-17,AKZO,420.0,420.0,411.0,412.18,8400
17431,2015-02-18,AKZO,410.0,410.0,396.0,399.9,40100
17935,2015-02-19,AKZO,402.98,405.9,398.0,401.72,26900
18428,2015-02-20,AKZO,401.0,405.0,392.0,396.68,17700
18919,2015-02-23,AKZO,399.7,400.0,390.5,394.13,6000
19465,2015-02-24,AKZO,393.0,413.83,393.0,405.64,113200
20001,2015-02-25,AKZO,408.5,410.0,385.36,385.36,73100
20550,2015-02-26,AKZO,366.1,380.0,366.1,372.36,72700
21082,2015-02-27,AKZO,384.99,384.99,356.0,364.53,31700
21616,2015-03-02,AKZO,362.0,370.98,352.0,355.57,26100
22122,2015-03-03,AKZO,351.1,355.0,340.36,348.0,43400
22624,2015-03-04,AKZO,355.9,365.4,351.0,351.96,37800
23121,2015-03-05,AKZO,353.99,363.95,353.5,353.88,16200
23588,2015-03-06,AKZO,354.0,354.0,347.0,348.11,8200
24064,2015-03-09,AKZO,345.2,350.0,337.01,341.71,15900
24547,2015-03-10,AKZO,347.9,347.9,334.0,335.94,16700
25031,2015-03-11,AKZO,331.0,339.99,319.15,324.27,31800
25517,2015-03-12,AKZO,325.0,330.0,315.1,323.16,20300
26000,2015-03-13,AKZO,328.33,338.99,324.52,333.97,71000
26484,2015-03-16,AKZO,337.0,343.95,327.0,330.57,40800
26954,2015-03-17,AKZO,328.01,332.61,325.55,331.02,10300
27461,2015-03-18,AKZO,329.5,331.9,314.47,314.57,20800
27951,2015-03-19,AKZO,309.99,317.9,309.99,315.23,7400
28423,2015-03-20,AKZO,316.0,322.99,316.0,318.24,9300
28892,2015-03-24,AKZO,328.99,334.15,321.0,324.31,60000
29399,2015-03-25,AKZO,320.0,320.0,308.1,311.54,9300
29908,2015-03-26,AKZO,308.0,308.0,295.97,295.97,29500
30439,2015-03-27,AKZO,290.0,290.5,281.18,281.18,34700
30991,2015-03-30,AKZO,273.5,273.5,267.13,270.0,105400
31499,2015-03-31,AKZO,270.0,283.5,270.0,283.5,32500
32002,2015-04-01,AKZO,293.0,297.67,288.5,297.67,28300
32513,2015-04-02,AKZO,306.89,312.55,306.89,312.55,22700
33017,2015-04-03,AKZO,325.0,328.0,315.0,327.7,43500
33520,2015-04-06,AKZO,333.0,344.08,325.0,341.56,135500
34024,2015-04-07,AKZO,344.0,358.63,340.0,358.63,78100
34511,2015-04-08,AKZO,363.0,376.56,363.0,376.56,69800
34999,2015-04-09,AKZO,387.99,395.38,381.0,394.7,158700
35505,2015-04-10,AKZO,398.0,414.43,395.0,412.15,210900
36019,2015-04-13,AKZO,414.99,421.9,407.01,410.12,140700
36492,2015-04-14,AKZO,402.5,403.0,392.0,393.28,69000
36972,2015-04-15,AKZO,398.99,399.0,380.05,381.16,20000
37466,2015-04-16,AKZO,380.0,399.0,375.0,392.36,41300
37985,2015-04-17,AKZO,382.11,400.0,382.11,389.04,24400
38489,2015-04-20,AKZO,392.8,392.8,383.0,384.55,23100
39014,2015-04-21,AKZO,367.0,394.0,366.5,384.91,27600
39549,2015-04-22,AKZO,388.0,403.01,385.0,397.93,106200
40077,2015-04-23,AKZO,399.0,400.0,388.8,394.48,59100
40598,2015-04-24,AKZO,392.0,402.88,390.0,395.17,46500
41141,2015-04-27,AKZO,391.52,400.0,387.99,388.93,36900
41650,2015-04-28,AKZO,390.0,390.0,383.0,384.0,3700
42169,2015-04-29,AKZO,389.0,391.5,374.0,379.98,51200
42670,2015-04-30,AKZO,375.0,378.99,368.2,373.47,27500
43167,2015-05-04,AKZO,379.99,392.0,371.0,372.68,35000
43665,2015-05-05,AKZO,372.0,373.9,365.0,369.44,8500
44171,2015-05-06,AKZO,372.0,379.85,370.12,371.78,29400
44672,2015-05-07,AKZO,369.0,374.99,369.0,370.0,4500
45158,2015-05-08,AKZO,370.0,370.0,361.0,363.06,8600
45648,2015-05-11,AKZO,360.01,360.01,351.0,353.12,6500
46126,2015-05-12,AKZO,358.0,367.9,353.0,362.39,29600
46595,2015-05-13,AKZO,360.01,370.0,357.0,359.04,22300
47069,2015-05-14,AKZO,360.0,360.0,356.0,356.0,2900
47558,2015-05-15,AKZO,358.99,359.0,348.0,348.01,9400
48038,2015-05-18,AKZO,345.0,345.0,338.0,339.38,5900
48515,2015-05-20,AKZO,339.1,350.0,330.5,343.01,12500
48989,2015-05-21,AKZO,342.0,351.49,341.0,347.4,24600
49457,2015-05-22,AKZO,349.99,354.0,342.0,345.85,10900
49928,2015-05-25,AKZO,343.0,353.9,342.0,346.37,11300
50455,2015-05-27,AKZO,348.0,352.0,342.1,347.83,15900
50980,2015-05-28,AKZO,349.89,353.99,349.7,350.56,18800
51508,2015-05-29,AKZO,351.9,356.0,348.56,349.31,12600
52060,2015-06-01,AKZO,350.99,351.49,348.0,350.01,7100
52577,2015-06-02,AKZO,350.0,358.0,350.0,352.21,43000
53091,2015-06-03,AKZO,352.21,354.99,346.2,348.05,9400
53618,2015-06-04,AKZO,350.0,350.1,340.0,346.65,9400
54133,2015-06-05,AKZO,346.0,349.79,343.15,344.31,6500
54661,2015-06-08,AKZO,346.99,350.0,344.5,346.77,15000
55186,2015-06-09,AKZO,347.05,354.0,345.0,347.56,19400
55708,2015-06-10,AKZO,347.6,364.0,347.6,361.18,118500
56237,2015-06-12,AKZO,362.49,369.99,360.0,364.11,42600
56776,2015-06-15,AKZO,365.0,373.0,362.0,363.19,43100
57297,2015-06-16,AKZO,365.0,365.0,358.0,361.54,22100
57827,2015-06-17,AKZO,362.0,362.0,353.5,354.21,14700
58370,2015-06-18,AKZO,357.0,357.0,348.0,348.0,5300
58873,2015-06-19,AKZO,351.75,351.75,339.01,339.73,12100
59366,2015-06-22,AKZO,330.51,336.0,327.0,329.23,6700
59907,2015-06-23,AKZO,329.0,335.0,327.0,331.3,3300
60476,2015-06-24,AKZO,331.0,332.5,329.01,330.48,36400
61026,2015-06-25,AKZO,330.0,332.0,328.0,328.22,8200
61553,2015-06-26,AKZO,323.0,328.0,311.81,314.11,40400
62089,2015-06-29,AKZO,318.0,319.99,311.0,317.5,3000
62582,2015-06-30,AKZO,318.95,320.0,316.0,319.17,4900
63084,2015-07-01,AKZO,319.0,328.0,318.0,325.35,20200
63593,2015-07-02,AKZO,329.5,335.4,326.01,329.48,29600
64091,2015-07-03,AKZO,335.99,335.99,326.5,327.94,9700
64599,2015-07-06,AKZO,328.99,332.0,328.0,329.01,13500
65110,2015-07-07,AKZO,330.99,336.99,330.05,334.4,51800
65622,2015-07-08,AKZO,336.89,341.0,330.1,332.58,24200
66133,2015-07-09,AKZO,332.0,332.0,330.1,330.8,5200
66628,2015-07-10,AKZO,331.1,334.5,327.0,327.52,6100
