,Date,Symbol,Open,High,Low,Close,Volume
1181,2015-01-05,AABS,155.25,155.25,154.0,155.0,5100
1691,2015-01-06,AABS,157.5,162.75,155.5,162.43,2200
2206,2015-01-07,AABS,168.0,170.55,168.0,170.55,3800
2720,2015-01-08,AABS,178.99,179.07,178.99,179.07,6300
3233,2015-01-09,AABS,188.02,188.02,179.05,188.02,5100
3751,2015-01-12,AABS,197.42,197.42,197.42,197.42,6200
4291,2015-01-13,AABS,207.29,207.29,207.29,207.29,8300
4838,2015-01-14,AABS,217.65,217.65,205.9,206.04,6400
5383,2015-01-15,AABS,197.0,202.85,195.74,197.48,17700
5925,2015-01-16,AABS,198.89,207.0,198.0,200.91,5000
6457,2015-01-19,AABS,210.7,210.7,192.0,198.5,6600
6994,2015-01-20,AABS,191.02,200.0,189.0,200.0,4600
7528,2015-01-21,AABS,200.99,201.0,200.5,200.75,1200
8051,2015-01-22,AABS,192.01,192.01,181.22,181.23,1500
8564,2015-01-23,AABS,181.0,190.0,181.0,190.0,600
9083,2015-01-26,AABS,181.0,184.0,180.5,180.5,700
10194,2015-01-28,AABS,175.0,189.52,171.48,185.06,5600
10745,2015-01-29,AABS,185.0,185.0,176.01,177.0,700
11287,2015-01-30,AABS,185.85,185.85,185.85,185.85,7200
11839,2015-02-02,AABS,185.0,188.98,182.0,188.86,1500
12357,2015-02-03,AABS,195.14,195.14,188.0,190.0,1200
12875,2015-02-04,AABS,195.0,195.5,180.5,181.38,4100
13381,2015-02-06,AABS,180.0,182.0,176.01,180.5,1575500
13888,2015-02-09,AABS,180.0,180.0,180.0,180.5,100
14393,2015-02-10,AABS,176.0,185.5,176.0,180.75,200
14898,2015-02-11,AABS,181.0,181.0,181.0,181.0,200
15415,2015-02-12,AABS,176.0,176.5,176.0,176.1,900
16407,2015-02-16,AABS,180.89,180.89,180.89,176.1,100
17406,2015-02-18,AABS,180.0,181.0,168.0,168.0,700
18406,2015-02-20,AABS,176.4,176.4,176.4,176.4,500
18895,2015-02-23,AABS,175.0,175.0,175.0,176.4,100
20524,2015-02-26,AABS,175.0,180.0,175.0,177.5,200
24043,2015-03-09,AABS,167.0,167.0,167.0,175.0,100
25009,2015-03-11,AABS,175.0,175.0,168.0,171.5,200
25496,2015-03-12,AABS,177.0,177.0,177.0,171.5,100
27437,2015-03-18,AABS,163.0,163.0,163.0,163.0,200
28871,2015-03-24,AABS,154.85,154.85,154.85,163.0,100
29377,2015-03-25,AABS,171.0,171.0,171.0,171.0,720400
30962,2015-03-30,AABS,162.45,162.45,162.45,162.45,300
31474,2015-03-31,AABS,170.0,170.57,170.0,170.57,600
33000,2015-04-03,AABS,162.05,162.05,162.05,162.05,500
34004,2015-04-07,AABS,170.0,170.15,170.0,170.03,600
36472,2015-04-14,AABS,177.0,177.0,177.0,177.0,200
38992,2015-04-21,AABS,170.0,170.0,170.0,170.0,1400
41625,2015-04-28,AABS,171.0,171.0,171.0,171.0,600
43641,2015-05-05,AABS,162.45,162.45,162.45,162.45,200
45627,2015-05-11,AABS,0.0,155.0,155.0,162.45,150000
46107,2015-05-12,AABS,0.0,155.01,155.01,162.45,140000
46573,2015-05-13,AABS,0.0,155.01,155.01,162.45,50000
50954,2015-05-28,AABS,160.0,160.0,160.0,162.45,400
51482,2015-05-29,AABS,160.5,160.5,160.5,160.5,200
52031,2015-06-01,AABS,160.0,160.0,160.0,160.5,100
54108,2015-06-05,AABS,163.0,163.0,163.0,163.0,600
54633,2015-06-08,AABS,168.0,168.0,168.0,163.0,100
57802,2015-06-17,AABS,155.0,155.0,155.0,163.0,100
66106,2015-07-09,AABS,171.15,171.15,171.0,171.0,600
66602,2015-07-10,AABS,175.0,179.55,175.0,178.78,300
67603,2015-07-14,AABS,175.0,181.99,175.0,181.86,500
68122,2015-07-15,AABS,175.0,175.0,175.0,175.0,500
68648,2015-07-16,AABS,183.75,183.75,183.75,183.75,300
70770,2015-07-27,AABS,185.0,185.0,185.0,185.0,400
72439,2015-07-30,AABS,189.0,194.25,188.0,194.25,4800
72983,2015-07-31,AABS,203.96,203.96,203.95,203.96,3800
73510,2015-08-03,AABS,213.9,213.95,207.0,209.51,5700
73997,2015-08-04,AABS,213.0,213.0,207.06,208.03,500
74512,2015-08-05,AABS,209.0,209.1,205.11,206.81,2900
75034,2015-08-06,AABS,201.0,201.0,196.5,196.5,7900
75558,2015-08-07,AABS,198.0,199.0,198.0,198.59,500
76068,2015-08-10,AABS,197.5,197.5,197.5,197.5,1000
76588,2015-08-11,AABS,193.5,194.5,193.25,194.0,5000
77629,2015-08-13,AABS,184.3,191.0,184.3,191.0,2500
78142,2015-08-17,AABS,191.0,191.0,191.0,191.0,1000
78649,2015-08-18,AABS,186.0,190.2,186.0,188.04,1000
79684,2015-08-20,AABS,182.0,190.0,182.0,190.0,1000
80185,2015-08-21,AABS,0.0,182.0,182.0,177.5,100
80698,2015-08-24,AABS,169.0,169.0,168.63,168.63,1600
81236,2015-08-25,AABS,160.21,160.21,160.21,168.63,100
82872,2015-08-28,AABS,160.51,160.51,160.5,160.51,200
83427,2015-08-31,AABS,168.52,168.52,168.52,168.52,200
83952,2015-09-01,AABS,170.76,175.0,170.76,174.0,4800
86361,2015-09-18,AABS,160.0,161.58,160.0,160.79,200
88780,2015-09-29,AABS,153.6,153.6,153.6,160.79,100
91670,2015-10-07,AABS,160.0,160.0,160.0,160.0,500
93163,2015-10-12,AABS,158.0,158.0,158.0,158.0,101000
98205,2015-10-27,AABS,154.01,154.01,154.0,154.0,400
98732,2015-10-28,AABS,160.0,160.0,159.0,159.5,200
99281,2015-10-29,AABS,163.49,163.49,163.49,159.5,100
100359,2015-11-02,AABS,164.0,167.47,164.0,165.74,200
104341,2015-11-12,AABS,163.0,174.02,163.0,174.02,800
