,Date,Symbol,Open,High,Low,Close,Volume
227,2015-01-01,AGTL,369.0,369.0,362.0,364.98,32600
748,2015-01-02,AGTL,368.95,370.0,361.0,363.21,26000
1267,2015-01-05,AGTL,365.0,365.0,361.0,361.38,28500
1774,2015-01-06,AGTL,366.45,379.44,365.5,379.44,63900
2294,2015-01-07,AGTL,389.0,398.41,389.0,398.41,39200
2807,2015-01-08,AGTL,414.0,414.9,385.15,393.04,77700
3319,2015-01-09,AGTL,393.1,393.9,380.0,384.47,34100
3845,2015-01-12,AGTL,384.5,387.0,376.01,379.29,25800
4383,2015-01-13,AGTL,370.05,374.99,365.0,369.79,97400
4928,2015-01-14,AGTL,370.0,379.99,370.0,375.99,25300
5475,2015-01-15,AGTL,367.0,378.0,367.0,374.93,15600
6013,2015-01-16,AGTL,377.0,378.0,368.0,370.1,19400
6548,2015-01-19,AGTL,378.9,378.9,372.0,375.8,13900
7083,2015-01-20,AGTL,382.0,382.0,373.0,376.46,8700
7619,2015-01-21,AGTL,377.9,393.7,375.0,385.57,44500
8142,2015-01-22,AGTL,386.0,389.5,378.0,383.37,20300
8651,2015-01-23,AGTL,380.0,382.0,377.0,377.78,10100
9172,2015-01-26,AGTL,384.0,386.2,380.0,381.26,10200
9728,2015-01-27,AGTL,382.0,384.35,380.0,383.06,11500
10286,2015-01-28,AGTL,383.0,383.0,377.25,378.0,12100
10836,2015-01-29,AGTL,380.0,382.0,378.2,379.4,7000
11370,2015-01-30,AGTL,371.0,383.0,360.43,379.82,13700
11931,2015-02-02,AGTL,382.0,388.0,382.0,382.47,16100
12446,2015-02-03,AGTL,385.5,390.0,380.0,386.56,31400
12966,2015-02-04,AGTL,386.0,405.88,386.0,405.88,98400
13470,2015-02-06,AGTL,414.98,414.98,399.99,402.43,65000
13978,2015-02-09,AGTL,409.5,409.5,395.1,399.81,28900
14477,2015-02-10,AGTL,398.0,400.0,390.22,399.42,16400
14986,2015-02-11,AGTL,400.0,402.0,395.25,397.91,18200
15501,2015-02-12,AGTL,396.0,398.0,385.0,389.99,12100
15998,2015-02-13,AGTL,389.0,389.0,370.5,370.54,140900
16494,2015-02-16,AGTL,372.99,377.0,365.0,372.83,35500
