,Date,Symbol,Open,High,Low,Close,Volume
80871,2015-08-24,ASC,90.25,90.25,90.25,90.25,572000
81402,2015-08-25,ASC,85.74,88.95,85.74,87.4,1610500
81948,2015-08-26,ASC,87.0,89.49,83.03,83.03,1541500
82491,2015-08-27,ASC,82.98,85.75,79.01,79.53,2038500
83043,2015-08-28,ASC,80.0,82.84,79.75,80.72,1201500
83600,2015-08-31,ASC,81.28,84.75,80.0,84.75,1209000
84118,2015-09-01,ASC,86.11,88.35,82.02,83.45,1653000
84598,2015-09-14,ASC,83.98,84.5,81.6,82.1,206500
85078,2015-09-15,ASC,82.01,86.2,81.3,86.13,1865500
85557,2015-09-16,ASC,86.5,87.95,84.42,85.04,778000
86056,2015-09-17,ASC,85.4,87.15,83.35,83.89,620500
86513,2015-09-18,ASC,84.25,85.0,81.2,81.59,496500
86971,2015-09-21,ASC,80.71,82.59,80.3,82.27,461000
87479,2015-09-22,ASC,82.9,83.6,81.51,81.8,222500
87972,2015-09-23,ASC,81.9,84.5,81.5,84.0,587500
88466,2015-09-28,ASC,84.8,86.95,84.0,84.51,1754500
88940,2015-09-29,ASC,83.2,83.99,81.76,82.7,697000
89409,2015-09-30,ASC,83.8,85.09,81.11,82.1,1172000
89885,2015-10-01,ASC,82.11,86.2,82.11,86.07,2417000
90357,2015-10-02,ASC,86.5,86.99,84.3,84.65,1190000
90845,2015-10-05,ASC,84.52,84.52,82.6,82.82,818500
91347,2015-10-06,ASC,83.97,84.75,82.81,83.5,993500
91830,2015-10-07,ASC,83.9,85.75,80.02,82.24,2529500
92319,2015-10-08,ASC,80.75,86.35,80.75,86.35,2361000
92824,2015-10-09,ASC,88.0,90.66,88.0,90.66,657000
93334,2015-10-12,ASC,93.0,94.7,92.51,92.96,2582500
93842,2015-10-13,ASC,92.6,92.99,90.0,90.47,795000
94348,2015-10-14,ASC,90.5,94.99,90.5,93.2,2835000
94846,2015-10-15,ASC,93.89,96.99,93.65,96.34,4108500
95338,2015-10-16,ASC,96.98,97.98,94.5,96.27,3066500
95848,2015-10-19,ASC,96.11,97.3,95.1,95.34,1149000
96347,2015-10-20,ASC,95.5,97.9,94.71,95.14,1986500
96851,2015-10-21,ASC,95.45,99.89,95.45,99.8,7498000
97352,2015-10-22,ASC,101.62,102.9,99.01,99.66,4087500
97844,2015-10-26,ASC,100.49,102.48,99.01,100.11,2152500
98364,2015-10-27,ASC,101.0,101.79,95.11,96.5,3531500
98907,2015-10-28,ASC,97.0,98.8,95.5,96.5,1376000
99448,2015-10-29,ASC,96.97,99.78,95.76,99.41,2512500
99980,2015-10-30,ASC,100.9,104.38,99.9,100.76,9396500
100523,2015-11-02,ASC,101.98,101.98,100.0,100.75,1341000
101011,2015-11-03,ASC,101.48,101.8,100.0,100.21,909500
101522,2015-11-04,ASC,100.48,100.5,98.12,98.34,926000
102034,2015-11-05,ASC,98.5,99.99,97.6,98.06,788500
102534,2015-11-06,ASC,98.4,98.89,97.7,97.96,476000
103019,2015-11-09,ASC,98.26,101.89,97.75,100.71,2121500
103509,2015-11-10,ASC,101.0,101.0,98.0,98.2,782500
103997,2015-11-11,ASC,97.3,100.9,96.69,100.45,1005500
104512,2015-11-12,ASC,100.65,101.5,100.5,100.8,807000
105016,2015-11-13,ASC,100.26,100.9,98.01,98.65,617500
105492,2015-11-16,ASC,98.89,98.9,97.5,98.62,339500
106015,2015-11-17,ASC,99.0,100.25,98.65,99.04,1011500
106542,2015-11-18,ASC,99.5,99.6,96.5,98.35,2120500
107034,2015-11-19,ASC,74.0,75.44,73.9,74.6,600500
107532,2015-11-20,ASC,74.92,75.4,74.0,74.45,535000
108043,2015-11-23,ASC,74.69,74.69,71.01,71.36,396000
108589,2015-11-24,ASC,70.61,71.74,68.21,68.72,375500
109129,2015-11-25,ASC,69.0,69.25,66.0,66.61,350000
109666,2015-11-26,ASC,67.0,68.0,65.61,65.93,262500
110186,2015-11-27,ASC,65.1,65.75,64.6,65.05,300500
110715,2015-11-30,ASC,65.05,65.05,62.3,62.59,412000
111216,2015-12-01,ASC,63.4,65.6,60.75,61.05,642500
111708,2015-12-02,ASC,61.25,64.1,60.0,64.05,792500
112186,2015-12-03,ASC,64.12,65.5,63.51,64.49,301500
112673,2015-12-04,ASC,64.94,65.1,64.07,64.32,158000
113155,2015-12-07,ASC,64.5,64.84,63.5,63.69,233500
113644,2015-12-08,ASC,63.85,66.87,63.01,66.87,819500
114145,2015-12-09,ASC,69.0,69.25,67.5,68.54,667000
114633,2015-12-10,ASC,68.74,69.4,67.8,68.15,243500
115101,2015-12-14,ASC,66.0,66.0,63.8,64.51,182500
115573,2015-12-15,ASC,64.0,66.65,64.0,65.14,498500
116044,2015-12-16,ASC,65.0,65.8,62.65,63.78,252500
116524,2015-12-17,ASC,64.39,66.75,64.11,65.94,613000
116992,2015-12-18,ASC,66.99,66.99,65.55,65.9,256500
117463,2015-12-22,ASC,65.1,65.15,63.7,63.94,147000
117975,2015-12-23,ASC,63.99,64.24,63.0,63.09,200500
118482,2015-12-28,ASC,62.86,63.95,62.85,63.09,174500
118960,2015-12-29,ASC,63.47,63.7,61.36,61.51,393500
119429,2015-12-30,ASC,61.6,62.2,61.6,61.76,178000
119894,2015-12-31,ASC,61.6,62.5,61.26,62.18,114000
120358,2016-01-01,ASC,62.0,64.35,62.0,63.75,278000
120822,2016-01-05,ASC,62.0,62.39,61.2,62.08,533500
121278,2016-01-06,ASC,62.0,63.1,62.0,62.69,262000
121753,2016-01-07,ASC,62.5,62.5,61.2,61.3,282500
122213,2016-01-11,ASC,60.6,61.0,59.7,60.02,168500
122663,2016-01-12,ASC,59.5,60.0,57.02,57.14,556000
123128,2016-01-13,ASC,57.14,58.39,56.0,56.2,188500
123626,2016-01-14,ASC,55.22,55.22,53.39,53.39,904000
124095,2016-01-15,ASC,53.3,54.45,50.76,51.43,345000
124575,2016-01-18,ASC,50.03,51.49,48.86,50.48,1465000
125046,2016-01-19,ASC,51.4,53.0,50.42,53.0,970000
125494,2016-01-20,ASC,52.12,54.5,51.6,54.21,707500
125961,2016-01-21,ASC,54.5,54.85,52.9,52.99,400000
126412,2016-01-22,ASC,53.01,53.98,52.51,53.34,245000
126875,2016-01-25,ASC,53.5,54.75,53.1,53.3,402000
127352,2016-01-26,ASC,53.0,53.5,52.41,53.0,178500
127865,2016-01-27,ASC,53.39,54.85,52.99,53.35,773500
128358,2016-01-28,ASC,53.05,53.7,52.54,53.01,178000
128840,2016-01-29,ASC,53.0,54.5,52.7,53.73,432500
129338,2016-02-01,ASC,53.9,54.9,53.5,53.74,380000
129806,2016-02-02,ASC,53.42,54.4,52.5,52.73,383000
130264,2016-02-03,ASC,52.74,53.7,52.4,52.8,346500
130741,2016-02-04,ASC,53.35,53.55,52.8,52.87,305500
131206,2016-02-08,ASC,53.24,53.75,53.0,53.14,167000
131658,2016-02-09,ASC,53.58,53.59,52.5,52.69,133000
132119,2016-02-10,ASC,52.59,53.25,51.82,52.04,213500
132588,2016-02-11,ASC,52.25,52.45,49.75,50.43,438500
133048,2016-02-12,ASC,50.98,50.99,48.75,49.1,537000
133507,2016-02-15,ASC,49.77,50.95,49.75,50.0,369500
133976,2016-02-16,ASC,50.5,50.5,49.0,49.1,146000
134413,2016-02-17,ASC,48.67,49.3,48.12,48.5,174500
134875,2016-02-18,ASC,48.97,49.34,46.08,46.1,568000
135320,2016-02-19,ASC,46.1,46.1,44.2,44.92,273000
135781,2016-02-22,ASC,44.75,45.95,44.01,44.81,403500
136283,2016-02-23,ASC,45.48,45.65,42.61,43.27,532000
136776,2016-02-24,ASC,44.05,45.0,42.56,44.49,781500
137287,2016-02-25,ASC,44.41,45.9,44.2,45.32,435500
137777,2016-02-29,ASC,48.1,49.94,46.7,48.01,2231000
138239,2016-03-01,ASC,48.4,50.41,47.01,50.41,853500
138712,2016-03-02,ASC,51.25,52.93,51.25,52.93,955500
139198,2016-03-03,ASC,53.5,54.4,51.99,52.87,1375500
139680,2016-03-04,ASC,52.0,55.51,52.0,54.57,1312000
140179,2016-03-07,ASC,54.95,57.29,54.95,57.05,1128500
140670,2016-03-08,ASC,57.65,58.5,55.75,57.46,1166000
141140,2016-03-09,ASC,58.5,58.98,57.6,57.87,846000
141620,2016-03-10,ASC,58.19,58.3,56.55,56.72,226500
142076,2016-03-11,ASC,56.11,57.25,56.0,57.01,145000
142556,2016-03-14,ASC,56.62,57.8,56.05,56.9,417000
143024,2016-03-15,ASC,56.5,56.8,55.5,55.7,168000
143498,2016-03-16,ASC,56.25,56.5,55.3,55.49,262500
143967,2016-03-17,ASC,56.0,56.0,55.0,55.01,111000
144451,2016-03-18,ASC,55.1,55.15,53.11,53.49,97000
144937,2016-04-01,ASC,53.6,53.88,53.0,53.39,109000
145432,2016-04-04,ASC,53.2,56.05,52.76,56.05,1005000
145950,2016-04-05,ASC,57.0,58.24,56.7,57.74,678500
146467,2016-04-06,ASC,57.75,59.0,57.25,57.89,463500
146972,2016-04-07,ASC,58.1,58.75,57.5,57.78,178000
147472,2016-04-08,ASC,57.5,57.88,56.68,56.8,308000
147979,2016-04-11,ASC,57.4,57.4,55.36,55.85,253500
148462,2016-04-12,ASC,54.6,56.25,54.6,55.95,105500
148939,2016-04-14,ASC,55.25,55.7,54.8,55.42,377500
149432,2016-04-15,ASC,55.25,56.2,55.0,55.18,234500
149927,2016-04-15,ASC,55.25,56.2,55.0,55.18,234500
150426,2016-04-19,ASC,54.8,55.29,54.8,55.14,38500
150943,2016-04-20,ASC,55.14,55.14,54.67,54.75,66500
151467,2016-04-21,ASC,54.75,55.75,54.2,54.46,216000
151971,2016-04-22,ASC,54.99,55.38,54.3,54.52,109000
152478,2016-04-25,ASC,55.0,55.0,54.0,54.06,40000
153023,2016-04-26,ASC,54.5,55.0,54.1,54.14,149000
153582,2016-04-27,ASC,54.73,54.99,53.8,54.0,134000
154138,2016-04-28,ASC,54.0,56.7,54.0,55.98,583500
154683,2016-04-29,ASC,56.49,56.49,54.5,54.66,739500
155224,2016-05-02,ASC,54.15,55.5,53.45,54.38,449500
155722,2016-05-03,ASC,55.15,55.25,54.8,54.95,228000
156257,2016-05-04,ASC,55.0,57.48,55.0,57.09,1096000
156765,2016-05-06,ASC,57.89,58.4,57.15,57.5,338500
157273,2016-05-09,ASC,58.0,58.0,56.75,56.86,284500
157796,2016-05-10,ASC,56.86,56.86,55.85,56.06,146500
158321,2016-05-12,ASC,55.75,56.72,55.2,56.6,550000
158839,2016-05-13,ASC,56.52,57.2,55.92,56.03,331500
159363,2016-05-16,ASC,56.5,56.6,55.26,55.42,163000
159887,2016-05-18,ASC,55.68,55.68,54.85,55.0,128000
160423,2016-05-19,ASC,55.0,55.47,54.0,54.24,329000
160933,2016-05-20,ASC,54.17,54.6,52.76,52.94,731000
161449,2016-05-23,ASC,52.55,53.7,52.5,52.77,180500
162022,2016-05-24,ASC,53.0,53.4,52.5,52.85,327500
162591,2016-05-25,ASC,53.48,53.49,52.64,52.77,527500
163164,2016-05-26,ASC,52.1,53.0,52.1,52.46,220500
163731,2016-06-02,ASC,53.3,55.18,52.8,54.79,701000
164273,2016-06-03,ASC,54.9,56.65,54.9,55.18,920000
164797,2016-06-06,ASC,55.0,56.0,53.65,54.85,188000
165283,2016-06-07,ASC,54.11,54.2,53.7,53.79,88500
165767,2016-06-07,ASC,54.11,54.2,53.7,53.79,88500
166265,2016-06-08,ASC,53.41,53.94,53.3,53.41,91000
166765,2016-06-09,ASC,54.4,54.4,53.01,53.64,33000
167252,2016-06-10,ASC,53.01,53.01,52.0,52.36,77000
167732,2016-06-13,ASC,51.39,52.5,50.71,52.36,77500
168209,2016-06-14,ASC,52.03,53.2,52.03,52.74,110000
168707,2016-06-15,ASC,53.5,53.5,52.81,52.82,57000
169201,2016-06-16,ASC,52.27,53.0,52.25,52.35,87500
169692,2016-06-17,ASC,52.3,54.49,52.26,52.98,298500
170167,2016-06-20,ASC,53.89,54.25,53.0,53.83,135000
170679,2016-06-21,ASC,54.04,55.5,54.03,54.89,704500
171205,2016-06-22,ASC,54.51,54.85,52.88,53.0,282000
171719,2016-06-23,ASC,53.05,53.05,52.31,52.5,134500
172246,2016-06-24,ASC,52.6,52.6,49.88,51.24,479000
172753,2016-06-27,ASC,51.9,51.9,50.31,50.43,207500
173248,2016-06-28,ASC,50.75,51.25,49.51,49.83,144000
173741,2016-06-29,ASC,50.5,51.9,50.25,51.83,224500
174225,2016-06-30,ASC,52.0,52.3,51.5,52.21,71000
174690,2016-07-04,ASC,52.15,52.44,51.99,52.09,70500
175154,2016-07-11,ASC,52.15,54.0,51.2,53.05,268000
175651,2016-07-12,ASC,52.98,54.3,52.65,53.55,456000
176161,2016-07-13,ASC,53.95,53.95,52.9,52.98,448000
176675,2016-07-14,ASC,52.26,53.32,52.26,52.95,318500
177169,2016-07-15,ASC,53.4,54.5,53.0,53.95,522500
177667,2016-07-18,ASC,54.5,54.64,53.65,54.44,495000
178176,2016-07-19,ASC,54.25,57.16,54.2,57.16,1751500
178685,2016-07-20,ASC,57.9,58.85,56.75,57.85,1635500
179188,2016-07-21,ASC,58.0,58.0,56.95,57.41,508000
179687,2016-07-22,ASC,57.2,58.75,57.1,58.0,834000
180176,2016-07-25,ASC,58.0,58.0,57.4,57.55,147500
180712,2016-07-26,ASC,57.7,58.5,57.55,58.33,475500
181264,2016-07-27,ASC,58.5,59.4,57.8,58.03,1125000
181828,2016-07-28,ASC,58.6,58.69,57.0,57.55,259500
182343,2016-07-29,ASC,57.7,58.0,57.26,57.74,60500
182887,2016-08-01,ASC,57.6,59.0,57.6,58.17,462000
183392,2016-08-02,ASC,58.01,58.25,56.92,57.17,265500
183915,2016-08-03,ASC,57.01,58.1,56.65,56.84,280000
184434,2016-08-04,ASC,57.0,57.84,54.8,55.11,1682000
184934,2016-08-05,ASC,55.25,56.0,55.0,55.17,557000
185450,2016-08-08,ASC,55.05,57.38,55.0,56.51,1412000
185965,2016-08-09,ASC,57.0,57.15,56.5,56.61,321500
186487,2016-08-11,ASC,58.6,58.6,57.02,57.53,860500
187017,2016-08-12,ASC,57.39,58.19,56.8,57.02,467000
187537,2016-08-15,ASC,56.8,57.6,55.86,56.08,466000
188060,2016-08-16,ASC,56.5,57.95,56.4,57.77,513000
188599,2016-08-17,ASC,57.9,57.9,56.11,56.63,275000
189123,2016-08-18,ASC,56.65,56.8,55.85,56.01,284500
189626,2016-08-19,ASC,56.0,56.9,55.52,56.01,194500
190131,2016-08-22,ASC,56.0,56.0,56.0,56.0,86000
190678,2016-08-23,ASC,56.55,56.7,55.35,55.56,218500
191236,2016-08-24,ASC,55.6,55.6,55.0,55.18,263000
191806,2016-08-26,ASC,56.39,56.74,54.75,55.03,1095000
192401,2016-08-29,ASC,55.5,56.6,55.27,55.92,651500
192958,2016-09-01,ASC,57.35,59.9,56.5,59.84,4942000
193501,2016-09-02,ASC,60.85,62.08,60.1,60.68,3469500
194038,2016-09-05,ASC,60.45,60.45,59.0,59.02,901000
194576,2016-09-06,ASC,59.0,60.0,58.5,58.53,773500
195136,2016-09-07,ASC,58.26,59.39,58.11,58.88,1385000
195696,2016-09-08,ASC,59.0,59.2,57.75,57.85,1184000
196255,2016-09-09,ASC,57.9,59.9,57.62,59.14,1717500
196799,2016-09-15,ASC,60.0,60.0,58.85,58.96,524000
197365,2016-09-19,ASC,60.79,63.0,60.35,62.63,3098000
197923,2016-09-20,ASC,62.85,65.75,61.15,65.43,5229000
198482,2016-09-21,ASC,65.25,65.5,62.5,63.24,3213000
199033,2016-09-22,ASC,64.25,65.8,60.08,63.96,6572500
199589,2016-09-26,ASC,64.0,65.0,63.8,64.62,1375000
200184,2016-09-27,ASC,64.6,66.0,64.35,64.41,1761500
200780,2016-09-28,ASC,64.8,65.25,63.25,63.69,1188000
201392,2016-09-29,ASC,63.16,64.5,62.5,62.74,686500
201985,2016-09-30,ASC,62.8,64.0,62.32,63.79,395500
202603,2016-10-03,ASC,64.5,64.5,63.11,63.98,664000
203169,2016-10-04,ASC,63.51,64.2,63.4,63.86,292000
203739,2016-10-05,ASC,64.21,67.05,63.8,67.01,3972500
204313,2016-10-06,ASC,67.43,67.44,65.9,66.01,473000
204879,2016-10-07,ASC,66.5,67.65,66.4,66.97,731500
205450,2016-10-10,ASC,67.0,67.3,66.04,66.71,451000
206025,2016-10-13,ASC,67.0,67.14,65.5,66.65,703500
206588,2016-10-14,ASC,65.71,67.0,65.71,66.57,319500
207157,2016-10-17,ASC,66.98,66.98,63.49,63.62,1634000
207721,2016-10-18,ASC,55.03,55.89,54.51,54.93,451500
208278,2016-10-19,ASC,54.77,54.99,54.01,54.31,96000
208848,2016-10-20,ASC,54.99,57.02,54.99,56.5,2108000
209401,2016-10-21,ASC,55.75,56.4,55.5,55.69,153000
209955,2016-10-24,ASC,55.19,55.3,53.5,53.75,296500
210533,2016-10-25,ASC,53.5,53.5,51.1,52.52,308500
211115,2016-10-26,ASC,52.56,53.2,51.53,51.94,801000
211707,2016-10-27,ASC,52.0,52.0,49.52,49.91,268000
212288,2016-10-28,ASC,49.95,51.88,47.42,47.87,3143500
212866,2016-10-31,ASC,47.25,50.24,47.25,49.63,814500
213429,2016-11-01,ASC,49.2,52.11,49.11,51.86,1654500
213994,2016-11-02,ASC,52.9,54.1,52.03,53.59,913000
214550,2016-11-03,ASC,53.05,53.19,52.33,52.58,166000
215105,2016-11-07,ASC,51.6,52.3,51.6,51.93,142000
215668,2016-11-08,ASC,51.9,52.01,51.01,51.34,132000
216217,2016-11-09,ASC,50.81,53.59,49.15,53.1,333000
216779,2016-11-10,ASC,53.1,53.5,52.5,53.16,318000
217337,2016-11-11,ASC,52.1,52.45,51.52,52.03,345000
217888,2016-11-14,ASC,51.8,52.26,50.35,51.49,228500
218423,2016-11-15,ASC,51.74,51.74,51.0,51.25,93500
218957,2016-11-15,ASC,51.74,51.74,51.0,51.25,93500
219507,2016-11-16,ASC,51.74,51.89,51.22,51.6,249500
220053,2016-11-17,ASC,51.9,52.0,51.01,51.53,148500
220601,2016-11-18,ASC,51.5,51.5,50.71,50.83,234000
221133,2016-11-21,ASC,51.0,51.0,50.0,50.06,215000
221725,2016-11-22,ASC,50.16,52.56,50.15,51.11,798000
222322,2016-11-23,ASC,51.1,51.7,50.9,51.15,410500
222922,2016-11-24,ASC,51.49,53.47,51.01,52.88,1622000
223508,2016-11-25,ASC,53.0,53.41,52.1,52.29,542500
224115,2016-11-28,ASC,52.45,53.7,52.0,53.39,816000
224671,2016-11-29,ASC,53.25,54.65,53.01,54.22,1040500
225219,2016-11-30,ASC,54.08,55.1,54.0,54.18,823500
225775,2016-12-01,ASC,54.55,54.9,54.0,54.1,604000
226326,2016-12-02,ASC,54.01,55.35,54.0,54.65,683000
226869,2016-12-05,ASC,54.9,55.45,54.33,54.97,1218000
227427,2016-12-06,ASC,55.0,57.2,54.7,56.42,1589000
227976,2016-12-07,ASC,56.9,58.79,55.51,57.5,1375500
228516,2016-12-08,ASC,57.0,57.35,56.4,56.7,379500
229060,2016-12-09,ASC,55.75,57.5,55.75,57.0,426500
229611,2016-12-13,ASC,57.0,57.5,56.0,56.86,593000
230157,2016-12-14,ASC,56.7,56.95,55.75,56.27,554000
230705,2016-12-15,ASC,55.51,56.25,54.9,55.11,855000
231241,2016-12-16,ASC,55.0,55.0,54.01,54.29,254000
231780,2016-12-19,ASC,54.39,54.79,53.9,54.57,1122500
232342,2016-12-20,ASC,54.84,55.2,54.49,54.88,380000
232880,2016-12-21,ASC,55.1,57.62,54.5,57.26,4289000
233420,2016-12-22,ASC,57.5,58.64,56.24,56.8,831000
233944,2016-12-23,ASC,56.89,56.89,56.0,56.5,357000
234461,2016-12-26,ASC,56.5,58.99,56.0,58.65,1798500
235028,2016-12-27,ASC,58.5,60.5,58.5,60.05,1437500
235604,2016-12-28,ASC,60.0,60.5,59.07,59.18,547000
236194,2016-12-29,ASC,59.16,59.44,58.1,58.32,208500
236773,2016-12-30,ASC,58.51,58.7,57.0,57.4,265000
237355,2017-06-01,ASC,45.6,45.6,43.25,44.2,170500
237831,2017-06-02,ASC,43.5,43.5,42.13,42.94,227000
238338,2017-06-05,ASC,43.0,44.2,42.0,43.99,593500
238825,2017-06-06,ASC,44.95,44.97,43.71,43.99,61500
239309,2017-06-07,ASC,44.0,44.44,43.51,43.84,225500
239801,2017-06-08,ASC,44.0,44.39,43.5,43.98,85000
240272,2017-06-09,ASC,44.0,44.15,43.65,43.67,665000
240771,2017-06-12,ASC,43.03,43.03,41.49,41.49,259500
241266,2017-06-13,ASC,42.0,42.9,40.75,41.16,597000
241745,2017-06-14,ASC,41.99,41.99,40.6,40.96,109500
242208,2017-06-15,ASC,40.75,41.0,40.03,40.85,1383000
242649,2017-06-16,ASC,41.55,41.55,40.75,40.92,40500
243120,2017-06-19,ASC,40.75,40.8,40.0,40.07,67000
243619,2017-06-20,ASC,40.5,40.5,38.07,38.07,193000
244118,2017-06-21,ASC,37.5,39.97,36.85,39.78,327500
244619,2017-06-22,ASC,39.5,40.63,39.5,40.18,76000
245096,2017-06-29,ASC,40.25,40.25,38.75,38.78,85000
245609,2017-06-30,ASC,39.0,40.5,39.0,40.11,174000
246110,2017-06-02,ASC,43.5,43.5,42.13,42.94,227000
246617,2017-06-05,ASC,43.0,44.2,42.0,43.99,593500
247104,2017-06-06,ASC,44.95,44.97,43.71,43.99,61500
247588,2017-06-07,ASC,44.0,44.44,43.51,43.84,225500
248080,2017-06-08,ASC,44.0,44.39,43.5,43.98,85000
248551,2017-06-09,ASC,44.0,44.15,43.65,43.67,665000
249050,2017-06-12,ASC,43.03,43.03,41.49,41.49,259500
249545,2017-06-13,ASC,42.0,42.9,40.75,41.16,597000
250024,2017-06-14,ASC,41.99,41.99,40.6,40.96,109500
250487,2017-06-15,ASC,40.75,41.0,40.03,40.85,1383000
250928,2017-06-16,ASC,41.55,41.55,40.75,40.92,40500
251399,2017-06-19,ASC,40.75,40.8,40.0,40.07,67000
251898,2017-06-20,ASC,40.5,40.5,38.07,38.07,193000
252397,2017-06-21,ASC,37.5,39.97,36.85,39.78,327500
252898,2017-06-22,ASC,39.5,40.63,39.5,40.18,76000
253375,2017-06-29,ASC,40.25,40.25,38.75,38.78,85000
253888,2017-06-30,ASC,39.0,40.5,39.0,40.11,174000
254425,2017-02-01,ASC,54.15,54.5,53.0,53.41,1144000
254960,2017-02-02,ASC,53.88,53.88,50.74,51.11,1989500
255485,2017-02-03,ASC,51.15,51.4,49.5,50.92,1055500
256021,2017-02-06,ASC,51.11,51.8,50.82,50.97,651500
256547,2017-02-07,ASC,51.0,52.85,51.0,52.45,909500
257081,2017-02-08,ASC,52.51,52.52,50.81,51.08,514500
257625,2017-02-09,ASC,51.88,51.88,50.01,50.2,407000
258158,2017-02-10,ASC,50.68,50.8,49.91,50.22,431500
258703,2017-02-13,ASC,50.55,51.0,50.0,50.07,286000
259223,2017-02-14,ASC,50.1,50.4,49.8,50.05,308500
259744,2017-02-15,ASC,52.55,52.55,52.55,52.55,711000
260273,2017-02-16,ASC,53.5,53.5,51.55,51.65,1042500
260794,2017-02-17,ASC,51.01,51.95,50.5,50.69,544500
261335,2017-02-20,ASC,50.5,51.0,48.5,48.9,557500
261896,2017-02-21,ASC,48.66,49.99,48.5,49.15,310000
262467,2017-02-22,ASC,48.91,49.4,47.75,48.56,550000
263023,2017-02-23,ASC,48.01,48.93,47.1,47.48,625000
263578,2017-02-24,ASC,46.86,47.3,46.02,46.2,408000
264131,2017-02-27,ASC,46.25,46.5,45.5,45.58,147000
264648,2017-02-28,ASC,46.0,46.0,43.55,44.76,332500
265164,2017-03-01,ASC,44.99,45.89,44.5,44.8,605500
265692,2017-03-02,ASC,45.19,45.7,45.0,45.22,1071500
266202,2017-03-03,ASC,45.69,47.0,45.3,46.0,1091500
266704,2017-03-06,ASC,46.25,46.88,44.91,45.09,653500
267211,2017-03-07,ASC,45.49,46.25,44.25,45.5,1935000
267720,2017-03-08,ASC,46.0,47.77,45.99,47.77,1070000
268237,2017-03-09,ASC,48.01,49.84,48.0,48.99,3169500
268733,2017-03-10,ASC,48.98,50.24,48.45,49.47,935500
269241,2017-03-13,ASC,49.5,49.5,47.85,48.5,520500
