,Date,Symbol,Open,High,Low,Close,Volume
38,2015-01-01,ABL,113.25,113.9,112.51,113.55,283800
533,2015-01-02,ABL,113.0,115.0,113.0,114.03,508800
1065,2015-01-05,ABL,114.15,114.5,113.6,114.01,384200
1577,2015-01-06,ABL,113.8,114.75,113.5,113.67,458500
2089,2015-01-07,ABL,113.55,114.29,113.1,113.6,240400
2600,2015-01-08,ABL,113.99,113.99,112.85,113.05,354200
3118,2015-01-09,ABL,113.0,114.0,113.0,113.19,686100
3632,2015-01-12,ABL,113.9,114.8,113.4,114.22,628900
4161,2015-01-13,ABL,114.14,114.7,113.75,113.9,237000
4705,2015-01-14,ABL,114.0,114.15,113.5,113.73,447500
5248,2015-01-15,ABL,114.0,114.4,113.51,114.04,227900
5799,2015-01-16,ABL,114.0,115.0,114.0,114.8,439800
6329,2015-01-19,ABL,115.05,115.9,114.51,114.83,538500
6865,2015-01-20,ABL,114.7,115.0,114.0,114.9,479500
7397,2015-01-21,ABL,114.89,115.35,114.7,114.98,467800
7931,2015-01-22,ABL,115.02,115.97,113.0,113.71,1048700
8451,2015-01-23,ABL,113.94,114.49,113.02,113.35,163300
8961,2015-01-26,ABL,113.74,115.0,113.4,113.62,4740000
9522,2015-01-27,ABL,113.99,114.0,113.02,113.09,601400
10078,2015-01-28,ABL,113.02,114.0,113.01,113.46,128600
10627,2015-01-29,ABL,113.55,114.3,113.55,113.95,108200
11172,2015-01-30,ABL,114.0,114.79,113.9,114.37,648700
11718,2015-02-02,ABL,114.51,115.4,113.2,113.88,636700
12233,2015-02-03,ABL,114.15,114.49,113.52,113.79,223400
12752,2015-02-04,ABL,113.8,114.0,113.1,113.29,153300
13273,2015-02-06,ABL,113.5,113.7,112.91,113.09,157800
13774,2015-02-09,ABL,113.51,113.85,111.0,112.55,653300
14276,2015-02-10,ABL,112.56,113.98,109.0,109.69,1257800
14783,2015-02-11,ABL,109.5,110.0,108.0,108.22,551900
15293,2015-02-12,ABL,107.5,109.0,106.5,107.21,1777900
15799,2015-02-13,ABL,107.99,110.45,107.99,109.87,361200
16303,2015-02-16,ABL,109.2,109.5,107.0,108.01,151700
16793,2015-02-17,ABL,108.0,108.6,107.0,108.05,201200
17294,2015-02-18,ABL,108.0,108.92,107.25,108.17,127800
17792,2015-02-19,ABL,107.5,109.0,107.5,108.84,60100
18295,2015-02-20,ABL,108.05,109.88,108.05,109.0,368500
18788,2015-02-23,ABL,108.3,109.55,108.3,109.29,1336500
19317,2015-02-24,ABL,109.8,110.05,109.0,109.04,598800
19857,2015-02-25,ABL,109.0,110.0,108.9,109.82,94000
20402,2015-02-26,ABL,109.51,109.51,108.21,108.61,31500
20944,2015-02-27,ABL,108.15,108.74,107.99,108.5,32900
21476,2015-03-02,ABL,108.5,108.5,107.1,108.0,49400
21980,2015-03-03,ABL,108.65,108.7,107.0,107.75,366800
22480,2015-03-04,ABL,107.51,108.0,107.5,107.52,1055100
22984,2015-03-05,ABL,107.02,107.54,107.0,107.05,14400
23468,2015-03-06,ABL,107.01,108.0,106.25,106.47,1293700
23940,2015-03-09,ABL,106.0,106.0,103.0,103.39,239500
24419,2015-03-10,ABL,103.0,104.0,102.0,102.14,35900
24908,2015-03-11,ABL,101.01,103.0,100.05,102.01,2043600
25391,2015-03-12,ABL,103.4,103.5,102.5,102.86,88500
25879,2015-03-13,ABL,103.49,103.85,102.1,102.95,578400
26361,2015-03-16,ABL,102.55,104.0,102.01,103.61,521000
26841,2015-03-17,ABL,103.27,104.25,103.01,104.0,33900
27322,2015-03-18,ABL,104.89,104.89,100.01,100.31,104700
27821,2015-03-19,ABL,100.05,100.05,98.0,98.97,15000
28300,2015-03-20,ABL,99.0,99.7,98.0,98.1,382500
28769,2015-03-24,ABL,99.29,100.0,98.5,99.58,47300
29277,2015-03-25,ABL,99.5,100.0,98.05,98.09,138300
