,Date,Symbol,Open,High,Low,Close,Volume
274,2015-01-01,ARPL,572.0,584.0,572.0,578.21,19200
801,2015-01-02,ARPL,572.15,582.0,571.0,575.48,19400
1318,2015-01-05,ARPL,575.9,599.0,575.9,586.72,38850
1826,2015-01-06,ARPL,587.0,616.05,580.01,615.59,60350
2345,2015-01-07,ARPL,623.0,633.5,610.0,616.06,63250
2857,2015-01-08,ARPL,616.0,618.5,606.0,608.19,19400
3371,2015-01-09,ARPL,616.0,617.89,601.0,602.82,23250
3896,2015-01-12,ARPL,608.8,615.5,601.01,603.28,9250
4435,2015-01-13,ARPL,596.0,631.0,596.0,628.64,32850
4980,2015-01-14,ARPL,640.0,644.9,627.85,628.61,36700
5527,2015-01-15,ARPL,620.01,654.0,620.01,636.69,74100
6064,2015-01-16,ARPL,644.0,647.0,631.0,636.55,30150
6598,2015-01-19,ARPL,639.8,642.0,632.0,633.78,21650
7134,2015-01-20,ARPL,630.0,630.0,616.0,618.21,13850
7671,2015-01-21,ARPL,620.0,625.9,601.05,603.83,31000
8192,2015-01-22,ARPL,595.0,606.0,592.0,594.03,36400
8701,2015-01-23,ARPL,591.01,604.0,591.0,597.66,6550
9224,2015-01-26,ARPL,603.0,612.55,598.0,599.8,15900
9780,2015-01-27,ARPL,600.0,629.79,596.0,627.56,65600
10338,2015-01-28,ARPL,628.05,649.9,628.0,630.05,43000
10888,2015-01-29,ARPL,635.0,647.0,598.55,598.55,38250
11423,2015-01-30,ARPL,570.0,580.0,568.63,569.07,128900
11982,2015-02-02,ARPL,575.0,597.52,569.0,597.43,69850
12499,2015-02-03,ARPL,598.25,615.12,596.5,605.0,104050
13017,2015-02-04,ARPL,607.26,609.9,600.05,601.19,32500
13521,2015-02-06,ARPL,605.0,605.0,580.0,587.1,55700
14030,2015-02-09,ARPL,585.01,593.99,580.0,587.15,12750
14529,2015-02-10,ARPL,586.0,586.5,575.25,578.53,12750
15039,2015-02-11,ARPL,575.01,581.79,575.01,579.99,16350
15553,2015-02-12,ARPL,573.01,584.84,573.01,580.08,31600
16050,2015-02-13,ARPL,580.0,585.0,576.25,579.56,10400
16548,2015-02-16,ARPL,580.0,580.02,577.0,580.01,6450
17043,2015-02-17,ARPL,581.0,581.06,580.0,580.01,2250
17542,2015-02-18,ARPL,584.9,584.9,576.0,579.75,5550
18048,2015-02-19,ARPL,579.5,579.5,569.0,571.21,9800
18537,2015-02-20,ARPL,571.0,571.05,568.0,568.31,3800
19025,2015-02-23,ARPL,570.0,574.0,570.0,571.0,3250
19574,2015-02-24,ARPL,570.0,573.0,568.01,572.0,7450
20109,2015-02-25,ARPL,570.05,570.75,565.0,568.18,2150
20661,2015-02-26,ARPL,566.0,566.0,553.0,555.43,4400
21190,2015-02-27,ARPL,542.0,547.99,528.0,531.09,10100
21726,2015-03-02,ARPL,530.0,530.0,504.54,504.54,7100
22231,2015-03-03,ARPL,495.0,508.9,479.32,506.16,40450
22733,2015-03-04,ARPL,509.98,518.0,505.82,512.69,17450
23225,2015-03-05,ARPL,515.0,520.75,510.0,517.33,2350
23696,2015-03-06,ARPL,520.0,520.0,505.0,514.34,4150
24169,2015-03-09,ARPL,500.0,514.0,496.0,510.4,6600
24656,2015-03-10,ARPL,500.0,500.0,484.88,485.0,7150
25140,2015-03-11,ARPL,474.0,487.0,469.0,482.04,26400
25628,2015-03-12,ARPL,506.0,506.0,487.0,494.69,9450
26110,2015-03-13,ARPL,503.0,518.0,502.85,513.77,6950
26593,2015-03-16,ARPL,528.0,528.0,505.0,515.65,9750
27065,2015-03-17,ARPL,515.0,523.0,510.0,519.51,26700
27568,2015-03-18,ARPL,516.0,521.0,493.54,500.33,13350
28057,2015-03-19,ARPL,496.0,502.0,496.0,498.1,1350
28524,2015-03-20,ARPL,500.0,519.9,498.0,508.8,4200
28997,2015-03-24,ARPL,514.0,514.0,501.0,504.81,6500
29503,2015-03-25,ARPL,502.0,506.0,500.1,502.89,2000
