,Date,Symbol,Open,High,Low,Close,Volume
21,2015-01-01,AHCL,27.75,28.39,27.5,28.24,690000
515,2015-01-02,AHCL,27.52,29.65,26.9,29.65,1264500
1047,2015-01-05,AHCL,29.84,30.19,29.5,29.61,1810000
1560,2015-01-06,AHCL,29.06,29.6,28.55,28.92,448000
2071,2015-01-07,AHCL,28.61,29.1,28.5,28.53,395000
2582,2015-01-08,AHCL,28.51,28.7,27.7,27.94,216500
3102,2015-01-09,AHCL,27.5,28.7,27.5,28.43,265000
3616,2015-01-12,AHCL,28.8,28.99,27.52,27.96,466000
4146,2015-01-13,AHCL,28.0,29.35,27.9,29.35,1087000
4687,2015-01-14,AHCL,30.4,30.81,29.95,30.5,2254500
5229,2015-01-15,AHCL,30.69,32.02,30.55,32.02,1730000
5782,2015-01-16,AHCL,32.4,32.79,31.5,31.6,705500
6313,2015-01-19,AHCL,31.97,32.75,31.82,31.97,665500
6847,2015-01-20,AHCL,32.0,32.39,31.21,31.35,353000
7379,2015-01-21,AHCL,31.02,31.7,30.57,31.17,406500
7915,2015-01-22,AHCL,31.1,31.23,30.37,30.48,232500
8439,2015-01-23,AHCL,30.51,31.0,30.0,30.24,165000
8943,2015-01-26,AHCL,31.69,31.75,30.06,31.2,1001000
9505,2015-01-27,AHCL,31.5,32.76,30.89,32.49,5671000
10062,2015-01-28,AHCL,32.11,34.11,32.11,34.02,3877000
10609,2015-01-29,AHCL,34.05,34.99,33.73,34.4,2548500
11157,2015-01-30,AHCL,35.6,36.12,35.35,35.97,6103500
11700,2015-02-02,AHCL,37.76,37.76,37.25,37.74,4779000
12219,2015-02-03,AHCL,37.8,38.9,36.1,37.02,3741000
12735,2015-02-04,AHCL,37.15,38.39,36.4,37.43,2188500
13257,2015-02-06,AHCL,37.6,38.15,37.0,37.13,745500
13758,2015-02-09,AHCL,37.49,37.5,35.52,35.7,817500
14261,2015-02-10,AHCL,35.5,35.98,33.92,35.0,1935000
14766,2015-02-11,AHCL,35.48,35.68,34.0,34.96,946000
15278,2015-02-12,AHCL,35.0,36.0,34.01,35.73,6247000
