,Date,Symbol,Open,High,Low,Close,Volume
625,2015-01-02,ARUJ,17.85,17.94,17.85,17.9,1000
1150,2015-01-05,ARUJ,18.7,18.79,18.7,18.79,1000
1652,2015-01-06,ARUJ,18.0,18.24,18.0,18.24,1000
2678,2015-01-08,ARUJ,17.45,17.45,17.45,17.45,1000
4252,2015-01-13,ARUJ,16.45,18.24,16.45,18.24,3000
4799,2015-01-14,ARUJ,18.0,18.0,18.0,18.0,1000
5343,2015-01-15,ARUJ,17.95,18.0,17.0,17.0,6000
5889,2015-01-16,ARUJ,17.75,17.75,17.75,17.75,16000
6415,2015-01-19,ARUJ,17.75,18.0,17.75,17.75,9000
6953,2015-01-20,ARUJ,18.0,18.0,18.0,18.0,1000
7490,2015-01-21,ARUJ,18.19,18.19,17.77,17.77,5000
8016,2015-01-22,ARUJ,17.0,17.0,17.0,17.0,4000
8532,2015-01-23,ARUJ,17.0,17.0,17.0,17.0,1000
9044,2015-01-26,ARUJ,17.9,17.9,17.52,17.52,1500
9605,2015-01-27,ARUJ,17.95,18.52,17.95,18.52,14000
10159,2015-01-28,ARUJ,17.95,18.0,17.95,18.0,2000
10713,2015-01-29,ARUJ,17.4,17.4,17.4,17.4,1500
11253,2015-01-30,ARUJ,0.0,17.5,17.5,17.5,0
11800,2015-02-02,ARUJ,17.5,17.5,17.5,17.5,4000
12318,2015-02-03,ARUJ,17.5,17.5,17.5,17.5,3500
13852,2015-02-09,ARUJ,18.4,18.4,18.4,18.4,1000
14354,2015-02-10,ARUJ,17.5,17.5,17.5,17.5,1000
14860,2015-02-11,ARUJ,18.4,18.4,18.4,18.4,1000
16373,2015-02-16,ARUJ,18.4,18.5,18.4,18.5,2000
17874,2015-02-19,ARUJ,18.49,18.49,18.49,18.49,3000
19401,2015-02-24,ARUJ,17.49,17.49,17.49,17.49,1000
19943,2015-02-25,ARUJ,16.75,16.75,16.5,16.5,2000
20489,2015-02-26,ARUJ,15.75,15.75,15.75,15.75,500
21025,2015-02-27,ARUJ,16.75,16.75,16.75,16.75,1000
22060,2015-03-03,ARUJ,17.74,17.74,16.01,16.01,2000
22566,2015-03-04,ARUJ,16.99,17.01,16.99,17.01,7000
23063,2015-03-05,ARUJ,16.25,17.25,16.25,17.25,1500
24496,2015-03-10,ARUJ,17.25,17.25,17.25,17.25,500
24978,2015-03-11,ARUJ,17.0,17.99,17.0,17.24,4500
25463,2015-03-12,ARUJ,17.0,17.0,16.5,16.5,1500
26909,2015-03-17,ARUJ,15.75,17.5,15.75,17.5,5500
27898,2015-03-19,ARUJ,16.5,16.5,16.5,16.5,4500
28845,2015-03-24,ARUJ,0.0,17.49,17.49,16.5,4000
30385,2015-03-27,ARUJ,16.0,17.4,16.0,16.0,5000
30925,2015-03-30,ARUJ,0.0,15.1244,15.1244,15.1244,0
31443,2015-03-31,ARUJ,14.13,14.5,14.13,14.5,1500
31950,2015-04-01,ARUJ,15.5,15.5,15.01,15.01,6000
32452,2015-04-02,ARUJ,14.01,14.01,14.01,14.01,500
32964,2015-04-03,ARUJ,14.1,14.1,14.1,14.1,1000
33460,2015-04-06,ARUJ,14.02,14.02,14.02,14.02,1000
33969,2015-04-07,ARUJ,15.0,15.0,15.0,15.0,500
34455,2015-04-08,ARUJ,15.89,15.89,15.89,15.89,500
34946,2015-04-09,ARUJ,16.75,16.75,16.75,16.75,500
35442,2015-04-10,ARUJ,17.4,17.4,17.4,17.4,500
36918,2015-04-15,ARUJ,16.55,16.55,16.55,16.55,500
37918,2015-04-17,ARUJ,16.98,16.98,16.98,16.98,500
40550,2015-04-24,ARUJ,16.25,16.25,16.0,16.13,2000
41083,2015-04-27,ARUJ,16.0,16.0,16.0,16.0,3000
41585,2015-04-28,ARUJ,15.6,16.9,15.5,16.9,5500
42112,2015-04-29,ARUJ,16.05,16.05,16.02,16.02,3000
42617,2015-04-30,ARUJ,17.0,17.0,16.11,16.88,5000
43115,2015-05-04,ARUJ,16.05,16.05,16.05,16.05,500
43610,2015-05-05,ARUJ,16.1,16.99,16.1,16.99,9000
44116,2015-05-06,ARUJ,16.5,16.5,16.5,16.5,1500
44617,2015-05-07,ARUJ,16.05,16.05,16.02,16.03,2000
45591,2015-05-11,ARUJ,16.05,16.05,16.0,16.0,2000
46072,2015-05-12,ARUJ,16.0,16.0,16.0,16.0,500
46546,2015-05-13,ARUJ,16.99,16.99,16.99,16.99,500
47504,2015-05-15,ARUJ,17.98,17.98,17.98,17.98,500
47986,2015-05-18,ARUJ,18.98,18.98,18.98,18.98,500
48936,2015-05-21,ARUJ,17.0,17.0,17.0,17.0,1000
50393,2015-05-27,ARUJ,16.0,16.0,16.0,16.0,500
50923,2015-05-28,ARUJ,16.0,16.0,16.0,16.0,2500
52517,2015-06-02,ARUJ,17.0,17.0,17.0,17.0,1000
56706,2015-06-15,ARUJ,17.5,17.5,17.5,17.5,500
57761,2015-06-17,ARUJ,17.98,18.5,17.98,18.0,11000
58299,2015-06-18,ARUJ,18.9,19.0,18.9,19.0,3000
68609,2015-07-16,ARUJ,19.9,19.9,18.0,19.4,23000
