,Date,Symbol,Open,High,Low,Close,Volume
40,2015-01-01,AKBL,23.19,23.45,23.01,23.22,1084000
535,2015-01-02,AKBL,23.2,23.5,22.93,22.97,2130000
1067,2015-01-05,AKBL,23.0,23.46,22.94,23.32,3194000
1579,2015-01-06,AKBL,23.4,23.43,23.0,23.06,1310500
2091,2015-01-07,AKBL,23.06,23.39,23.06,23.2,727500
2602,2015-01-08,AKBL,23.2,23.35,23.08,23.27,791000
3120,2015-01-09,AKBL,23.35,24.43,23.35,24.2,8910000
3634,2015-01-12,AKBL,24.1,24.7,24.1,24.46,3595000
4163,2015-01-13,AKBL,24.64,24.64,23.86,23.98,2393500
4707,2015-01-14,AKBL,24.01,24.05,23.58,23.88,2575500
5250,2015-01-15,AKBL,24.0,24.25,23.8,23.98,1923500
5801,2015-01-16,AKBL,24.2,24.2,24.0,24.11,1019500
6331,2015-01-19,AKBL,24.12,24.41,24.12,24.36,1894000
6867,2015-01-20,AKBL,24.4,24.4,24.04,24.39,1306000
7399,2015-01-21,AKBL,24.37,24.75,24.35,24.59,3475500
7933,2015-01-22,AKBL,24.4,24.73,24.38,24.42,2566500
8453,2015-01-23,AKBL,24.35,24.62,24.15,24.28,1856500
8963,2015-01-26,AKBL,24.16,24.95,24.0,24.62,4637500
9524,2015-01-27,AKBL,24.74,24.74,24.4,24.42,1814000
10080,2015-01-28,AKBL,24.31,24.5,24.15,24.2,604000
10629,2015-01-29,AKBL,24.2,24.52,24.0,24.04,3519000
11174,2015-01-30,AKBL,24.11,24.88,24.0,24.53,6103000
11720,2015-02-02,AKBL,24.56,24.9,24.41,24.58,1857000
12235,2015-02-03,AKBL,24.55,25.19,24.5,25.03,3629500
12754,2015-02-04,AKBL,25.19,25.45,25.1,25.2,5458000
13275,2015-02-06,AKBL,25.39,25.45,25.2,25.3,2124000
13776,2015-02-09,AKBL,25.4,25.54,25.15,25.38,3112500
14278,2015-02-10,AKBL,25.2,25.44,24.81,24.94,1885000
14785,2015-02-11,AKBL,24.86,24.94,24.2,24.39,4005000
15295,2015-02-12,AKBL,24.55,24.58,23.9,24.49,2918000
15801,2015-02-13,AKBL,24.2,24.9,23.7,23.93,11033500
16305,2015-02-16,AKBL,24.0,24.1,23.26,23.35,2189000
16795,2015-02-17,AKBL,23.48,23.49,22.7,22.79,4402500
17296,2015-02-18,AKBL,22.71,23.0,22.62,22.7,1329000
17794,2015-02-19,AKBL,22.61,23.05,22.56,22.92,1133500
18297,2015-02-20,AKBL,23.0,23.1,22.8,22.9,684500
18790,2015-02-23,AKBL,23.0,23.0,22.81,22.86,593500
19319,2015-02-24,AKBL,22.8,23.0,22.8,22.83,1354500
19859,2015-02-25,AKBL,22.83,22.97,22.65,22.7,624000
