,Date,Symbol,Open,High,Low,Close,Volume
329046,2020-07-01,PREMA,17.16,17.52,17.16,17.5,123000
338736,2020-07-01,PREMA,17.16,17.52,17.16,17.5,123000
448052,2018-07-30,PREMA,22.05,22.05,22.05,22.05,202000
448556,2018-07-31,PREMA,23.15,23.15,23.15,23.15,3500
449062,2018-08-01,PREMA,24.3,24.3,24.3,24.3,699000
449561,2018-08-02,PREMA,25.51,25.51,24.7,25.51,3159500
450057,2018-08-03,PREMA,25.79,26.68,24.85,25.24,2945000
450550,2018-08-06,PREMA,25.5,25.5,24.55,24.83,475500
451045,2018-08-07,PREMA,24.72,26.0,24.57,25.8,1575500
451533,2018-08-08,PREMA,26.23,27.09,25.8,27.09,2061500
452050,2018-08-09,PREMA,27.95,28.44,27.5,27.92,5296000
452557,2018-08-10,PREMA,28.4,28.58,26.6,27.65,4611000
453051,2018-08-13,PREMA,27.55,29.03,27.55,29.03,3086000
453533,2018-08-15,PREMA,29.5,30.2,28.3,28.77,3385500
454024,2018-08-16,PREMA,28.5,28.95,27.34,28.55,2765000
454522,2018-08-17,PREMA,29.0,29.95,28.8,29.49,5540000
455000,2018-08-20,PREMA,30.0,30.96,29.12,29.97,6795000
455469,2018-08-24,PREMA,31.0,31.46,30.25,31.42,7223500
455962,2018-08-27,PREMA,32.0,32.09,30.45,30.83,4583500
456514,2018-08-28,PREMA,30.6,31.0,29.75,30.05,2955500
457077,2018-08-29,PREMA,30.1,31.55,29.8,31.55,3207000
457622,2018-08-30,PREMA,33.12,33.12,31.7,33.04,7167500
458169,2018-08-31,PREMA,33.25,33.6,32.6,32.76,4278500
458706,2018-09-04,PREMA,31.74,31.9,29.94,30.02,3243500
459194,2018-09-05,PREMA,30.19,30.8,29.3,29.61,1887000
459685,2018-09-06,PREMA,29.25,30.0,28.13,28.13,2079500
460183,2018-09-07,PREMA,27.75,28.34,26.73,27.04,1387000
460662,2018-09-10,PREMA,26.8,27.5,25.8,27.26,2257500
461146,2018-09-11,PREMA,27.35,28.62,27.11,28.62,4158000
461622,2018-09-12,PREMA,29.0,29.35,27.27,27.72,2783500
462118,2018-09-13,PREMA,27.41,29.1,27.25,28.57,2724000
462602,2018-09-14,PREMA,28.7,29.04,27.86,28.1,1151000
463080,2018-09-17,PREMA,28.3,28.6,26.95,27.25,863500
463576,2018-09-18,PREMA,26.95,28.2,26.62,27.64,1207500
464042,2018-09-19,PREMA,28.0,28.0,27.35,27.4,478000
464534,2018-09-24,PREMA,27.44,27.8,26.6,26.72,310000
465075,2018-09-25,PREMA,26.55,27.35,26.15,26.31,504500
465611,2018-09-26,PREMA,26.32,26.85,26.15,26.43,356500
466159,2018-09-27,PREMA,26.77,26.77,25.11,25.94,625000
466704,2018-09-28,PREMA,25.51,25.9,25.1,25.2,539500
467245,2018-10-01,PREMA,25.49,25.65,24.75,25.2,760500
467714,2018-10-02,PREMA,25.48,25.49,24.2,24.37,873000
468195,2018-10-03,PREMA,24.2,24.4,23.99,24.29,381000
468679,2018-10-04,PREMA,24.02,24.8,23.8,24.08,562000
469161,2018-10-05,PREMA,24.44,24.44,22.88,23.03,333000
469668,2018-10-08,PREMA,23.54,23.54,21.88,21.88,870000
470183,2018-10-09,PREMA,21.8,22.35,20.79,20.79,2647000
470686,2018-10-10,PREMA,20.6,21.2,19.76,20.7,1166000
471165,2018-10-11,PREMA,20.87,20.99,20.0,20.18,693000
471655,2018-10-12,PREMA,20.0,20.0,19.18,19.18,339000
472148,2018-10-15,PREMA,18.5,19.66,18.25,19.02,1578000
472645,2018-10-16,PREMA,19.49,19.8,18.25,18.35,251500
473151,2018-10-17,PREMA,18.75,19.35,18.65,19.35,488000
473648,2018-10-18,PREMA,19.77,20.35,19.7,20.35,678500
474162,2018-10-19,PREMA,20.75,21.36,20.6,21.36,1437000
474673,2018-10-22,PREMA,21.92,22.42,21.9,22.39,1533500
475227,2018-10-23,PREMA,22.49,22.75,21.28,21.48,1106500
475823,2018-10-24,PREMA,22.55,22.55,22.5,22.55,392000
476406,2018-10-25,PREMA,23.67,23.67,23.1,23.67,1119500
476981,2018-10-26,PREMA,24.2,24.85,23.71,24.85,1260000
477577,2018-10-29,PREMA,25.74,26.09,23.61,23.82,2683500
478096,2018-10-30,PREMA,23.51,24.2,22.75,23.28,1234000
478615,2018-10-31,PREMA,22.85,24.3,22.8,23.77,579500
479129,2018-11-01,PREMA,23.63,24.5,23.63,24.06,473500
479631,2018-11-05,PREMA,23.41,24.0,22.95,23.19,363000
480118,2018-11-06,PREMA,23.0,23.27,22.1,22.28,419500
480625,2018-11-07,PREMA,22.89,23.15,22.5,23.0,365500
481115,2018-11-08,PREMA,23.18,23.18,22.5,22.54,121500
481621,2018-11-09,PREMA,22.6,22.9,22.4,22.65,117500
482117,2018-11-12,PREMA,22.8,23.0,22.05,22.15,464000
482615,2018-11-13,PREMA,21.76,22.09,21.75,21.93,158000
483126,2018-11-14,PREMA,21.9,22.87,21.9,22.38,283500
483643,2018-11-15,PREMA,22.38,23.1,22.25,22.48,542500
484152,2018-11-16,PREMA,22.88,22.88,22.36,22.58,249500
484640,2018-11-19,PREMA,22.7,23.7,22.6,23.7,893500
485153,2018-11-20,PREMA,24.19,24.47,23.6,23.78,1230000
485641,2018-11-22,PREMA,23.53,23.6,22.6,22.61,737500
486126,2018-11-23,PREMA,22.49,22.95,22.25,22.33,229000
486611,2018-11-26,PREMA,22.5,22.78,21.9,22.01,178500
487174,2018-11-27,PREMA,22.24,22.34,21.75,22.0,217500
487724,2018-11-28,PREMA,21.9,22.0,21.65,21.67,120500
488259,2018-11-29,PREMA,21.75,22.39,21.51,22.04,135500
488810,2018-11-30,PREMA,22.39,22.39,21.08,21.11,333000
489368,2018-12-03,PREMA,20.3,20.5,20.06,20.06,471000
489860,2018-12-04,PREMA,19.21,20.95,19.2,20.79,195000
490359,2018-12-05,PREMA,20.55,20.95,20.06,20.62,148000
490851,2018-12-06,PREMA,20.26,20.5,19.59,19.66,413500
491340,2018-12-07,PREMA,19.5,19.95,19.4,19.88,213000
491836,2018-12-10,PREMA,20.43,20.6,20.01,20.08,210000
492316,2018-12-11,PREMA,20.5,20.6,19.9,19.95,105500
492799,2018-12-12,PREMA,19.81,20.4,19.6,19.92,128000
493284,2018-12-13,PREMA,19.99,19.99,18.92,19.02,108500
493758,2018-12-14,PREMA,19.1,20.02,19.05,19.95,388500
494201,2018-12-17,PREMA,20.0,20.51,19.5,19.92,373500
494664,2018-12-18,PREMA,19.94,20.23,19.75,19.86,184000
495144,2018-12-19,PREMA,19.5,20.0,19.5,19.71,32000
495621,2018-12-20,PREMA,19.8,20.37,19.5,19.55,108000
496091,2018-12-21,PREMA,19.7,20.29,19.5,19.77,142000
496550,2018-12-24,PREMA,19.51,19.87,19.41,19.6,54500
497078,2018-12-26,PREMA,19.9,19.99,19.38,19.51,53000
497628,2018-12-27,PREMA,19.53,19.8,18.51,18.68,185500
498163,2018-12-28,PREMA,18.55,18.68,18.1,18.14,538000
498702,2018-12-31,PREMA,18.7,19.14,18.5,19.0,301000
499174,2019-01-01,PREMA,19.1,19.8,19.1,19.69,121500
499647,2019-01-02,PREMA,19.25,19.69,18.8,18.94,127000
500106,2019-01-03,PREMA,18.9,19.25,18.6,18.73,81500
500558,2019-01-04,PREMA,18.9,18.99,18.75,18.8,12500
501036,2019-01-07,PREMA,19.35,19.5,19.05,19.29,179500
501535,2019-01-08,PREMA,19.55,20.19,19.5,19.79,795000
502005,2019-01-09,PREMA,20.0,20.0,19.1,19.22,204500
502479,2019-01-10,PREMA,19.6,20.0,19.1,19.26,978500
502964,2019-01-11,PREMA,19.26,19.69,19.2,19.49,209000
503459,2019-01-14,PREMA,19.86,20.0,19.51,19.8,87000
503938,2019-01-15,PREMA,19.11,19.65,18.81,19.05,194500
504410,2019-01-16,PREMA,18.82,19.7,18.45,19.15,216500
504880,2019-01-17,PREMA,19.01,19.5,19.0,19.32,68000
505349,2019-01-18,PREMA,19.49,20.05,19.45,19.8,942500
505826,2019-01-21,PREMA,19.7,20.45,19.7,19.92,752500
506361,2019-01-22,PREMA,19.75,20.35,19.75,19.93,572500
506919,2019-01-23,PREMA,20.18,20.2,19.41,19.5,478500
507461,2019-01-24,PREMA,19.41,19.68,19.31,19.45,169000
507976,2019-01-25,PREMA,19.49,19.65,19.3,19.41,357500
508495,2019-01-28,PREMA,19.49,19.98,19.25,19.37,187000
508973,2019-01-29,PREMA,19.26,19.9,19.25,19.66,379000
509459,2019-01-30,PREMA,19.7,20.5,19.61,20.18,1216000
509956,2019-01-31,PREMA,20.4,20.75,20.18,20.34,711000
510442,2019-02-01,PREMA,20.3,20.8,20.0,20.49,539000
510948,2019-02-04,PREMA,20.5,21.24,20.31,20.79,1078000
511448,2019-02-06,PREMA,20.9,21.4,20.55,20.8,387000
511939,2019-02-07,PREMA,20.99,21.0,20.01,20.29,559000
