,Date,Symbol,Open,High,Low,Close,Volume
240,2015-01-01,ATBA,910.0,928.0,862.0,906.0,9650
761,2015-01-02,ATBA,865.05,930.0,865.05,902.26,8350
1280,2015-01-05,ATBA,890.0,890.01,880.0,880.0,700
1787,2015-01-06,ATBA,890.0,890.0,851.0,851.0,450
2307,2015-01-07,ATBA,860.0,860.0,856.5,856.5,350
2820,2015-01-08,ATBA,840.0,875.0,840.0,846.0,5150
3332,2015-01-09,ATBA,885.5,885.5,838.0,845.0,1850
3858,2015-01-12,ATBA,836.0,836.0,830.0,830.0,450
4396,2015-01-13,ATBA,811.0,830.0,811.0,830.0,1550
4941,2015-01-14,ATBA,811.0,835.0,810.0,832.44,5650
5488,2015-01-15,ATBA,830.0,835.0,822.0,835.0,900
6026,2015-01-16,ATBA,802.04,876.75,802.02,876.75,9550
6560,2015-01-19,ATBA,885.0,920.58,878.5,901.86,18750
7096,2015-01-20,ATBA,900.0,920.0,900.0,914.91,8300
7632,2015-01-21,ATBA,938.0,940.0,900.51,906.21,7650
8155,2015-01-22,ATBA,904.0,910.0,904.0,910.0,3500
8664,2015-01-23,ATBA,908.0,910.0,908.0,908.0,7550
9185,2015-01-26,ATBA,913.0,953.0,913.0,919.33,9250
9741,2015-01-27,ATBA,915.0,915.0,911.0,911.0,150
10299,2015-01-28,ATBA,888.03,910.0,866.0,907.46,3550
10849,2015-01-29,ATBA,877.11,877.11,877.11,877.11,50
11383,2015-01-30,ATBA,860.0,920.9,850.0,903.29,5350
12459,2015-02-03,ATBA,875.01,890.0,873.0,881.0,550
13991,2015-02-09,ATBA,845.99,878.97,845.99,862.48,200
14490,2015-02-10,ATBA,840.01,868.0,838.0,838.0,1400
14999,2015-02-11,ATBA,839.99,874.99,838.0,857.0,450
15514,2015-02-12,ATBA,828.0,828.0,820.0,827.01,550
16011,2015-02-13,ATBA,830.0,830.0,830.0,830.0,50
16507,2015-02-16,ATBA,805.0,805.0,800.0,800.85,1100
17002,2015-02-17,ATBA,808.0,810.0,785.0,796.67,750
17505,2015-02-18,ATBA,799.0,799.0,782.0,782.0,250
18009,2015-02-19,ATBA,788.0,810.0,785.0,799.9,2850
18499,2015-02-20,ATBA,794.0,805.0,794.0,797.7,300
18988,2015-02-23,ATBA,788.0,823.95,785.0,812.0,2950
19535,2015-02-24,ATBA,791.01,797.0,790.0,797.0,2250
20070,2015-02-25,ATBA,790.06,804.5,790.05,800.18,3000
20622,2015-02-26,ATBA,801.5,833.99,795.0,831.2,13300
21150,2015-02-27,ATBA,850.0,872.76,830.0,836.9,14950
21685,2015-03-02,ATBA,802.3,807.99,802.04,807.99,300
22191,2015-03-03,ATBA,780.12,819.0,767.6,781.08,3300
22692,2015-03-04,ATBA,785.01,785.16,785.0,785.08,300
23187,2015-03-05,ATBA,790.0,812.0,790.0,792.0,250
23658,2015-03-06,ATBA,782.0,782.0,782.0,782.0,200
24131,2015-03-09,ATBA,799.97,799.97,799.97,799.97,50
24617,2015-03-10,ATBA,780.0,801.0,759.98,770.29,2900
25101,2015-03-11,ATBA,751.51,751.51,731.78,731.78,6800
25587,2015-03-12,ATBA,699.0,734.0,699.0,732.0,450
26069,2015-03-13,ATBA,742.0,742.0,740.0,741.0,100
26554,2015-03-16,ATBA,750.0,750.0,711.0,712.85,1300
27025,2015-03-17,ATBA,709.0,748.0,708.5,724.19,3950
27529,2015-03-18,ATBA,706.0,727.0,696.06,727.0,300
29464,2015-03-25,ATBA,692.0,724.0,690.65,711.55,400
29977,2015-03-26,ATBA,690.0,706.0,680.0,693.75,650
30508,2015-03-27,ATBA,665.0,665.0,663.63,664.54,150
31061,2015-03-30,ATBA,631.5,645.0,631.32,637.04,10350
31568,2015-03-31,ATBA,645.0,668.89,644.0,668.89,7350
32072,2015-04-01,ATBA,650.0,693.92,650.0,693.92,1900
32581,2015-04-02,ATBA,703.32,724.3,703.32,715.54,200
33085,2015-04-03,ATBA,729.5,729.5,718.0,729.0,200
33588,2015-04-06,ATBA,720.0,739.99,720.0,739.99,100
34092,2015-04-07,ATBA,775.0,776.98,750.0,755.11,1500
34577,2015-04-08,ATBA,746.0,746.0,735.0,738.67,1300
35068,2015-04-09,ATBA,750.0,750.0,740.0,744.0,650
35575,2015-04-10,ATBA,725.0,750.0,725.0,750.0,500
36085,2015-04-13,ATBA,730.0,764.0,730.0,764.0,100
36556,2015-04-14,ATBA,745.0,775.96,725.8,755.0,950
37536,2015-04-16,ATBA,755.0,763.0,736.0,736.6,2100
38053,2015-04-17,ATBA,737.0,740.0,720.0,722.19,2200
38558,2015-04-20,ATBA,739.99,740.0,718.0,718.0,750
39081,2015-04-21,ATBA,703.5,734.45,700.0,710.0,1450
39617,2015-04-22,ATBA,701.15,710.0,700.0,710.0,1300
40144,2015-04-23,ATBA,700.01,700.01,686.0,700.0,800
40667,2015-04-24,ATBA,701.0,723.0,700.0,723.0,1350
41209,2015-04-27,ATBA,730.0,745.0,705.0,735.0,1950
41722,2015-04-28,ATBA,730.0,734.99,715.01,734.44,300
42241,2015-04-29,ATBA,711.5,733.0,699.0,704.0,1550
42739,2015-04-30,ATBA,680.0,720.0,676.0,690.26,2100
43236,2015-05-04,ATBA,708.0,708.0,708.0,708.0,200
43733,2015-05-05,ATBA,700.0,700.0,690.0,700.0,850
44743,2015-05-07,ATBA,699.0,699.0,671.56,690.0,800
45229,2015-05-08,ATBA,689.96,689.96,680.0,685.0,1350
45718,2015-05-11,ATBA,662.0,675.0,660.0,675.0,1400
46195,2015-05-12,ATBA,689.0,689.0,680.0,687.0,350
46666,2015-05-13,ATBA,678.0,680.0,678.0,680.0,250
47139,2015-05-14,ATBA,690.0,690.0,680.0,683.0,2400
47623,2015-05-15,ATBA,689.5,689.5,675.0,680.0,1550
48109,2015-05-18,ATBA,679.99,679.99,679.99,679.99,150
48585,2015-05-20,ATBA,677.0,684.99,677.0,684.99,100
49059,2015-05-21,ATBA,690.0,690.0,682.0,682.0,1150
50002,2015-05-25,ATBA,673.74,673.74,669.0,669.0,1250
50526,2015-05-27,ATBA,660.0,681.0,660.0,681.0,650
51049,2015-05-28,ATBA,670.0,680.0,646.95,654.68,27400
51576,2015-05-29,ATBA,677.0,677.0,660.0,660.0,2400
52135,2015-06-01,ATBA,663.0,666.0,660.0,666.0,1500
52651,2015-06-02,ATBA,675.0,675.0,662.0,662.63,900
53166,2015-06-03,ATBA,674.0,678.99,666.2,668.51,1100
53692,2015-06-04,ATBA,675.0,676.5,661.02,673.88,1350
54207,2015-06-05,ATBA,675.0,679.5,664.0,672.2,2350
54736,2015-06-08,ATBA,674.0,680.0,670.0,675.36,6100
55262,2015-06-09,ATBA,680.0,680.0,673.0,679.0,3800
55781,2015-06-10,ATBA,684.99,685.0,677.99,680.0,2800
56311,2015-06-12,ATBA,690.0,690.0,681.0,682.67,700
56848,2015-06-15,ATBA,687.99,690.0,682.01,686.09,25050
57368,2015-06-16,ATBA,688.0,690.0,688.0,689.55,1000
57901,2015-06-17,ATBA,686.0,687.87,680.0,687.87,6750
58438,2015-06-18,ATBA,689.99,690.0,689.0,690.0,500
58944,2015-06-19,ATBA,689.99,699.0,689.99,690.58,3200
59438,2015-06-22,ATBA,710.0,710.0,682.01,706.22,27200
59978,2015-06-23,ATBA,714.0,714.0,714.0,714.0,100
60547,2015-06-24,ATBA,717.0,718.0,708.0,708.0,750
61094,2015-06-25,ATBA,716.0,716.0,692.02,700.51,350
61625,2015-06-26,ATBA,690.0,690.0,665.49,668.32,10900
62163,2015-06-29,ATBA,635.5,679.5,635.5,670.0,450
62653,2015-06-30,ATBA,679.95,703.5,679.0,703.5,3400
63156,2015-07-01,ATBA,706.0,723.0,705.51,720.0,1000
63663,2015-07-02,ATBA,736.5,736.5,708.0,712.65,1050
64162,2015-07-03,ATBA,708.01,724.99,708.01,715.0,300
64671,2015-07-06,ATBA,708.1,715.0,708.1,710.0,400
65183,2015-07-07,ATBA,714.99,725.0,710.06,722.94,1650
65695,2015-07-08,ATBA,724.0,739.0,717.1,727.0,1150
66208,2015-07-09,ATBA,735.5,735.5,720.0,725.13,1600
66700,2015-07-10,ATBA,734.49,737.0,734.49,736.13,550
67194,2015-07-13,ATBA,754.0,754.0,735.0,748.0,200
67703,2015-07-14,ATBA,757.9,785.4,750.0,785.4,3050
68223,2015-07-15,ATBA,767.0,814.0,767.0,814.0,1650
68746,2015-07-16,ATBA,838.0,838.0,815.0,829.0,1100
69280,2015-07-22,ATBA,839.0,839.0,815.0,825.0,800
70344,2015-07-24,ATBA,785.01,820.89,783.75,785.28,2250
70875,2015-07-27,ATBA,760.0,783.9,750.06,783.9,450
71424,2015-07-28,ATBA,780.0,788.86,770.0,773.0,2750
71990,2015-07-29,ATBA,796.98,796.98,750.0,762.0,3000
72539,2015-07-30,ATBA,777.0,777.0,740.05,742.92,450
73081,2015-07-31,ATBA,772.0,772.0,772.0,772.0,100
74100,2015-08-04,ATBA,755.02,769.5,752.0,769.5,1400
74618,2015-08-05,ATBA,760.0,770.0,758.0,770.0,500
