,Date,Symbol,Open,High,Low,Close,Volume
162,2015-01-01,ACPL,196.5,204.92,196.5,204.92,408100
678,2015-01-02,ACPL,207.0,214.0,206.1,210.51,337500
1200,2015-01-05,ACPL,212.0,212.0,208.5,211.14,679500
1709,2015-01-06,ACPL,209.0,213.97,208.0,210.4,362400
2227,2015-01-07,ACPL,211.0,219.0,210.0,215.5,350600
2740,2015-01-08,ACPL,217.98,218.0,210.0,210.76,153700
3251,2015-01-09,ACPL,212.5,214.0,208.0,209.86,95400
3774,2015-01-12,ACPL,208.5,210.9,207.0,207.15,16200
4314,2015-01-13,ACPL,208.25,208.25,204.0,207.82,63300
4862,2015-01-14,ACPL,209.75,210.15,208.0,208.49,20200
5405,2015-01-15,ACPL,209.0,211.0,204.25,205.65,106000
5946,2015-01-16,ACPL,206.95,208.49,203.0,206.3,238300
6480,2015-01-19,ACPL,208.99,211.5,207.0,210.54,82600
7014,2015-01-20,ACPL,212.99,213.0,208.08,210.0,76700
7550,2015-01-21,ACPL,209.1,213.0,209.1,211.75,230500
8072,2015-01-22,ACPL,212.7,212.7,210.1,210.17,157700
8583,2015-01-23,ACPL,209.1,215.4,209.1,210.99,252600
9103,2015-01-26,ACPL,213.1,214.0,210.5,211.15,80400
9661,2015-01-27,ACPL,209.5,213.6,209.5,211.25,83400
10217,2015-01-28,ACPL,214.95,215.98,210.5,210.83,273100
10766,2015-01-29,ACPL,211.91,215.0,211.91,213.29,97800
11304,2015-01-30,ACPL,213.99,216.4,213.99,214.59,177300
11863,2015-02-02,ACPL,214.0,216.41,212.0,213.24,204200
12379,2015-02-03,ACPL,213.99,214.0,209.5,210.64,61600
12897,2015-02-04,ACPL,211.7,214.25,210.0,210.15,150500
13402,2015-02-06,ACPL,213.98,215.0,213.0,214.87,326200
13909,2015-02-09,ACPL,215.98,216.0,213.9,214.45,139900
14413,2015-02-10,ACPL,213.87,213.87,211.7,212.16,92300
14923,2015-02-11,ACPL,213.95,213.95,210.2,210.97,77100
15436,2015-02-12,ACPL,208.0,208.1,199.0,203.23,52400
15933,2015-02-13,ACPL,206.9,206.9,203.0,204.64,8100
16428,2015-02-16,ACPL,203.0,203.0,194.55,201.83,17000
16923,2015-02-17,ACPL,204.37,204.44,200.0,201.61,27400
17425,2015-02-18,ACPL,199.0,201.0,199.0,200.82,7300
17929,2015-02-19,ACPL,201.5,202.99,200.0,200.16,7200
18421,2015-02-20,ACPL,200.01,200.17,195.0,196.54,14900
18914,2015-02-23,ACPL,198.0,198.01,197.0,198.0,5100
19459,2015-02-24,ACPL,195.05,198.98,195.0,195.64,5800
19995,2015-02-25,ACPL,195.0,195.0,192.5,192.84,19100
20544,2015-02-26,ACPL,195.99,196.6,193.0,194.89,5900
21076,2015-02-27,ACPL,194.01,194.1,193.0,193.05,3600
21609,2015-03-02,ACPL,190.5,191.0,190.0,190.5,9600
22115,2015-03-03,ACPL,190.0,190.0,186.0,187.99,116200
22617,2015-03-04,ACPL,189.0,189.0,186.0,186.63,34200
23115,2015-03-05,ACPL,188.0,190.0,188.0,190.0,35300
23582,2015-03-06,ACPL,190.5,191.5,190.0,190.96,36500
24057,2015-03-09,ACPL,190.5,190.5,187.0,187.02,8100
24541,2015-03-10,ACPL,186.0,186.0,181.5,182.1,15300
25025,2015-03-11,ACPL,181.01,185.0,181.0,184.68,21400
25511,2015-03-12,ACPL,184.0,187.15,184.0,187.0,55200
25994,2015-03-13,ACPL,185.0,191.0,185.0,190.95,53400
26479,2015-03-16,ACPL,196.15,196.15,190.15,191.0,22100
26949,2015-03-17,ACPL,190.01,191.95,189.0,191.17,15200
27456,2015-03-18,ACPL,190.0,190.0,183.0,184.95,49100
27946,2015-03-19,ACPL,188.0,188.0,184.99,185.0,94100
28418,2015-03-20,ACPL,187.0,188.0,186.0,186.11,161500
28887,2015-03-24,ACPL,188.0,188.1,184.0,185.11,78900
29393,2015-03-25,ACPL,183.1,185.0,183.1,185.0,400
29903,2015-03-26,ACPL,185.0,185.0,182.05,182.05,11300
30434,2015-03-27,ACPL,182.0,185.0,179.95,180.26,82900
