,Date,Symbol,Open,High,Low,Close,Volume
205,2015-01-01,APL,536.36,539.0,531.0,532.55,2500
723,2015-01-02,APL,534.9,535.0,530.0,532.77,7300
1243,2015-01-05,APL,537.0,537.0,527.0,529.14,4250
1752,2015-01-06,APL,526.02,541.0,525.0,529.51,31350
2270,2015-01-07,APL,532.0,532.0,518.0,522.98,105550
2783,2015-01-08,APL,525.0,538.0,520.02,533.6,222600
3295,2015-01-09,APL,527.56,542.0,527.1,537.29,57100
3820,2015-01-12,APL,538.0,544.99,535.0,543.2,56800
4359,2015-01-13,APL,546.0,548.9,540.0,544.04,31750
4905,2015-01-14,APL,544.04,555.4,532.25,554.38,102350
5450,2015-01-15,APL,556.0,582.09,545.0,579.81,467550
5990,2015-01-16,APL,580.0,590.0,570.0,588.26,186000
6523,2015-01-19,APL,590.0,595.0,582.0,592.62,163250
7059,2015-01-20,APL,590.0,600.0,585.0,588.81,120500
7595,2015-01-21,APL,593.88,595.0,587.0,589.09,37200
8117,2015-01-22,APL,588.0,588.0,578.1,580.4,20700
8627,2015-01-23,APL,575.01,585.0,575.0,576.81,35300
9148,2015-01-26,APL,590.0,590.0,559.25,564.95,127350
9704,2015-01-27,APL,562.0,563.5,544.2,549.91,139850
10263,2015-01-28,APL,544.0,550.5,544.0,548.65,17600
10812,2015-01-29,APL,546.0,547.0,540.25,544.6,8900
11347,2015-01-30,APL,540.55,542.5,536.0,537.88,11950
11908,2015-02-02,APL,543.0,546.48,530.0,535.0,61650
12423,2015-02-03,APL,540.0,551.0,540.0,549.62,28950
12943,2015-02-04,APL,555.0,557.98,544.0,545.19,21250
13447,2015-02-06,APL,548.99,548.99,537.5,546.89,4850
13955,2015-02-09,APL,545.02,556.5,540.0,551.42,140850
14456,2015-02-10,APL,548.0,553.0,547.0,549.89,31100
14964,2015-02-11,APL,550.0,554.98,546.0,549.84,18550
15479,2015-02-12,APL,533.0,539.5,531.0,532.56,29150
15976,2015-02-13,APL,538.0,548.5,538.0,540.0,26750
16471,2015-02-16,APL,540.01,540.05,535.0,538.45,9450
16968,2015-02-17,APL,538.01,542.0,537.0,538.85,6050
17470,2015-02-18,APL,538.85,538.85,532.0,533.17,58200
17974,2015-02-19,APL,530.0,542.5,530.0,537.53,28250
18465,2015-02-20,APL,538.0,542.49,538.0,539.61,4750
18954,2015-02-23,APL,535.1,545.0,535.0,536.67,2100
19501,2015-02-24,APL,538.0,538.0,535.0,536.83,6650
20035,2015-02-25,APL,535.1,535.25,532.0,533.0,7250
20589,2015-02-26,APL,539.5,541.5,535.0,536.5,11300
21115,2015-02-27,APL,537.0,537.0,533.0,534.69,9600
21651,2015-03-02,APL,535.0,535.0,530.0,530.12,26750
22157,2015-03-03,APL,530.0,530.0,525.0,525.1,77550
22658,2015-03-04,APL,524.0,530.01,524.0,525.01,16600
23155,2015-03-05,APL,528.4,540.0,525.5,535.28,13500
23622,2015-03-06,APL,537.29,538.0,535.0,535.0,4550
24098,2015-03-09,APL,535.0,535.0,528.0,529.88,18800
24583,2015-03-10,APL,530.0,531.0,520.1,524.09,26100
25068,2015-03-11,APL,528.8,530.0,528.0,528.0,19350
25553,2015-03-12,APL,530.0,534.98,525.03,528.31,29250
26034,2015-03-13,APL,531.0,554.0,531.0,551.64,71050
26520,2015-03-16,APL,553.0,553.0,545.0,545.05,24750
26990,2015-03-17,APL,535.1,544.49,535.0,542.67,3550
27496,2015-03-18,APL,540.01,540.01,532.1,534.79,34100
27987,2015-03-19,APL,540.14,540.14,535.0,538.41,21950
28457,2015-03-20,APL,560.0,560.0,535.0,545.12,35800
28926,2015-03-24,APL,540.0,540.0,535.0,535.0,10800
29431,2015-03-25,APL,535.0,535.5,526.0,526.06,6450
29943,2015-03-26,APL,537.97,538.0,520.0,525.0,49350
30474,2015-03-27,APL,520.55,524.0,518.0,520.12,5450
31027,2015-03-30,APL,517.0,517.0,494.12,496.17,102200
31535,2015-03-31,APL,509.9,520.0,509.9,519.95,60950
32039,2015-04-01,APL,519.9,527.0,517.0,517.0,28100
32547,2015-04-02,APL,520.0,542.85,520.0,537.89,23250
33051,2015-04-03,APL,549.97,552.0,540.01,548.67,95250
33554,2015-04-06,APL,540.1,549.9,539.01,547.94,3800
34058,2015-04-07,APL,552.5,560.0,542.5,545.95,12000
34543,2015-04-08,APL,546.0,550.0,535.0,541.57,114150
35033,2015-04-09,APL,540.01,541.75,540.0,540.06,9450
35540,2015-04-10,APL,542.0,544.45,540.01,541.18,2750
36052,2015-04-13,APL,540.09,541.02,514.13,514.13,332450
36523,2015-04-14,APL,514.0,514.0,504.0,510.94,41600
37004,2015-04-15,APL,514.0,515.0,507.5,510.16,19400
37499,2015-04-16,APL,512.0,525.0,512.0,523.9,97300
38019,2015-04-17,APL,528.99,530.0,521.0,529.63,382000
38524,2015-04-20,APL,535.0,550.0,525.1,548.88,248200
39047,2015-04-21,APL,541.0,552.97,540.0,551.52,25550
39582,2015-04-22,APL,550.0,560.0,545.01,559.1,122450
40111,2015-04-23,APL,562.0,562.0,549.0,550.3,6550
40633,2015-04-24,APL,553.0,553.0,550.0,550.09,11750
41174,2015-04-27,APL,546.1,551.0,540.1,549.38,3000
41686,2015-04-28,APL,543.12,552.0,543.0,551.68,2650
42205,2015-04-29,APL,550.0,552.0,550.0,550.78,5250
42704,2015-04-30,APL,553.99,560.0,553.99,556.01,39150
43201,2015-05-04,APL,556.0,556.0,554.0,554.0,2000
43700,2015-05-05,APL,550.0,556.0,550.0,555.2,6000
44206,2015-05-06,APL,558.99,569.0,558.99,563.1,63550
44706,2015-05-07,APL,569.48,569.48,559.0,559.88,7300
45193,2015-05-08,APL,551.0,558.0,549.0,549.73,55500
45682,2015-05-11,APL,559.99,560.0,534.0,534.24,24400
46161,2015-05-12,APL,531.5,540.0,527.0,536.14,24650
46631,2015-05-13,APL,535.5,539.99,535.5,537.0,1050
47104,2015-05-14,APL,520.03,535.5,520.03,530.0,12700
