,Date,Symbol,Open,High,Low,Close,Volume
131,2015-01-01,ANL,5.98,6.2,5.85,6.12,2706500
640,2015-01-02,ANL,6.25,6.4,6.18,6.29,4300500
1162,2015-01-05,ANL,6.21,6.33,6.16,6.21,1683500
1669,2015-01-06,ANL,6.22,6.3,5.97,6.03,1584000
2184,2015-01-07,ANL,6.06,6.14,6.0,6.02,619000
2696,2015-01-08,ANL,6.02,6.09,5.95,5.98,529500
3214,2015-01-09,ANL,6.08,6.13,6.0,6.05,701000
3731,2015-01-12,ANL,6.1,6.14,5.98,6.04,1089000
4269,2015-01-13,ANL,6.1,6.1,5.96,6.0,1415000
4815,2015-01-14,ANL,6.09,6.4,6.06,6.27,5354000
5360,2015-01-15,ANL,6.34,6.69,6.3,6.44,10942500
5904,2015-01-16,ANL,6.46,6.55,6.25,6.31,2791000
6432,2015-01-19,ANL,6.32,6.48,6.25,6.31,1641000
6970,2015-01-20,ANL,6.35,6.35,6.11,6.18,1159000
7507,2015-01-21,ANL,6.15,6.28,6.12,6.2,1474500
8032,2015-01-22,ANL,6.11,6.44,6.11,6.21,2452000
8545,2015-01-23,ANL,6.2,6.25,6.1,6.13,447000
9060,2015-01-26,ANL,6.32,6.36,6.09,6.11,1467000
9619,2015-01-27,ANL,6.15,6.15,5.95,6.04,1146000
10174,2015-01-28,ANL,6.05,6.19,5.97,6.01,763000
10726,2015-01-29,ANL,6.0,6.08,6.0,6.04,523000
11266,2015-01-30,ANL,6.08,6.12,5.95,6.01,978000
11817,2015-02-02,ANL,6.1,6.21,5.97,6.03,1274500
12332,2015-02-03,ANL,6.08,6.08,5.91,6.0,1433000
12852,2015-02-04,ANL,6.0,6.19,5.95,6.03,3023500
13361,2015-02-06,ANL,6.05,6.18,6.0,6.03,1092500
13867,2015-02-09,ANL,6.1,6.1,5.91,5.95,1512000
14370,2015-02-10,ANL,6.22,6.3,6.0,6.03,2325500
14874,2015-02-11,ANL,6.1,6.11,5.92,5.95,1053000
15387,2015-02-12,ANL,5.95,5.95,5.6,5.68,2316500
15892,2015-02-13,ANL,5.68,5.8,5.65,5.72,983000
16387,2015-02-16,ANL,5.79,5.79,5.63,5.71,473000
16887,2015-02-17,ANL,5.72,5.77,5.52,5.58,679500
17386,2015-02-18,ANL,5.58,5.69,5.38,5.64,1526500
17892,2015-02-19,ANL,5.65,5.94,5.65,5.8,1053500
18386,2015-02-20,ANL,5.71,5.87,5.61,5.65,751500
18876,2015-02-23,ANL,5.65,5.72,5.6,5.65,165500
19417,2015-02-24,ANL,5.7,5.7,5.55,5.57,389500
19960,2015-02-25,ANL,5.6,5.64,5.5,5.51,562000
20506,2015-02-26,ANL,5.5,5.56,5.42,5.49,432000
21042,2015-02-27,ANL,5.46,5.58,5.38,5.41,255500
21573,2015-03-02,ANL,5.36,5.45,5.1,5.22,942500
22076,2015-03-03,ANL,5.22,5.25,5.07,5.2,463500
22582,2015-03-04,ANL,5.3,5.3,5.13,5.17,342500
23079,2015-03-05,ANL,5.21,5.25,5.15,5.18,310000
23550,2015-03-06,ANL,5.21,5.27,5.12,5.25,430500
24025,2015-03-09,ANL,5.2,5.3,5.15,5.17,149500
24510,2015-03-10,ANL,5.13,5.3,5.01,5.12,807500
24992,2015-03-11,ANL,5.01,5.08,4.97,5.01,1065000
25477,2015-03-12,ANL,5.1,5.1,5.0,5.06,380000
25964,2015-03-13,ANL,5.12,5.2,5.06,5.15,560500
26445,2015-03-16,ANL,5.15,5.15,5.0,5.01,158000
26920,2015-03-17,ANL,5.05,5.05,4.92,4.97,306500
27417,2015-03-18,ANL,4.92,4.95,3.97,4.27,5019500
27912,2015-03-19,ANL,4.31,4.5,4.26,4.4,990500
28388,2015-03-20,ANL,4.45,4.64,4.45,4.6,525000
28857,2015-03-24,ANL,4.65,4.74,4.45,4.5,498000
29361,2015-03-25,ANL,4.53,4.58,4.4,4.43,234500
29872,2015-03-26,ANL,4.4,4.54,4.15,4.32,1475000
30399,2015-03-27,ANL,4.5,4.5,4.23,4.25,3053000
30942,2015-03-30,ANL,4.33,4.33,3.6,3.9,3828000
31455,2015-03-31,ANL,3.9,4.34,3.9,4.25,2073000
31963,2015-04-01,ANL,4.34,4.44,4.1,4.1,1442500
