,Date,Symbol,Open,High,Low,Close,Volume
12878,2015-02-04,BAFS,24.66,24.66,24.66,24.66,500
22604,2015-03-04,BAFS,24.0,24.0,24.0,24.0,500
23100,2015-03-05,BAFS,25.0,25.0,25.0,25.0,500
60451,2015-06-24,BAFS,0.0,26.0,26.0,26.0,0
62068,2015-06-29,BAFS,0.0,27.0,27.0,27.0,0
72443,2015-07-30,BAFS,27.0,27.0,27.0,27.0,500
74516,2015-08-05,BAFS,26.0,26.0,26.0,26.0,500
77632,2015-08-13,BAFS,27.3,27.3,27.3,27.3,500
119273,2015-12-30,BAFS,28.6,28.6,28.6,28.6,500
119736,2015-12-31,BAFS,30.0,30.0,30.0,30.0,500
229983,2016-12-14,BAFS,0.0,28.0,0.0,28.0,0
237172,2017-06-01,BAFS,66.0,66.0,66.0,66.0,1000
239625,2017-06-08,BAFS,0.0,65.94,0.0,65.94,0
240107,2017-06-09,BAFS,69.23,69.23,69.23,69.23,500
240593,2017-06-12,BAFS,0.0,68.5386,0.0,68.5386,0
241087,2017-06-13,BAFS,71.96,71.96,71.96,71.96,500
241570,2017-06-14,BAFS,0.0,70.2678,0.0,70.2678,0
242042,2017-06-15,BAFS,0.0,66.76,0.0,66.76,0
243444,2017-06-20,BAFS,0.0,65.3071,0.0,65.3071,0
243946,2017-06-21,BAFS,0.0,62.375,0.0,62.375,0
244446,2017-06-22,BAFS,59.26,59.26,59.26,59.26,2000
247904,2017-06-08,BAFS,0.0,65.94,0.0,65.94,0
248386,2017-06-09,BAFS,69.23,69.23,69.23,69.23,500
248872,2017-06-12,BAFS,0.0,68.5386,0.0,68.5386,0
249366,2017-06-13,BAFS,71.96,71.96,71.96,71.96,500
249849,2017-06-14,BAFS,0.0,70.2678,0.0,70.2678,0
250321,2017-06-15,BAFS,0.0,66.76,0.0,66.76,0
251723,2017-06-20,BAFS,0.0,65.3071,0.0,65.3071,0
252225,2017-06-21,BAFS,0.0,62.375,0.0,62.375,0
252725,2017-06-22,BAFS,59.26,59.26,59.26,59.26,2000
254783,2017-02-02,BAFS,0.0,36.55,0.0,36.55,0
255842,2017-02-06,BAFS,38.37,38.37,38.37,38.37,500
256371,2017-02-07,BAFS,0.0,40.28,0.0,40.28,0
256907,2017-02-08,BAFS,0.0,42.29,0.0,42.29,0
257443,2017-02-09,BAFS,0.0,44.4,0.0,44.4,0
258521,2017-02-13,BAFS,0.0,46.62,0.0,46.62,0
259052,2017-02-14,BAFS,0.0,48.95,0.0,48.95,0
259574,2017-02-15,BAFS,0.0,51.39,0.0,51.39,0
260097,2017-02-16,BAFS,0.0,53.95,0.0,53.95,0
260620,2017-02-17,BAFS,0.0,56.64,0.0,56.64,0
