,Date,Symbol,Open,High,Low,Close,Volume
44,2015-01-01,BAHL,,48.73,48.1,48.46,147500
539,2015-01-02,BAHL,48.25,48.7,48.0,48.25,383500
1071,2015-01-05,BAHL,48.01,49.84,48.0,49.32,960500
1583,2015-01-06,BAHL,49.05,49.65,49.0,49.33,487500
2095,2015-01-07,BAHL,49.31,49.5,49.0,49.01,840500
2606,2015-01-08,BAHL,49.0,49.89,49.0,49.74,272500
3124,2015-01-09,BAHL,49.99,50.7,49.95,50.01,652500
3638,2015-01-12,BAHL,49.9,50.7,49.9,50.27,1178000
4167,2015-01-13,BAHL,50.2,50.7,49.87,50.52,277500
4711,2015-01-14,BAHL,50.5,50.5,49.75,50.07,181000
5254,2015-01-15,BAHL,50.0,50.6,49.7,50.01,447000
5805,2015-01-16,BAHL,50.47,50.69,50.1,50.47,254000
6335,2015-01-19,BAHL,50.63,51.1,50.4,50.71,524500
6871,2015-01-20,BAHL,50.6,50.97,50.25,50.63,152000
7403,2015-01-21,BAHL,50.5,51.0,50.0,50.68,1064500
7937,2015-01-22,BAHL,50.19,50.88,50.0,50.5,336500
8457,2015-01-23,BAHL,50.15,50.6,50.1,50.14,221500
8967,2015-01-26,BAHL,50.15,51.87,50.0,51.48,894500
9528,2015-01-27,BAHL,51.26,51.3,49.91,50.0,948000
10084,2015-01-28,BAHL,50.25,50.25,49.27,49.55,204500
10633,2015-01-29,BAHL,49.7,50.5,49.6,50.01,384500
11178,2015-01-30,BAHL,50.64,50.64,49.75,49.77,1335500
11724,2015-02-02,BAHL,49.9,50.46,49.9,50.24,1446000
12239,2015-02-03,BAHL,50.1,50.5,50.01,50.36,197500
12758,2015-02-04,BAHL,50.5,51.0,50.26,50.74,580500
13279,2015-02-06,BAHL,50.75,51.16,50.7,51.04,305500
13780,2015-02-09,BAHL,50.52,51.0,50.51,50.62,127500
14282,2015-02-10,BAHL,50.75,51.02,50.03,50.11,229000
14789,2015-02-11,BAHL,50.25,50.25,49.2,49.56,681500
15299,2015-02-12,BAHL,50.0,50.3,48.11,49.29,887500
15805,2015-02-13,BAHL,49.25,50.0,49.25,49.78,29500
16309,2015-02-16,BAHL,49.51,50.0,49.26,49.95,105000
16799,2015-02-17,BAHL,50.4,50.75,47.9,50.18,1610000
17300,2015-02-18,BAHL,50.0,50.39,49.35,49.48,436000
17798,2015-02-19,BAHL,49.7,50.55,49.7,50.31,531500
18301,2015-02-20,BAHL,50.3,50.5,50.0,50.14,875500
