,Date,Symbol,Open,High,Low,Close,Volume
41,2015-01-01,BAFL,34.9,35.05,33.8,34.41,6374000
536,2015-01-02,BAFL,34.45,34.69,33.79,33.94,3928500
1068,2015-01-05,BAFL,33.9,34.1,33.8,33.84,1320500
1580,2015-01-06,BAFL,33.8,34.0,33.06,33.12,1817500
2092,2015-01-07,BAFL,33.37,33.37,32.51,32.87,8251500
2603,2015-01-08,BAFL,32.75,33.7,32.75,33.5,3782000
3121,2015-01-09,BAFL,33.69,34.24,33.56,33.92,9970000
3635,2015-01-12,BAFL,34.0,34.29,33.7,33.83,2087000
4164,2015-01-13,BAFL,34.0,34.15,33.5,33.92,851000
4708,2015-01-14,BAFL,34.0,34.09,33.56,33.78,1495000
5251,2015-01-15,BAFL,33.7,34.0,33.7,33.76,852500
5802,2015-01-16,BAFL,33.65,34.02,33.65,33.74,1038000
6332,2015-01-19,BAFL,33.9,33.99,33.66,33.71,559500
6868,2015-01-20,BAFL,33.55,33.99,33.37,33.8,1743500
7400,2015-01-21,BAFL,33.62,34.55,33.62,34.24,3902000
7934,2015-01-22,BAFL,34.0,34.2,33.7,33.98,1908000
8454,2015-01-23,BAFL,33.62,33.77,33.6,33.7,317500
8964,2015-01-26,BAFL,33.7,34.25,33.3,34.01,1528500
9525,2015-01-27,BAFL,34.05,34.05,33.4,33.68,6785000
10081,2015-01-28,BAFL,33.6,33.88,33.35,33.55,761000
10630,2015-01-29,BAFL,33.57,33.98,33.26,33.42,2009500
11175,2015-01-30,BAFL,33.7,34.1,33.4,33.75,10189000
11721,2015-02-02,BAFL,33.99,34.1,33.65,33.76,1863000
12236,2015-02-03,BAFL,33.98,33.98,33.52,33.7,929500
12755,2015-02-04,BAFL,33.8,34.0,33.4,33.48,1307500
13276,2015-02-06,BAFL,33.5,33.75,33.42,33.65,874000
13777,2015-02-09,BAFL,33.5,34.0,33.25,33.42,518000
14279,2015-02-10,BAFL,33.69,33.69,32.31,32.6,4417000
14786,2015-02-11,BAFL,32.7,32.7,31.7,31.94,2206000
15296,2015-02-12,BAFL,31.99,32.21,31.15,31.41,3219000
15802,2015-02-13,BAFL,31.5,32.1,31.3,31.98,1506000
16306,2015-02-16,BAFL,32.05,32.1,31.6,31.98,340000
16796,2015-02-17,BAFL,32.1,32.1,31.5,31.78,484000
17297,2015-02-18,BAFL,32.0,32.04,31.65,31.65,224000
17795,2015-02-19,BAFL,31.79,32.3,31.79,32.28,1075000
18298,2015-02-20,BAFL,32.35,32.55,32.01,32.5,1107000
18791,2015-02-23,BAFL,32.55,32.8,32.45,32.64,927500
19320,2015-02-24,BAFL,32.79,32.79,32.5,32.52,213500
19860,2015-02-25,BAFL,32.7,32.7,32.06,32.26,285500
20405,2015-02-26,BAFL,32.08,32.1,31.2,31.38,2946000
20947,2015-02-27,BAFL,31.82,31.82,30.85,31.66,3268000
21479,2015-03-02,BAFL,31.84,31.84,30.7,31.14,1819500
21983,2015-03-03,BAFL,31.19,31.26,30.61,31.15,2044000
22483,2015-03-04,BAFL,31.05,31.4,31.0,31.04,867000
22987,2015-03-05,BAFL,31.0,31.13,30.52,30.76,2135500
23471,2015-03-06,BAFL,30.85,30.85,30.4,30.49,2714500
23943,2015-03-09,BAFL,30.73,30.73,29.51,29.78,2135000
24422,2015-03-10,BAFL,29.8,30.25,29.32,29.86,2734000
24911,2015-03-11,BAFL,29.16,29.75,29.16,29.65,1979000
25394,2015-03-12,BAFL,29.39,29.95,29.39,29.56,644000
25882,2015-03-13,BAFL,29.94,30.24,29.5,30.12,1896000
26364,2015-03-16,BAFL,30.02,30.05,29.84,29.97,488000
26844,2015-03-17,BAFL,29.94,29.95,29.3,29.57,4432500
27325,2015-03-18,BAFL,29.5,29.75,28.85,29.16,1043000
27824,2015-03-19,BAFL,26.99,27.64,26.51,27.33,1079000
28303,2015-03-20,BAFL,26.8,27.68,26.8,27.0,1056500
28772,2015-03-24,BAFL,27.11,27.11,26.02,26.78,2050000
29280,2015-03-25,BAFL,26.49,26.77,26.11,26.7,375500
29787,2015-03-26,BAFL,26.55,26.74,25.6,26.02,2530500
30315,2015-03-27,BAFL,26.37,26.37,25.0,25.53,3222500
30846,2015-03-30,BAFL,25.06,25.7,24.26,24.42,4976000
31367,2015-03-31,BAFL,24.0,25.64,24.0,25.63,3851500
31873,2015-04-01,BAFL,25.6,26.28,25.0,25.25,4747500
32375,2015-04-02,BAFL,25.45,25.65,25.21,25.41,2780500
32880,2015-04-03,BAFL,25.6,26.68,25.41,26.68,4557500
33379,2015-04-06,BAFL,27.0,27.35,26.4,26.59,2139000
33889,2015-04-07,BAFL,26.5,26.89,25.9,26.0,782000
34384,2015-04-08,BAFL,26.1,26.49,26.0,26.12,1257500
34877,2015-04-09,BAFL,26.12,26.3,25.8,26.2,668500
35365,2015-04-10,BAFL,26.25,27.2,26.05,26.76,2507500
35878,2015-04-13,BAFL,26.51,26.75,26.4,26.56,387500
36371,2015-04-14,BAFL,26.54,26.8,26.3,26.66,322500
36845,2015-04-15,BAFL,26.7,26.9,26.32,26.43,556500
37325,2015-04-16,BAFL,26.37,27.05,26.37,26.71,5721000
37838,2015-04-17,BAFL,26.89,27.34,26.86,27.19,2776000
38353,2015-04-20,BAFL,27.39,28.2,27.3,27.98,3409000
38887,2015-04-21,BAFL,27.8,28.3,27.8,28.04,2268000
39408,2015-04-22,BAFL,27.9,29.44,27.9,29.44,8374500
39946,2015-04-23,BAFL,30.7,30.91,30.1,30.22,5911000
40473,2015-04-24,BAFL,29.91,30.6,29.91,30.42,2839000
41004,2015-04-27,BAFL,30.19,30.51,29.99,30.26,2328000
41505,2015-04-28,BAFL,30.25,30.59,29.51,29.84,1147500
42026,2015-04-29,BAFL,29.82,29.87,29.4,29.54,867500
42542,2015-04-30,BAFL,29.75,29.94,29.5,29.77,399000
43037,2015-05-04,BAFL,29.8,30.19,29.37,29.58,302500
43540,2015-05-05,BAFL,29.45,29.85,28.95,29.14,813000
44037,2015-05-06,BAFL,29.25,29.4,29.2,29.35,1023000
44545,2015-05-07,BAFL,29.35,29.8,29.0,29.51,826000
45041,2015-05-08,BAFL,29.45,29.51,28.9,29.1,692000
45521,2015-05-11,BAFL,29.02,29.35,28.1,28.18,1312500
46001,2015-05-12,BAFL,28.4,28.97,27.6,28.52,448000
46482,2015-05-13,BAFL,28.79,28.8,28.45,28.63,357500
46952,2015-05-14,BAFL,28.7,28.7,28.5,28.54,362500
47434,2015-05-15,BAFL,28.6,28.6,28.2,28.42,150000
47914,2015-05-18,BAFL,28.2,28.2,27.55,27.73,799000
48397,2015-05-20,BAFL,27.22,27.28,27.0,27.07,447500
48869,2015-05-21,BAFL,26.96,27.2,26.95,27.09,156000
49343,2015-05-22,BAFL,27.09,27.2,26.8,27.05,784500
49811,2015-05-25,BAFL,27.1,27.1,25.7,25.99,5680500
50319,2015-05-27,BAFL,26.34,26.34,25.6,26.02,2693500
50860,2015-05-28,BAFL,26.01,26.15,25.75,25.82,862000
51380,2015-05-29,BAFL,25.97,26.06,25.5,25.97,1824500
51913,2015-06-01,BAFL,26.23,26.4,26.01,26.34,1080000
52434,2015-06-02,BAFL,26.49,27.15,26.49,26.68,5495500
52960,2015-06-03,BAFL,26.72,27.02,26.61,26.77,1532500
53479,2015-06-04,BAFL,26.68,26.84,26.41,26.56,683000
53996,2015-06-05,BAFL,26.6,26.9,26.11,26.47,585000
54510,2015-06-08,BAFL,25.15,25.5,25.15,25.15,6686500
55040,2015-06-09,BAFL,25.15,25.74,25.0,25.49,2742500
55563,2015-06-10,BAFL,25.7,25.75,25.0,25.04,3267500
56086,2015-06-12,BAFL,25.01,25.15,24.82,24.96,595000
56619,2015-06-15,BAFL,25.24,25.24,24.5,24.61,644500
57151,2015-06-16,BAFL,24.89,24.99,24.21,24.31,935000
57674,2015-06-17,BAFL,24.32,24.5,24.1,24.16,449000
58212,2015-06-18,BAFL,24.2,24.98,24.2,24.75,910500
58742,2015-06-19,BAFL,24.45,25.0,24.44,24.96,854000
59237,2015-06-22,BAFL,24.72,25.01,24.72,24.89,240500
59763,2015-06-23,BAFL,24.75,25.0,24.51,24.95,250500
60319,2015-06-24,BAFL,24.99,25.0,24.52,24.7,1661500
60886,2015-06-25,BAFL,24.61,24.76,23.82,23.9,2719500
61429,2015-06-26,BAFL,24.0,24.7,24.0,24.36,1880000
61957,2015-06-29,BAFL,24.49,25.2,24.38,25.09,2388500
62455,2015-06-30,BAFL,25.13,25.39,25.05,25.3,1718500
62950,2015-07-01,BAFL,25.3,25.35,24.9,25.29,439500
63453,2015-07-02,BAFL,25.35,25.79,25.25,25.62,968000
63962,2015-07-03,BAFL,25.3,25.95,25.3,25.78,758500
64456,2015-07-06,BAFL,25.99,25.99,25.4,25.82,858500
64973,2015-07-07,BAFL,25.95,26.75,25.9,26.67,2240500
65492,2015-07-08,BAFL,26.52,26.55,26.1,26.39,1079000
65996,2015-07-09,BAFL,25.99,27.2,25.95,26.86,2530500
66506,2015-07-10,BAFL,26.9,27.35,26.8,27.16,1598500
66990,2015-07-13,BAFL,27.03,27.1,26.75,26.87,1788500
67487,2015-07-14,BAFL,26.51,27.0,26.45,26.98,420500
68003,2015-07-15,BAFL,27.5,27.5,27.0,27.1,1025500
68525,2015-07-16,BAFL,27.3,27.55,27.0,27.35,886500
69051,2015-07-22,BAFL,27.5,28.71,27.5,28.71,4632000
69585,2015-07-23,BAFL,29.0,29.0,28.5,28.71,3004000
70121,2015-07-24,BAFL,28.7,28.83,27.9,28.04,3308000
70644,2015-07-27,BAFL,28.0,28.75,27.4,27.7,1264000
71208,2015-07-28,BAFL,27.99,28.33,27.82,27.98,499500
71764,2015-07-29,BAFL,28.3,28.6,28.1,28.29,1448000
72322,2015-07-30,BAFL,28.38,28.7,27.93,28.53,1171500
72870,2015-07-31,BAFL,28.49,28.9,28.25,28.28,842500
73401,2015-08-03,BAFL,28.1,28.45,27.75,28.22,784000
73888,2015-08-04,BAFL,28.39,28.5,28.1,28.38,4084000
74398,2015-08-05,BAFL,28.2,28.5,28.05,28.35,3205000
74914,2015-08-06,BAFL,28.4,28.85,28.27,28.46,1135000
75437,2015-08-07,BAFL,28.36,28.52,28.26,28.52,237500
75951,2015-08-10,BAFL,28.3,28.35,28.02,28.24,258500
76460,2015-08-11,BAFL,28.12,28.25,27.75,28.09,834500
76990,2015-08-12,BAFL,28.01,28.28,27.65,27.81,917000
77508,2015-08-13,BAFL,27.99,28.0,27.2,27.61,649000
78033,2015-08-17,BAFL,27.26,27.4,26.99,27.11,1607500
78536,2015-08-18,BAFL,27.3,27.48,27.0,27.12,1137500
79043,2015-08-19,BAFL,27.48,28.24,27.4,27.73,5289500
79563,2015-08-20,BAFL,27.68,27.73,27.25,27.26,313000
80077,2015-08-21,BAFL,27.5,27.5,26.6,26.98,659500
80581,2015-08-24,BAFL,26.16,26.44,25.7,25.75,1111000
81130,2015-08-25,BAFL,26.0,27.03,26.0,27.0,1603500
81662,2015-08-26,BAFL,27.46,27.46,26.7,26.76,1135000
82210,2015-08-27,BAFL,27.0,27.19,26.71,27.12,268000
82754,2015-08-28,BAFL,27.47,27.8,27.0,27.73,947500
83307,2015-08-31,BAFL,27.8,28.1,27.21,27.86,647500
83837,2015-09-01,BAFL,27.55,28.25,27.55,27.87,1214500
84348,2015-09-14,BAFL,26.42,26.75,26.42,26.51,141500
84821,2015-09-15,BAFL,26.2,26.97,25.75,26.3,939000
85305,2015-09-16,BAFL,26.64,26.64,25.94,26.09,93500
85784,2015-09-17,BAFL,26.1,26.25,25.85,25.9,507500
86276,2015-09-18,BAFL,25.6,25.98,25.41,25.54,185500
86734,2015-09-21,BAFL,25.11,25.85,25.11,25.26,235000
87225,2015-09-22,BAFL,25.5,25.69,24.65,25.52,1835500
87731,2015-09-23,BAFL,25.5,26.25,25.35,25.9,1003500
88216,2015-09-28,BAFL,25.75,25.75,25.55,25.56,62000
88686,2015-09-29,BAFL,25.31,25.51,25.0,25.24,371500
89153,2015-09-30,BAFL,25.34,25.35,24.75,24.93,1426000
89631,2015-10-01,BAFL,25.24,25.9,25.1,25.77,591000
90100,2015-10-02,BAFL,25.77,26.74,25.77,26.49,538000
90579,2015-10-05,BAFL,26.84,27.5,26.43,26.51,903000
91071,2015-10-06,BAFL,26.6,27.4,26.6,27.3,166000
91571,2015-10-07,BAFL,27.01,27.47,27.0,27.29,409000
92048,2015-10-08,BAFL,27.4,27.5,27.04,27.44,485500
92542,2015-10-09,BAFL,27.0,27.4,27.0,27.28,113000
93050,2015-10-12,BAFL,27.12,27.6,27.11,27.33,196000
93559,2015-10-13,BAFL,27.69,27.7,27.0,27.08,240000
94071,2015-10-14,BAFL,27.44,27.44,26.75,27.03,409000
94576,2015-10-15,BAFL,27.15,27.35,27.0,27.1,179500
95073,2015-10-16,BAFL,27.0,27.15,27.0,27.1,22500
95568,2015-10-19,BAFL,27.3,27.64,26.8,27.53,421000
96079,2015-10-20,BAFL,27.65,27.69,27.33,27.45,682000
96575,2015-10-21,BAFL,27.49,27.49,27.1,27.35,204500
97082,2015-10-22,BAFL,27.98,28.71,27.8,28.0,4210500
97577,2015-10-26,BAFL,28.3,28.9,28.2,28.81,2365000
98109,2015-10-27,BAFL,28.79,29.2,28.65,28.78,5466000
98629,2015-10-28,BAFL,28.95,29.29,28.75,29.07,1834000
99172,2015-10-29,BAFL,29.25,29.59,29.0,29.08,1802000
99715,2015-10-30,BAFL,29.0,29.09,28.65,28.72,164000
100248,2015-11-02,BAFL,28.62,29.0,28.4,28.84,259000
100752,2015-11-03,BAFL,28.61,29.09,28.6,28.96,69000
101245,2015-11-04,BAFL,29.19,29.5,28.95,29.15,592500
101755,2015-11-05,BAFL,29.1,29.4,28.8,29.16,88500
102266,2015-11-06,BAFL,29.0,29.19,28.9,28.91,38500
102761,2015-11-09,BAFL,28.9,29.1,28.6,29.0,233500
103251,2015-11-10,BAFL,28.97,29.01,28.72,28.98,176500
103742,2015-11-11,BAFL,28.9,29.5,28.51,29.32,662000
104231,2015-11-12,BAFL,29.63,30.0,29.5,29.93,973000
104745,2015-11-13,BAFL,29.97,30.25,29.65,29.75,773500
105242,2015-11-16,BAFL,29.74,29.78,29.33,29.76,197000
105726,2015-11-17,BAFL,29.95,30.1,29.5,29.52,635000
106248,2015-11-18,BAFL,29.49,29.5,29.0,29.03,2319500
106770,2015-11-19,BAFL,29.25,29.25,28.8,29.0,37500
107262,2015-11-20,BAFL,29.0,29.0,28.7,28.98,18500
107763,2015-11-23,BAFL,29.0,29.15,28.86,28.93,1223000
108310,2015-11-24,BAFL,29.0,29.0,28.64,28.67,137000
108861,2015-11-25,BAFL,28.56,28.56,27.5,28.0,770500
109396,2015-11-26,BAFL,28.59,29.1,28.26,29.02,1360000
109927,2015-11-27,BAFL,29.01,29.19,28.75,28.89,178000
110453,2015-11-30,BAFL,28.61,28.69,28.0,28.16,204000
110945,2015-12-01,BAFL,28.1,28.59,28.1,28.36,443500
111444,2015-12-02,BAFL,28.01,29.19,28.0,29.0,521000
111934,2015-12-03,BAFL,29.29,29.3,29.0,29.3,68500
112412,2015-12-04,BAFL,28.67,29.3,28.67,29.01,90000
112899,2015-12-07,BAFL,28.75,29.4,28.75,29.0,59500
113379,2015-12-08,BAFL,29.0,29.6,29.0,29.19,967000
113874,2015-12-09,BAFL,29.5,29.75,29.0,29.5,497500
114363,2015-12-10,BAFL,29.7,30.0,29.61,29.85,1816500
114850,2015-12-14,BAFL,29.5,29.5,28.75,29.0,270000
115319,2015-12-15,BAFL,28.75,29.75,28.75,28.91,593500
115797,2015-12-16,BAFL,29.1,29.1,28.7,28.77,313500
116266,2015-12-17,BAFL,28.99,29.0,28.72,28.99,698500
116741,2015-12-18,BAFL,29.67,29.67,28.7,29.04,46000
117213,2015-12-22,BAFL,29.5,29.62,29.15,29.23,3341000
117714,2015-12-23,BAFL,29.05,29.25,28.9,28.98,306500
118235,2015-12-28,BAFL,29.44,29.45,28.8,28.97,549500
118693,2015-12-29,BAFL,29.0,29.2,28.85,28.88,439500
119175,2015-12-30,BAFL,28.85,29.15,28.8,29.01,1112000
119638,2015-12-31,BAFL,28.99,29.25,28.8,28.82,441000
120104,2016-01-01,BAFL,29.1,29.4,29.05,29.29,47500
120575,2016-01-05,BAFL,28.76,29.5,28.76,29.36,542000
