,Date,Symbol,Open,High,Low,Close,Volume
45,2015-01-01,BOP,10.99,11.07,10.84,10.89,4942000
540,2015-01-02,BOP,10.9,11.04,10.75,10.8,5754000
1072,2015-01-05,BOP,10.81,10.93,10.8,10.84,5195000
1584,2015-01-06,BOP,10.84,11.18,10.8,10.88,12296500
2096,2015-01-07,BOP,10.9,11.1,10.85,10.88,4163000
2607,2015-01-08,BOP,11.0,11.0,10.76,10.82,3884000
3125,2015-01-09,BOP,10.8,10.93,10.62,10.66,6518500
3639,2015-01-12,BOP,10.7,10.83,10.52,10.63,10002500
4168,2015-01-13,BOP,10.68,10.78,10.55,10.56,4149500
4712,2015-01-14,BOP,10.6,10.65,10.4,10.43,5209000
5255,2015-01-15,BOP,10.51,10.89,10.46,10.82,14501000
5806,2015-01-16,BOP,10.87,11.14,10.86,10.93,15801500
6336,2015-01-19,BOP,10.99,11.0,10.76,10.82,4984500
6872,2015-01-20,BOP,10.8,10.86,10.62,10.65,4721500
7404,2015-01-21,BOP,10.65,10.82,10.54,10.59,6099000
7938,2015-01-22,BOP,10.73,10.73,10.43,10.51,3860500
8458,2015-01-23,BOP,10.55,10.61,10.42,10.45,2380500
8968,2015-01-26,BOP,10.45,10.9,10.38,10.81,11886000
9529,2015-01-27,BOP,10.85,11.18,10.8,10.98,21124000
10085,2015-01-28,BOP,10.92,10.98,10.77,10.81,6951500
10634,2015-01-29,BOP,10.84,10.97,10.75,10.79,3028500
11179,2015-01-30,BOP,10.88,10.96,10.72,10.8,5817500
11725,2015-02-02,BOP,10.81,10.91,10.55,10.62,5302000
12240,2015-02-03,BOP,10.75,10.98,10.58,10.72,7309000
12759,2015-02-04,BOP,10.72,10.95,10.46,10.57,8527500
13280,2015-02-06,BOP,10.71,10.82,10.54,10.59,4874500
13781,2015-02-09,BOP,10.57,10.71,10.48,10.53,2459000
14283,2015-02-10,BOP,10.68,10.68,10.4,10.44,4501000
14790,2015-02-11,BOP,10.54,10.54,10.28,10.38,3656000
15300,2015-02-12,BOP,10.33,10.4,10.04,10.18,7095000
15806,2015-02-13,BOP,10.19,10.5,10.19,10.34,4336500
16310,2015-02-16,BOP,10.43,10.44,10.21,10.29,1691000
16800,2015-02-17,BOP,10.35,10.36,9.95,10.09,3730500
17301,2015-02-18,BOP,10.1,10.88,10.1,10.64,30288000
17799,2015-02-19,BOP,10.68,10.87,10.6,10.79,8893000
18302,2015-02-20,BOP,10.86,11.05,10.75,10.86,12750500
18795,2015-02-23,BOP,10.76,11.08,10.76,11.01,8704500
19324,2015-02-24,BOP,11.1,11.18,10.91,10.95,6318000
19864,2015-02-25,BOP,10.95,11.0,10.6,10.66,5605500
20409,2015-02-26,BOP,10.74,10.77,10.56,10.6,4516000
20951,2015-02-27,BOP,10.6,10.74,10.46,10.52,5997500
21483,2015-03-02,BOP,10.52,10.74,10.4,10.52,4765500
21987,2015-03-03,BOP,10.55,10.63,10.3,10.52,5864500
22487,2015-03-04,BOP,10.5,10.67,10.38,10.43,4655500
22991,2015-03-05,BOP,10.42,10.65,10.35,10.52,3548500
23475,2015-03-06,BOP,10.45,10.6,10.32,10.37,3076500
23947,2015-03-09,BOP,10.4,10.45,10.21,10.25,4090500
24426,2015-03-10,BOP,10.22,10.36,10.12,10.24,6620500
24915,2015-03-11,BOP,10.07,10.39,10.03,10.26,9603500
25398,2015-03-12,BOP,10.25,10.48,10.14,10.17,2779000
25887,2015-03-13,BOP,10.19,10.38,10.16,10.33,2564500
26369,2015-03-16,BOP,10.31,10.31,10.1,10.12,3287000
26849,2015-03-17,BOP,10.2,10.27,10.06,10.15,4520500
27330,2015-03-18,BOP,10.23,10.28,9.31,9.6,11060000
27829,2015-03-19,BOP,9.59,9.69,9.3,9.36,3955500
28308,2015-03-20,BOP,9.42,10.19,9.41,9.96,9245500
28777,2015-03-24,BOP,10.0,10.24,9.78,9.81,7247000
29285,2015-03-25,BOP,9.84,9.99,9.56,9.61,4125500
29792,2015-03-26,BOP,9.65,9.85,8.61,8.81,22133000
30320,2015-03-27,BOP,8.94,9.01,7.81,7.81,30917000
