,Date,Symbol,Open,High,Low,Close,Volume
42,2015-01-01,BIPL,9.63,10.0,9.63,9.87,59500
537,2015-01-02,BIPL,9.77,9.88,9.77,9.81,27500
1069,2015-01-05,BIPL,9.81,9.9,9.8,9.82,126500
1581,2015-01-06,BIPL,9.83,10.0,9.8,9.97,221500
2093,2015-01-07,BIPL,10.0,10.14,10.0,10.14,67000
2604,2015-01-08,BIPL,10.23,10.25,10.05,10.2,28500
3122,2015-01-09,BIPL,10.21,10.25,10.11,10.23,103500
3636,2015-01-12,BIPL,10.25,10.25,10.05,10.17,24500
4165,2015-01-13,BIPL,10.05,10.2,10.05,10.16,96500
4709,2015-01-14,BIPL,10.19,10.19,9.9,9.92,224000
5252,2015-01-15,BIPL,9.99,10.0,9.9,9.94,82500
5803,2015-01-16,BIPL,9.9,10.04,9.89,9.95,62500
6333,2015-01-19,BIPL,9.99,10.04,9.94,10.02,24500
6869,2015-01-20,BIPL,10.0,10.16,10.0,10.02,55500
7401,2015-01-21,BIPL,10.0,10.16,10.0,10.03,44500
7935,2015-01-22,BIPL,10.01,10.09,9.8,9.93,183000
8455,2015-01-23,BIPL,9.9,9.92,9.9,9.9,15500
8965,2015-01-26,BIPL,9.78,10.0,9.78,9.91,55000
9526,2015-01-27,BIPL,9.82,9.94,9.81,9.92,37500
10082,2015-01-28,BIPL,9.91,9.91,9.8,9.89,44000
10631,2015-01-29,BIPL,9.85,9.99,9.85,9.9,24000
11176,2015-01-30,BIPL,9.81,9.9,9.78,9.86,71000
11722,2015-02-02,BIPL,9.85,9.92,9.8,9.83,112000
12237,2015-02-03,BIPL,9.85,9.95,9.85,9.9,51000
12756,2015-02-04,BIPL,9.97,9.97,9.8,9.87,294500
13277,2015-02-06,BIPL,9.9,10.0,9.9,9.92,137000
13778,2015-02-09,BIPL,10.0,10.0,9.95,9.95,106000
14280,2015-02-10,BIPL,10.0,10.0,9.88,9.94,76500
14787,2015-02-11,BIPL,9.9,10.0,9.88,9.97,164500
15297,2015-02-12,BIPL,9.99,10.0,9.7,9.71,331500
15803,2015-02-13,BIPL,9.75,10.0,9.75,10.0,72000
16307,2015-02-16,BIPL,10.09,10.1,9.93,9.99,215500
16797,2015-02-17,BIPL,10.1,10.1,9.9,10.0,599000
17298,2015-02-18,BIPL,10.09,10.09,9.95,9.98,316000
17796,2015-02-19,BIPL,9.91,10.45,9.91,10.36,939000
18299,2015-02-20,BIPL,10.3,10.36,10.2,10.29,363000
18792,2015-02-23,BIPL,10.4,10.49,10.15,10.25,688500
19321,2015-02-24,BIPL,10.25,10.3,9.8,10.22,508500
19861,2015-02-25,BIPL,10.05,10.3,10.05,10.18,61500
20406,2015-02-26,BIPL,10.25,10.34,10.15,10.23,344500
20948,2015-02-27,BIPL,9.99,10.0,9.75,9.9,293500
21480,2015-03-02,BIPL,9.9,9.9,9.1,9.5,129500
21984,2015-03-03,BIPL,9.5,9.5,9.05,9.2,101500
22484,2015-03-04,BIPL,9.4,9.78,9.36,9.76,111000
22988,2015-03-05,BIPL,10.0,10.03,9.75,10.0,912000
23472,2015-03-06,BIPL,10.18,10.18,9.75,10.1,1043000
23944,2015-03-09,BIPL,10.02,10.2,9.85,9.93,32000
24423,2015-03-10,BIPL,9.8,9.8,9.64,9.71,49000
24912,2015-03-11,BIPL,9.5,9.75,9.5,9.67,25000
25395,2015-03-12,BIPL,9.75,9.99,9.65,9.77,100500
25883,2015-03-13,BIPL,10.11,10.2,9.85,10.04,1666500
26365,2015-03-16,BIPL,10.02,10.07,10.0,10.0,1328500
26845,2015-03-17,BIPL,10.0,10.1,9.91,9.92,188500
27326,2015-03-18,BIPL,9.85,9.85,9.4,9.67,229500
27825,2015-03-19,BIPL,9.74,9.74,9.41,9.56,96000
28304,2015-03-20,BIPL,9.7,9.74,9.55,9.7,132500
28773,2015-03-24,BIPL,9.7,9.7,9.25,9.5,61000
29281,2015-03-25,BIPL,9.5,9.5,9.0,9.03,64500
29788,2015-03-26,BIPL,9.1,9.1,8.8,8.95,128000
30316,2015-03-27,BIPL,8.9,9.03,8.8,8.92,193500
30847,2015-03-30,BIPL,8.8,8.8,8.15,8.4,281000
31368,2015-03-31,BIPL,8.7,9.19,8.62,9.02,96000
31874,2015-04-01,BIPL,9.0,9.0,8.85,9.0,75000
32376,2015-04-02,BIPL,9.11,9.11,8.8,8.95,35500
32881,2015-04-03,BIPL,8.91,9.1,8.78,9.04,42500
33380,2015-04-06,BIPL,9.1,10.0,9.1,9.5,108500
33890,2015-04-07,BIPL,9.3,9.5,9.3,9.4,48000
34385,2015-04-08,BIPL,9.31,9.56,9.31,9.5,46500
34878,2015-04-09,BIPL,9.5,9.5,9.4,9.49,66000
35366,2015-04-10,BIPL,9.42,9.7,9.42,9.51,39000
35879,2015-04-13,BIPL,9.34,10.0,9.31,9.76,1905500
