,Date,Symbol,Open,High,Low,Close,Volume
271,2015-01-01,BAPL,7.25,7.5,7.25,7.5,3000
797,2015-01-02,BAPL,7.11,7.5,7.11,7.3,5000
1314,2015-01-05,BAPL,7.11,7.34,7.1,7.2,18000
1822,2015-01-06,BAPL,7.22,7.31,7.15,7.18,12000
2853,2015-01-08,BAPL,7.0,7.25,6.61,6.82,11500
3367,2015-01-09,BAPL,7.19,7.4,7.1,7.4,9000
3893,2015-01-12,BAPL,7.11,7.32,7.0,7.32,7500
4431,2015-01-13,BAPL,7.35,7.7,7.35,7.55,28500
4976,2015-01-14,BAPL,7.44,8.5,7.4,8.1,179000
5523,2015-01-15,BAPL,8.1,8.85,8.1,8.37,137000
6060,2015-01-16,BAPL,8.9,8.9,8.15,8.18,36000
6594,2015-01-19,BAPL,8.02,8.6,7.76,8.0,43500
7130,2015-01-20,BAPL,8.0,8.0,7.99,8.0,1500
7667,2015-01-21,BAPL,8.0,8.0,7.5,7.99,17000
8697,2015-01-23,BAPL,7.75,7.75,7.7,7.7,6000
9220,2015-01-26,BAPL,7.57,7.69,7.42,7.49,8000
9776,2015-01-27,BAPL,7.24,7.65,7.21,7.57,35000
10334,2015-01-28,BAPL,7.5,7.5,7.5,7.5,1000
10884,2015-01-29,BAPL,7.5,7.75,7.5,7.53,7500
11419,2015-01-30,BAPL,7.6,7.8,7.6,7.8,3500
11978,2015-02-02,BAPL,7.61,8.8,7.61,8.6,94500
12495,2015-02-03,BAPL,8.25,8.25,7.87,7.9,72000
13014,2015-02-04,BAPL,7.9,8.0,7.51,7.81,46000
13518,2015-02-06,BAPL,7.51,7.51,7.42,7.42,2500
14026,2015-02-09,BAPL,7.52,7.6,7.5,7.6,13000
14525,2015-02-10,BAPL,7.5,7.5,7.3,7.31,13500
15035,2015-02-11,BAPL,7.49,8.1,7.49,8.02,46000
15549,2015-02-12,BAPL,7.9,8.0,7.7,7.75,12000
16046,2015-02-13,BAPL,8.0,8.0,8.0,8.0,1000
16544,2015-02-16,BAPL,8.0,8.0,8.0,8.0,1000
17039,2015-02-17,BAPL,7.75,7.75,7.75,7.75,6500
17539,2015-02-18,BAPL,7.76,7.76,7.7,7.7,21000
18045,2015-02-19,BAPL,7.71,7.71,7.6,7.6,7000
18534,2015-02-20,BAPL,7.37,7.42,7.36,7.36,3000
19022,2015-02-23,BAPL,7.28,7.35,7.0,7.04,16000
19570,2015-02-24,BAPL,7.0,7.0,6.92,7.0,6500
20106,2015-02-25,BAPL,7.0,7.0,7.0,7.0,7000
21722,2015-03-02,BAPL,6.73,6.8,6.73,6.8,2000
22227,2015-03-03,BAPL,6.95,6.95,6.75,6.75,2500
22729,2015-03-04,BAPL,6.66,6.66,6.63,6.63,3000
23221,2015-03-05,BAPL,6.56,6.8,6.56,6.68,2000
23693,2015-03-06,BAPL,6.3,6.6,6.3,6.6,2000
24166,2015-03-09,BAPL,6.51,6.51,6.49,6.5,7500
25625,2015-03-12,BAPL,6.8,6.8,6.5,6.5,3500
26106,2015-03-13,BAPL,0.0,6.8,6.8,6.5,500
26589,2015-03-16,BAPL,7.0,7.0,6.25,6.94,5500
27061,2015-03-17,BAPL,0.0,6.21,6.21,6.94,1000
27564,2015-03-18,BAPL,6.25,6.49,6.25,6.49,2000
28055,2015-03-19,BAPL,0.0,6.21,6.21,6.49,1000
28994,2015-03-24,BAPL,6.21,6.21,6.2,6.2,3000
29500,2015-03-25,BAPL,6.25,7.2,6.0,6.15,86500
30012,2015-03-26,BAPL,6.01,6.01,5.99,5.99,10500
30544,2015-03-27,BAPL,5.9,6.73,5.49,5.53,23000
31098,2015-03-30,BAPL,5.5,5.5,5.01,5.01,3500
31605,2015-03-31,BAPL,5.5,5.8,5.5,5.8,6500
32109,2015-04-01,BAPL,5.91,5.92,5.88,5.92,6000
32616,2015-04-02,BAPL,6.2,6.6,6.0,6.6,13500
33122,2015-04-03,BAPL,6.1,6.66,6.1,6.66,1500
33625,2015-04-06,BAPL,6.2,6.2,6.2,6.2,1000
34128,2015-04-07,BAPL,6.16,6.16,6.05,6.05,5000
35611,2015-04-10,BAPL,5.82,6.45,5.51,6.45,48000
36120,2015-04-13,BAPL,6.1,6.1,6.1,6.1,500
37075,2015-04-15,BAPL,6.1,6.1,6.0,6.0,3500
38089,2015-04-17,BAPL,6.66,6.7,6.1,6.5,12500
39116,2015-04-21,BAPL,6.15,6.15,6.11,6.11,1500
39653,2015-04-22,BAPL,6.4,6.49,6.4,6.49,1000
40702,2015-04-24,BAPL,0.0,6.5,6.5,6.49,1000
41244,2015-04-27,BAPL,6.2,6.2,6.05,6.05,4500
41758,2015-04-28,BAPL,6.05,6.05,6.05,6.05,500
42277,2015-04-29,BAPL,6.06,6.06,6.0,6.06,3500
42775,2015-04-30,BAPL,6.1,6.1,6.1,6.1,500
43270,2015-05-04,BAPL,6.29,6.4,6.19,6.19,4500
43768,2015-05-05,BAPL,6.11,6.11,6.1,6.1,1000
44275,2015-05-06,BAPL,0.0,6.4,6.4,6.1,3000
44778,2015-05-07,BAPL,6.3,6.3,6.0,6.0,44000
45753,2015-05-11,BAPL,6.1,6.89,5.41,5.45,71500
46230,2015-05-12,BAPL,5.45,5.78,5.45,5.78,4000
46700,2015-05-13,BAPL,5.78,5.78,5.78,5.78,500
47174,2015-05-14,BAPL,5.7,5.7,5.7,5.7,2500
47656,2015-05-15,BAPL,5.5,5.8,5.5,5.7,3000
48143,2015-05-18,BAPL,5.06,5.3,5.02,5.3,28000
48620,2015-05-20,BAPL,0.0,5.09,5.09,5.46,1000
49095,2015-05-21,BAPL,5.45,5.75,5.45,5.75,7000
49561,2015-05-22,BAPL,5.5,5.6,5.5,5.51,7000
51084,2015-05-28,BAPL,5.2,5.2,5.2,5.2,500
52690,2015-06-02,BAPL,5.89,6.0,5.6,5.6,4500
53205,2015-06-03,BAPL,0.0,5.92,5.92,5.6,500
53729,2015-06-04,BAPL,5.96,5.97,5.96,5.97,1500
54773,2015-06-08,BAPL,5.26,5.8,5.26,5.75,3500
55299,2015-06-09,BAPL,5.75,5.94,5.51,5.94,3500
55818,2015-06-10,BAPL,5.9,6.2,5.9,6.0,38000
56345,2015-06-12,BAPL,6.1,6.2,6.1,6.2,2500
56884,2015-06-15,BAPL,6.19,6.19,5.9,5.9,2000
57405,2015-06-16,BAPL,6.39,6.39,6.39,6.39,500
57938,2015-06-17,BAPL,6.39,6.5,6.1,6.5,10500
58475,2015-06-18,BAPL,6.65,6.65,6.25,6.5,9000
58979,2015-06-19,BAPL,6.5,6.6,6.5,6.5,5500
60015,2015-06-23,BAPL,6.5,6.5,6.5,6.5,5500
60584,2015-06-24,BAPL,6.5,6.6,6.5,6.5,3000
61130,2015-06-25,BAPL,6.99,7.0,6.6,6.61,5500
61661,2015-06-26,BAPL,6.88,6.88,6.5,6.5,12000
62197,2015-06-29,BAPL,6.5,6.8,6.5,6.8,6000
62688,2015-06-30,BAPL,6.6,6.79,6.56,6.79,2500
63698,2015-07-02,BAPL,6.8,6.8,6.8,6.8,500
64198,2015-07-03,BAPL,6.8,7.65,6.8,7.59,57500
64709,2015-07-06,BAPL,7.58,8.49,7.58,8.3,40500
65220,2015-07-07,BAPL,8.0,8.44,8.0,8.19,30000
66243,2015-07-09,BAPL,7.6,8.45,7.6,7.93,35500
66734,2015-07-10,BAPL,7.85,8.02,7.85,8.0,16500
67231,2015-07-13,BAPL,8.25,8.64,8.2,8.45,35000
67739,2015-07-14,BAPL,8.41,8.55,8.25,8.3,34000
