,Date,Symbol,Open,High,Low,Close,Volume
273,2015-01-01,BERG,107.35,108.0,105.65,106.73,97500
799,2015-01-02,BERG,106.7,107.0,104.5,105.35,74000
1316,2015-01-05,BERG,105.5,110.61,105.1,110.61,152000
1824,2015-01-06,BERG,112.75,113.69,107.0,111.36,439500
2343,2015-01-07,BERG,111.03,113.6,110.75,111.27,206500
2855,2015-01-08,BERG,111.8,112.38,109.0,110.98,188000
3369,2015-01-09,BERG,111.02,116.52,110.01,115.0,485000
3895,2015-01-12,BERG,115.0,117.95,113.05,114.14,288500
4433,2015-01-13,BERG,115.5,119.84,115.01,117.38,980500
4978,2015-01-14,BERG,118.5,123.19,118.25,121.37,638000
5525,2015-01-15,BERG,123.5,125.5,120.51,124.08,408000
6062,2015-01-16,BERG,124.5,127.6,120.65,121.9,315500
6596,2015-01-19,BERG,122.75,126.0,120.5,125.18,304500
7132,2015-01-20,BERG,126.99,131.43,123.5,131.43,512000
7669,2015-01-21,BERG,135.0,138.0,135.0,138.0,147000
8190,2015-01-22,BERG,141.5,144.5,134.25,137.31,1164000
8699,2015-01-23,BERG,137.0,139.95,133.0,133.97,206500
9222,2015-01-26,BERG,140.66,140.66,135.35,140.66,608500
9778,2015-01-27,BERG,141.0,142.88,138.5,138.87,233500
10336,2015-01-28,BERG,139.5,143.0,138.5,141.83,450500
10886,2015-01-29,BERG,143.49,147.0,143.49,144.5,434500
11421,2015-01-30,BERG,145.0,146.35,140.75,142.36,245000
11980,2015-02-02,BERG,143.0,144.0,140.1,142.35,86000
12497,2015-02-03,BERG,142.0,142.0,135.24,135.24,218500
13016,2015-02-04,BERG,128.48,128.48,128.48,128.48,23000
13520,2015-02-06,BERG,125.0,129.5,123.3,125.14,573000
14028,2015-02-09,BERG,126.0,127.0,122.51,122.95,131000
14527,2015-02-10,BERG,122.0,124.0,116.81,120.97,186500
15037,2015-02-11,BERG,124.0,124.0,119.51,121.17,105000
15551,2015-02-12,BERG,120.99,122.0,119.0,119.96,159000
16048,2015-02-13,BERG,118.0,123.0,117.8,118.03,158000
16546,2015-02-16,BERG,118.79,118.79,114.5,115.53,74000
17041,2015-02-17,BERG,115.1,115.5,112.0,113.18,88500
17541,2015-02-18,BERG,110.3,116.0,110.3,113.48,66000
18047,2015-02-19,BERG,113.05,115.8,112.7,114.94,179000
18536,2015-02-20,BERG,115.95,115.95,109.5,110.09,57500
19024,2015-02-23,BERG,107.05,113.5,107.0,110.7,189500
19572,2015-02-24,BERG,113.4,116.23,113.0,116.23,28500
20108,2015-02-25,BERG,122.04,122.04,122.04,122.04,69000
20659,2015-02-26,BERG,127.75,128.14,126.0,128.14,515000
21188,2015-02-27,BERG,130.0,130.9,126.0,126.01,310000
21724,2015-03-02,BERG,126.89,127.0,119.71,119.71,105500
22229,2015-03-03,BERG,119.65,121.0,113.73,117.28,94000
22731,2015-03-04,BERG,118.5,121.5,114.0,117.25,235500
23223,2015-03-05,BERG,117.25,121.0,115.25,115.88,99500
23695,2015-03-06,BERG,115.98,121.0,115.0,120.42,154000
24168,2015-03-09,BERG,121.5,123.5,119.5,120.19,78500
24655,2015-03-10,BERG,118.01,123.0,118.0,118.33,90000
25138,2015-03-11,BERG,118.0,118.9,115.0,116.81,27000
25627,2015-03-12,BERG,118.0,118.0,114.55,115.02,60500
26108,2015-03-13,BERG,116.0,117.5,115.5,116.67,49000
26591,2015-03-16,BERG,119.99,122.5,119.06,120.18,326000
27063,2015-03-17,BERG,119.3,120.0,117.0,117.66,86500
27566,2015-03-18,BERG,117.5,117.6,111.78,112.92,60500
28056,2015-03-19,BERG,116.2,116.99,112.0,113.07,88500
28523,2015-03-20,BERG,114.8,116.0,113.35,114.97,47000
28996,2015-03-24,BERG,115.99,116.0,110.01,110.93,20500
29502,2015-03-25,BERG,110.03,112.48,109.15,110.0,25500
30014,2015-03-26,BERG,109.0,109.0,104.5,104.5,77500
30546,2015-03-27,BERG,102.2,103.0,99.28,99.28,163000
31100,2015-03-30,BERG,96.01,96.01,94.32,94.32,23000
31607,2015-03-31,BERG,89.62,99.03,89.62,99.0,81500
32111,2015-04-01,BERG,97.0,103.95,97.0,99.02,192000
32618,2015-04-02,BERG,99.5,103.0,99.2,102.76,86000
33124,2015-04-03,BERG,104.0,107.89,101.4,107.89,109000
33627,2015-04-06,BERG,109.5,113.28,107.49,113.28,139000
34130,2015-04-07,BERG,115.1,117.0,113.0,116.14,184500
34614,2015-04-08,BERG,116.0,118.0,112.23,113.72,81000
35104,2015-04-09,BERG,114.01,116.0,112.3,113.51,32500
35613,2015-04-10,BERG,114.0,115.35,112.5,113.18,55500
36122,2015-04-13,BERG,112.99,118.83,112.35,116.44,244000
36593,2015-04-14,BERG,115.0,116.5,114.0,114.41,57500
37077,2015-04-15,BERG,116.5,117.9,113.6,114.0,15000
37573,2015-04-16,BERG,114.0,116.22,113.0,114.62,72500
38091,2015-04-17,BERG,115.0,117.9,115.0,116.39,65500
38595,2015-04-20,BERG,115.0,118.0,115.0,116.51,97500
39118,2015-04-21,BERG,116.0,116.0,113.0,114.45,22500
39655,2015-04-22,BERG,112.0,116.7,112.0,113.62,47500
40181,2015-04-23,BERG,115.3,119.3,114.56,119.3,84500
40704,2015-04-24,BERG,122.0,122.85,115.25,117.08,116500
41246,2015-04-27,BERG,118.5,122.0,117.25,119.97,208000
41760,2015-04-28,BERG,113.98,113.98,113.98,113.98,21500
42279,2015-04-29,BERG,108.29,108.29,108.29,108.29,8500
42777,2015-04-30,BERG,102.88,102.88,102.88,102.88,7500
43272,2015-05-04,BERG,97.74,107.98,97.74,103.87,294500
43770,2015-05-05,BERG,103.0,103.51,99.32,100.18,76500
44277,2015-05-06,BERG,100.5,102.4,97.05,97.63,84500
44780,2015-05-07,BERG,98.0,99.69,95.51,96.07,67500
45265,2015-05-08,BERG,96.5,98.64,94.0,94.67,29000
45755,2015-05-11,BERG,94.7,96.0,89.94,89.99,78500
46232,2015-05-12,BERG,90.01,94.48,89.5,94.48,53500
46702,2015-05-13,BERG,97.25,99.2,95.5,99.2,141500
47176,2015-05-14,BERG,99.1,103.85,98.6,99.63,141500
47658,2015-05-15,BERG,99.0,99.89,97.8,98.14,21000
48145,2015-05-18,BERG,97.0,97.99,95.1,96.57,28500
48622,2015-05-20,BERG,97.0,98.75,96.5,97.8,20000
49097,2015-05-21,BERG,97.1,98.5,97.1,97.8,7000
49563,2015-05-22,BERG,98.0,98.0,96.2,97.0,4000
50035,2015-05-25,BERG,97.5,99.0,96.61,97.1,11500
50562,2015-05-27,BERG,96.0,100.6,96.0,96.83,49500
51086,2015-05-28,BERG,96.1,97.72,95.45,95.52,21000
51612,2015-05-29,BERG,95.56,97.2,95.56,96.29,77500
52171,2015-06-01,BERG,95.2,95.2,94.1,94.88,28000
52692,2015-06-02,BERG,94.35,96.85,94.25,95.07,46500
53207,2015-06-03,BERG,95.8,95.8,93.6,94.99,30500
53731,2015-06-04,BERG,96.15,96.15,94.2,94.6,46000
54245,2015-06-05,BERG,94.5,96.42,94.0,95.41,57500
54775,2015-06-08,BERG,94.0,96.9,90.66,94.21,50500
55301,2015-06-09,BERG,96.0,96.5,95.0,95.05,34500
55820,2015-06-10,BERG,96.0,97.0,94.25,96.19,65500
56347,2015-06-12,BERG,105.5,106.0,101.01,102.69,264500
56886,2015-06-15,BERG,103.5,103.5,98.1,99.69,67500
57407,2015-06-16,BERG,99.25,99.95,98.0,99.67,35000
57940,2015-06-17,BERG,98.2,99.0,98.05,98.67,20000
58477,2015-06-18,BERG,98.5,98.5,96.7,97.1,107000
58981,2015-06-19,BERG,97.9,97.9,96.67,96.95,70000
59474,2015-06-22,BERG,95.5,95.5,93.05,94.01,16500
60017,2015-06-23,BERG,93.6,94.0,93.5,93.6,23000
60586,2015-06-24,BERG,93.0,97.99,93.0,96.01,83500
61132,2015-06-25,BERG,95.11,96.75,92.56,93.8,27500
61663,2015-06-26,BERG,92.25,94.0,91.0,91.53,34000
62199,2015-06-29,BERG,92.5,94.0,92.5,92.99,22000
62690,2015-06-30,BERG,93.3,93.5,92.0,92.95,17000
63192,2015-07-01,BERG,93.25,95.85,93.1,95.18,16500
63700,2015-07-02,BERG,95.11,99.5,95.1,98.52,55000
64200,2015-07-03,BERG,97.5,98.5,97.01,97.68,12000
64711,2015-07-06,BERG,98.9,102.56,98.9,102.56,25500
65222,2015-07-07,BERG,107.68,107.68,103.1,107.64,228000
65731,2015-07-08,BERG,110.0,110.0,105.0,105.8,79500
66245,2015-07-09,BERG,103.15,106.0,102.0,102.44,76000
66736,2015-07-10,BERG,102.05,103.8,101.51,101.92,53500
67232,2015-07-13,BERG,101.5,103.0,101.5,102.96,15500
67741,2015-07-14,BERG,101.75,108.0,101.75,107.16,106500
68262,2015-07-15,BERG,107.9,107.9,103.0,103.76,56000
68782,2015-07-16,BERG,103.05,104.45,101.0,101.74,37500
69318,2015-07-22,BERG,104.0,105.0,102.5,103.79,122500
69855,2015-07-23,BERG,104.5,108.97,104.0,108.97,357500
70382,2015-07-24,BERG,110.2,112.0,106.12,110.39,226000
70914,2015-07-27,BERG,109.0,109.0,104.88,104.88,53000
71460,2015-07-28,BERG,102.1,109.0,102.1,106.99,61500
72028,2015-07-29,BERG,106.55,108.0,105.25,105.68,51500
72576,2015-07-30,BERG,105.95,106.01,103.0,103.01,69000
73116,2015-07-31,BERG,102.99,103.79,102.01,102.95,50000
73642,2015-08-03,BERG,103.5,107.7,103.15,106.99,66500
74136,2015-08-04,BERG,107.99,111.0,107.5,108.97,110000
74656,2015-08-05,BERG,109.0,110.0,107.05,107.54,39500
75177,2015-08-06,BERG,108.0,109.45,107.55,107.97,36500
75698,2015-08-07,BERG,109.95,112.9,109.0,111.24,121500
76206,2015-08-10,BERG,113.49,113.5,110.0,110.34,55000
76729,2015-08-11,BERG,111.0,115.85,110.35,115.85,298000
77246,2015-08-12,BERG,118.73,118.8,113.0,113.98,199000
77773,2015-08-13,BERG,115.5,118.3,113.4,117.23,135500
78276,2015-08-17,BERG,118.65,121.4,114.55,117.47,248500
78788,2015-08-18,BERG,118.5,119.0,115.0,116.01,94000
79304,2015-08-19,BERG,114.05,118.0,114.05,116.17,56000
79823,2015-08-20,BERG,116.05,119.75,116.05,117.17,205500
80322,2015-08-21,BERG,117.99,118.0,111.35,112.53,81500
80837,2015-08-24,BERG,107.25,107.25,106.91,106.91,20000
81371,2015-08-25,BERG,105.0,109.99,102.0,107.17,143000
81915,2015-08-26,BERG,105.5,108.0,103.0,103.44,61500
82458,2015-08-27,BERG,104.0,105.81,104.0,104.5,26500
83009,2015-08-28,BERG,106.65,108.5,105.0,107.4,95500
83567,2015-08-31,BERG,106.9,111.99,106.8,109.6,118500
84087,2015-09-01,BERG,109.6,109.6,104.12,105.09,77500
84569,2015-09-14,BERG,101.5,101.5,96.05,96.5,17000
85049,2015-09-15,BERG,97.0,98.0,96.65,96.66,9500
85528,2015-09-16,BERG,98.0,101.49,98.0,101.47,30000
86024,2015-09-17,BERG,102.0,103.0,98.0,98.13,30000
86484,2015-09-18,BERG,99.0,99.0,96.0,96.69,4000
86942,2015-09-21,BERG,98.0,99.99,97.5,99.99,10000
87447,2015-09-22,BERG,100.0,101.2,100.0,100.0,11500
87942,2015-09-23,BERG,100.0,102.5,100.0,101.87,15000
88435,2015-09-28,BERG,104.5,105.5,98.2,99.76,72500
88911,2015-09-29,BERG,96.0,96.0,94.78,94.78,31500
89380,2015-09-30,BERG,94.05,94.5,90.05,90.17,95500
89856,2015-10-01,BERG,90.0,90.0,86.06,88.72,42500
90327,2015-10-02,BERG,90.0,90.0,87.87,87.99,64500
90812,2015-10-05,BERG,88.0,88.95,86.77,87.24,12500
91315,2015-10-06,BERG,88.0,90.8,87.0,87.98,189000
91799,2015-10-07,BERG,88.01,92.37,86.02,92.28,220000
92290,2015-10-08,BERG,92.44,96.89,90.75,94.93,199000
92792,2015-10-09,BERG,96.0,96.5,94.25,94.42,93000
93303,2015-10-12,BERG,95.0,95.0,92.6,92.8,17000
93810,2015-10-13,BERG,94.0,94.0,91.1,91.15,26000
94318,2015-10-14,BERG,92.5,92.5,90.01,90.75,10500
94816,2015-10-15,BERG,91.89,95.28,91.89,95.28,81000
95310,2015-10-16,BERG,100.04,100.04,99.0,100.04,125500
95818,2015-10-19,BERG,101.99,105.04,100.1,104.05,150500
96321,2015-10-20,BERG,104.9,109.2,104.25,107.72,234500
96819,2015-10-21,BERG,106.0,108.85,104.5,105.3,84000
97321,2015-10-22,BERG,104.3,109.51,104.01,109.51,140500
97808,2015-10-26,BERG,110.56,114.98,110.56,113.1,183000
98329,2015-10-27,BERG,114.0,114.1,110.0,111.72,64000
98870,2015-10-28,BERG,112.75,112.9,110.0,110.63,58000
99415,2015-10-29,BERG,110.0,111.9,105.1,105.88,181500
99951,2015-10-30,BERG,106.0,107.98,105.0,105.37,26500
100492,2015-11-02,BERG,104.5,104.55,102.0,102.67,22000
100978,2015-11-03,BERG,102.1,103.4,102.05,102.48,14500
101486,2015-11-04,BERG,103.0,106.02,103.0,104.14,73500
102001,2015-11-05,BERG,103.5,104.5,103.0,103.24,22000
102498,2015-11-06,BERG,103.1,106.89,103.1,105.0,48000
102984,2015-11-09,BERG,104.01,105.49,104.0,104.87,20500
103475,2015-11-10,BERG,103.0,105.4,102.0,102.24,22500
103963,2015-11-11,BERG,103.25,103.45,101.0,101.91,56000
104478,2015-11-12,BERG,103.91,103.91,101.7,102.0,16500
104980,2015-11-13,BERG,102.0,105.4,101.0,102.84,53500
105461,2015-11-16,BERG,101.25,103.5,101.25,103.3,20500
105979,2015-11-17,BERG,102.55,106.51,102.0,105.0,49500
106507,2015-11-18,BERG,106.7,106.7,103.3,103.64,14500
107003,2015-11-19,BERG,103.6,105.5,102.56,102.9,17000
107496,2015-11-20,BERG,103.0,108.04,103.0,108.04,86000
108010,2015-11-23,BERG,110.0,113.4,109.0,110.43,146000
108555,2015-11-24,BERG,109.5,109.5,104.91,105.11,54000
109093,2015-11-25,BERG,103.01,107.49,100.01,105.93,135000
109631,2015-11-26,BERG,108.5,108.5,105.5,105.76,51500
110151,2015-11-27,BERG,104.0,106.5,103.15,106.0,13000
110681,2015-11-30,BERG,111.3,111.3,103.55,104.06,453000
111183,2015-12-01,BERG,103.05,105.88,98.86,98.86,82500
111674,2015-12-02,BERG,99.99,103.3,96.11,101.83,87500
112153,2015-12-03,BERG,100.0,101.5,99.0,99.73,130500
112638,2015-12-04,BERG,101.0,102.75,100.1,100.77,88500
113126,2015-12-07,BERG,101.0,101.5,99.1,99.87,48000
113613,2015-12-08,BERG,99.87,102.2,99.51,99.89,73500
114114,2015-12-09,BERG,100.89,101.0,98.59,98.98,47500
114601,2015-12-10,BERG,100.05,103.92,99.8,103.51,212500
115071,2015-12-14,BERG,98.51,100.51,98.1,99.33,29000
115542,2015-12-15,BERG,100.99,102.0,98.55,99.53,88500
116011,2015-12-16,BERG,99.25,101.25,99.0,99.26,28500
116495,2015-12-17,BERG,100.0,102.0,100.0,100.04,43500
116962,2015-12-18,BERG,100.31,100.31,99.05,99.6,27500
117432,2015-12-22,BERG,101.52,102.68,100.5,100.73,24500
117943,2015-12-23,BERG,101.5,101.5,99.7,99.91,72000
118452,2015-12-28,BERG,99.25,100.5,98.12,99.44,19500
118934,2015-12-29,BERG,100.1,100.1,98.61,98.63,12500
119402,2015-12-30,BERG,98.0,98.25,98.0,98.03,7000
119865,2015-12-31,BERG,98.05,99.24,98.05,98.1,3500
120329,2016-01-01,BERG,99.5,99.95,99.25,99.5,5500
120794,2016-01-05,BERG,96.98,101.0,96.98,100.17,64500
121246,2016-01-06,BERG,98.55,99.7,98.51,99.7,6000
121724,2016-01-07,BERG,100.0,103.0,98.8,99.12,139000
122184,2016-01-11,BERG,97.5,99.5,96.0,97.85,14500
122636,2016-01-12,BERG,97.2,97.2,95.5,95.64,22000
123097,2016-01-13,BERG,97.01,97.01,95.0,95.23,37000
123593,2016-01-14,BERG,91.25,93.75,90.47,90.78,34000
124064,2016-01-15,BERG,90.0,94.0,88.0,88.34,16500
124545,2016-01-18,BERG,85.1,87.8,83.93,86.76,37000
125016,2016-01-19,BERG,90.0,90.95,87.0,88.42,60500
125465,2016-01-20,BERG,90.99,90.99,87.4,88.62,9500
