,Date,Symbol,Open,High,Low,Close,Volume
163,2015-01-01,BWCL,129.0,134.5,129.0,132.5,8400
679,2015-01-02,BWCL,133.99,134.0,129.0,129.0,5900
1710,2015-01-06,BWCL,123.51,127.99,123.51,127.99,600
3252,2015-01-09,BWCL,133.5,133.5,133.5,133.5,500
3775,2015-01-12,BWCL,130.0,130.0,130.0,130.0,10500
4315,2015-01-13,BWCL,130.0,132.5,130.0,132.5,2100
5406,2015-01-15,BWCL,130.0,131.0,130.0,131.0,1000
5947,2015-01-16,BWCL,127.0,127.0,124.45,125.0,12900
6481,2015-01-19,BWCL,122.0,122.0,122.0,122.0,500
7015,2015-01-20,BWCL,121.05,125.5,121.05,125.22,21100
7551,2015-01-21,BWCL,125.0,126.0,123.5,125.73,27000
8073,2015-01-22,BWCL,124.1,125.5,121.5,122.21,8200
8584,2015-01-23,BWCL,122.0,127.0,121.5,122.18,4000
9104,2015-01-26,BWCL,123.0,125.0,123.0,123.29,7700
9662,2015-01-27,BWCL,123.0,123.0,123.0,123.0,1000
10218,2015-01-28,BWCL,126.5,126.5,123.5,123.8,4000
10767,2015-01-29,BWCL,126.0,126.0,125.25,125.25,5600
11305,2015-01-30,BWCL,125.0,125.0,124.0,124.96,8400
11864,2015-02-02,BWCL,125.0,127.5,125.0,127.01,6100
12380,2015-02-03,BWCL,128.0,130.0,127.0,127.45,2300
12898,2015-02-04,BWCL,127.1,127.5,127.0,127.0,900
13403,2015-02-06,BWCL,126.5,126.75,126.5,126.75,5200
15437,2015-02-12,BWCL,126.0,126.0,124.0,124.0,4500
15934,2015-02-13,BWCL,126.9,126.9,124.0,124.5,7800
16924,2015-02-17,BWCL,124.5,125.45,124.5,125.45,3000
17426,2015-02-18,BWCL,123.0,123.0,123.0,125.45,200
17930,2015-02-19,BWCL,124.1,124.1,123.0,123.0,1500
18422,2015-02-20,BWCL,126.0,126.0,126.0,126.0,500
19996,2015-02-25,BWCL,125.5,125.75,125.5,125.75,900
21077,2015-02-27,BWCL,125.5,126.0,124.0,124.92,7500
21610,2015-03-02,BWCL,125.11,125.11,125.1,125.1,400
22116,2015-03-03,BWCL,126.4,126.4,126.4,126.4,200
22618,2015-03-04,BWCL,121.6,121.6,121.6,126.4,100
23583,2015-03-06,BWCL,126.1,126.1,126.1,126.4,100
24058,2015-03-09,BWCL,126.0,126.0,126.0,126.4,100
24542,2015-03-10,BWCL,121.4,124.9,121.0,123.3,1400
25026,2015-03-11,BWCL,125.0,125.0,125.0,125.0,500
25512,2015-03-12,BWCL,123.0,125.0,123.0,124.98,1700
25995,2015-03-13,BWCL,125.0,125.0,125.0,125.0,500
29394,2015-03-25,BWCL,119.0,122.0,119.0,122.0,800
30985,2015-03-30,BWCL,115.9,115.9,115.9,115.9,500
31493,2015-03-31,BWCL,0.0,116.0,116.0,116.0,0
32507,2015-04-02,BWCL,120.0,121.8,120.0,120.3,600
33514,2015-04-06,BWCL,118.0,120.0,118.0,120.0,2000
34505,2015-04-08,BWCL,115.0,120.0,115.0,119.99,9300
35500,2015-04-10,BWCL,125.0,125.9,125.0,125.36,2800
36014,2015-04-13,BWCL,125.0,125.25,125.0,125.0,5800
36488,2015-04-14,BWCL,120.5,120.5,120.5,125.0,100
36968,2015-04-15,BWCL,123.99,123.99,123.99,125.0,100
37461,2015-04-16,BWCL,119.25,119.25,119.12,119.23,800
37980,2015-04-17,BWCL,119.0,119.0,119.0,119.0,500
39009,2015-04-21,BWCL,120.0,120.5,120.0,120.5,5500
40593,2015-04-24,BWCL,120.0,120.0,120.0,120.0,900
41136,2015-04-27,BWCL,125.9,126.0,125.9,126.0,4100
41645,2015-04-28,BWCL,128.27,129.45,128.27,129.45,1000
42665,2015-04-30,BWCL,123.0,123.0,123.0,123.0,500
43162,2015-05-04,BWCL,129.0,129.0,127.0,128.54,2300
44167,2015-05-06,BWCL,130.0,130.0,130.0,130.0,200
45153,2015-05-08,BWCL,132.0,132.0,129.0,129.0,3100
45644,2015-05-11,BWCL,124.0,128.0,124.0,128.0,400
46122,2015-05-12,BWCL,129.99,129.99,129.99,128.0,100
46591,2015-05-13,BWCL,130.0,132.0,128.0,131.0,4900
47064,2015-05-14,BWCL,122.1,124.0,122.1,124.0,5000
47554,2015-05-15,BWCL,118.0,118.0,118.0,118.0,600
48034,2015-05-18,BWCL,123.0,123.9,120.25,120.25,3000
49924,2015-05-25,BWCL,126.0,126.25,124.02,126.24,13600
50450,2015-05-27,BWCL,125.0,133.25,125.0,127.26,30000
50975,2015-05-28,BWCL,125.25,126.9,124.75,125.0,12000
51503,2015-05-29,BWCL,127.0,127.49,127.0,127.49,19000
52056,2015-06-01,BWCL,128.0,128.0,127.1,127.23,5600
52572,2015-06-02,BWCL,127.5,129.99,126.0,126.0,3500
53087,2015-06-03,BWCL,124.0,126.0,124.0,125.0,6900
53614,2015-06-04,BWCL,125.0,125.5,125.0,125.5,2000
54129,2015-06-05,BWCL,125.0,125.5,125.0,125.5,700
54656,2015-06-08,BWCL,126.76,129.5,126.76,128.49,13800
55181,2015-06-09,BWCL,127.25,129.5,127.25,127.98,2400
55703,2015-06-10,BWCL,127.01,127.1,126.98,127.0,2300
56232,2015-06-12,BWCL,124.0,127.98,124.0,127.98,600
56771,2015-06-15,BWCL,128.48,128.5,127.0,127.0,2700
57292,2015-06-16,BWCL,127.0,127.0,127.0,127.0,2900
58365,2015-06-18,BWCL,126.0,126.5,126.0,126.5,300
60472,2015-06-24,BWCL,130.0,130.0,127.0,128.9,28000
63079,2015-07-01,BWCL,124.25,124.25,124.25,124.25,500
