,Date,Symbol,Open,High,Low,Close,Volume
272,2015-01-01,BIFO,186.3,186.99,184.5,184.83,3200
798,2015-01-02,BIFO,183.1,183.5,182.0,182.17,6500
1315,2015-01-05,BIFO,182.0,185.0,182.0,184.0,30900
1823,2015-01-06,BIFO,183.0,185.0,182.0,183.98,11200
2342,2015-01-07,BIFO,184.0,184.5,182.5,183.45,8200
2854,2015-01-08,BIFO,183.0,192.62,183.0,192.62,60100
3368,2015-01-09,BIFO,202.25,202.25,198.0,202.25,120300
3894,2015-01-12,BIFO,211.0,211.39,203.0,203.98,103800
4432,2015-01-13,BIFO,206.0,206.0,198.0,202.71,41600
4977,2015-01-14,BIFO,204.0,212.84,204.0,212.84,78100
5524,2015-01-15,BIFO,216.05,220.0,209.25,212.82,67200
6061,2015-01-16,BIFO,213.25,217.2,208.0,214.64,47100
6595,2015-01-19,BIFO,216.79,224.19,216.0,220.18,66400
7131,2015-01-20,BIFO,221.0,222.0,216.0,220.66,17600
7668,2015-01-21,BIFO,222.0,222.99,217.25,218.42,20000
8189,2015-01-22,BIFO,220.0,220.0,215.5,216.21,7000
8698,2015-01-23,BIFO,215.01,216.0,209.12,210.0,11100
9221,2015-01-26,BIFO,214.02,220.5,214.02,218.46,92900
9777,2015-01-27,BIFO,219.25,220.0,215.25,217.31,27200
10335,2015-01-28,BIFO,216.0,222.99,216.0,217.11,90100
10885,2015-01-29,BIFO,216.02,217.5,215.0,215.16,5900
11420,2015-01-30,BIFO,215.0,217.0,215.0,215.21,23800
11979,2015-02-02,BIFO,217.0,217.0,213.0,213.92,4800
12496,2015-02-03,BIFO,210.03,214.4,203.5,207.77,39800
13015,2015-02-04,BIFO,210.0,210.0,208.0,208.46,16800
13519,2015-02-06,BIFO,207.01,208.99,205.0,208.68,9000
14027,2015-02-09,BIFO,206.0,209.4,206.0,206.78,2600
14526,2015-02-10,BIFO,207.01,215.0,206.5,213.78,36300
15036,2015-02-11,BIFO,215.0,217.0,209.5,212.76,56700
15550,2015-02-12,BIFO,210.5,211.0,207.3,210.39,13500
16047,2015-02-13,BIFO,210.5,219.5,210.5,218.75,63600
16545,2015-02-16,BIFO,219.5,224.9,218.0,220.35,73400
17040,2015-02-17,BIFO,222.03,223.99,214.5,215.22,24400
17540,2015-02-18,BIFO,219.85,219.41,210.1,211.33,31400
18046,2015-02-19,BIFO,210.3,215.12,204.56,206.46,58300
18535,2015-02-20,BIFO,206.0,206.88,203.6,204.94,5700
19023,2015-02-23,BIFO,205.99,207.0,197.52,198.22,22800
19571,2015-02-24,BIFO,195.0,196.0,190.02,194.99,10400
20107,2015-02-25,BIFO,195.09,197.5,193.0,193.33,5800
20658,2015-02-26,BIFO,196.74,197.0,191.5,193.71,37200
21187,2015-02-27,BIFO,196.0,197.99,191.0,192.71,12100
21723,2015-03-02,BIFO,192.0,192.0,186.8,187.78,28800
22228,2015-03-03,BIFO,192.95,195.75,187.0,192.34,48400
22730,2015-03-04,BIFO,193.0,195.99,192.6,194.13,26100
23222,2015-03-05,BIFO,195.0,197.0,194.99,195.0,14500
23694,2015-03-06,BIFO,199.0,199.0,192.0,192.29,4500
24167,2015-03-09,BIFO,193.0,194.0,191.86,191.97,10500
24654,2015-03-10,BIFO,194.99,195.0,191.76,193.29,9100
25137,2015-03-11,BIFO,192.99,193.0,190.0,191.79,15100
25626,2015-03-12,BIFO,187.25,191.0,185.0,190.6,5900
26107,2015-03-13,BIFO,192.25,194.0,191.0,193.0,31900
26590,2015-03-16,BIFO,193.0,194.0,190.0,192.7,5900
27062,2015-03-17,BIFO,193.95,194.98,190.0,191.99,19600
27565,2015-03-18,BIFO,190.0,190.01,182.4,189.0,20800
28522,2015-03-20,BIFO,188.99,188.99,180.0,183.04,3400
28995,2015-03-24,BIFO,182.0,182.0,173.89,174.05,6500
29501,2015-03-25,BIFO,175.56,177.0,165.35,167.15,13200
30013,2015-03-26,BIFO,166.0,167.0,158.8,158.8,33900
30545,2015-03-27,BIFO,152.1,162.5,152.1,160.0,21500
31099,2015-03-30,BIFO,155.0,162.0,155.0,161.95,80400
31606,2015-03-31,BIFO,167.99,170.04,165.0,170.04,15600
32110,2015-04-01,BIFO,171.0,178.54,171.0,178.54,32700
32617,2015-04-02,BIFO,181.0,187.46,180.0,187.46,59000
33123,2015-04-03,BIFO,189.0,190.01,186.0,187.8,18300
33626,2015-04-06,BIFO,188.4,189.0,186.0,188.19,18100
34129,2015-04-07,BIFO,186.01,191.0,185.0,188.25,5000
34613,2015-04-08,BIFO,187.5,189.0,186.0,186.0,5100
35103,2015-04-09,BIFO,183.0,187.7,182.65,187.7,3400
35612,2015-04-10,BIFO,189.0,189.0,185.0,185.46,6200
36121,2015-04-13,BIFO,187.0,192.0,184.0,189.32,17200
36592,2015-04-14,BIFO,189.0,192.0,187.6,188.71,18100
37076,2015-04-15,BIFO,190.0,190.5,185.0,186.57,13200
37572,2015-04-16,BIFO,188.0,190.0,186.02,187.71,23200
38090,2015-04-17,BIFO,190.0,192.5,190.0,190.25,19900
38594,2015-04-20,BIFO,192.0,192.0,188.3,189.11,9000
39117,2015-04-21,BIFO,190.0,190.0,187.0,187.07,7400
39654,2015-04-22,BIFO,189.0,190.05,187.25,189.75,33200
40180,2015-04-23,BIFO,191.0,191.5,189.0,190.5,19100
40703,2015-04-24,BIFO,194.99,200.02,194.99,200.02,28700
41245,2015-04-27,BIFO,210.02,210.02,196.51,197.15,53400
41759,2015-04-28,BIFO,199.0,203.8,193.9,196.76,93800
42278,2015-04-29,BIFO,197.0,201.0,196.0,196.67,13600
42776,2015-04-30,BIFO,198.9,198.9,192.5,193.06,14200
43271,2015-05-04,BIFO,194.0,195.0,186.0,187.63,21900
43769,2015-05-05,BIFO,187.25,193.0,182.0,191.71,11800
44276,2015-05-06,BIFO,192.0,195.0,192.0,192.88,8600
44779,2015-05-07,BIFO,192.7,192.7,189.7,190.29,18800
