,Date,Symbol,Open,High,Low,Close,Volume
1110,2015-01-05,BILF,6.5,6.5,6.5,6.5,500
2641,2015-01-08,BILF,6.52,6.52,6.5,6.5,3000
3678,2015-01-12,BILF,6.8,6.8,6.8,6.8,1500
4205,2015-01-13,BILF,6.89,6.98,6.89,6.95,5000
5296,2015-01-15,BILF,6.89,6.9,6.7,6.7,10500
5849,2015-01-16,BILF,6.7,6.7,6.7,6.7,2000
6374,2015-01-19,BILF,6.99,7.0,6.99,7.0,3500
7448,2015-01-21,BILF,6.65,6.65,6.65,6.65,2000
7979,2015-01-22,BILF,6.52,6.52,6.52,6.52,500
9008,2015-01-26,BILF,6.65,6.98,6.6,6.6,19000
9571,2015-01-27,BILF,6.6,6.6,6.6,6.6,1000
10125,2015-01-28,BILF,6.6,6.6,6.45,6.45,4000
10673,2015-01-29,BILF,6.5,6.5,6.5,6.5,6000
11216,2015-01-30,BILF,6.6,6.6,6.6,6.6,500
11763,2015-02-02,BILF,6.5,6.5,6.42,6.43,2500
12802,2015-02-04,BILF,6.02,6.02,6.02,6.02,500
13316,2015-02-06,BILF,6.49,6.5,6.49,6.5,6000
13821,2015-02-09,BILF,6.75,6.75,6.65,6.65,4500
14319,2015-02-10,BILF,6.74,6.74,6.0,6.21,12000
14825,2015-02-11,BILF,6.2,6.2,6.1,6.2,5500
16342,2015-02-16,BILF,6.0,6.0,6.0,6.0,1000
16836,2015-02-17,BILF,6.0,6.1,6.0,6.1,11500
17339,2015-02-18,BILF,6.0,6.0,6.0,6.0,5000
17836,2015-02-19,BILF,6.1,6.1,6.0,6.0,10000
19362,2015-02-24,BILF,5.65,5.65,5.65,5.65,500
19902,2015-02-25,BILF,5.6,5.84,5.5,5.83,2500
20988,2015-02-27,BILF,5.6,5.6,5.5,5.6,1500
21521,2015-03-02,BILF,5.5,5.5,5.11,5.5,3000
22023,2015-03-03,BILF,5.05,5.05,5.05,5.05,500
22525,2015-03-04,BILF,5.2,5.2,5.2,5.2,1000
23027,2015-03-05,BILF,5.0,5.2,5.0,5.2,3500
23510,2015-03-06,BILF,5.25,5.3,5.25,5.26,2000
23984,2015-03-09,BILF,5.01,5.3,5.01,5.3,5500
24465,2015-03-10,BILF,5.2,5.2,5.02,5.02,1500
24950,2015-03-11,BILF,5.25,5.25,5.25,5.25,1000
25925,2015-03-13,BILF,5.05,5.05,5.05,5.05,2000
26400,2015-03-16,BILF,5.02,5.05,5.0,5.0,14000
27864,2015-03-19,BILF,5.0,5.0,5.0,5.0,5000
29828,2015-03-26,BILF,4.99,4.99,4.99,4.99,500
30890,2015-03-30,BILF,4.0,4.5,4.0,4.0,6500
31409,2015-03-31,BILF,4.2,5.0,4.2,4.3,3000
31916,2015-04-01,BILF,4.5,4.5,4.3,4.3,1000
32415,2015-04-02,BILF,4.3,4.3,4.3,4.3,2000
32924,2015-04-03,BILF,5.0,5.0,5.0,5.0,500
33426,2015-04-06,BILF,4.5,4.99,4.25,4.3,15500
33934,2015-04-07,BILF,4.5,4.5,4.5,4.5,2500
35925,2015-04-13,BILF,4.5,5.08,4.5,5.08,1500
36414,2015-04-14,BILF,5.0,5.0,5.0,5.0,1000
36888,2015-04-15,BILF,4.44,4.5,4.44,4.44,4000
38928,2015-04-21,BILF,4.4,4.4,4.4,4.4,1500
39989,2015-04-23,BILF,4.4,4.4,4.4,4.4,500
43076,2015-05-04,BILF,4.4,4.4,4.4,4.4,500
46517,2015-05-13,BILF,4.5,4.5,4.5,4.5,1000
50356,2015-05-27,BILF,4.0,4.0,4.0,4.0,500
53002,2015-06-03,BILF,4.51,4.65,4.51,4.65,39500
53519,2015-06-04,BILF,4.58,4.58,4.5,4.5,2500
54036,2015-06-05,BILF,4.5,4.5,4.5,4.5,7000
54550,2015-06-08,BILF,4.5,5.0,4.5,4.99,22500
55081,2015-06-09,BILF,4.8,4.8,4.8,4.8,6000
55604,2015-06-10,BILF,4.82,4.82,4.8,4.8,3000
57192,2015-06-16,BILF,4.56,4.56,4.56,4.56,1000
57716,2015-06-17,BILF,4.8,4.8,4.8,4.8,500
58251,2015-06-18,BILF,5.0,5.02,4.9,4.9,8500
58778,2015-06-19,BILF,4.5,4.7,4.5,4.7,1500
59799,2015-06-23,BILF,0.0,4.35,4.35,4.7,1500
60362,2015-06-24,BILF,4.87,4.87,4.4,4.56,1500
61465,2015-06-26,BILF,4.15,4.15,4.15,4.15,1000
62496,2015-06-30,BILF,4.2,4.2,4.2,4.2,20000
63999,2015-07-03,BILF,4.3,4.3,4.3,4.3,2000
64496,2015-07-06,BILF,4.3,4.3,4.2,4.3,11000
65536,2015-07-08,BILF,4.2,4.2,4.15,4.15,11000
67528,2015-07-14,BILF,4.52,4.52,4.52,4.52,500
68045,2015-07-15,BILF,4.4,5.0,4.4,5.0,10500
68569,2015-07-16,BILF,4.96,5.0,4.96,5.0,5500
69095,2015-07-22,BILF,4.8,4.8,4.8,4.8,1000
69628,2015-07-23,BILF,5.2,5.39,5.2,5.39,26500
70166,2015-07-24,BILF,5.3,5.5,5.01,5.2,12000
71809,2015-07-29,BILF,5.3,5.3,5.3,5.3,1000
72367,2015-07-30,BILF,5.0,5.0,5.0,5.0,2500
72914,2015-07-31,BILF,4.7,4.7,4.7,4.7,500
74957,2015-08-06,BILF,4.25,4.6,4.25,4.5,2500
77552,2015-08-13,BILF,4.23,5.0,4.23,4.23,3000
78578,2015-08-18,BILF,4.41,4.44,4.4,4.44,20500
79083,2015-08-19,BILF,4.41,4.41,4.4,4.4,8000
84384,2015-09-14,BILF,5.0,5.0,5.0,5.0,1000
85823,2015-09-17,BILF,5.0,5.0,5.0,5.0,1000
86314,2015-09-18,BILF,4.5,5.0,4.5,5.0,2500
86770,2015-09-21,BILF,0.0,5.0,5.0,5.0,500
92584,2015-10-09,BILF,4.8,4.8,4.8,4.8,1500
93596,2015-10-13,BILF,4.14,4.14,4.0,4.01,21000
94613,2015-10-15,BILF,4.4,4.94,4.4,4.87,12500
95109,2015-10-16,BILF,4.3,4.3,4.3,4.3,2000
95606,2015-10-19,BILF,4.98,4.98,4.98,4.98,500
96615,2015-10-21,BILF,0.0,4.6677,4.6677,4.6677,0
97119,2015-10-22,BILF,4.99,4.99,4.49,4.49,2500
98668,2015-10-28,BILF,4.0,4.0,4.0,4.0,1000
100788,2015-11-03,BILF,3.9,3.9,3.7,3.7,1000
101283,2015-11-04,BILF,4.0,4.0,4.0,4.0,1000
102798,2015-11-09,BILF,4.15,4.15,4.15,4.15,500
103777,2015-11-11,BILF,4.1,4.1,4.1,4.1,1000
106286,2015-11-18,BILF,4.5,5.1,4.5,4.5,4500
106808,2015-11-19,BILF,4.25,4.27,4.25,4.26,5500
107299,2015-11-20,BILF,4.27,4.27,4.27,4.27,2500
108350,2015-11-24,BILF,4.1,4.1,4.1,4.1,500
110488,2015-11-30,BILF,4.05,4.1,4.0,4.1,3000
112443,2015-12-04,BILF,4.0,4.0,4.0,4.0,3500
115355,2015-12-15,BILF,3.5,3.5,3.5,3.5,3000
116305,2015-12-17,BILF,4.0,4.2,4.0,4.0,1500
116777,2015-12-18,BILF,4.0,4.0,4.0,4.0,500
120138,2016-01-01,BILF,4.0,4.0,4.0,4.0,4000
122917,2016-01-13,BILF,4.1,4.1,4.1,4.1,500
123874,2016-01-15,BILF,3.11,3.11,3.1,3.1,17500
124351,2016-01-18,BILF,2.6,2.78,2.5,2.78,14000
124823,2016-01-19,BILF,2.9,3.14,2.9,3.07,5000
125744,2016-01-21,BILF,3.3,3.5,3.25,3.25,2000
126663,2016-01-25,BILF,3.26,3.26,3.2,3.2,3000
129587,2016-02-02,BILF,3.5,3.5,3.5,3.5,500
130509,2016-02-04,BILF,3.01,3.2,3.0,3.2,2000
130986,2016-02-08,BILF,3.4,3.4,3.4,3.4,2000
131447,2016-02-09,BILF,3.0,3.0,3.0,3.0,1500
131903,2016-02-10,BILF,3.0,3.0,3.0,3.0,8500
134217,2016-02-17,BILF,2.95,2.95,2.95,2.95,1000
135116,2016-02-19,BILF,3.2,3.2,3.05,3.05,36000
135557,2016-02-22,BILF,3.28,3.94,3.24,3.24,39000
136068,2016-02-23,BILF,3.09,3.1,3.0,3.0,10000
