,Date,Symbol,Open,High,Low,Close,Volume
1667,2015-01-06,BTL,152.48,152.48,152.48,152.48,200
2182,2015-01-07,BTL,160.1,160.1,150.0,151.84,5500
3729,2015-01-12,BTL,150.01,150.01,150.0,150.0,2000
4267,2015-01-13,BTL,150.11,150.11,150.0,150.0,5000
5358,2015-01-15,BTL,148.11,157.5,148.11,157.5,1100
6430,2015-01-19,BTL,164.99,165.37,164.99,165.37,1600
6968,2015-01-20,BTL,165.0,171.99,163.51,170.0,1600
8030,2015-01-22,BTL,162.01,162.01,162.01,170.0,100
9058,2015-01-26,BTL,170.0,170.0,161.5,161.86,900
10172,2015-01-28,BTL,160.0,160.0,160.0,161.86,100
11815,2015-02-02,BTL,160.0,160.0,160.0,161.86,100
12850,2015-02-04,BTL,160.0,162.0,160.0,162.0,1300
16885,2015-02-17,BTL,155.0,155.0,153.9,153.9,3200
18874,2015-02-23,BTL,146.3,147.0,146.21,147.0,12400
19958,2015-02-25,BTL,141.01,141.01,141.01,141.01,700
21040,2015-02-27,BTL,135.25,135.25,135.01,135.23,1100
21571,2015-03-02,BTL,140.0,140.0,140.0,135.23,100
22074,2015-03-03,BTL,136.01,136.01,136.0,136.01,200
22580,2015-03-04,BTL,142.75,142.75,142.0,142.63,600
23077,2015-03-05,BTL,149.24,149.24,149.24,149.24,500
24508,2015-03-10,BTL,142.01,142.01,142.0,142.0,3400
24990,2015-03-11,BTL,140.0,140.0,140.0,140.0,2000
27415,2015-03-18,BTL,138.0,138.0,133.0,133.0,1300
27910,2015-03-19,BTL,133.0,139.65,133.0,139.65,2200
28386,2015-03-20,BTL,146.5,146.5,139.0,139.0,600
30397,2015-03-27,BTL,132.26,132.26,132.26,132.26,500
30940,2015-03-30,BTL,125.65,125.65,125.65,125.65,500
31453,2015-03-31,BTL,131.9,131.9,131.9,125.65,100
33474,2015-04-06,BTL,130.0,130.0,130.0,130.0,500
33982,2015-04-07,BTL,135.0,136.5,135.0,136.5,900
35456,2015-04-10,BTL,143.3,143.32,143.3,143.32,4500
36455,2015-04-14,BTL,145.0,145.0,144.99,145.0,1000
37421,2015-04-16,BTL,140.01,141.0,140.01,145.0,1100
38440,2015-04-20,BTL,145.0,145.0,145.0,145.0,1000
41097,2015-04-27,BTL,145.0,145.0,139.0,141.5,1100
41600,2015-04-28,BTL,139.01,139.01,139.01,139.01,200
42124,2015-04-29,BTL,144.74,144.99,144.74,144.79,800
45604,2015-05-11,BTL,138.0,138.0,137.56,137.78,1000
48949,2015-05-21,BTL,139.0,139.5,139.0,139.5,1900
50937,2015-05-28,BTL,132.53,132.53,132.53,132.53,500
52008,2015-06-01,BTL,130.26,130.26,130.0,130.22,800
52529,2015-06-02,BTL,130.0,130.0,126.25,126.26,1500
53570,2015-06-04,BTL,125.0,125.0,125.0,125.0,1200
54088,2015-06-05,BTL,121.25,121.25,121.25,125.0,100
54604,2015-06-08,BTL,131.25,131.25,131.25,131.25,1000
55136,2015-06-09,BTL,137.81,137.81,137.81,137.81,300
55657,2015-06-10,BTL,144.7,144.7,144.7,144.7,900
56186,2015-06-12,BTL,147.99,147.99,147.99,147.99,200
56722,2015-06-15,BTL,0.0,148.0,148.0,147.99,3000
57245,2015-06-16,BTL,145.0,145.0,143.0,144.67,600
60421,2015-06-24,BTL,145.99,146.0,145.99,146.0,500
64546,2015-07-06,BTL,139.26,146.89,139.25,141.16,600
65577,2015-07-08,BTL,139.0,139.0,139.0,139.0,1000
66082,2015-07-09,BTL,140.99,141.0,136.01,139.75,2100
67074,2015-07-13,BTL,144.8,144.8,144.8,139.75,100
68624,2015-07-16,BTL,141.1,141.1,141.0,141.05,1000
69687,2015-07-23,BTL,135.01,135.01,135.01,135.01,200
73974,2015-08-04,BTL,139.0,139.0,139.0,139.0,800
76561,2015-08-11,BTL,134.01,134.01,134.01,139.0,100
79137,2015-08-19,BTL,143.95,145.95,143.95,145.95,26400
79659,2015-08-20,BTL,152.0,153.24,150.0,151.26,12500
80674,2015-08-24,BTL,158.8,158.8,155.0,156.9,200
81215,2015-08-25,BTL,159.5,159.5,149.06,159.5,500
82296,2015-08-27,BTL,160.0,160.11,160.0,160.01,1300
82848,2015-08-28,BTL,159.99,168.01,159.99,164.51,3400
83405,2015-08-31,BTL,172.0,172.0,172.0,172.0,500
84423,2015-09-14,BTL,167.0,167.0,165.0,165.0,300
87798,2015-09-23,BTL,157.0,157.0,157.0,165.0,100
88287,2015-09-28,BTL,0.0,156.75,156.75,165.0,5000
88761,2015-09-29,BTL,0.0,156.75,156.75,165.0,1000
89230,2015-09-30,BTL,156.75,156.75,156.75,165.0,600
89707,2015-10-01,BTL,156.75,156.75,156.75,156.75,400
92130,2015-10-08,BTL,148.92,150.0,148.92,149.5,1200
92637,2015-10-09,BTL,142.13,142.13,142.03,142.1,2400
93644,2015-10-13,BTL,0.0,135.25,135.25,142.1,500
95655,2015-10-19,BTL,146.0,146.0,146.0,146.0,1000
101333,2015-11-04,BTL,133.95,133.95,133.95,141.0,100
101844,2015-11-05,BTL,144.99,145.0,141.0,143.0,300
102348,2015-11-06,BTL,135.9,135.9,135.9,135.9,900
103322,2015-11-10,BTL,137.11,137.11,137.11,135.9,100
110005,2015-11-27,BTL,130.25,130.25,129.11,129.11,1300
123434,2016-01-14,BTL,122.66,122.66,122.66,129.11,100
130550,2016-02-04,BTL,135.56,135.56,135.56,129.11,100
136104,2016-02-23,BTL,122.66,122.66,122.66,122.66,300
140486,2016-03-08,BTL,128.79,128.79,128.78,128.79,900
140964,2016-03-09,BTL,135.21,135.21,135.21,128.79,900
141440,2016-03-10,BTL,133.98,133.98,133.98,128.79,500
143787,2016-03-17,BTL,123.1,135.0,135.0,135.0,800
144269,2016-03-18,BTL,141.2,141.2,141.2,135.0,200
145760,2016-04-05,BTL,0.0,138.6976,138.6976,138.6976,0
146787,2016-04-07,BTL,142.0,145.63,135.0,141.0,6100
147291,2016-04-08,BTL,135.0,135.0,133.95,134.05,1100
150235,2016-04-19,BTL,118.78,118.78,118.78,125.02,200
150750,2016-04-20,BTL,118.8,118.8,118.8,125.02,200
151269,2016-04-21,BTL,119.01,119.01,119.01,125.02,600
151786,2016-04-22,BTL,131.27,131.27,131.27,131.27,700
152285,2016-04-25,BTL,137.82,137.82,125.0,134.99,2000
152835,2016-04-26,BTL,140.89,140.89,128.5,139.3,1900
153386,2016-04-27,BTL,143.99,143.99,132.35,132.35,4000
153943,2016-04-28,BTL,138.96,138.96,138.96,138.96,4800
154495,2016-04-29,BTL,143.99,143.99,140.0,143.89,1800
155035,2016-05-02,BTL,143.99,148.99,143.99,148.99,600
155534,2016-05-03,BTL,149.99,152.99,149.99,152.99,600
156061,2016-05-04,BTL,145.5,150.99,145.5,148.25,2300
157610,2016-05-10,BTL,142.0,142.0,142.0,142.0,500
158647,2016-05-13,BTL,149.5,150.0,149.5,150.0,700
159694,2016-05-18,BTL,151.99,151.99,151.99,150.0,100
161817,2016-05-24,BTL,145.51,150.0,145.51,149.68,2900
163537,2016-06-02,BTL,149.0,149.0,149.0,149.0,500
164079,2016-06-03,BTL,147.0,155.0,147.0,148.33,600
165112,2016-06-07,BTL,150.0,150.0,150.0,150.0,2000
165596,2016-06-07,BTL,150.0,150.0,150.0,150.0,2000
166587,2016-06-09,BTL,150.0,150.0,150.0,150.0,300
168036,2016-06-14,BTL,150.0,150.0,150.0,150.0,500
175463,2016-07-12,BTL,155.0,157.5,155.0,157.5,900
175965,2016-07-13,BTL,165.37,165.37,165.0,165.37,2600
176485,2016-07-14,BTL,173.62,173.63,173.62,173.63,12200
176983,2016-07-15,BTL,165.0,165.0,165.0,165.0,200
178995,2016-07-21,BTL,156.75,156.75,156.75,156.75,1100
181070,2016-07-27,BTL,156.0,156.0,156.0,156.0,200
181632,2016-07-28,BTL,158.0,158.0,158.0,158.0,200
182165,2016-07-29,BTL,165.9,165.9,165.9,165.9,500
182696,2016-08-01,BTL,170.0,170.0,170.0,170.0,500
187856,2016-08-16,BTL,170.0,170.0,170.0,170.0,400
188392,2016-08-17,BTL,165.01,165.01,165.01,165.01,200
188925,2016-08-18,BTL,165.0,165.0,165.0,165.0,1000
189437,2016-08-19,BTL,165.0,165.0,165.0,165.0,200
191041,2016-08-24,BTL,170.0,173.25,170.0,173.25,3000
192755,2016-09-01,BTL,170.0,170.0,170.0,170.0,400
196602,2016-09-15,BTL,170.0,171.0,170.0,171.0,700
197159,2016-09-19,BTL,165.0,165.0,165.0,165.0,1000
199984,2016-09-27,BTL,170.0,173.25,165.0,172.0,7000
200575,2016-09-28,BTL,170.0,172.0,170.0,172.0,47700
201184,2016-09-29,BTL,175.0,178.0,175.0,178.0,11900
201785,2016-09-30,BTL,179.0,184.99,179.0,181.25,1300
202395,2016-10-03,BTL,180.0,190.31,180.0,190.31,12000
202966,2016-10-04,BTL,189.99,191.0,189.99,191.0,900
204101,2016-10-06,BTL,197.99,197.99,192.01,195.0,300
205235,2016-10-10,BTL,194.0,204.75,194.0,204.38,6000
206947,2016-10-17,BTL,0.0,204.38,204.38,204.38,600
207516,2016-10-18,BTL,194.17,194.2,194.17,194.2,1000
208078,2016-10-19,BTL,185.01,185.01,185.01,189.2,100
208642,2016-10-20,BTL,190.0,193.0,190.0,193.0,1400
209198,2016-10-21,BTL,192.0,192.0,192.0,192.0,1000
212089,2016-10-28,BTL,201.6,201.6,201.6,201.6,12600
216570,2016-11-10,BTL,204.0,205.0,204.0,205.0,300
217129,2016-11-11,BTL,205.0,205.0,205.0,205.0,100
217678,2016-11-14,BTL,210.0,210.0,210.0,205.0,100
219849,2016-11-17,BTL,0.0,205.0,205.0,205.0,2800
221519,2016-11-22,BTL,204.99,205.0,204.99,205.0,200
223306,2016-11-25,BTL,200.0,200.0,200.0,200.0,10500
223906,2016-11-28,BTL,205.0,208.0,205.0,206.5,300
226666,2016-12-05,BTL,203.0,203.0,203.0,206.5,100
227220,2016-12-06,BTL,203.0,203.0,203.0,203.0,200
227774,2016-12-07,BTL,203.0,203.0,203.0,203.0,100
254219,2017-02-01,BTL,210.0,216.0,210.0,215.5,300
257955,2017-02-10,BTL,226.27,226.27,226.27,226.27,2200
258492,2017-02-13,BTL,226.47,226.47,220.0,225.88,1100
261124,2017-02-20,BTL,226.0,226.0,225.0,225.25,7500
262826,2017-02-23,BTL,234.0,236.51,234.0,236.51,7600
263379,2017-02-24,BTL,248.0,248.0,248.0,236.51,100
265486,2017-03-02,BTL,248.0,248.33,248.0,248.17,600
266003,2017-03-03,BTL,259.99,259.99,259.99,259.99,100
269048,2017-03-13,BTL,248.0,248.0,248.0,259.99,100
279157,2017-04-26,BTL,247.0,250.0,247.0,247.05,500
279705,2017-04-27,BTL,250.0,250.0,250.0,250.0,100
281776,2017-05-04,BTL,250.0,250.0,238.01,238.01,300
282287,2017-05-05,BTL,226.11,226.11,226.11,226.11,200
282806,2017-05-08,BTL,220.0,220.0,220.0,220.0,200
286402,2017-05-17,BTL,230.0,230.0,230.0,230.0,500
286921,2017-05-18,BTL,240.0,241.5,240.0,241.5,800
287459,2017-05-19,BTL,253.57,253.57,253.57,253.57,100
288526,2017-05-23,BTL,253.0,253.0,253.0,253.0,100
289098,2017-05-24,BTL,240.35,265.5,240.35,240.36,500
320236,2017-08-04,BTL,252.0,252.37,252.0,240.36,200
320728,2017-08-07,BTL,228.51,228.51,228.35,228.37,900
321690,2017-08-10,BTL,239.78,239.78,239.78,239.78,700
322147,2017-08-11,BTL,0.0,239.78,239.78,239.78,28200
322622,2017-08-15,BTL,240.0,240.0,240.0,240.0,200
323098,2017-08-16,BTL,240.0,240.0,240.0,240.0,200
324495,2017-08-21,BTL,240.0,240.0,240.0,240.0,200
324999,2017-08-22,BTL,228.0,228.0,228.0,228.0,200
326031,2017-08-24,BTL,0.0,230.0,0.0,230.0,0
327508,2017-08-29,BTL,230.0,230.0,230.0,230.0,1000
328859,2020-07-01,BTL,265.0,265.0,260.0,260.0,300
329374,2017-09-05,BTL,218.5,218.5,218.5,218.5,1000
329849,2017-09-06,BTL,218.01,220.0,218.0,220.0,1600
330320,2017-09-07,BTL,231.0,231.0,231.0,231.0,200
330795,2017-09-08,BTL,242.46,242.46,242.46,242.46,200
331273,2017-09-11,BTL,254.57,254.57,254.57,254.57,200
331728,2017-09-12,BTL,267.29,267.29,241.85,241.85,1100
332200,2017-09-13,BTL,229.76,229.76,229.76,229.76,200
332682,2017-09-14,BTL,220.01,220.5,220.0,220.0,900
333164,2017-09-15,BTL,211.0,225.0,211.0,225.0,6500
334582,2017-09-20,BTL,236.0,236.0,215.02,215.02,1200
335077,2017-09-21,BTL,225.77,225.77,225.0,225.77,3600
335565,2017-09-22,BTL,237.0,237.0,237.0,225.77,200
336538,2017-09-26,BTL,237.0,237.05,237.0,237.03,200
337554,2017-09-28,BTL,237.0,237.0,235.0,235.0,500
338052,2017-09-29,BTL,246.75,246.75,245.0,245.0,1300
