,Date,Symbol,Open,High,Low,Close,Volume
207,2015-01-01,BPL,60.95,61.0,60.95,61.0,2500
725,2015-01-02,BPL,62.0,62.5,60.0,60.48,50500
1245,2015-01-05,BPL,60.0,61.5,60.0,61.4,24500
1754,2015-01-06,BPL,60.75,60.75,59.0,59.11,56000
2272,2015-01-07,BPL,58.51,60.7,58.51,60.35,37000
2785,2015-01-08,BPL,61.4,62.99,60.6,60.97,16000
3297,2015-01-09,BPL,61.0,61.5,60.0,60.37,23500
3822,2015-01-12,BPL,60.0,60.75,59.5,59.5,5500
4361,2015-01-13,BPL,59.7,60.25,58.22,58.22,21000
4907,2015-01-14,BPL,58.35,61.13,58.3,61.13,47000
5452,2015-01-15,BPL,63.36,64.18,62.99,64.18,132000
5992,2015-01-16,BPL,65.35,66.0,63.2,65.11,93500
6525,2015-01-19,BPL,66.5,67.0,65.11,66.85,50500
7061,2015-01-20,BPL,66.1,66.85,65.02,66.0,43000
7597,2015-01-21,BPL,66.0,66.2,65.1,66.0,48000
8119,2015-01-22,BPL,66.0,66.0,64.51,64.7,30500
8629,2015-01-23,BPL,65.4,65.4,63.0,63.1,5500
9150,2015-01-26,BPL,64.25,65.25,64.01,64.01,9000
9706,2015-01-27,BPL,64.5,64.5,63.76,64.46,11000
10265,2015-01-28,BPL,63.25,63.25,61.5,62.06,13500
10814,2015-01-29,BPL,62.0,62.0,58.96,60.65,5000
11349,2015-01-30,BPL,60.0,62.0,59.5,59.61,14500
11910,2015-02-02,BPL,60.5,60.5,59.6,59.6,7000
12425,2015-02-03,BPL,60.25,60.5,59.4,59.4,2500
12945,2015-02-04,BPL,60.0,60.98,59.0,59.21,9500
13449,2015-02-06,BPL,58.8,60.0,58.1,60.0,4000
13957,2015-02-09,BPL,60.24,60.48,59.5,59.83,5000
14458,2015-02-10,BPL,59.06,60.25,58.5,58.56,4000
14966,2015-02-11,BPL,58.02,59.5,58.0,58.0,3500
15978,2015-02-13,BPL,0.0,59.5,59.5,58.0,500
16473,2015-02-16,BPL,58.12,58.12,57.52,57.52,1500
16970,2015-02-17,BPL,56.9,57.4,56.11,56.5,2500
17472,2015-02-18,BPL,55.5,57.7,55.1,57.7,20500
17976,2015-02-19,BPL,56.0,58.5,56.0,57.15,21000
18467,2015-02-20,BPL,57.05,58.01,56.5,57.99,13000
18956,2015-02-23,BPL,58.25,58.25,55.55,56.43,6000
19503,2015-02-24,BPL,56.0,57.0,56.0,57.0,1500
20591,2015-02-26,BPL,58.44,58.44,57.0,57.0,2000
21117,2015-02-27,BPL,55.0,59.85,54.2,59.85,31000
21653,2015-03-02,BPL,62.84,62.84,62.84,62.84,3500
22159,2015-03-03,BPL,65.98,65.98,65.98,65.98,21000
22660,2015-03-04,BPL,69.27,69.27,69.27,69.27,13000
23157,2015-03-05,BPL,72.73,72.73,71.25,72.73,337500
23624,2015-03-06,BPL,74.0,74.0,69.12,69.43,129000
24100,2015-03-09,BPL,69.05,72.9,68.75,72.9,89500
24585,2015-03-10,BPL,75.89,76.54,74.75,76.54,89500
25070,2015-03-11,BPL,77.79,80.36,76.0,80.36,243000
25555,2015-03-12,BPL,81.5,84.37,81.5,84.37,44500
26036,2015-03-13,BPL,87.32,88.58,87.3,88.58,34000
26522,2015-03-16,BPL,93.0,93.0,86.5,88.19,153500
26992,2015-03-17,BPL,87.0,92.59,84.6,92.12,120000
27498,2015-03-18,BPL,94.85,96.49,89.5,92.85,118000
27989,2015-03-19,BPL,91.0,92.2,88.21,89.04,52000
28459,2015-03-20,BPL,87.04,88.05,84.59,84.59,68500
28928,2015-03-24,BPL,83.0,84.0,80.37,80.37,30500
29433,2015-03-25,BPL,76.7,80.5,76.36,77.4,71000
29945,2015-03-26,BPL,76.0,78.5,73.53,73.53,82000
30476,2015-03-27,BPL,74.0,74.0,69.86,69.86,72000
31029,2015-03-30,BPL,68.0,68.0,66.37,66.38,19500
31537,2015-03-31,BPL,64.25,69.69,64.25,69.69,35500
32041,2015-04-01,BPL,70.7,73.17,70.0,73.17,59500
32549,2015-04-02,BPL,76.0,76.82,75.85,76.82,39500
33053,2015-04-03,BPL,80.66,80.66,78.65,80.66,82500
33556,2015-04-06,BPL,83.79,84.69,81.75,84.69,38500
34060,2015-04-07,BPL,88.92,88.92,88.5,88.92,25500
34545,2015-04-08,BPL,93.36,93.36,93.36,93.36,9000
35035,2015-04-09,BPL,98.02,98.02,98.02,98.02,31000
35542,2015-04-10,BPL,102.92,102.92,94.55,95.67,312000
36054,2015-04-13,BPL,93.1,99.0,93.1,98.71,60000
36525,2015-04-14,BPL,100.0,103.64,100.0,103.64,43500
37006,2015-04-15,BPL,108.82,108.82,108.82,108.82,12500
37501,2015-04-16,BPL,114.0,114.0,107.01,108.4,208500
38021,2015-04-17,BPL,108.5,113.82,108.5,113.82,44500
38526,2015-04-20,BPL,119.51,119.51,118.98,119.51,13500
39049,2015-04-21,BPL,125.48,125.48,121.0,125.48,93000
39584,2015-04-22,BPL,131.45,131.75,130.0,131.69,118500
40113,2015-04-23,BPL,134.05,138.27,133.5,138.27,36500
40635,2015-04-24,BPL,145.18,145.18,145.18,145.18,10000
41176,2015-04-27,BPL,152.43,152.43,152.43,152.43,1000
41688,2015-04-28,BPL,160.05,160.05,144.81,160.05,201500
42207,2015-04-29,BPL,163.95,164.99,152.05,152.05,193000
42706,2015-04-30,BPL,144.45,146.0,144.45,144.45,91500
43203,2015-05-04,BPL,137.23,137.23,137.23,137.23,4500
43702,2015-05-05,BPL,130.37,130.37,130.37,130.37,1500
44208,2015-05-06,BPL,123.86,123.86,123.86,123.86,4500
44708,2015-05-07,BPL,117.67,123.0,117.67,117.67,362000
45195,2015-05-08,BPL,115.0,117.99,111.79,112.14,89500
45684,2015-05-11,BPL,110.0,110.0,106.54,106.54,23000
46163,2015-05-12,BPL,101.22,108.9,101.22,106.91,60500
46633,2015-05-13,BPL,106.0,112.25,106.0,112.25,44000
47106,2015-05-14,BPL,117.86,117.86,116.25,117.73,78500
47593,2015-05-15,BPL,120.0,120.0,111.85,112.16,88500
48075,2015-05-18,BPL,113.0,113.0,106.56,106.56,67000
48551,2015-05-20,BPL,101.51,104.98,101.5,101.83,44000
49025,2015-05-21,BPL,101.0,102.3,100.0,100.64,33000
49494,2015-05-22,BPL,100.52,102.0,100.0,100.25,20500
49968,2015-05-25,BPL,101.99,102.0,100.5,100.73,21000
50492,2015-05-27,BPL,97.0,101.81,97.0,101.81,18500
51015,2015-05-28,BPL,106.9,106.9,103.0,106.9,41500
51543,2015-05-29,BPL,110.99,112.24,109.0,111.84,163500
52100,2015-06-01,BPL,111.64,111.74,106.6,107.53,45000
52617,2015-06-02,BPL,109.79,109.85,103.06,104.23,72000
53130,2015-06-03,BPL,104.0,105.0,102.61,103.11,67500
53658,2015-06-04,BPL,103.5,105.35,100.0,101.61,135500
54171,2015-06-05,BPL,101.6,103.0,100.5,102.42,33500
54701,2015-06-08,BPL,103.0,104.5,101.25,103.3,31000
55226,2015-06-09,BPL,103.01,103.9,101.0,102.29,80000
55747,2015-06-10,BPL,103.0,103.5,102.0,102.44,36000
56274,2015-06-12,BPL,102.0,103.0,102.0,102.76,36500
56813,2015-06-15,BPL,103.01,107.89,103.0,107.89,55500
57334,2015-06-16,BPL,113.28,113.28,113.28,113.28,28500
57865,2015-06-17,BPL,117.44,117.44,108.9,110.32,198000
58404,2015-06-18,BPL,110.5,111.5,108.0,108.7,47000
58910,2015-06-19,BPL,107.26,110.49,107.25,108.04,15500
59405,2015-06-22,BPL,105.05,106.0,104.0,105.32,19500
59943,2015-06-23,BPL,100.8,108.0,100.65,106.1,24000
60513,2015-06-24,BPL,108.0,110.98,107.21,107.56,25500
61061,2015-06-25,BPL,105.01,108.0,103.0,104.08,25000
61592,2015-06-26,BPL,105.0,105.74,103.0,104.29,27500
62128,2015-06-29,BPL,103.1,107.0,103.1,105.05,18000
62620,2015-06-30,BPL,105.0,107.0,105.0,105.99,30500
