,Date,Symbol,Open,High,Low,Close,Volume
800,2015-01-02,BUXL,43.57,43.57,43.57,43.57,500
1317,2015-01-05,BUXL,45.74,45.74,45.74,45.74,7000
1825,2015-01-06,BUXL,48.02,48.02,45.3,45.3,4500
2344,2015-01-07,BUXL,45.3,45.99,45.3,45.99,3000
2856,2015-01-08,BUXL,43.7,45.95,43.7,45.93,4000
3370,2015-01-09,BUXL,47.9,48.0,44.11,44.11,3000
4434,2015-01-13,BUXL,42.5,44.1,42.5,44.0,4000
4979,2015-01-14,BUXL,44.2,46.2,44.2,45.5,3500
5526,2015-01-15,BUXL,47.69,47.69,43.24,44.0,29500
6063,2015-01-16,BUXL,44.61,45.5,44.5,44.5,16000
6597,2015-01-19,BUXL,44.01,44.75,43.7,43.85,11500
7133,2015-01-20,BUXL,44.5,44.5,43.1,43.1,27500
7670,2015-01-21,BUXL,44.5,45.25,44.5,45.25,31500
8191,2015-01-22,BUXL,46.9,47.51,46.9,47.51,29000
8700,2015-01-23,BUXL,49.88,49.88,45.14,45.94,57000
9223,2015-01-26,BUXL,47.0,48.23,45.25,48.23,38000
9779,2015-01-27,BUXL,50.0,50.0,48.0,48.0,19000
10337,2015-01-28,BUXL,46.15,46.15,45.6,45.8,14000
10887,2015-01-29,BUXL,45.3,45.3,44.26,44.26,7500
11422,2015-01-30,BUXL,44.0,46.24,44.0,46.22,7000
11981,2015-02-02,BUXL,44.07,46.9,44.07,45.89,3000
12498,2015-02-03,BUXL,44.77,45.6,44.0,44.22,8000
14029,2015-02-09,BUXL,44.0,44.0,43.49,43.49,2500
14528,2015-02-10,BUXL,43.61,43.61,42.05,42.05,8000
15038,2015-02-11,BUXL,42.0,42.0,40.0,41.5,5500
15552,2015-02-12,BUXL,42.5,42.5,42.5,42.5,1000
16049,2015-02-13,BUXL,41.0,41.06,41.0,41.06,1000
16547,2015-02-16,BUXL,40.0,40.0,40.0,40.0,1500
17042,2015-02-17,BUXL,39.0,39.25,39.0,39.25,1500
19573,2015-02-24,BUXL,39.0,41.21,39.0,41.15,4500
20660,2015-02-26,BUXL,40.01,41.87,40.0,41.87,2000
21189,2015-02-27,BUXL,41.25,41.25,41.25,41.25,500
21725,2015-03-02,BUXL,41.99,41.99,41.99,41.99,500
22230,2015-03-03,BUXL,40.0,40.55,40.0,40.55,2000
22732,2015-03-04,BUXL,40.51,41.4,40.5,41.4,1500
23224,2015-03-05,BUXL,41.99,42.1,41.0,41.0,2000
25139,2015-03-11,BUXL,40.0,40.0,40.0,40.0,1000
26109,2015-03-13,BUXL,40.0,41.9,38.01,39.15,21000
26592,2015-03-16,BUXL,40.89,40.89,40.89,40.89,500
27064,2015-03-17,BUXL,40.84,40.89,40.84,40.89,5000
27567,2015-03-18,BUXL,38.85,38.85,38.85,38.85,500
31101,2015-03-30,BUXL,0.0,38.67,38.67,38.67,0
31608,2015-03-31,BUXL,38.19,38.19,38.19,38.19,500
33125,2015-04-03,BUXL,36.4,38.19,36.3,38.19,3500
33628,2015-04-06,BUXL,38.19,38.19,38.19,38.19,1000
35105,2015-04-09,BUXL,38.0,38.0,38.0,38.0,500
38092,2015-04-17,BUXL,36.11,39.6,36.11,39.6,4500
40705,2015-04-24,BUXL,38.5,38.5,38.0,38.0,1500
41247,2015-04-27,BUXL,39.9,39.9,39.9,39.9,11000
41761,2015-04-28,BUXL,41.89,41.89,41.89,41.89,4000
42280,2015-04-29,BUXL,43.98,43.98,43.98,43.98,6500
42778,2015-04-30,BUXL,45.99,46.0,43.0,44.79,30500
43273,2015-05-04,BUXL,42.56,42.56,42.56,42.56,2000
43771,2015-05-05,BUXL,41.1,42.0,41.1,42.0,17000
44278,2015-05-06,BUXL,42.0,42.75,42.0,42.7,4000
46233,2015-05-12,BUXL,42.0,42.0,42.0,42.0,1500
46703,2015-05-13,BUXL,41.0,44.1,39.9,43.12,40500
47177,2015-05-14,BUXL,43.0,43.0,41.5,41.51,3000
47659,2015-05-15,BUXL,40.0,42.8,40.0,42.8,4000
48146,2015-05-18,BUXL,42.5,42.5,41.2,41.2,5500
49564,2015-05-22,BUXL,41.9,41.9,41.9,41.9,2000
51613,2015-05-29,BUXL,42.0,42.95,42.0,42.0,10500
52172,2015-06-01,BUXL,42.0,42.0,42.0,42.0,2000
53732,2015-06-04,BUXL,41.2,41.2,41.2,41.2,2000
57408,2015-06-16,BUXL,40.2,40.2,40.2,40.2,1000
58982,2015-06-19,BUXL,39.5,39.5,39.5,39.5,500
60018,2015-06-23,BUXL,41.0,41.0,41.0,41.0,500
60587,2015-06-24,BUXL,40.05,40.1,40.05,40.05,6500
61664,2015-06-26,BUXL,38.51,38.51,38.5,38.51,3500
62200,2015-06-29,BUXL,38.0,38.0,38.0,38.0,500
62691,2015-06-30,BUXL,36.51,36.6,36.2,36.47,5000
63193,2015-07-01,BUXL,36.0,36.0,36.0,36.0,500
63701,2015-07-02,BUXL,37.0,37.8,37.0,37.8,2500
64201,2015-07-03,BUXL,39.68,39.69,39.68,39.69,5500
65223,2015-07-07,BUXL,38.66,38.66,38.66,38.66,1500
66246,2015-07-09,BUXL,37.0,37.0,37.0,37.0,2000
66737,2015-07-10,BUXL,38.8,38.85,38.8,38.85,6500
67742,2015-07-14,BUXL,40.5,40.79,40.5,40.79,7500
68263,2015-07-15,BUXL,42.82,42.82,42.82,42.82,2000
69856,2015-07-23,BUXL,42.0,42.0,42.0,42.0,3000
72029,2015-07-29,BUXL,41.99,41.99,41.99,41.99,1000
74657,2015-08-05,BUXL,42.0,42.0,42.0,42.0,2000
75178,2015-08-06,BUXL,43.5,43.5,43.5,43.5,500
76730,2015-08-11,BUXL,0.0,43.39,43.39,43.39,0
79305,2015-08-19,BUXL,42.5,44.0,42.5,43.0,6000
82459,2015-08-27,BUXL,40.85,44.0,40.85,42.95,1500
83010,2015-08-28,BUXL,41.5,43.99,41.5,43.99,2000
83568,2015-08-31,BUXL,43.0,44.0,43.0,44.0,2500
85529,2015-09-16,BUXL,41.61,43.2,41.61,43.2,5500
86485,2015-09-18,BUXL,0.0,45.3,45.3,43.2,500
90328,2015-10-02,BUXL,41.04,41.05,41.04,41.04,3500
91316,2015-10-06,BUXL,40.0,40.0,40.0,40.0,500
92793,2015-10-09,BUXL,40.0,40.0,40.0,40.0,500
93811,2015-10-13,BUXL,38.0,38.0,38.0,38.0,500
94319,2015-10-14,BUXL,38.0,38.0,38.0,38.0,1000
96820,2015-10-21,BUXL,36.11,38.5,36.11,38.5,2000
97809,2015-10-26,BUXL,36.6,36.6,36.6,36.6,2500
98871,2015-10-28,BUXL,38.43,38.43,38.43,38.43,500
101487,2015-11-04,BUXL,40.34,40.34,40.34,40.34,2500
102002,2015-11-05,BUXL,40.35,42.35,40.35,41.0,6000
102499,2015-11-06,BUXL,41.0,41.0,41.0,41.0,13000
102985,2015-11-09,BUXL,41.0,41.0,40.0,40.0,1500
103476,2015-11-10,BUXL,38.01,38.01,38.0,38.0,2000
104479,2015-11-12,BUXL,38.5,39.6,38.5,38.51,4000
104981,2015-11-13,BUXL,36.6,38.0,36.6,37.0,2000
105980,2015-11-17,BUXL,35.5,36.81,35.15,36.81,5000
106508,2015-11-18,BUXL,37.83,37.83,37.83,37.83,500
107004,2015-11-19,BUXL,38.0,38.75,38.0,38.63,2000
107497,2015-11-20,BUXL,40.0,40.56,40.0,40.52,11000
108011,2015-11-23,BUXL,40.25,40.25,40.0,40.0,1500
109094,2015-11-25,BUXL,38.0,38.0,38.0,38.0,2500
110152,2015-11-27,BUXL,39.89,39.9,39.89,39.9,7500
110682,2015-11-30,BUXL,39.99,39.99,39.99,39.99,1000
111675,2015-12-02,BUXL,39.0,41.0,39.0,41.0,5500
112154,2015-12-03,BUXL,40.9,40.9,40.9,40.9,500
112639,2015-12-04,BUXL,40.0,41.0,39.1,39.45,8500
124546,2016-01-18,BUXL,0.0,39.0,39.0,39.0,0
135750,2016-02-22,BUXL,0.0,38.9833,38.9833,38.9833,0
136252,2016-02-23,BUXL,0.0,37.04,37.04,37.04,0
145918,2016-04-05,BUXL,35.25,35.5,35.25,35.5,1000
147441,2016-04-08,BUXL,35.9,36.0,35.9,36.0,1000
