,Date,Symbol,Open,High,Low,Close,Volume
4753,2015-01-14,CWSM,10.55,10.55,10.55,10.55,500
5298,2015-01-15,CWSM,10.25,10.6,10.0,10.2,5500
5851,2015-01-16,CWSM,10.0,10.3,10.0,10.01,2000
6375,2015-01-19,CWSM,9.95,9.95,9.95,9.95,500
6914,2015-01-20,CWSM,9.85,10.09,9.8,10.05,16500
7450,2015-01-21,CWSM,9.95,9.95,9.9,9.9,3500
9010,2015-01-26,CWSM,9.6,9.6,9.55,9.55,3000
9573,2015-01-27,CWSM,9.2,9.2,9.1,9.1,2000
10127,2015-01-28,CWSM,9.5,9.6,9.5,9.6,1500
10675,2015-01-29,CWSM,9.4,9.4,9.4,9.4,1000
12281,2015-02-03,CWSM,9.3,9.85,9.3,9.85,1000
12804,2015-02-04,CWSM,10.0,10.0,9.5,9.5,1000
13318,2015-02-06,CWSM,9.4,9.75,9.4,9.75,1000
16344,2015-02-16,CWSM,9.5,9.5,9.0,9.0,2000
16838,2015-02-17,CWSM,8.8,9.0,8.7,8.75,4000
17341,2015-02-18,CWSM,9.0,9.0,9.0,9.0,500
19904,2015-02-25,CWSM,8.5,9.0,8.0,8.9,2500
24952,2015-03-11,CWSM,8.0,8.0,7.9,7.9,4500
36416,2015-04-14,CWSM,7.07,7.45,6.9,7.45,11000
37881,2015-04-17,CWSM,7.1,7.1,7.1,7.1,1000
38394,2015-04-20,CWSM,0.0,6.7,6.7,7.1,500
39991,2015-04-23,CWSM,7.2,7.2,7.2,7.2,1000
41549,2015-04-28,CWSM,7.0,7.0,7.0,7.0,2000
42583,2015-04-30,CWSM,6.85,6.85,6.75,6.75,1000
48906,2015-05-21,CWSM,6.0,6.0,6.0,6.0,500
49845,2015-05-25,CWSM,5.7,6.0,5.2,6.0,2000
54038,2015-06-05,CWSM,6.35,6.5,6.0,6.5,2000
55083,2015-06-09,CWSM,6.6,6.6,6.55,6.55,3500
56127,2015-06-12,CWSM,7.5,8.5,7.5,8.0,8500
56662,2015-06-15,CWSM,7.6,8.88,7.0,7.5,34000
57718,2015-06-17,CWSM,7.5,7.5,7.5,7.5,1000
58253,2015-06-18,CWSM,0.0,7.5,7.5,7.5,500
59801,2015-06-23,CWSM,7.8,7.8,7.8,7.8,500
61466,2015-06-26,CWSM,7.55,7.55,7.4,7.4,1000
62987,2015-07-01,CWSM,7.25,7.25,7.25,7.25,2500
68047,2015-07-15,CWSM,7.65,7.65,7.65,7.65,500
69097,2015-07-22,CWSM,0.0,7.11,7.11,7.65,500
69630,2015-07-23,CWSM,7.25,7.25,7.1,7.1,3000
92087,2015-10-08,CWSM,8.0,8.0,7.1,7.2,95500
93088,2015-10-12,CWSM,6.2,6.2,6.2,6.2,90000
94615,2015-10-15,CWSM,6.0,6.0,5.5,5.81,3000
101795,2015-11-05,CWSM,6.6,6.81,6.6,6.79,4500
104785,2015-11-13,CWSM,6.1,6.1,6.0,6.0,7000
106288,2015-11-18,CWSM,6.7,6.7,6.7,6.7,1000
106810,2015-11-19,CWSM,6.9,6.99,6.9,6.99,1000
108352,2015-11-24,CWSM,7.0,7.9,7.0,7.73,5000
108901,2015-11-25,CWSM,6.75,8.73,6.73,8.08,8000
109434,2015-11-26,CWSM,8.88,9.08,8.88,9.06,9000
109962,2015-11-27,CWSM,9.99,10.05,9.99,10.05,1000
110490,2015-11-30,CWSM,9.2,11.0,9.2,10.33,12500
110983,2015-12-01,CWSM,9.61,9.61,9.33,9.33,2500
111478,2015-12-02,CWSM,8.35,10.33,8.33,10.27,34000
111970,2015-12-03,CWSM,9.9,11.27,9.9,11.01,25500
112445,2015-12-04,CWSM,11.0,12.01,11.0,11.6,27000
112935,2015-12-07,CWSM,11.5,12.6,11.2,12.18,30000
113415,2015-12-08,CWSM,11.62,13.18,11.2,12.64,65500
113913,2015-12-09,CWSM,13.6,13.6,12.12,13.07,15500
114403,2015-12-10,CWSM,13.5,13.5,13.5,13.5,2000
114884,2015-12-14,CWSM,12.5,12.5,12.5,12.5,500
115357,2015-12-15,CWSM,12.0,12.0,12.0,12.0,1500
116307,2015-12-17,CWSM,12.75,13.0,11.75,12.72,15500
116779,2015-12-18,CWSM,12.95,13.72,12.95,13.49,13500
117249,2015-12-22,CWSM,13.95,14.24,13.95,14.1,13000
117755,2015-12-23,CWSM,14.25,14.99,14.25,14.67,16000
118274,2015-12-28,CWSM,15.67,15.67,14.6,14.6,6500
118733,2015-12-29,CWSM,14.95,15.6,14.95,15.3,20500
119212,2015-12-30,CWSM,14.6,16.3,14.6,16.07,26500
119675,2015-12-31,CWSM,16.5,17.0,16.5,17.0,7500
120140,2016-01-01,CWSM,16.4,16.5,16.4,16.5,1500
122003,2016-01-11,CWSM,0.0,16.4268,16.4268,16.4268,0
122458,2016-01-12,CWSM,0.0,16.2536,16.2536,16.2536,0
