,Date,Symbol,Open,High,Low,Close,Volume
2722,2015-01-08,CHAS,25.99,25.99,25.99,25.99,500
3755,2015-01-12,CHAS,26.7,26.7,26.7,26.7,1000
4295,2015-01-13,CHAS,25.5,25.5,25.5,25.5,1000
4842,2015-01-14,CHAS,24.5,24.5,24.23,24.23,8000
5387,2015-01-15,CHAS,24.8,25.44,24.8,25.15,3000
5928,2015-01-16,CHAS,26.0,26.4,26.0,26.4,12000
6460,2015-01-19,CHAS,26.5,26.5,26.5,26.5,8500
8054,2015-01-22,CHAS,26.5,26.61,26.5,26.61,13500
9085,2015-01-26,CHAS,27.9,27.9,27.9,27.9,500
9641,2015-01-27,CHAS,29.29,29.29,29.29,29.29,3500
10198,2015-01-28,CHAS,30.0,30.75,30.0,30.61,13500
10748,2015-01-29,CHAS,30.0,30.0,29.75,29.75,2000
11290,2015-01-30,CHAS,30.9,30.9,30.9,30.9,500
11843,2015-02-02,CHAS,29.36,29.5,29.36,29.36,8000
12359,2015-02-03,CHAS,28.0,28.0,27.9,27.9,21500
13384,2015-02-06,CHAS,29.29,29.29,29.29,29.29,500
13890,2015-02-09,CHAS,27.86,27.86,27.85,27.85,1500
14902,2015-02-11,CHAS,27.0,27.0,26.46,26.46,4000
15417,2015-02-12,CHAS,27.0,27.0,27.0,27.0,25000
15914,2015-02-13,CHAS,28.3,28.3,28.3,28.3,500
16409,2015-02-16,CHAS,26.89,26.89,26.89,26.89,1000
17409,2015-02-18,CHAS,27.0,27.0,27.0,27.0,25000
17913,2015-02-19,CHAS,27.0,27.0,27.0,27.0,500
19440,2015-02-24,CHAS,28.3,28.3,28.3,28.3,500
20526,2015-02-26,CHAS,27.0,27.0,26.89,26.89,3000
21064,2015-02-27,CHAS,27.0,27.0,27.0,27.0,19000
22605,2015-03-04,CHAS,26.75,26.75,26.55,26.64,4000
24045,2015-03-09,CHAS,25.7,25.7,25.7,25.7,1000
24530,2015-03-10,CHAS,24.7,24.7,24.7,24.7,500
25013,2015-03-11,CHAS,24.0,24.5,24.0,24.5,1500
25498,2015-03-12,CHAS,24.75,24.75,24.01,24.01,2500
26467,2015-03-16,CHAS,23.51,23.51,23.51,23.51,1000
27440,2015-03-18,CHAS,24.0,24.0,23.51,23.51,1500
27932,2015-03-19,CHAS,23.0,23.0,23.0,23.0,1000
28405,2015-03-20,CHAS,22.0,22.0,22.0,22.0,1000
28873,2015-03-24,CHAS,23.1,23.1,23.1,23.1,500
29379,2015-03-25,CHAS,23.1,23.1,22.0,22.0,2000
29889,2015-03-26,CHAS,0.0,22.8,22.8,22.0,7500
30965,2015-03-30,CHAS,21.0,21.0,21.0,21.0,1000
32490,2015-04-02,CHAS,21.0,21.5,21.0,21.5,11000
33003,2015-04-03,CHAS,22.0,22.0,21.0,21.0,2000
34493,2015-04-08,CHAS,20.0,20.0,19.95,19.95,1500
34979,2015-04-09,CHAS,19.5,19.5,19.0,19.0,3000
35483,2015-04-10,CHAS,19.8,19.8,19.5,19.8,50500
36000,2015-04-13,CHAS,20.0,20.0,19.0,19.0,1000
36953,2015-04-15,CHAS,18.0,20.0,18.0,20.0,88500
37444,2015-04-16,CHAS,21.0,21.0,21.0,21.0,23000
37962,2015-04-17,CHAS,22.0,22.05,22.0,22.05,31500
38466,2015-04-20,CHAS,22.22,22.22,21.5,21.52,15000
38994,2015-04-21,CHAS,0.0,21.95,21.95,21.52,2000
39526,2015-04-22,CHAS,21.88,22.4,21.88,21.88,10500
40058,2015-04-23,CHAS,21.0,21.0,21.0,21.0,1500
40583,2015-04-24,CHAS,22.04,22.04,22.04,22.04,500
41122,2015-04-27,CHAS,21.75,21.75,21.5,21.5,2000
41628,2015-04-28,CHAS,20.5,20.5,20.43,20.43,2000
42147,2015-04-29,CHAS,19.45,19.45,19.45,19.45,500
43149,2015-05-04,CHAS,0.0,20.0,20.0,19.45,2000
43644,2015-05-05,CHAS,0.0,20.45,20.45,19.45,1000
44150,2015-05-06,CHAS,20.45,20.45,20.45,20.45,1500
44653,2015-05-07,CHAS,21.45,21.45,21.45,21.45,2000
45140,2015-05-08,CHAS,22.3,22.5,22.3,22.5,6000
45629,2015-05-11,CHAS,21.5,21.5,21.5,21.5,2500
46576,2015-05-13,CHAS,20.5,20.5,20.5,20.5,1000
47051,2015-05-14,CHAS,20.5,20.5,20.5,20.5,1000
48020,2015-05-18,CHAS,20.5,20.5,20.1,20.1,4500
48973,2015-05-21,CHAS,20.0,20.0,20.0,20.0,15000
49441,2015-05-22,CHAS,21.0,21.0,21.0,21.0,3000
49905,2015-05-25,CHAS,22.0,22.0,22.0,22.0,2000
50429,2015-05-27,CHAS,23.95,24.25,23.25,24.25,58500
50957,2015-05-28,CHAS,23.05,25.2,23.04,23.04,8500
51484,2015-05-29,CHAS,21.89,22.5,21.89,22.35,6500
52034,2015-06-01,CHAS,22.05,23.46,21.25,23.46,77500
52554,2015-06-02,CHAS,24.6,24.63,24.6,24.63,17000
53069,2015-06-03,CHAS,25.0,25.0,24.5,24.5,9000
53595,2015-06-04,CHAS,25.5,25.5,25.5,25.5,500
54112,2015-06-05,CHAS,25.5,25.5,25.5,25.5,1000
54636,2015-06-08,CHAS,26.7,26.77,26.0,26.39,180000
55162,2015-06-09,CHAS,26.75,27.0,26.3,27.0,52500
55684,2015-06-10,CHAS,26.3,27.99,26.3,26.72,2500
56215,2015-06-12,CHAS,28.2,29.25,28.2,28.88,2000
56753,2015-06-15,CHAS,28.5,28.5,28.0,28.0,2000
57274,2015-06-16,CHAS,27.4,27.4,27.4,27.4,1000
57805,2015-06-17,CHAS,27.5,27.5,26.6,27.4,2500
58343,2015-06-18,CHAS,28.0,28.77,28.0,28.77,11000
58848,2015-06-19,CHAS,29.99,30.2,29.99,30.19,10500
59345,2015-06-22,CHAS,30.85,31.4,30.85,31.3,2500
59881,2015-06-23,CHAS,32.5,32.86,32.0,32.0,3500
60452,2015-06-24,CHAS,31.5,31.5,30.4,31.42,6000
61004,2015-06-25,CHAS,30.4,30.5,30.02,30.02,3000
61534,2015-06-26,CHAS,30.35,30.5,30.35,30.43,5500
62069,2015-06-29,CHAS,0.0,30.5,30.5,30.43,54000
62560,2015-06-30,CHAS,31.94,31.95,31.94,31.95,2500
63058,2015-07-01,CHAS,33.25,33.54,33.25,33.54,17000
63567,2015-07-02,CHAS,35.19,35.21,35.19,35.21,6500
64065,2015-07-03,CHAS,36.74,36.97,36.7,36.97,6500
64571,2015-07-06,CHAS,38.81,38.81,38.0,38.0,6500
65082,2015-07-07,CHAS,36.11,36.11,36.11,36.11,2000
65600,2015-07-08,CHAS,37.5,37.5,37.5,37.5,500
66110,2015-07-09,CHAS,38.5,39.37,38.5,38.8,17500
66604,2015-07-10,CHAS,38.0,38.05,38.0,38.03,3000
67094,2015-07-13,CHAS,39.25,39.25,39.25,39.25,500
67606,2015-07-14,CHAS,39.85,39.85,38.5,38.5,2000
68125,2015-07-15,CHAS,38.0,38.0,38.0,38.0,3500
68650,2015-07-16,CHAS,38.0,38.0,38.0,38.0,1500
69180,2015-07-22,CHAS,36.1,36.1,36.1,36.1,3500
69715,2015-07-23,CHAS,34.31,34.5,34.31,34.5,3000
70247,2015-07-24,CHAS,36.0,36.22,36.0,36.22,22000
70774,2015-07-27,CHAS,37.0,38.03,37.0,38.0,23500
71326,2015-07-28,CHAS,39.5,39.9,39.0,39.9,34000
71890,2015-07-29,CHAS,40.0,41.89,40.0,41.89,23500
72444,2015-07-30,CHAS,43.98,43.98,43.98,43.98,2000
72987,2015-07-31,CHAS,46.17,46.17,46.17,46.17,500
73514,2015-08-03,CHAS,48.47,48.47,48.47,48.47,12000
74001,2015-08-04,CHAS,50.89,50.89,50.89,50.89,2000
74517,2015-08-05,CHAS,53.43,53.43,53.43,53.43,10500
75038,2015-08-06,CHAS,56.1,56.1,50.8,56.1,103500
75562,2015-08-07,CHAS,58.9,58.9,58.9,58.9,6500
76071,2015-08-10,CHAS,61.84,61.84,61.84,61.84,25000
76592,2015-08-11,CHAS,64.93,64.93,64.93,64.93,6000
