,Date,Symbol,Open,High,Low,Close,Volume
165,2015-01-01,CHCC,69.0,72.11,69.0,72.11,3478000
681,2015-01-02,CHCC,75.71,75.71,73.5,75.71,5379500
1202,2015-01-05,CHCC,77.0,78.5,75.4,76.41,6311000
1712,2015-01-06,CHCC,77.0,79.35,76.15,77.69,6482500
2229,2015-01-07,CHCC,77.85,79.6,77.52,77.95,2404500
2742,2015-01-08,CHCC,78.25,78.7,76.15,76.75,1254000
3254,2015-01-09,CHCC,77.0,78.19,76.8,77.06,1309500
3777,2015-01-12,CHCC,77.45,77.8,76.02,76.36,984500
4317,2015-01-13,CHCC,76.01,76.8,75.32,76.5,1051500
4864,2015-01-14,CHCC,76.55,77.74,76.5,76.7,1257000
5408,2015-01-15,CHCC,77.28,77.4,76.0,76.15,988000
5949,2015-01-16,CHCC,76.65,76.98,75.75,75.97,1520000
6483,2015-01-19,CHCC,76.16,78.8,76.16,78.33,2638500
7017,2015-01-20,CHCC,78.7,78.7,77.53,78.16,3240000
7553,2015-01-21,CHCC,78.89,79.2,76.8,77.24,5945000
8075,2015-01-22,CHCC,77.47,77.5,75.82,76.0,1146000
8586,2015-01-23,CHCC,76.5,76.55,72.21,74.75,1706500
9106,2015-01-26,CHCC,77.5,77.5,75.81,76.34,3590500
9664,2015-01-27,CHCC,76.6,79.2,75.75,78.05,6389000
10220,2015-01-28,CHCC,78.48,80.8,78.1,79.06,9006500
10769,2015-01-29,CHCC,79.38,82.89,79.0,81.51,12911500
11307,2015-01-30,CHCC,82.74,85.58,82.0,85.45,14282500
11866,2015-02-02,CHCC,86.8,89.65,85.0,88.33,13379500
12382,2015-02-03,CHCC,88.5,91.0,86.1,89.81,8551500
12900,2015-02-04,CHCC,89.9,90.9,87.0,88.02,3734000
13405,2015-02-06,CHCC,88.5,90.25,88.15,88.43,4820500
13911,2015-02-09,CHCC,88.99,88.99,86.71,87.13,3432000
14415,2015-02-10,CHCC,87.65,87.65,85.01,85.51,3485500
14925,2015-02-11,CHCC,85.7,85.7,82.95,83.21,3550500
