,Date,Symbol,Open,High,Low,Close,Volume
303,2015-01-01,CLOV,141.0,147.85,138.5,145.8,30000
832,2015-01-02,CLOV,145.0,153.09,139.0,153.09,34100
1350,2015-01-05,CLOV,159.49,160.74,145.65,147.84,132900
1856,2015-01-06,CLOV,148.99,148.99,140.45,140.45,78200
2375,2015-01-07,CLOV,137.6,141.8,133.43,133.43,100600
2889,2015-01-08,CLOV,131.99,136.7,126.76,126.76,382300
3403,2015-01-09,CLOV,124.01,126.48,120.43,120.43,222800
3930,2015-01-12,CLOV,117.9,126.45,115.0,123.11,473000
4467,2015-01-13,CLOV,124.88,128.4,120.5,124.9,299800
5011,2015-01-14,CLOV,125.0,127.85,125.0,126.09,140600
5561,2015-01-15,CLOV,127.0,132.39,126.51,127.96,646800
6094,2015-01-16,CLOV,129.0,129.0,123.05,123.24,265000
6629,2015-01-19,CLOV,124.0,126.0,122.62,122.93,172300
7167,2015-01-20,CLOV,123.99,128.0,121.51,123.72,393400
7704,2015-01-21,CLOV,124.04,125.0,122.58,123.08,359200
8225,2015-01-22,CLOV,123.01,124.25,118.1,119.3,145900
8733,2015-01-23,CLOV,122.0,122.0,117.6,118.18,106900
9258,2015-01-26,CLOV,120.89,122.5,118.0,119.69,111300
9813,2015-01-27,CLOV,120.3,123.0,119.51,121.75,123700
10369,2015-01-28,CLOV,122.5,122.8,119.0,119.12,51400
10918,2015-01-29,CLOV,119.05,120.35,118.21,119.02,33300
11453,2015-01-30,CLOV,118.25,120.0,116.0,117.27,112600
12014,2015-02-02,CLOV,118.0,119.0,117.0,117.03,63400
12530,2015-02-03,CLOV,117.0,118.0,115.0,115.71,92000
13049,2015-02-04,CLOV,117.45,117.45,109.93,109.93,158500
13550,2015-02-06,CLOV,107.0,112.5,105.0,107.78,126200
14059,2015-02-09,CLOV,108.01,113.16,108.01,113.16,308900
14561,2015-02-10,CLOV,114.89,117.49,112.5,116.41,199100
15069,2015-02-11,CLOV,117.0,118.45,113.0,113.56,86600
15583,2015-02-12,CLOV,112.6,117.5,111.85,115.04,290000
16080,2015-02-13,CLOV,116.0,120.79,115.05,120.71,361600
16573,2015-02-16,CLOV,121.74,121.74,117.01,117.78,83900
17074,2015-02-17,CLOV,118.0,119.4,114.0,114.68,84700
17572,2015-02-18,CLOV,115.25,116.4,113.51,115.51,37300
18076,2015-02-19,CLOV,114.9,116.49,114.7,115.06,17300
18568,2015-02-20,CLOV,114.05,115.25,113.0,113.38,23300
19058,2015-02-23,CLOV,112.0,113.75,111.25,112.11,21000
19606,2015-02-24,CLOV,110.05,112.0,109.55,111.11,40000
20141,2015-02-25,CLOV,111.0,112.0,107.05,109.75,86100
20691,2015-02-26,CLOV,111.99,111.99,104.27,104.81,84200
21222,2015-02-27,CLOV,103.6,105.7,101.0,101.72,34900
21759,2015-03-02,CLOV,101.0,102.25,98.11,99.82,139000
22260,2015-03-03,CLOV,97.5,99.97,94.83,98.74,38900
22763,2015-03-04,CLOV,101.54,102.88,100.1,101.37,156700
23255,2015-03-05,CLOV,100.5,102.48,100.0,100.29,26500
23728,2015-03-06,CLOV,100.21,102.4,99.1,99.75,24200
24196,2015-03-09,CLOV,98.55,99.0,96.5,96.74,25600
24683,2015-03-10,CLOV,96.99,96.99,91.91,92.42,52700
25165,2015-03-11,CLOV,90.0,96.89,89.79,94.15,37000
25661,2015-03-12,CLOV,97.0,97.0,94.2,94.83,18700
26140,2015-03-13,CLOV,96.0,99.57,95.26,98.89,42300
26623,2015-03-16,CLOV,102.0,102.8,96.25,96.83,48600
27094,2015-03-17,CLOV,95.12,97.97,95.0,96.98,4200
27600,2015-03-18,CLOV,97.94,97.94,92.14,92.28,37100
28084,2015-03-19,CLOV,91.1,95.0,91.0,93.45,33800
28555,2015-03-20,CLOV,94.5,97.0,93.0,95.93,35700
29027,2015-03-24,CLOV,97.85,98.5,91.14,91.25,50100
