,Date,Symbol,Open,High,Low,Close,Volume
275,2015-01-01,COLG,1915.0,2045.0,1915.0,2000.0,420
802,2015-01-02,COLG,2050.0,2050.0,2050.0,2050.0,20
1319,2015-01-05,COLG,2000.0,2150.0,1970.0,2000.0,1040
2346,2015-01-07,COLG,2000.0,2000.0,1931.25,1931.81,260
2858,2015-01-08,COLG,1980.0,2000.0,1980.0,2000.0,60
3372,2015-01-09,COLG,1930.0,1932.0,1930.0,1932.0,1180
3897,2015-01-12,COLG,1998.0,1998.0,1866.0,1995.0,2780
4436,2015-01-13,COLG,2000.0,2000.0,2000.0,2000.0,340
4981,2015-01-14,COLG,2000.5,2010.0,2000.0,2000.0,240
5528,2015-01-15,COLG,2100.0,2100.0,1980.0,2098.5,800
6065,2015-01-16,COLG,2050.0,2050.0,2050.0,2050.0,80
6599,2015-01-19,COLG,2075.0,2149.0,2075.0,2139.03,740
7135,2015-01-20,COLG,2150.0,2241.0,2100.0,2100.0,2400
7672,2015-01-21,COLG,2110.0,2110.0,1995.0,1995.0,580
8193,2015-01-22,COLG,2000.0,2000.0,1895.5,1901.83,720
8702,2015-01-23,COLG,1831.0,1831.0,1806.74,1811.15,700
9225,2015-01-26,COLG,1815.0,1901.7,1815.0,1901.7,2640
9781,2015-01-27,COLG,1996.75,1996.75,1900.0,1947.5,1200
10339,2015-01-28,COLG,1900.0,1902.0,1900.0,1902.0,40
10889,2015-01-29,COLG,1901.25,1960.0,1900.0,1960.0,180
11424,2015-01-30,COLG,1905.0,1905.0,1900.0,1900.0,320
11983,2015-02-02,COLG,1831.15,1840.0,1820.0,1827.26,760
12500,2015-02-03,COLG,1830.0,1835.0,1830.0,1830.0,100
13018,2015-02-04,COLG,1800.0,1820.0,1800.0,1820.0,360
14530,2015-02-10,COLG,1765.0,1765.0,1750.0,1760.5,460
15040,2015-02-11,COLG,1681.0,1848.0,1681.0,1848.0,2240
15554,2015-02-12,COLG,1790.0,1790.0,1780.0,1780.0,40
17044,2015-02-17,COLG,1777.77,1777.77,1710.2,1730.0,80
18049,2015-02-19,COLG,1750.0,1750.0,1750.0,1750.0,500
19026,2015-02-23,COLG,1725.0,1725.0,1725.0,1725.0,20
19575,2015-02-24,COLG,1755.0,1810.0,1755.0,1810.0,200
20110,2015-02-25,COLG,1754.0,1850.0,1754.0,1820.0,640
21191,2015-02-27,COLG,1830.0,1900.0,1800.0,1895.0,1540
21727,2015-03-02,COLG,1899.0,1955.0,1899.0,1914.62,1140
23697,2015-03-06,COLG,1821.0,1821.0,1818.89,1819.59,660
25629,2015-03-12,COLG,1750.0,1750.0,1750.0,1750.0,40
27569,2015-03-18,COLG,1837.0,1837.0,1837.0,1837.0,2040
28525,2015-03-20,COLG,1825.0,1825.0,1820.0,1824.9,1020
28998,2015-03-24,COLG,1827.0,1827.0,1827.0,1827.0,1000
30016,2015-03-26,COLG,0.0,1823.9167,1823.9167,1823.9167,0
30548,2015-03-27,COLG,1745.0,1745.0,1735.0,1740.0,40
31103,2015-03-30,COLG,1670.0,1670.0,1653.0,1653.0,140
31610,2015-03-31,COLG,1735.65,1735.65,1610.0,1621.67,1060
32113,2015-04-01,COLG,1600.0,1620.0,1600.0,1600.0,100
32620,2015-04-02,COLG,1600.0,1650.0,1600.0,1620.0,1420
