,Date,Symbol,Open,High,Low,Close,Volume
276,2015-01-01,CTM,4.75,4.99,4.75,4.9,178000
803,2015-01-02,CTM,4.99,5.22,4.9,5.13,402500
1320,2015-01-05,CTM,5.05,5.05,4.85,4.88,84000
1827,2015-01-06,CTM,4.76,4.88,4.76,4.81,46500
2347,2015-01-07,CTM,4.8,4.9,4.7,4.75,172000
2859,2015-01-08,CTM,4.77,4.84,4.75,4.82,20000
3373,2015-01-09,CTM,4.88,4.92,4.77,4.78,71000
3898,2015-01-12,CTM,4.75,4.85,4.72,4.75,54000
4437,2015-01-13,CTM,4.84,4.85,4.75,4.83,109000
4982,2015-01-14,CTM,4.89,4.89,4.7,4.78,119000
5529,2015-01-15,CTM,4.84,4.89,4.73,4.8,214500
6066,2015-01-16,CTM,4.85,4.85,4.71,4.73,231000
6600,2015-01-19,CTM,4.72,4.89,4.7,4.75,101500
7136,2015-01-20,CTM,4.8,4.81,4.75,4.79,61000
7673,2015-01-21,CTM,4.78,4.8,4.7,4.73,38000
8194,2015-01-22,CTM,4.8,4.8,4.6,4.64,132500
8703,2015-01-23,CTM,4.7,4.78,4.66,4.71,30000
9226,2015-01-26,CTM,4.98,4.98,4.65,4.7,113000
9782,2015-01-27,CTM,4.65,4.68,4.61,4.67,45500
10340,2015-01-28,CTM,4.85,4.85,4.62,4.63,61500
10890,2015-01-29,CTM,4.64,4.66,4.58,4.63,39000
11425,2015-01-30,CTM,4.6,4.69,4.55,4.59,44000
11984,2015-02-02,CTM,4.83,4.83,4.5,4.53,133000
12501,2015-02-03,CTM,4.54,4.74,4.54,4.68,83000
13019,2015-02-04,CTM,4.6,4.62,4.5,4.52,125500
13522,2015-02-06,CTM,4.6,4.69,4.52,4.69,25500
14031,2015-02-09,CTM,4.68,4.7,4.61,4.64,52000
14531,2015-02-10,CTM,4.8,4.85,4.7,4.78,96500
15041,2015-02-11,CTM,4.58,4.69,4.5,4.57,35500
15555,2015-02-12,CTM,4.51,4.6,4.45,4.58,29000
16051,2015-02-13,CTM,4.46,4.57,4.13,4.28,384000
16549,2015-02-16,CTM,4.4,4.4,4.2,4.22,121000
17045,2015-02-17,CTM,4.34,4.35,4.23,4.24,11500
17543,2015-02-18,CTM,4.21,4.21,4.1,4.11,32500
18050,2015-02-19,CTM,4.12,4.15,4.1,4.13,106000
18538,2015-02-20,CTM,4.15,4.15,4.0,4.01,100000
19027,2015-02-23,CTM,4.35,4.36,4.0,4.02,25500
19576,2015-02-24,CTM,3.99,4.18,3.91,3.94,112500
20111,2015-02-25,CTM,3.94,4.08,3.93,4.04,84000
20662,2015-02-26,CTM,3.75,4.0,3.75,3.98,37000
21192,2015-02-27,CTM,3.94,4.09,3.93,4.09,15000
21728,2015-03-02,CTM,3.95,4.0,3.8,3.96,43500
22232,2015-03-03,CTM,3.82,3.84,3.7,3.76,46000
22734,2015-03-04,CTM,3.75,3.75,3.65,3.68,86000
23226,2015-03-05,CTM,3.8,3.9,3.73,3.75,14000
23698,2015-03-06,CTM,3.72,3.72,3.6,3.65,48000
24170,2015-03-09,CTM,3.63,3.63,3.5,3.52,109000
24657,2015-03-10,CTM,3.55,3.65,3.5,3.57,35000
25141,2015-03-11,CTM,3.5,3.54,3.0,3.54,51500
25630,2015-03-12,CTM,3.46,3.5,3.3,3.32,136500
26111,2015-03-13,CTM,3.5,3.5,3.3,3.31,185500
26594,2015-03-16,CTM,3.35,3.35,3.11,3.16,107500
27066,2015-03-17,CTM,3.11,3.23,3.05,3.19,100000
27570,2015-03-18,CTM,3.26,3.26,2.82,2.94,458500
28058,2015-03-19,CTM,3.0,3.07,2.93,3.01,124000
28526,2015-03-20,CTM,3.06,3.25,3.06,3.21,56500
