,Date,Symbol,Open,High,Low,Close,Volume
120,2015-01-01,CRTM,17.41,17.75,17.4,17.71,37000
628,2015-01-02,CRTM,18.43,18.43,18.0,18.33,78000
1153,2015-01-05,CRTM,18.35,18.4,18.2,18.25,35500
1656,2015-01-06,CRTM,18.43,18.6,18.2,18.2,109500
2174,2015-01-07,CRTM,18.21,19.2,18.21,18.48,423500
2682,2015-01-08,CRTM,18.65,18.95,18.5,18.68,51000
3201,2015-01-09,CRTM,18.89,19.0,18.5,18.66,135500
3720,2015-01-12,CRTM,18.89,19.4,18.85,19.31,150000
4256,2015-01-13,CRTM,19.4,20.31,19.0,20.31,541500
4803,2015-01-14,CRTM,20.8,21.32,20.4,21.32,377500
5347,2015-01-15,CRTM,21.79,22.38,21.35,22.38,682500
5893,2015-01-16,CRTM,22.99,23.15,21.27,21.51,388000
6419,2015-01-19,CRTM,22.0,22.0,21.4,21.89,67000
6957,2015-01-20,CRTM,21.89,22.19,21.5,21.58,51000
7494,2015-01-21,CRTM,21.25,21.55,21.2,21.21,75000
8020,2015-01-22,CRTM,20.5,21.25,20.5,21.05,71000
8536,2015-01-23,CRTM,20.53,20.98,20.53,20.98,19500
9047,2015-01-26,CRTM,21.01,21.5,21.0,21.0,22500
9609,2015-01-27,CRTM,21.4,21.4,19.95,20.16,74000
10162,2015-01-28,CRTM,20.11,20.11,19.2,19.31,235000
10716,2015-01-29,CRTM,19.04,19.5,19.0,19.04,67500
11256,2015-01-30,CRTM,19.25,19.3,18.94,19.03,51500
11804,2015-02-02,CRTM,20.03,20.03,20.03,20.03,12000
12322,2015-02-03,CRTM,21.03,21.03,20.3,20.49,601000
12841,2015-02-04,CRTM,20.5,20.75,20.1,20.35,133000
13349,2015-02-06,CRTM,20.3,21.33,20.22,20.98,210500
13855,2015-02-09,CRTM,21.0,22.02,21.0,21.28,290000
14358,2015-02-10,CRTM,22.0,22.0,20.6,20.7,369500
14863,2015-02-11,CRTM,20.6,20.89,20.25,20.51,46000
15376,2015-02-12,CRTM,19.76,20.2,19.73,20.15,19000
15879,2015-02-13,CRTM,20.44,20.59,20.0,20.03,20500
16376,2015-02-16,CRTM,19.76,19.8,19.5,19.8,14000
16874,2015-02-17,CRTM,19.9,19.9,19.1,19.17,11500
17373,2015-02-18,CRTM,18.8,19.2,18.8,19.11,33500
17878,2015-02-19,CRTM,19.35,20.0,19.0,19.86,54000
18376,2015-02-20,CRTM,19.75,19.9,19.0,19.04,98500
18865,2015-02-23,CRTM,19.69,20.04,19.1,20.04,265500
19404,2015-02-24,CRTM,20.45,20.72,19.7,19.74,51500
19947,2015-02-25,CRTM,19.75,19.88,19.35,19.6,15500
20492,2015-02-26,CRTM,19.7,19.98,19.6,19.61,14500
21029,2015-02-27,CRTM,19.6,19.75,19.32,19.32,8500
21561,2015-03-02,CRTM,19.5,19.85,19.13,19.55,51500
22063,2015-03-03,CRTM,19.26,19.39,19.0,19.39,37500
22570,2015-03-04,CRTM,19.11,19.65,18.82,18.96,53000
23066,2015-03-05,CRTM,19.0,19.15,18.85,19.12,8500
23539,2015-03-06,CRTM,18.71,19.2,18.7,19.0,14500
24014,2015-03-09,CRTM,19.02,19.15,19.0,19.12,36500
24499,2015-03-10,CRTM,18.99,19.19,18.75,18.77,25500
24981,2015-03-11,CRTM,18.67,18.99,18.47,18.69,54500
25466,2015-03-12,CRTM,19.0,19.1,18.98,19.06,20000
25954,2015-03-13,CRTM,20.0,20.0,19.0,19.06,80500
26436,2015-03-16,CRTM,18.75,19.44,18.75,19.12,6000
26911,2015-03-17,CRTM,19.15,19.15,19.01,19.15,28000
27405,2015-03-18,CRTM,18.75,18.75,18.16,18.75,16500
27901,2015-03-19,CRTM,18.5,18.75,18.5,18.5,55500
28378,2015-03-20,CRTM,18.5,18.59,18.02,18.59,5500
29352,2015-03-25,CRTM,18.4,18.56,18.4,18.46,10500
29862,2015-03-26,CRTM,18.11,18.11,17.46,17.99,48500
30388,2015-03-27,CRTM,17.5,18.6,17.01,17.07,61500
30929,2015-03-30,CRTM,16.1,16.24,16.07,16.24,73000
31446,2015-03-31,CRTM,17.0,17.24,17.0,17.24,28000
31953,2015-04-01,CRTM,17.1,17.46,17.0,17.43,34000
32456,2015-04-02,CRTM,16.9,17.64,16.9,17.46,13500
32968,2015-04-03,CRTM,17.51,18.1,17.5,18.01,64500
33463,2015-04-06,CRTM,18.0,18.27,18.0,18.27,3000
33972,2015-04-07,CRTM,18.0,18.0,17.85,18.0,9000
34458,2015-04-08,CRTM,18.0,18.05,17.7,17.86,13000
34949,2015-04-09,CRTM,17.69,17.69,17.5,17.5,1500
35445,2015-04-10,CRTM,17.5,18.35,17.5,18.24,53000
35964,2015-04-13,CRTM,18.05,18.2,18.0,18.05,5000
36445,2015-04-14,CRTM,17.61,18.0,17.6,17.6,25500
36921,2015-04-15,CRTM,18.0,18.2,17.8,18.2,2500
37412,2015-04-16,CRTM,18.0,18.18,17.75,17.88,25000
37921,2015-04-17,CRTM,18.25,18.25,17.5,17.98,39000
38429,2015-04-20,CRTM,18.25,18.5,18.0,18.44,180500
38963,2015-04-21,CRTM,18.0,18.0,17.7,18.0,2500
39489,2015-04-22,CRTM,18.0,18.0,17.6,17.9,22000
40029,2015-04-23,CRTM,17.61,17.61,17.5,17.61,10000
40553,2015-04-24,CRTM,17.6,17.67,17.6,17.65,7500
41086,2015-04-27,CRTM,17.99,18.0,17.99,18.0,25500
41589,2015-04-28,CRTM,17.77,19.0,17.77,19.0,553500
42115,2015-04-29,CRTM,20.0,20.0,18.31,18.59,463500
42620,2015-04-30,CRTM,18.6,18.74,18.25,18.71,7500
43118,2015-05-04,CRTM,18.99,18.99,18.3,18.36,59000
43613,2015-05-05,CRTM,18.55,18.55,18.01,18.39,41000
44119,2015-05-06,CRTM,18.4,18.44,18.4,18.42,6000
44620,2015-05-07,CRTM,18.05,18.45,18.0,18.29,10000
45595,2015-05-11,CRTM,17.5,18.0,17.5,17.54,37500
46076,2015-05-12,CRTM,17.5,17.9,17.5,17.66,13500
47022,2015-05-14,CRTM,17.9,18.64,17.9,18.25,48000
47507,2015-05-15,CRTM,18.01,18.38,17.81,18.23,34000
47989,2015-05-18,CRTM,18.0,18.0,18.0,18.0,5000
48939,2015-05-21,CRTM,17.85,18.18,17.85,18.06,10500
49412,2015-05-22,CRTM,18.0,18.5,17.8,18.15,19500
50396,2015-05-27,CRTM,18.25,18.25,18.05,18.05,22500
50926,2015-05-28,CRTM,17.9,18.23,17.85,18.16,22500
51454,2015-05-29,CRTM,17.8,18.2,17.8,18.13,25500
51996,2015-06-01,CRTM,18.2,18.8,18.2,18.5,192000
52520,2015-06-02,CRTM,18.25,18.5,18.2,18.31,32500
