,Date,Symbol,Open,High,Low,Close,Volume
167,2015-01-01,DGKC,111.01,115.89,111.01,115.33,8489000
684,2015-01-02,DGKC,115.25,119.39,113.75,116.97,11593000
1204,2015-01-05,DGKC,117.13,117.13,113.61,114.08,7258000
1715,2015-01-06,DGKC,114.0,115.05,112.49,112.86,6386500
2232,2015-01-07,DGKC,112.75,114.4,112.5,112.98,5257000
2745,2015-01-08,DGKC,113.4,115.84,113.0,115.09,8429000
3257,2015-01-09,DGKC,116.35,117.95,115.61,116.13,9196500
3780,2015-01-12,DGKC,116.89,117.98,114.11,114.52,6156500
4320,2015-01-13,DGKC,115.0,116.37,113.9,115.88,3979500
4867,2015-01-14,DGKC,116.7,119.75,116.4,119.04,13040000
5411,2015-01-15,DGKC,119.7,121.89,118.7,119.15,5285500
5952,2015-01-16,DGKC,120.0,120.25,117.8,118.23,4892500
6486,2015-01-19,DGKC,118.0,120.29,118.0,119.36,3152500
7020,2015-01-20,DGKC,120.01,124.25,120.01,123.82,10286500
7556,2015-01-21,DGKC,124.0,126.25,123.75,125.38,9955500
8078,2015-01-22,DGKC,124.8,124.8,121.8,122.7,2799500
8589,2015-01-23,DGKC,123.0,124.48,121.15,122.0,3462000
9109,2015-01-26,DGKC,126.3,127.25,125.1,125.46,6565000
9666,2015-01-27,DGKC,125.64,127.15,124.6,125.74,4221000
10223,2015-01-28,DGKC,125.1,128.45,125.01,125.35,5849000
10772,2015-01-29,DGKC,125.1,127.95,125.1,126.55,4377000
11309,2015-01-30,DGKC,127.0,132.2,127.0,131.31,11320500
11869,2015-02-02,DGKC,131.99,134.75,131.7,133.14,8342000
12384,2015-02-03,DGKC,133.3,133.49,129.5,130.84,3124000
12903,2015-02-04,DGKC,130.96,131.69,128.01,128.47,3031000
13408,2015-02-06,DGKC,128.98,131.59,128.8,129.48,5610000
13914,2015-02-09,DGKC,130.35,131.49,129.21,129.49,4483500
14418,2015-02-10,DGKC,130.0,130.5,127.5,129.4,2450000
14928,2015-02-11,DGKC,129.85,132.2,129.21,130.33,5399500
15442,2015-02-12,DGKC,130.49,132.35,123.82,128.15,9732500
15938,2015-02-13,DGKC,129.05,129.89,127.65,128.41,4448000
16433,2015-02-16,DGKC,128.7,128.85,123.51,126.31,4893500
16928,2015-02-17,DGKC,126.01,131.75,124.0,126.33,16220500
17430,2015-02-18,DGKC,126.9,127.35,124.5,125.06,3165000
17934,2015-02-19,DGKC,125.8,129.65,124.5,128.63,7390000
18427,2015-02-20,DGKC,129.99,130.39,123.2,123.87,12865000
18918,2015-02-23,DGKC,124.49,125.89,123.1,125.04,2365500
19464,2015-02-24,DGKC,125.61,126.44,124.5,124.83,2357500
20000,2015-02-25,DGKC,124.55,125.77,124.11,124.79,1050000
20549,2015-02-26,DGKC,125.0,125.69,123.3,123.86,1858500
21081,2015-02-27,DGKC,124.5,125.8,121.61,122.69,4909000
21615,2015-03-02,DGKC,122.0,122.9,119.0,120.35,3256500
22121,2015-03-03,DGKC,120.95,125.5,119.5,125.2,6396000
22623,2015-03-04,DGKC,125.5,127.0,124.7,125.88,5475000
23120,2015-03-05,DGKC,126.4,127.9,125.8,127.49,3363500
23587,2015-03-06,DGKC,128.0,130.9,127.1,130.19,3425500
24063,2015-03-09,DGKC,130.85,131.25,127.5,127.82,1798000
24546,2015-03-10,DGKC,127.02,127.45,125.0,125.68,2427500
25030,2015-03-11,DGKC,124.1,128.4,122.6,127.35,2770000
25516,2015-03-12,DGKC,128.0,129.3,127.4,128.2,1973000
25999,2015-03-13,DGKC,129.25,131.25,129.25,130.32,4301000
26483,2015-03-16,DGKC,130.49,131.0,126.5,127.05,1686500
26953,2015-03-17,DGKC,127.3,127.6,123.7,126.64,2969500
27460,2015-03-18,DGKC,126.6,127.0,121.75,123.18,2886000
27950,2015-03-19,DGKC,123.99,126.4,123.8,124.59,2197500
28422,2015-03-20,DGKC,125.8,129.74,125.5,128.54,3262500
28891,2015-03-24,DGKC,130.2,130.88,124.6,125.43,2437000
29398,2015-03-25,DGKC,126.24,126.5,123.15,123.75,1802000
29907,2015-03-26,DGKC,124.2,125.0,117.57,117.9,5971500
30438,2015-03-27,DGKC,118.0,119.4,112.01,112.2,3854500
30990,2015-03-30,DGKC,110.8,111.01,106.59,106.59,3925000
31498,2015-03-31,DGKC,106.7,111.91,106.7,111.8,7654000
32001,2015-04-01,DGKC,111.0,116.39,109.0,113.1,9014500
32512,2015-04-02,DGKC,113.5,118.75,113.5,118.05,6865000
33016,2015-04-03,DGKC,119.5,123.95,118.55,123.59,10258500
33519,2015-04-06,DGKC,123.5,126.19,123.2,124.63,6886000
34023,2015-04-07,DGKC,124.45,124.5,122.2,122.84,4862500
34510,2015-04-08,DGKC,122.8,125.3,122.41,123.91,5352000
34998,2015-04-09,DGKC,124.6,126.1,123.0,125.56,4385500
