,Date,Symbol,Open,High,Low,Close,Volume
328823,2020-07-01,DMIL,0.0,21.65,21.65,21.65,0
338513,2020-07-01,DMIL,0.0,21.65,21.65,21.65,0
636892,2020-03-04,DMIL,0.0,44.03,44.03,44.03,0
641643,2020-03-18,DMIL,46.0,46.0,46.0,46.0,2500
646430,2020-04-06,DMIL,42.55,42.55,42.55,42.55,500
646896,2020-04-07,DMIL,39.36,39.36,39.36,39.36,500
647825,2020-04-09,DMIL,39.0,39.0,36.41,36.41,1000
648763,2020-04-13,DMIL,33.68,33.68,33.68,33.68,500
651698,2020-04-21,DMIL,31.16,31.16,31.16,31.16,500
653259,2020-04-24,DMIL,0.0,28.83,28.83,28.83,0
653775,2020-04-27,DMIL,28.0,28.0,28.0,28.0,500
654703,2020-04-29,DMIL,25.9,25.9,25.9,25.9,500
655688,2020-05-04,DMIL,24.0,24.0,24.0,24.0,500
658085,2020-05-11,DMIL,22.2,22.2,22.2,22.2,500
659513,2020-05-14,DMIL,20.54,20.54,20.54,20.54,500
662387,2020-05-28,DMIL,19.0,19.0,19.0,19.0,500
666907,2020-06-10,DMIL,17.6,17.6,17.6,17.6,500
668411,2020-06-15,DMIL,16.3,16.3,16.3,16.3,500
669431,2020-06-17,DMIL,15.1,15.1,15.1,15.1,500
669952,2020-06-18,DMIL,0.0,16.23,16.23,16.23,0
