,Date,Symbol,Open,High,Low,Close,Volume
90,2015-01-01,DSIL,4.74,4.74,4.26,4.49,7000
587,2015-01-02,DSIL,4.5,4.7,4.5,4.64,121000
1117,2015-01-05,DSIL,4.5,4.5,4.35,4.4,92000
1624,2015-01-06,DSIL,4.36,4.4,4.3,4.39,38500
2139,2015-01-07,DSIL,4.38,4.59,4.35,4.49,45000
2647,2015-01-08,DSIL,4.5,4.5,4.25,4.46,41000
3168,2015-01-09,DSIL,4.54,4.6,4.35,4.38,39500
3683,2015-01-12,DSIL,4.41,4.41,4.4,4.4,15000
4212,2015-01-13,DSIL,4.4,4.5,4.4,4.45,29000
4761,2015-01-14,DSIL,4.57,4.72,4.5,4.51,304000
5304,2015-01-15,DSIL,4.58,4.9,4.51,4.71,279500
5857,2015-01-16,DSIL,4.79,4.95,4.6,4.69,275000
6381,2015-01-19,DSIL,4.8,4.86,4.64,4.68,215000
6921,2015-01-20,DSIL,4.79,5.15,4.79,4.9,1022000
7456,2015-01-21,DSIL,5.0,5.0,4.75,4.83,134500
7986,2015-01-22,DSIL,4.9,4.9,4.64,4.76,66000
8500,2015-01-23,DSIL,4.62,4.85,4.6,4.69,14500
9017,2015-01-26,DSIL,4.85,4.85,4.6,4.61,15000
9578,2015-01-27,DSIL,4.55,4.77,4.54,4.77,65500
10133,2015-01-28,DSIL,4.52,4.7,4.52,4.66,51000
10681,2015-01-29,DSIL,4.6,4.67,4.5,4.57,53500
11221,2015-01-30,DSIL,4.8,4.8,4.55,4.55,12500
11771,2015-02-02,DSIL,4.75,4.75,4.7,4.75,3000
12288,2015-02-03,DSIL,4.6,4.6,4.42,4.43,38000
12810,2015-02-04,DSIL,4.55,4.55,4.42,4.42,36500
13322,2015-02-06,DSIL,4.42,4.5,4.4,4.49,20500
13827,2015-02-09,DSIL,4.5,4.6,4.5,4.55,363500
14325,2015-02-10,DSIL,4.61,4.95,4.6,4.79,97500
14831,2015-02-11,DSIL,4.9,5.2,4.88,5.0,505000
15343,2015-02-12,DSIL,5.23,5.25,4.75,5.0,162500
15847,2015-02-13,DSIL,4.81,5.06,4.81,4.86,113500
16348,2015-02-16,DSIL,4.76,4.89,4.7,4.71,35000
16843,2015-02-17,DSIL,4.6,4.87,4.6,4.82,12500
17345,2015-02-18,DSIL,4.56,4.75,4.55,4.59,85000
17842,2015-02-19,DSIL,4.75,4.8,4.65,4.74,40000
18346,2015-02-20,DSIL,4.6,5.2,4.43,5.06,142000
18835,2015-02-23,DSIL,5.0,5.5,4.71,4.81,1876000
19369,2015-02-24,DSIL,4.88,4.88,4.5,4.52,174000
19911,2015-02-25,DSIL,4.74,4.9,4.4,4.65,186000
20456,2015-02-26,DSIL,4.5,4.78,4.5,4.72,34500
20995,2015-02-27,DSIL,4.74,4.84,4.5,4.6,71000
21528,2015-03-02,DSIL,4.8,4.8,4.39,4.4,56500
22031,2015-03-03,DSIL,4.4,4.48,4.2,4.31,91000
22532,2015-03-04,DSIL,4.42,4.42,4.21,4.31,113000
23035,2015-03-05,DSIL,4.9,4.9,4.2,4.39,18000
23516,2015-03-06,DSIL,4.26,4.45,4.26,4.36,42500
23991,2015-03-09,DSIL,4.25,4.25,4.2,4.25,61500
24470,2015-03-10,DSIL,4.15,4.5,4.15,4.24,45500
