,Date,Symbol,Open,High,Low,Close,Volume
278,2015-01-01,DYNO,58.8,59.9,58.8,59.42,9000
1323,2015-01-05,DYNO,56.5,56.5,56.5,56.5,21000
1830,2015-01-06,DYNO,54.0,55.9,53.7,53.71,8000
2350,2015-01-07,DYNO,56.25,56.39,56.25,56.39,4000
2862,2015-01-08,DYNO,57.3,57.45,54.0,57.0,20500
3376,2015-01-09,DYNO,57.49,59.85,57.49,59.84,101000
3900,2015-01-12,DYNO,62.83,62.83,58.01,58.01,10500
4440,2015-01-13,DYNO,57.5,59.0,56.51,56.68,43500
4985,2015-01-14,DYNO,57.1,58.98,57.1,58.04,1000
5532,2015-01-15,DYNO,57.01,57.11,57.0,57.11,4500
6069,2015-01-16,DYNO,56.11,59.96,56.11,59.96,60000
6603,2015-01-19,DYNO,62.0,62.95,62.0,62.93,219500
7139,2015-01-20,DYNO,62.9,65.9,62.9,64.5,48500
7676,2015-01-21,DYNO,63.0,65.9,61.28,63.44,28000
8197,2015-01-22,DYNO,63.0,63.5,61.5,61.56,4500
8706,2015-01-23,DYNO,60.5,61.65,58.5,59.3,11000
9229,2015-01-26,DYNO,59.0,59.0,58.5,58.5,1500
9785,2015-01-27,DYNO,56.0,58.0,56.0,57.0,23500
10343,2015-01-28,DYNO,57.0,59.85,57.0,59.62,6500
10893,2015-01-29,DYNO,61.0,62.6,61.0,62.41,8000
11987,2015-02-02,DYNO,60.0,60.0,60.0,60.0,2500
12503,2015-02-03,DYNO,59.0,59.0,59.0,59.0,500
13022,2015-02-04,DYNO,61.0,61.0,58.11,60.0,5500
13524,2015-02-06,DYNO,0.0,60.75,60.75,60.0,2000
14034,2015-02-09,DYNO,60.0,60.0,57.25,57.25,3000
14534,2015-02-10,DYNO,59.79,59.79,59.79,59.79,1000
16054,2015-02-13,DYNO,57.0,57.0,57.0,57.0,500
17048,2015-02-17,DYNO,58.99,58.99,58.5,58.5,1000
18053,2015-02-19,DYNO,57.99,58.0,57.99,58.0,20000
18541,2015-02-20,DYNO,58.9,59.0,58.9,59.0,12000
19030,2015-02-23,DYNO,59.0,60.0,59.0,60.0,32000
19579,2015-02-24,DYNO,60.0,60.0,60.0,60.0,17000
20114,2015-02-25,DYNO,60.0,60.0,60.0,60.0,153000
20665,2015-02-26,DYNO,61.0,63.0,61.0,62.01,264500
