,Date,Symbol,Open,High,Low,Close,Volume
683,2015-01-02,DNCC,12.7,12.7,12.5,12.5,2000
1714,2015-01-06,DNCC,12.2,12.2,12.0,12.0,1000
2231,2015-01-07,DNCC,11.5,11.5,11.11,11.5,3500
2744,2015-01-08,DNCC,11.11,11.9,11.11,11.9,1000
3256,2015-01-09,DNCC,11.15,11.15,11.11,11.11,1000
3779,2015-01-12,DNCC,11.1,11.1,11.1,11.1,10000
4319,2015-01-13,DNCC,11.35,11.43,11.35,11.39,1500
4866,2015-01-14,DNCC,12.0,12.0,12.0,12.0,500
5410,2015-01-15,DNCC,12.3,12.3,11.61,11.7,4500
5951,2015-01-16,DNCC,0.0,11.3,11.3,11.7,500
6485,2015-01-19,DNCC,11.5,11.5,11.5,11.5,1000
7019,2015-01-20,DNCC,11.14,11.14,11.11,11.12,5500
7555,2015-01-21,DNCC,11.39,12.12,11.01,11.67,177500
8077,2015-01-22,DNCC,11.7,11.7,10.76,10.76,7500
8588,2015-01-23,DNCC,10.56,10.56,10.1,10.16,7500
9108,2015-01-26,DNCC,10.5,10.99,10.5,10.68,3500
10222,2015-01-28,DNCC,10.5,10.5,10.26,10.44,3000
10771,2015-01-29,DNCC,0.0,10.5,10.5,10.44,500
11868,2015-02-02,DNCC,10.2,10.5,10.2,10.45,31500
12902,2015-02-04,DNCC,10.3,10.5,10.3,10.5,31000
13407,2015-02-06,DNCC,10.15,10.15,10.15,10.15,500
13913,2015-02-09,DNCC,10.05,10.05,10.0,10.0,6500
14417,2015-02-10,DNCC,9.75,10.22,9.75,10.22,5000
14927,2015-02-11,DNCC,10.3,10.3,10.1,10.3,1000
15441,2015-02-12,DNCC,9.8,10.3,9.8,10.2,2500
16432,2015-02-16,DNCC,0.0,9.8,9.8,10.2,1000
18426,2015-02-20,DNCC,10.1,10.5,10.1,10.49,42500
19463,2015-02-24,DNCC,10.69,10.71,10.63,10.65,2500
20548,2015-02-26,DNCC,10.25,10.25,10.1,10.1,5000
21614,2015-03-02,DNCC,10.45,10.49,10.05,10.06,8000
22120,2015-03-03,DNCC,10.0,10.0,9.97,9.99,2000
22622,2015-03-04,DNCC,10.0,10.0,10.0,10.0,500
23119,2015-03-05,DNCC,10.39,10.4,10.39,10.4,1000
24062,2015-03-09,DNCC,10.0,10.0,10.0,10.0,3000
30989,2015-03-30,DNCC,9.0,9.0,9.0,9.0,1500
31497,2015-03-31,DNCC,9.25,9.25,9.25,9.25,1500
32511,2015-04-02,DNCC,9.3,9.3,9.25,9.25,1500
33518,2015-04-06,DNCC,9.33,9.35,9.0,9.0,2500
34022,2015-04-07,DNCC,9.0,9.0,9.0,9.0,25500
34509,2015-04-08,DNCC,9.22,9.22,9.22,9.22,500
34997,2015-04-09,DNCC,9.22,9.22,9.22,9.22,3000
36017,2015-04-13,DNCC,9.75,9.75,9.25,9.25,101000
37464,2015-04-16,DNCC,9.02,9.02,9.0,9.0,1000
37983,2015-04-17,DNCC,9.3,9.55,9.0,9.25,28000
38487,2015-04-20,DNCC,9.2,10.25,9.2,10.25,5000
39012,2015-04-21,DNCC,11.25,11.25,11.25,11.25,9000
39547,2015-04-22,DNCC,12.25,12.25,12.25,12.25,57500
40075,2015-04-23,DNCC,13.25,13.25,11.25,12.17,65500
40596,2015-04-24,DNCC,11.4,11.75,11.17,11.42,35000
41139,2015-04-27,DNCC,11.8,12.42,11.8,12.39,113500
41648,2015-04-28,DNCC,12.11,13.39,12.05,12.98,111000
42167,2015-04-29,DNCC,13.58,13.58,12.98,13.13,53000
42668,2015-04-30,DNCC,12.6,13.0,12.55,12.96,5500
43165,2015-05-04,DNCC,12.5,12.5,12.5,12.5,5500
43663,2015-05-05,DNCC,12.2,12.2,12.0,12.0,1000
45156,2015-05-08,DNCC,0.0,11.4,11.4,12.0,500
47067,2015-05-14,DNCC,11.5,11.5,11.5,11.5,2000
48513,2015-05-20,DNCC,12.0,12.0,12.0,12.0,1000
48987,2015-05-21,DNCC,0.0,11.8,11.8,12.0,30000
50453,2015-05-27,DNCC,12.1,12.1,12.1,12.1,1000
50978,2015-05-28,DNCC,0.0,11.5,11.5,12.1,500
51506,2015-05-29,DNCC,11.98,11.99,11.5,11.5,3500
52575,2015-06-02,DNCC,11.5,11.5,11.5,11.5,2000
54659,2015-06-08,DNCC,12.4,12.5,11.85,12.45,19500
55184,2015-06-09,DNCC,12.15,12.15,12.15,12.15,2000
55706,2015-06-10,DNCC,11.5,11.5,11.5,11.5,500
56235,2015-06-12,DNCC,11.39,11.49,11.39,11.44,2000
56774,2015-06-15,DNCC,11.0,11.55,11.0,11.55,1000
57295,2015-06-16,DNCC,0.0,11.95,11.95,11.55,50000
57825,2015-06-17,DNCC,11.2,11.2,11.16,11.16,1000
58368,2015-06-18,DNCC,11.01,12.16,11.0,12.16,203000
59905,2015-06-23,DNCC,0.0,11.56,11.56,12.16,6500
61024,2015-06-25,DNCC,11.65,11.65,11.65,11.65,500
63082,2015-07-01,DNCC,11.9,11.9,11.9,11.9,1053500
63591,2015-07-02,DNCC,11.5,11.5,11.5,11.5,2000
64089,2015-07-03,DNCC,11.26,11.6,11.25,11.46,212500
64597,2015-07-06,DNCC,11.3,11.55,11.3,11.55,1000
65108,2015-07-07,DNCC,11.5,11.55,11.5,11.55,2500
