,Date,Symbol,Open,High,Low,Close,Volume
122,2015-01-01,DLL,121.0,125.0,121.0,123.4,46300
630,2015-01-02,DLL,125.4,127.99,123.01,123.58,71300
1155,2015-01-05,DLL,124.0,124.0,122.55,122.62,1800
1658,2015-01-06,DLL,123.0,123.0,120.32,120.97,800
2176,2015-01-07,DLL,121.5,125.0,120.5,124.23,17800
2684,2015-01-08,DLL,125.0,127.5,124.0,126.29,31100
3203,2015-01-09,DLL,125.0,132.49,125.0,131.14,171400
3722,2015-01-12,DLL,133.5,134.9,130.0,130.58,21000
4258,2015-01-13,DLL,129.01,134.75,127.5,131.18,83600
4805,2015-01-14,DLL,130.01,137.5,130.01,134.43,274000
5349,2015-01-15,DLL,138.0,141.15,134.52,137.29,273700
5895,2015-01-16,DLL,136.0,138.0,135.5,136.5,13300
6421,2015-01-19,DLL,137.0,137.0,134.6,135.79,14100
6959,2015-01-20,DLL,134.1,142.57,134.0,142.33,454500
7496,2015-01-21,DLL,147.95,148.0,135.22,135.66,363000
8022,2015-01-22,DLL,134.0,136.75,132.0,133.01,17700
8538,2015-01-23,DLL,131.01,134.75,130.0,134.57,2200
9049,2015-01-26,DLL,136.75,138.75,133.1,133.8,69800
9611,2015-01-27,DLL,134.5,135.5,130.85,130.98,10200
10164,2015-01-28,DLL,131.0,131.0,130.0,130.14,10900
10718,2015-01-29,DLL,130.5,135.75,130.0,132.0,32100
11258,2015-01-30,DLL,133.45,135.0,130.0,130.28,4500
11806,2015-02-02,DLL,130.05,136.79,130.0,131.49,185900
12324,2015-02-03,DLL,133.0,133.0,130.1,131.0,9400
12843,2015-02-04,DLL,130.5,132.9,128.0,128.46,12300
13351,2015-02-06,DLL,130.45,134.8,129.0,129.53,16200
13857,2015-02-09,DLL,131.99,136.0,130.14,133.76,320900
14360,2015-02-10,DLL,137.0,139.5,133.0,134.57,56300
14865,2015-02-11,DLL,135.4,138.0,128.25,129.59,73900
15378,2015-02-12,DLL,127.5,129.5,124.01,127.0,17600
15881,2015-02-13,DLL,128.0,131.74,128.0,128.53,7300
16378,2015-02-16,DLL,129.75,129.75,122.25,124.53,4100
16876,2015-02-17,DLL,124.95,128.0,124.95,127.42,5700
17375,2015-02-18,DLL,127.99,129.0,125.1,128.33,10900
17880,2015-02-19,DLL,128.0,133.0,128.0,132.92,18300
18378,2015-02-20,DLL,132.0,132.5,131.0,132.5,700
18867,2015-02-23,DLL,132.5,132.5,130.0,131.86,8800
19406,2015-02-24,DLL,132.0,134.0,129.99,130.25,15900
19949,2015-02-25,DLL,132.0,133.0,127.0,128.98,6100
20494,2015-02-26,DLL,131.0,131.0,127.6,127.65,4100
21031,2015-02-27,DLL,130.0,133.25,124.0,127.75,58300
21563,2015-03-02,DLL,125.0,126.0,121.37,122.17,2800
22065,2015-03-03,DLL,121.0,122.0,119.0,121.87,38700
22572,2015-03-04,DLL,119.0,121.0,118.1,120.03,400
23068,2015-03-05,DLL,119.0,126.0,119.0,125.74,3300
23541,2015-03-06,DLL,126.0,127.5,120.0,121.38,3200
24016,2015-03-09,DLL,123.49,123.49,120.0,122.0,5200
24501,2015-03-10,DLL,124.5,126.28,120.25,121.5,15800
24983,2015-03-11,DLL,120.0,121.0,120.0,121.0,2400
25468,2015-03-12,DLL,121.0,121.8,120.0,121.0,14100
25956,2015-03-13,DLL,122.75,124.0,122.75,123.54,15800
26438,2015-03-16,DLL,121.05,121.05,120.0,120.0,3800
26913,2015-03-17,DLL,121.1,121.75,121.1,120.0,12900
27407,2015-03-18,DLL,116.15,118.9,114.0,116.17,1700
27903,2015-03-19,DLL,115.0,118.97,115.0,118.97,1400
28380,2015-03-20,DLL,121.8,124.89,120.0,120.0,13300
28849,2015-03-24,DLL,123.5,123.5,114.4,114.46,1600
29354,2015-03-25,DLL,112.0,112.0,112.0,114.46,100
29864,2015-03-26,DLL,109.25,109.25,108.74,108.74,8400
30390,2015-03-27,DLL,111.8,111.8,106.0,107.25,8400
30931,2015-03-30,DLL,102.15,106.4,101.89,106.4,3100
31448,2015-03-31,DLL,104.0,111.49,103.0,107.74,38200
31955,2015-04-01,DLL,103.5,108.0,103.26,108.0,1800
32458,2015-04-02,DLL,109.25,109.25,109.0,109.0,1700
32970,2015-04-03,DLL,112.0,113.99,110.01,112.24,63800
33465,2015-04-06,DLL,115.0,117.7,112.5,115.91,119900
33974,2015-04-07,DLL,112.5,112.5,111.6,111.64,1600
34460,2015-04-08,DLL,110.0,110.0,109.01,109.01,7100
34951,2015-04-09,DLL,107.75,107.75,107.0,107.02,6300
35447,2015-04-10,DLL,109.91,109.99,109.91,109.99,1000
35966,2015-04-13,DLL,108.5,110.01,108.0,108.94,62800
36447,2015-04-14,DLL,105.51,107.0,105.51,107.0,1900
36923,2015-04-15,DLL,105.5,110.0,105.0,108.86,5000
37414,2015-04-16,DLL,113.0,114.0,110.01,113.44,27000
37923,2015-04-17,DLL,118.98,118.98,114.9,115.0,1700
38431,2015-04-20,DLL,117.99,117.99,109.5,111.06,2000
