,Date,Symbol,Open,High,Low,Close,Volume
277,2015-01-01,DOL,6.0,6.0,5.83,5.84,8000
804,2015-01-02,DOL,6.0,6.0,5.85,5.85,69500
1321,2015-01-05,DOL,5.8,6.05,5.8,6.0,187500
1828,2015-01-06,DOL,6.0,6.05,5.8,5.82,144000
2348,2015-01-07,DOL,5.89,6.06,5.89,6.0,199500
2860,2015-01-08,DOL,5.93,5.95,5.91,5.91,19500
3374,2015-01-09,DOL,5.8,5.92,5.8,5.91,12500
3899,2015-01-12,DOL,5.9,5.98,5.87,5.98,21000
4438,2015-01-13,DOL,5.99,6.78,5.9,6.4,1502500
4983,2015-01-14,DOL,6.32,6.69,6.32,6.47,942000
5530,2015-01-15,DOL,6.5,6.98,6.5,6.61,2867000
6067,2015-01-16,DOL,6.61,6.75,6.26,6.3,321500
6601,2015-01-19,DOL,6.4,6.6,6.25,6.4,159000
7137,2015-01-20,DOL,6.55,6.55,6.3,6.3,119500
7674,2015-01-21,DOL,6.27,6.37,6.0,6.06,335000
8195,2015-01-22,DOL,6.1,6.55,6.1,6.25,479000
8704,2015-01-23,DOL,6.35,6.7,6.32,6.36,687500
9227,2015-01-26,DOL,6.55,6.55,6.3,6.31,165000
9783,2015-01-27,DOL,6.21,6.35,6.2,6.25,118500
10341,2015-01-28,DOL,6.19,6.27,6.17,6.22,51500
10891,2015-01-29,DOL,6.3,6.3,6.16,6.21,49000
11426,2015-01-30,DOL,6.22,6.3,6.1,6.12,58000
11985,2015-02-02,DOL,6.2,6.24,6.06,6.1,25500
12502,2015-02-03,DOL,6.06,6.14,6.03,6.1,37500
13020,2015-02-04,DOL,6.15,6.38,5.91,6.01,770500
13523,2015-02-06,DOL,5.95,6.16,5.91,6.0,110000
14032,2015-02-09,DOL,6.0,6.0,5.65,5.7,338500
14532,2015-02-10,DOL,5.86,5.89,5.5,5.53,549500
15042,2015-02-11,DOL,5.6,5.69,5.5,5.61,356500
15556,2015-02-12,DOL,5.56,5.69,5.41,5.64,166500
16052,2015-02-13,DOL,5.72,5.73,5.52,5.6,38500
16550,2015-02-16,DOL,5.57,5.76,5.5,5.5,77000
17046,2015-02-17,DOL,5.53,5.64,5.49,5.5,33000
17544,2015-02-18,DOL,5.69,5.7,5.38,5.38,56000
18051,2015-02-19,DOL,5.5,5.74,5.5,5.58,78500
18539,2015-02-20,DOL,5.5,5.5,5.34,5.35,39500
19028,2015-02-23,DOL,5.37,5.37,5.05,5.12,91500
19577,2015-02-24,DOL,5.1,5.2,5.01,5.02,167000
20112,2015-02-25,DOL,5.04,5.19,5.02,5.18,99000
20663,2015-02-26,DOL,5.27,5.4,5.25,5.27,64500
21193,2015-02-27,DOL,5.16,5.29,5.13,5.2,33000
21729,2015-03-02,DOL,5.13,5.19,5.05,5.05,85000
22233,2015-03-03,DOL,5.1,5.1,5.01,5.04,14000
22735,2015-03-04,DOL,5.1,5.1,4.99,5.01,142000
23227,2015-03-05,DOL,5.05,5.2,5.01,5.03,7500
23699,2015-03-06,DOL,5.22,5.23,5.0,5.01,35000
24171,2015-03-09,DOL,5.03,5.16,5.0,5.16,20500
24658,2015-03-10,DOL,5.16,5.16,4.95,4.96,37500
25142,2015-03-11,DOL,5.0,5.0,4.9,4.95,26000
25631,2015-03-12,DOL,5.01,5.01,4.75,4.81,158500
26112,2015-03-13,DOL,4.98,5.12,4.92,5.01,24500
26595,2015-03-16,DOL,4.91,4.92,4.81,4.83,22500
27067,2015-03-17,DOL,4.84,4.99,4.6,4.84,37500
27571,2015-03-18,DOL,4.75,4.8,4.59,4.6,162500
28059,2015-03-19,DOL,4.6,4.65,4.25,4.39,292000
28527,2015-03-20,DOL,4.49,4.59,4.31,4.41,227500
29000,2015-03-24,DOL,4.49,4.5,4.21,4.23,55500
29505,2015-03-25,DOL,4.38,4.4,4.1,4.14,205500
30018,2015-03-26,DOL,4.15,4.2,3.98,4.05,269000
30550,2015-03-27,DOL,4.1,4.17,3.9,3.96,90000
31105,2015-03-30,DOL,3.86,3.86,3.5,3.65,328000
31612,2015-03-31,DOL,3.79,4.2,3.79,4.12,366000
32115,2015-04-01,DOL,4.2,4.2,4.07,4.07,53000
32622,2015-04-02,DOL,4.1,4.72,4.1,4.42,301500
33129,2015-04-03,DOL,4.51,5.05,4.41,4.79,456500
33632,2015-04-06,DOL,4.77,5.18,4.75,5.0,160500
34134,2015-04-07,DOL,5.24,5.24,4.85,4.88,30000
34618,2015-04-08,DOL,5.0,5.27,4.45,4.59,666500
35109,2015-04-09,DOL,4.52,4.69,4.32,4.38,512000
35617,2015-04-10,DOL,4.55,4.59,4.38,4.43,405000
36126,2015-04-13,DOL,4.45,4.45,4.31,4.42,30500
36596,2015-04-14,DOL,4.35,4.46,4.05,4.09,514000
37080,2015-04-15,DOL,4.24,4.29,4.06,4.1,345000
37576,2015-04-16,DOL,4.15,4.41,4.12,4.31,298000
38096,2015-04-17,DOL,4.4,4.41,4.19,4.22,354000
38599,2015-04-20,DOL,4.31,4.37,4.1,4.12,493000
39121,2015-04-21,DOL,4.22,4.22,4.03,4.07,281000
39658,2015-04-22,DOL,4.05,4.69,4.05,4.53,5212000
40184,2015-04-23,DOL,4.59,4.75,4.25,4.29,1070000
40709,2015-04-24,DOL,4.4,4.5,4.24,4.37,435500
41250,2015-04-27,DOL,4.4,4.5,4.26,4.28,362500
41765,2015-04-28,DOL,4.36,4.36,4.13,4.17,273000
42284,2015-04-29,DOL,4.17,4.25,4.08,4.1,213000
42782,2015-04-30,DOL,4.07,4.2,4.07,4.13,110500
43277,2015-05-04,DOL,4.18,4.18,4.1,4.1,36000
43775,2015-05-05,DOL,4.08,4.1,3.98,3.99,187000
44282,2015-05-06,DOL,4.01,4.09,3.99,4.08,186500
44784,2015-05-07,DOL,4.1,4.15,4.05,4.07,39000
45269,2015-05-08,DOL,4.1,4.36,4.1,4.17,504000
45759,2015-05-11,DOL,4.18,4.18,3.9,3.95,165500
46237,2015-05-12,DOL,3.99,4.07,3.95,4.02,155000
46707,2015-05-13,DOL,4.1,4.17,3.95,4.0,214500
47181,2015-05-14,DOL,4.0,4.34,4.0,4.17,405500
47663,2015-05-15,DOL,4.24,4.45,4.21,4.24,632500
48150,2015-05-18,DOL,4.21,4.21,4.11,4.12,36000
48625,2015-05-20,DOL,4.08,4.23,4.08,4.11,140500
49100,2015-05-21,DOL,4.1,4.26,4.1,4.17,126000
49568,2015-05-22,DOL,4.17,4.2,4.09,4.1,64500
50038,2015-05-25,DOL,4.11,4.23,4.1,4.2,84500
50565,2015-05-27,DOL,4.15,4.19,4.1,4.15,46000
51090,2015-05-28,DOL,4.19,4.24,4.08,4.22,106500
51617,2015-05-29,DOL,4.31,4.5,4.25,4.27,619500
52176,2015-06-01,DOL,4.3,4.42,4.24,4.26,166500
52696,2015-06-02,DOL,4.27,4.28,4.25,4.27,38500
53211,2015-06-03,DOL,4.28,4.44,4.21,4.28,256500
53736,2015-06-04,DOL,4.44,4.51,4.39,4.42,567500
54249,2015-06-05,DOL,4.32,4.71,4.32,4.61,806000
54779,2015-06-08,DOL,4.36,4.52,4.3,4.44,186000
55304,2015-06-09,DOL,4.41,4.54,4.37,4.41,126000
55824,2015-06-10,DOL,4.35,4.9,4.35,4.73,1423000
56351,2015-06-12,DOL,4.76,5.2,4.7,4.92,1678500
56890,2015-06-15,DOL,5.1,5.1,4.8,4.82,486500
57412,2015-06-16,DOL,4.97,5.06,4.7,4.93,1142500
57944,2015-06-17,DOL,5.04,5.31,5.04,5.12,2222500
58480,2015-06-18,DOL,5.1,5.24,5.06,5.16,405000
58986,2015-06-19,DOL,5.0,5.1,4.99,5.0,144000
59478,2015-06-22,DOL,4.92,4.99,4.73,4.78,205000
60022,2015-06-23,DOL,4.8,4.8,4.64,4.64,109500
60591,2015-06-24,DOL,4.71,4.98,4.71,4.9,248000
61136,2015-06-25,DOL,4.83,5.1,4.71,4.79,487500
61668,2015-06-26,DOL,4.8,4.8,4.7,4.71,128500
62204,2015-06-29,DOL,4.65,4.75,4.65,4.7,121000
62695,2015-06-30,DOL,4.8,4.8,4.69,4.72,58000
63196,2015-07-01,DOL,4.96,4.96,4.79,4.81,379000
63704,2015-07-02,DOL,4.8,5.1,4.8,4.99,370000
64204,2015-07-03,DOL,4.86,4.99,4.86,4.91,201000
64714,2015-07-06,DOL,5.08,5.08,4.81,4.83,155000
65227,2015-07-07,DOL,4.82,4.83,4.75,4.82,147000
65735,2015-07-08,DOL,4.81,4.81,4.65,4.75,267000
66250,2015-07-09,DOL,4.9,4.9,4.65,4.75,122500
66741,2015-07-10,DOL,4.8,4.8,4.7,4.76,38000
67236,2015-07-13,DOL,4.7,4.95,4.68,4.75,49000
67746,2015-07-14,DOL,4.75,5.0,4.75,4.8,309500
68266,2015-07-15,DOL,4.76,5.47,4.76,5.37,2116000
68786,2015-07-16,DOL,5.55,5.65,5.22,5.43,1732000
69322,2015-07-22,DOL,5.48,6.43,5.48,6.43,6128000
69859,2015-07-23,DOL,6.85,6.95,6.4,6.63,5379500
70386,2015-07-24,DOL,6.6,7.63,6.6,7.47,11078500
70918,2015-07-27,DOL,7.7,8.05,6.9,7.59,10501000
71464,2015-07-28,DOL,7.5,7.88,7.02,7.24,2879000
72033,2015-07-29,DOL,7.25,7.48,6.7,6.76,2138500
72580,2015-07-30,DOL,6.71,6.9,5.9,6.12,4802000
73120,2015-07-31,DOL,6.06,6.27,6.05,6.09,243000
73646,2015-08-03,DOL,6.01,6.36,5.9,5.97,934500
74140,2015-08-04,DOL,6.0,6.14,5.6,5.68,1006500
74660,2015-08-05,DOL,5.77,6.33,5.5,6.08,8201000
75181,2015-08-06,DOL,6.13,6.49,6.05,6.22,5864000
75702,2015-08-07,DOL,6.16,6.35,6.06,6.12,1104000
76210,2015-08-10,DOL,6.13,6.25,6.01,6.05,469500
76734,2015-08-11,DOL,6.06,6.35,6.05,6.17,724000
77250,2015-08-12,DOL,6.15,6.6,6.15,6.41,2978000
77777,2015-08-13,DOL,6.59,6.89,6.53,6.64,3349000
78280,2015-08-17,DOL,6.85,6.85,6.5,6.55,1276500
78792,2015-08-18,DOL,6.6,6.6,5.96,6.27,1160500
79309,2015-08-19,DOL,6.3,6.4,6.02,6.09,592500
79827,2015-08-20,DOL,6.03,6.15,5.95,5.98,658000
80326,2015-08-21,DOL,5.95,5.97,5.4,5.63,582500
80841,2015-08-24,DOL,5.51,5.51,4.85,4.88,1040000
81374,2015-08-25,DOL,4.98,5.59,4.85,5.49,969000
81919,2015-08-26,DOL,5.62,5.75,5.4,5.41,738000
82462,2015-08-27,DOL,5.6,5.63,5.39,5.45,265000
83014,2015-08-28,DOL,5.57,5.58,5.5,5.52,149500
83572,2015-08-31,DOL,5.57,5.75,5.3,5.57,1066500
84091,2015-09-01,DOL,5.55,5.59,5.25,5.32,526500
84573,2015-09-14,DOL,5.85,5.85,5.16,5.29,563000
85053,2015-09-15,DOL,5.3,5.58,5.15,5.19,479000
85533,2015-09-16,DOL,5.3,5.35,5.22,5.29,281500
86028,2015-09-17,DOL,5.35,5.5,5.15,5.17,386000
86489,2015-09-18,DOL,5.22,5.24,5.0,5.12,1060000
86946,2015-09-21,DOL,5.12,5.22,4.95,5.15,165000
87450,2015-09-22,DOL,5.1,5.24,5.1,5.18,265000
87945,2015-09-23,DOL,5.11,5.19,5.02,5.13,295500
88439,2015-09-28,DOL,5.11,5.2,4.85,4.94,400000
88915,2015-09-29,DOL,4.82,4.99,4.8,4.9,284500
89384,2015-09-30,DOL,5.0,5.1,4.89,4.95,262500
89860,2015-10-01,DOL,4.99,5.07,4.9,5.02,194000
90332,2015-10-02,DOL,5.0,5.28,4.94,4.99,423500
90816,2015-10-05,DOL,5.05,5.48,4.95,5.08,1478500
91320,2015-10-06,DOL,5.15,5.27,5.01,5.06,388000
91803,2015-10-07,DOL,5.05,5.2,5.0,5.03,473500
92294,2015-10-08,DOL,5.08,5.1,4.95,5.06,273000
92797,2015-10-09,DOL,5.12,5.15,5.01,5.09,151500
93307,2015-10-12,DOL,5.18,5.2,5.08,5.13,293000
93815,2015-10-13,DOL,5.1,5.55,5.1,5.27,1428500
94323,2015-10-14,DOL,5.3,5.39,5.15,5.26,507000
94820,2015-10-15,DOL,5.25,5.25,5.05,5.21,449000
95314,2015-10-16,DOL,5.15,5.5,5.06,5.42,1075500
95821,2015-10-19,DOL,5.3,5.4,5.27,5.3,540500
96324,2015-10-20,DOL,5.27,5.5,5.24,5.26,860500
96823,2015-10-21,DOL,5.4,6.08,5.31,5.79,3384000
97324,2015-10-22,DOL,5.85,6.38,5.72,6.31,3397500
97813,2015-10-26,DOL,6.3,6.34,5.76,5.82,1390500
98333,2015-10-27,DOL,5.83,5.92,5.65,5.78,475000
98875,2015-10-28,DOL,5.8,6.28,5.8,6.09,2416000
99419,2015-10-29,DOL,6.19,6.34,6.0,6.05,1617500
99954,2015-10-30,DOL,6.18,6.18,5.87,5.88,476000
100496,2015-11-02,DOL,6.0,6.0,5.58,5.67,374500
100982,2015-11-03,DOL,5.69,5.95,5.58,5.91,416000
101491,2015-11-04,DOL,6.15,6.29,5.95,5.99,1932000
102006,2015-11-05,DOL,5.96,6.11,5.8,5.89,763000
102503,2015-11-06,DOL,5.86,6.39,5.75,6.17,3215000
102989,2015-11-09,DOL,6.2,6.35,6.08,6.12,1337000
103479,2015-11-10,DOL,6.1,6.14,5.81,5.92,494000
103967,2015-11-11,DOL,5.76,5.95,5.64,5.8,338500
104483,2015-11-12,DOL,5.85,5.87,5.72,5.75,223500
104985,2015-11-13,DOL,5.75,5.75,5.51,5.53,348000
105464,2015-11-16,DOL,5.49,5.74,5.4,5.6,499000
105984,2015-11-17,DOL,5.69,6.07,5.61,6.0,1636000
106512,2015-11-18,DOL,6.12,6.2,5.9,6.0,1687500
107008,2015-11-19,DOL,6.0,6.03,5.85,5.88,468500
107501,2015-11-20,DOL,5.9,6.0,5.71,5.73,225500
108015,2015-11-23,DOL,5.68,5.87,5.6,5.61,176500
108559,2015-11-24,DOL,5.69,5.89,5.6,5.62,224500
109098,2015-11-25,DOL,5.65,5.65,5.25,5.52,414500
109635,2015-11-26,DOL,5.59,5.65,5.43,5.5,263000
110156,2015-11-27,DOL,5.5,5.5,5.3,5.37,237500
110686,2015-11-30,DOL,5.4,5.4,5.09,5.12,369000
111187,2015-12-01,DOL,5.12,5.25,5.01,5.02,331000
111678,2015-12-02,DOL,4.93,5.2,4.91,5.17,478000
112158,2015-12-03,DOL,5.2,5.39,5.11,5.22,224500
112643,2015-12-04,DOL,5.1,5.25,5.1,5.24,103500
113130,2015-12-07,DOL,5.2,5.64,5.2,5.32,361000
113617,2015-12-08,DOL,5.46,5.46,5.21,5.32,225000
114117,2015-12-09,DOL,5.39,5.54,5.35,5.5,203500
114605,2015-12-10,DOL,5.55,5.7,5.55,5.59,265000
