,Date,Symbol,Open,High,Low,Close,Volume
179,2015-01-01,DCL,7.8,8.2,7.8,8.08,3905500
695,2015-01-02,DCL,8.2,8.22,7.92,8.04,4469500
1215,2015-01-05,DCL,8.05,8.12,7.87,7.9,2324500
1726,2015-01-06,DCL,7.95,8.03,7.76,7.8,1785500
2243,2015-01-07,DCL,7.8,7.99,7.75,7.86,600000
2756,2015-01-08,DCL,7.97,7.97,7.8,7.87,980000
3268,2015-01-09,DCL,7.83,8.0,7.83,7.88,1201000
3791,2015-01-12,DCL,7.86,7.98,7.78,7.81,667000
4331,2015-01-13,DCL,7.75,7.95,7.75,7.9,1126000
4878,2015-01-14,DCL,7.93,8.0,7.8,7.83,1443000
5422,2015-01-15,DCL,7.93,8.39,7.9,8.17,8876000
5963,2015-01-16,DCL,8.23,8.3,8.02,8.13,1336000
6497,2015-01-19,DCL,8.24,8.25,8.01,8.1,1202500
7031,2015-01-20,DCL,8.19,8.27,8.05,8.1,1413000
7567,2015-01-21,DCL,8.22,8.54,8.15,8.23,6529000
8089,2015-01-22,DCL,8.29,8.3,7.95,8.0,919500
8600,2015-01-23,DCL,8.15,8.2,7.9,8.02,935500
9120,2015-01-26,DCL,8.29,8.34,8.01,8.06,2426000
9677,2015-01-27,DCL,8.06,8.16,7.92,7.98,844500
10234,2015-01-28,DCL,8.03,8.1,7.86,7.89,1698000
10783,2015-01-29,DCL,7.81,7.99,7.81,7.88,913500
11320,2015-01-30,DCL,7.99,8.24,7.96,8.01,4014000
11880,2015-02-02,DCL,8.12,8.17,8.04,8.09,1115500
12395,2015-02-03,DCL,8.09,8.18,7.88,8.03,3045000
12914,2015-02-04,DCL,8.13,8.25,7.85,7.9,2995500
13419,2015-02-06,DCL,8.0,8.08,7.84,7.86,1016500
13925,2015-02-09,DCL,7.9,7.95,7.7,7.74,963500
14429,2015-02-10,DCL,7.75,7.83,7.6,7.64,713500
14939,2015-02-11,DCL,7.61,7.75,7.5,7.56,1061500
15453,2015-02-12,DCL,7.63,7.63,7.3,7.43,2003000
15949,2015-02-13,DCL,7.59,7.65,7.45,7.48,235500
16444,2015-02-16,DCL,7.55,7.55,7.3,7.39,411500
16939,2015-02-17,DCL,7.4,7.47,7.26,7.37,266500
17441,2015-02-18,DCL,7.49,7.49,7.3,7.32,191000
17945,2015-02-19,DCL,7.31,7.52,7.3,7.46,526500
18438,2015-02-20,DCL,7.53,7.59,7.25,7.3,508000
18929,2015-02-23,DCL,7.3,7.55,7.27,7.36,963500
19475,2015-02-24,DCL,7.36,7.4,7.25,7.31,504000
20010,2015-02-25,DCL,7.3,7.4,7.2,7.22,695000
20561,2015-02-26,DCL,7.25,7.26,7.1,7.13,439000
21091,2015-02-27,DCL,7.19,7.21,7.0,7.07,583500
21625,2015-03-02,DCL,7.07,7.09,6.85,6.9,353000
22131,2015-03-03,DCL,6.98,7.09,6.7,6.83,787000
22633,2015-03-04,DCL,6.99,7.05,6.85,6.94,361500
23131,2015-03-05,DCL,7.0,7.0,6.73,6.77,441500
23597,2015-03-06,DCL,6.95,6.95,6.68,6.72,529000
24073,2015-03-09,DCL,6.66,6.78,6.54,6.56,482500
24556,2015-03-10,DCL,6.51,6.6,6.42,6.52,468500
25041,2015-03-11,DCL,6.41,6.45,6.25,6.38,367000
25527,2015-03-12,DCL,6.49,6.55,6.33,6.39,376000
26010,2015-03-13,DCL,6.49,6.75,6.45,6.63,608000
26493,2015-03-16,DCL,6.56,6.73,6.54,6.57,112000
26964,2015-03-17,DCL,6.51,6.57,6.4,6.43,215000
27471,2015-03-18,DCL,6.35,6.41,6.1,6.15,779000
27960,2015-03-19,DCL,6.16,6.25,6.0,6.16,422000
28432,2015-03-20,DCL,6.25,6.55,6.25,6.51,233000
28901,2015-03-24,DCL,6.68,6.7,6.41,6.48,594500
29407,2015-03-25,DCL,6.55,6.64,6.3,6.32,401500
