,Date,Symbol,Open,High,Low,Close,Volume
86,2015-01-01,DFSM,4.21,4.75,4.06,4.14,166500
583,2015-01-02,DFSM,4.15,4.3,4.07,4.15,235000
1114,2015-01-05,DFSM,4.31,4.31,4.0,4.03,46000
1621,2015-01-06,DFSM,4.0,4.15,3.82,3.84,71500
2135,2015-01-07,DFSM,4.05,4.09,3.9,3.9,5000
2644,2015-01-08,DFSM,4.09,4.09,3.8,3.92,96500
3166,2015-01-09,DFSM,3.86,3.99,3.81,3.82,18000
3681,2015-01-12,DFSM,4.09,4.09,3.7,3.99,132500
4209,2015-01-13,DFSM,3.75,4.2,3.75,4.09,91500
4757,2015-01-14,DFSM,3.92,4.1,3.91,4.01,40000
5300,2015-01-15,DFSM,4.07,4.11,4.0,4.02,41000
5853,2015-01-16,DFSM,3.87,4.07,3.87,4.0,8500
6378,2015-01-19,DFSM,4.13,4.13,3.91,3.94,34000
6916,2015-01-20,DFSM,4.0,4.1,3.95,3.97,57000
7452,2015-01-21,DFSM,4.0,4.05,3.93,4.05,33500
7982,2015-01-22,DFSM,3.9,3.9,3.6,3.64,312500
8497,2015-01-23,DFSM,3.7,3.8,3.7,3.79,17000
9013,2015-01-26,DFSM,3.8,3.85,3.75,3.75,17500
9575,2015-01-27,DFSM,3.9,3.9,3.67,3.69,41000
10129,2015-01-28,DFSM,3.67,3.67,3.5,3.55,30000
10678,2015-01-29,DFSM,3.65,3.69,3.45,3.51,85500
11219,2015-01-30,DFSM,3.51,3.62,3.5,3.56,12000
11767,2015-02-02,DFSM,3.8,3.8,3.61,3.66,9000
12283,2015-02-03,DFSM,3.62,3.76,3.61,3.68,35000
12806,2015-02-04,DFSM,3.85,3.85,3.69,3.69,1000
13320,2015-02-06,DFSM,3.4,3.9,3.4,3.83,39000
13824,2015-02-09,DFSM,3.99,3.99,3.75,3.75,9000
14322,2015-02-10,DFSM,3.85,3.9,3.75,3.75,113500
14828,2015-02-11,DFSM,3.6,3.65,3.4,3.46,33000
15340,2015-02-12,DFSM,3.8,3.8,3.5,3.65,16000
15845,2015-02-13,DFSM,3.7,3.7,3.46,3.65,20000
16346,2015-02-16,DFSM,3.75,3.9,3.7,3.7,6000
16841,2015-02-17,DFSM,3.55,3.71,3.51,3.7,5500
17343,2015-02-18,DFSM,3.62,3.7,3.51,3.6,74500
17839,2015-02-19,DFSM,3.65,3.65,3.55,3.55,1500
18342,2015-02-20,DFSM,3.5,3.5,3.5,3.5,3500
18834,2015-02-23,DFSM,3.35,3.7,3.35,3.5,21500
19367,2015-02-24,DFSM,3.5,3.69,3.45,3.45,33000
19908,2015-02-25,DFSM,3.46,3.46,3.38,3.38,18000
20451,2015-02-26,DFSM,3.37,3.88,3.21,3.45,375000
20992,2015-02-27,DFSM,3.45,3.5,3.37,3.38,22500
21525,2015-03-02,DFSM,3.33,3.4,3.15,3.15,109500
22027,2015-03-03,DFSM,3.39,3.45,3.06,3.14,147000
22529,2015-03-04,DFSM,3.18,3.18,3.01,3.03,131000
23031,2015-03-05,DFSM,3.01,3.05,3.0,3.02,210000
23514,2015-03-06,DFSM,3.13,3.13,3.01,3.1,5000
23988,2015-03-09,DFSM,3.05,3.1,3.05,3.1,38000
24468,2015-03-10,DFSM,3.03,3.03,3.03,3.03,5000
24954,2015-03-11,DFSM,3.02,3.02,3.0,3.0,10000
25436,2015-03-12,DFSM,3.0,3.0,2.9,2.98,49500
25928,2015-03-13,DFSM,3.0,3.14,2.9,3.14,56000
26404,2015-03-16,DFSM,3.1,3.1,3.0,3.0,47000
26886,2015-03-17,DFSM,2.93,3.07,2.93,3.0,10000
27371,2015-03-18,DFSM,2.91,3.03,2.8,3.03,164500
27867,2015-03-19,DFSM,2.75,3.18,2.75,2.81,39000
28349,2015-03-20,DFSM,2.99,2.99,2.9,2.9,15500
28817,2015-03-24,DFSM,2.91,3.1,2.9,2.9,56000
29321,2015-03-25,DFSM,2.9,2.9,2.75,2.78,23500
29832,2015-03-26,DFSM,2.8,2.8,2.41,2.6,362000
30357,2015-03-27,DFSM,2.69,2.79,2.5,2.51,147000
30893,2015-03-30,DFSM,2.4,2.41,2.0,2.03,1093500
31412,2015-03-31,DFSM,2.22,2.47,2.22,2.42,240500
31919,2015-04-01,DFSM,2.41,2.57,2.41,2.5,102000
32418,2015-04-02,DFSM,2.36,2.55,2.3,2.49,114500
32929,2015-04-03,DFSM,2.46,2.72,2.45,2.71,127000
33431,2015-04-06,DFSM,2.61,2.7,2.6,2.61,95500
33937,2015-04-07,DFSM,2.56,2.6,2.54,2.55,8500
34427,2015-04-08,DFSM,2.5,2.61,2.48,2.57,177500
34920,2015-04-09,DFSM,2.52,2.59,2.52,2.59,2000
35411,2015-04-10,DFSM,2.64,2.66,2.64,2.66,4000
35928,2015-04-13,DFSM,2.52,2.6,2.46,2.48,194000
36418,2015-04-14,DFSM,2.5,2.5,2.5,2.5,5500
36890,2015-04-15,DFSM,2.55,2.55,2.42,2.49,67000
37373,2015-04-16,DFSM,2.5,2.7,2.46,2.5,377500
37883,2015-04-17,DFSM,2.5,2.69,2.5,2.64,296000
38396,2015-04-20,DFSM,2.7,2.7,2.5,2.5,331500
38931,2015-04-21,DFSM,2.5,2.5,2.45,2.5,146000
39455,2015-04-22,DFSM,2.52,2.7,2.5,2.62,1505000
39993,2015-04-23,DFSM,2.61,2.61,2.5,2.5,59000
40515,2015-04-24,DFSM,2.55,2.55,2.55,2.55,500
41047,2015-04-27,DFSM,2.58,2.59,2.52,2.54,22500
41552,2015-04-28,DFSM,2.6,2.65,2.5,2.55,37500
42071,2015-04-29,DFSM,2.6,2.6,2.51,2.52,56000
43080,2015-05-04,DFSM,2.5,2.69,2.45,2.47,12000
43581,2015-05-05,DFSM,2.33,2.59,2.2,2.28,349500
44081,2015-05-06,DFSM,2.27,2.3,2.2,2.29,74500
44587,2015-05-07,DFSM,2.29,2.3,2.24,2.25,17500
45082,2015-05-08,DFSM,2.29,2.3,2.25,2.25,24500
45558,2015-05-11,DFSM,2.22,2.25,2.2,2.24,21000
46041,2015-05-12,DFSM,2.26,2.27,2.1,2.15,91000
46519,2015-05-13,DFSM,2.26,2.27,2.2,2.25,113000
46991,2015-05-14,DFSM,2.28,2.28,2.24,2.27,32500
47475,2015-05-15,DFSM,2.27,2.27,2.26,2.27,18500
47952,2015-05-18,DFSM,2.25,2.27,2.21,2.27,7000
48433,2015-05-20,DFSM,2.29,2.36,2.25,2.36,39000
48908,2015-05-21,DFSM,2.22,2.25,2.11,2.17,26500
49381,2015-05-22,DFSM,2.15,2.15,2.15,2.15,7000
49847,2015-05-25,DFSM,2.25,2.25,2.24,2.24,40000
50359,2015-05-27,DFSM,2.29,2.4,2.29,2.35,117500
50895,2015-05-28,DFSM,2.32,2.32,2.32,2.32,500
51422,2015-05-29,DFSM,2.31,2.4,2.3,2.36,71500
51957,2015-06-01,DFSM,2.41,2.63,2.41,2.57,670500
52477,2015-06-02,DFSM,2.64,2.64,2.49,2.54,525500
53005,2015-06-03,DFSM,2.55,2.55,2.48,2.5,191500
53523,2015-06-04,DFSM,2.59,3.24,2.59,3.02,3102500
54041,2015-06-05,DFSM,3.1,3.4,3.05,3.26,1036000
54554,2015-06-08,DFSM,3.1,3.28,2.9,3.0,631500
55086,2015-06-09,DFSM,3.1,3.1,2.81,2.86,351000
55607,2015-06-10,DFSM,2.86,3.0,2.8,2.85,274500
56130,2015-06-12,DFSM,2.98,3.4,2.97,3.26,1162500
