,Date,Symbol,Open,High,Low,Close,Volume
260,2015-01-01,ENGRO,222.4,232.58,222.1,232.37,9432300
785,2015-01-02,ENGRO,233.0,241.24,229.2,236.56,17907500
1304,2015-01-05,ENGRO,236.5,248.38,236.5,247.47,16016400
1811,2015-01-06,ENGRO,247.0,248.74,239.2,241.78,7607300
2330,2015-01-07,ENGRO,242.5,246.5,240.5,241.46,7287700
2843,2015-01-08,ENGRO,242.0,252.5,241.5,248.63,10594100
3356,2015-01-09,ENGRO,250.7,252.7,245.0,246.04,6393900
3882,2015-01-12,ENGRO,246.19,248.99,243.56,245.23,5381100
4420,2015-01-13,ENGRO,245.0,248.2,240.0,243.13,5582600
4965,2015-01-14,ENGRO,244.4,255.28,243.71,255.03,10647900
5512,2015-01-15,ENGRO,257.0,262.6,256.0,258.13,7099700
6049,2015-01-16,ENGRO,258.6,259.75,256.1,257.68,2006400
6583,2015-01-19,ENGRO,258.75,270.56,258.75,270.43,7427200
7119,2015-01-20,ENGRO,272.5,273.7,267.05,268.56,5463300
7656,2015-01-21,ENGRO,270.0,274.29,268.25,269.49,5957700
8178,2015-01-22,ENGRO,269.7,273.1,265.0,269.22,5992200
8686,2015-01-23,ENGRO,269.25,279.5,266.51,277.57,8397400
9209,2015-01-26,ENGRO,285.0,291.44,284.91,291.05,8720000
9765,2015-01-27,ENGRO,290.8,295.85,285.5,286.54,5748500
10323,2015-01-28,ENGRO,286.5,289.5,283.51,285.77,6277900
10873,2015-01-29,ENGRO,286.25,299.59,286.1,297.88,9843700
11407,2015-01-30,ENGRO,300.0,303.9,295.0,297.37,7593300
11967,2015-02-02,ENGRO,299.24,301.0,293.6,295.45,4978200
12484,2015-02-03,ENGRO,295.0,297.0,287.0,288.38,5011000
13003,2015-02-04,ENGRO,289.9,294.21,285.25,287.25,6403100
13507,2015-02-06,ENGRO,288.89,294.99,288.5,289.57,9005600
14015,2015-02-09,ENGRO,291.49,302.4,290.5,299.89,12852400
14515,2015-02-10,ENGRO,301.5,301.5,290.3,294.35,7810800
15024,2015-02-11,ENGRO,297.0,298.65,279.64,281.3,11702000
15539,2015-02-12,ENGRO,277.0,278.0,267.5,274.56,9961400
16035,2015-02-13,ENGRO,275.9,283.99,268.51,280.59,8471000
