,Date,Symbol,Open,High,Low,Close,Volume
261,2015-01-01,EFERT,79.0,82.0,78.7,82.0,7191500
786,2015-01-02,EFERT,83.1,84.5,81.0,81.92,8142500
1305,2015-01-05,EFERT,81.24,83.29,80.7,81.19,10467500
1812,2015-01-06,EFERT,81.0,81.0,77.32,79.03,6621500
2331,2015-01-07,EFERT,79.25,80.5,77.21,77.75,3229500
2844,2015-01-08,EFERT,78.3,81.35,78.02,80.85,6165000
3357,2015-01-09,EFERT,81.25,81.75,78.75,79.21,4334000
3883,2015-01-12,EFERT,79.25,80.0,78.5,78.99,3886500
4421,2015-01-13,EFERT,79.05,79.3,75.75,76.54,6970500
4966,2015-01-14,EFERT,76.54,79.14,76.54,78.82,6073000
5513,2015-01-15,EFERT,79.25,79.45,77.6,77.88,3251000
6050,2015-01-16,EFERT,77.99,78.4,77.25,77.44,1131500
6584,2015-01-19,EFERT,77.4,79.29,77.4,78.98,3111500
7120,2015-01-20,EFERT,78.8,80.35,78.01,78.39,3780000
7657,2015-01-21,EFERT,78.6,80.1,78.5,79.23,4864000
8179,2015-01-22,EFERT,79.4,79.5,77.55,77.91,3279500
8687,2015-01-23,EFERT,77.61,79.99,77.05,79.51,2914000
9210,2015-01-26,EFERT,81.01,82.35,80.4,80.67,10682000
9766,2015-01-27,EFERT,80.5,80.8,79.45,80.02,3223000
10324,2015-01-28,EFERT,80.2,81.99,80.0,80.6,7277000
10874,2015-01-29,EFERT,80.79,82.19,80.79,81.42,6195500
11408,2015-01-30,EFERT,82.0,85.49,81.61,85.27,20451500
11968,2015-02-02,EFERT,86.51,87.4,84.35,84.94,9361500
12485,2015-02-03,EFERT,85.25,87.6,84.6,85.28,10604500
13004,2015-02-04,EFERT,86.1,87.99,85.7,87.14,14599500
13508,2015-02-06,EFERT,88.49,89.8,88.01,88.76,11538000
14016,2015-02-09,EFERT,89.21,93.0,88.4,92.17,21250500
14516,2015-02-10,EFERT,92.3,92.49,90.0,90.6,6129500
15025,2015-02-11,EFERT,91.01,91.2,86.07,86.27,10513000
15540,2015-02-12,EFERT,85.01,85.85,81.96,84.66,13346500
16036,2015-02-13,EFERT,84.95,85.7,83.81,84.76,7802000
16533,2015-02-16,EFERT,85.18,85.46,82.03,83.03,2221000
17029,2015-02-17,EFERT,83.4,84.5,83.0,83.97,1909000
17529,2015-02-18,EFERT,84.5,85.1,83.06,83.98,2119500
18036,2015-02-19,EFERT,84.0,85.9,83.5,84.95,5301500
18524,2015-02-20,EFERT,85.3,86.0,84.3,85.04,6618500
19014,2015-02-23,EFERT,85.15,85.4,84.15,84.36,1256500
19560,2015-02-24,EFERT,84.5,85.78,84.17,84.39,4930500
20095,2015-02-25,EFERT,84.55,85.15,84.0,84.13,1316000
20647,2015-02-26,EFERT,84.3,84.8,83.8,84.29,792500
21176,2015-02-27,EFERT,84.8,87.0,84.7,85.82,12991500
21712,2015-03-02,EFERT,87.98,88.5,85.51,86.16,8522500
22217,2015-03-03,EFERT,86.6,87.5,85.7,87.05,6849000
22719,2015-03-04,EFERT,87.56,90.0,86.93,87.44,14931000
23212,2015-03-05,EFERT,87.95,87.95,86.65,87.36,2308500
23683,2015-03-06,EFERT,87.8,88.3,87.02,87.46,1550500
24157,2015-03-09,EFERT,87.74,87.8,86.26,86.71,956000
24644,2015-03-10,EFERT,86.51,86.51,82.7,84.03,4133000
25127,2015-03-11,EFERT,82.49,84.39,81.65,83.75,3098000
25614,2015-03-12,EFERT,84.0,84.34,79.7,80.64,6638500
26096,2015-03-13,EFERT,81.17,82.35,80.15,81.62,5077000
26579,2015-03-16,EFERT,81.9,82.0,79.5,80.01,1636000
27051,2015-03-17,EFERT,80.0,81.2,78.25,80.94,2588500
27555,2015-03-18,EFERT,80.51,81.74,77.52,79.7,3335500
28044,2015-03-19,EFERT,79.7,80.98,79.7,80.35,1570000
28512,2015-03-20,EFERT,80.47,82.9,80.25,82.3,2933500
28984,2015-03-24,EFERT,82.86,83.3,79.4,79.68,2684000
29490,2015-03-25,EFERT,79.85,79.85,77.9,78.13,2787000
30002,2015-03-26,EFERT,78.65,79.0,74.23,78.19,9313000
30534,2015-03-27,EFERT,78.95,79.85,74.5,75.12,3614500
31087,2015-03-30,EFERT,75.12,75.25,71.5,73.47,6082500
31594,2015-03-31,EFERT,73.61,77.14,73.61,77.14,4393000
