,Date,Symbol,Open,High,Low,Close,Volume
279,2015-01-01,EPCL,12.0,12.7,11.85,12.53,1840000
806,2015-01-02,EPCL,12.59,12.73,12.4,12.49,1113500
1324,2015-01-05,EPCL,12.51,12.66,12.4,12.46,878000
1831,2015-01-06,EPCL,12.5,12.6,12.25,12.29,357000
2351,2015-01-07,EPCL,12.31,12.31,12.12,12.16,910000
2863,2015-01-08,EPCL,12.25,12.65,12.25,12.44,1517500
3377,2015-01-09,EPCL,12.45,13.44,12.4,13.42,5134500
3901,2015-01-12,EPCL,13.6,13.75,13.24,13.33,1918500
4441,2015-01-13,EPCL,13.28,13.52,13.19,13.26,921000
4986,2015-01-14,EPCL,13.2,13.5,13.15,13.36,1138500
5533,2015-01-15,EPCL,13.4,14.14,13.4,13.76,3407000
6070,2015-01-16,EPCL,13.8,13.8,13.5,13.53,810500
6604,2015-01-19,EPCL,13.65,13.7,13.37,13.48,649000
7140,2015-01-20,EPCL,13.48,13.6,13.2,13.43,404500
7677,2015-01-21,EPCL,13.36,13.5,13.1,13.17,622000
8198,2015-01-22,EPCL,13.15,13.25,13.0,13.06,790500
8707,2015-01-23,EPCL,13.19,13.25,12.9,12.96,341000
9230,2015-01-26,EPCL,13.25,13.35,13.05,13.17,488000
9786,2015-01-27,EPCL,13.15,13.27,13.05,13.08,249000
10344,2015-01-28,EPCL,13.16,13.16,12.9,12.95,250500
10894,2015-01-29,EPCL,13.0,13.0,12.86,12.92,255000
11428,2015-01-30,EPCL,12.83,13.49,12.83,13.05,1365500
11988,2015-02-02,EPCL,13.09,13.23,12.75,12.84,750000
12504,2015-02-03,EPCL,12.78,12.84,12.05,12.09,2602000
13023,2015-02-04,EPCL,11.99,12.1,11.8,11.84,1029000
13525,2015-02-06,EPCL,11.8,11.88,11.61,11.77,670500
14035,2015-02-09,EPCL,11.8,11.84,11.25,11.29,1202500
14535,2015-02-10,EPCL,11.32,11.43,11.06,11.19,789500
15044,2015-02-11,EPCL,11.21,11.28,11.1,11.2,360000
15558,2015-02-12,EPCL,11.3,11.35,10.95,11.14,596000
16055,2015-02-13,EPCL,11.1,11.2,11.05,11.17,150500
16551,2015-02-16,EPCL,11.1,11.21,10.95,10.97,216500
17049,2015-02-17,EPCL,11.0,11.0,10.92,10.97,101500
17545,2015-02-18,EPCL,10.91,11.04,10.8,10.91,137000
18054,2015-02-19,EPCL,11.06,11.06,10.8,10.9,231500
18542,2015-02-20,EPCL,10.9,11.0,10.8,10.88,28500
19031,2015-02-23,EPCL,11.04,11.04,10.87,10.97,63000
19580,2015-02-24,EPCL,10.84,10.99,10.8,10.86,65500
20115,2015-02-25,EPCL,11.05,11.05,10.52,10.63,177000
20666,2015-02-26,EPCL,10.75,10.75,10.57,10.64,89000
21196,2015-02-27,EPCL,10.55,10.7,10.47,10.52,296000
21732,2015-03-02,EPCL,10.53,10.55,10.22,10.37,141500
22236,2015-03-03,EPCL,10.3,10.6,10.3,10.42,116000
22738,2015-03-04,EPCL,10.51,10.53,10.31,10.42,33000
23230,2015-03-05,EPCL,10.6,10.75,10.4,10.55,59000
23702,2015-03-06,EPCL,10.6,10.66,10.42,10.53,118000
24173,2015-03-09,EPCL,10.5,10.65,10.43,10.49,101000
24660,2015-03-10,EPCL,10.4,10.59,10.4,10.4,91000
25144,2015-03-11,EPCL,10.2,10.36,10.06,10.17,205500
25634,2015-03-12,EPCL,10.25,10.83,10.2,10.75,409500
26115,2015-03-13,EPCL,10.61,10.68,10.5,10.6,91000
26598,2015-03-16,EPCL,10.77,10.77,10.25,10.37,173000
27070,2015-03-17,EPCL,10.23,10.44,10.12,10.25,145500
27574,2015-03-18,EPCL,10.4,10.4,9.25,9.51,1120500
28061,2015-03-19,EPCL,9.8,9.97,9.55,9.71,322500
28530,2015-03-20,EPCL,9.9,10.1,9.8,9.9,144500
29003,2015-03-24,EPCL,9.95,10.0,9.8,9.8,61500
29506,2015-03-25,EPCL,9.79,9.79,9.15,9.25,714000
30021,2015-03-26,EPCL,9.36,9.5,9.06,9.1,302500
30553,2015-03-27,EPCL,9.02,9.2,8.71,8.79,554500
31108,2015-03-30,EPCL,8.6,8.8,7.91,8.11,1054000
31615,2015-03-31,EPCL,8.5,8.99,8.4,8.95,505500
32118,2015-04-01,EPCL,9.0,9.19,8.66,9.08,127500
32625,2015-04-02,EPCL,9.0,9.35,9.0,9.29,108000
33132,2015-04-03,EPCL,9.46,9.5,9.15,9.41,230000
33635,2015-04-06,EPCL,9.52,9.54,9.2,9.45,197500
34135,2015-04-07,EPCL,9.45,9.45,9.15,9.21,211500
34621,2015-04-08,EPCL,9.15,9.37,9.15,9.26,47000
35112,2015-04-09,EPCL,9.32,9.7,9.26,9.55,470000
35620,2015-04-10,EPCL,9.67,9.98,9.55,9.84,178000
36128,2015-04-13,EPCL,9.6,10.1,9.6,9.83,224500
36598,2015-04-14,EPCL,9.62,9.7,9.42,9.58,335000
37083,2015-04-15,EPCL,9.55,9.8,9.52,9.61,113000
37579,2015-04-16,EPCL,9.83,9.9,9.45,9.5,573000
38099,2015-04-17,EPCL,9.55,9.66,9.5,9.56,169500
38602,2015-04-20,EPCL,9.65,9.65,9.06,9.25,1163000
39124,2015-04-21,EPCL,9.26,9.47,8.91,9.12,695000
39661,2015-04-22,EPCL,9.12,9.45,9.12,9.25,353000
40187,2015-04-23,EPCL,9.48,9.48,9.25,9.34,55000
40712,2015-04-24,EPCL,9.22,9.5,9.22,9.35,230500
41253,2015-04-27,EPCL,9.29,9.45,9.29,9.35,195500
41767,2015-04-28,EPCL,9.18,9.29,9.18,9.26,97500
42286,2015-04-29,EPCL,9.26,9.3,9.19,9.27,33500
42784,2015-04-30,EPCL,9.39,9.4,9.12,9.15,192500
43280,2015-05-04,EPCL,9.1,9.12,8.95,9.03,178000
43778,2015-05-05,EPCL,9.01,9.19,8.92,8.99,77500
44285,2015-05-06,EPCL,8.97,9.1,8.95,9.0,112500
44787,2015-05-07,EPCL,9.15,9.15,9.01,9.09,61500
45271,2015-05-08,EPCL,9.2,9.35,9.16,9.25,286000
45761,2015-05-11,EPCL,9.11,9.11,8.69,8.79,141000
46238,2015-05-12,EPCL,9.1,9.1,8.8,9.06,1858000
46709,2015-05-13,EPCL,9.1,9.2,9.0,9.0,423000
47184,2015-05-14,EPCL,8.95,9.2,8.95,9.11,158000
47665,2015-05-15,EPCL,9.15,9.22,9.08,9.11,55500
48152,2015-05-18,EPCL,9.16,9.2,9.0,9.01,112500
48627,2015-05-20,EPCL,8.91,9.08,8.9,8.97,77000
49102,2015-05-21,EPCL,8.9,9.0,8.89,8.95,75500
49570,2015-05-22,EPCL,9.0,9.13,8.92,9.05,80000
