,Date,Symbol,Open,High,Low,Close,Volume
241,2015-01-01,EXIDE,2185.0,2220.0,2185.0,2216.67,340
763,2015-01-02,EXIDE,2230.0,2230.0,2202.0,2230.0,60
1282,2015-01-05,EXIDE,2185.1,2185.1,2118.5,2140.1,680
1789,2015-01-06,EXIDE,2120.0,2120.0,2120.0,2120.0,200
2309,2015-01-07,EXIDE,2099.0,2099.0,2014.0,2040.0,620
2821,2015-01-08,EXIDE,2039.0,2040.0,2006.0,2020.5,120
3334,2015-01-09,EXIDE,1930.0,1985.0,1920.0,1920.17,820
3860,2015-01-12,EXIDE,1920.0,1959.99,1900.0,1957.5,280
4398,2015-01-13,EXIDE,1950.0,1979.0,1950.0,1979.0,40
4943,2015-01-14,EXIDE,1941.0,2000.0,1930.0,2000.0,240
5490,2015-01-15,EXIDE,1932.0,1932.0,1920.0,1920.0,220
6027,2015-01-16,EXIDE,1827.0,1880.0,1827.0,1875.0,360
6562,2015-01-19,EXIDE,1920.0,1929.99,1920.0,1923.89,340
7097,2015-01-20,EXIDE,1851.0,1910.0,1850.0,1910.0,1700
7634,2015-01-21,EXIDE,1910.0,2000.0,1895.0,1955.2,5780
8156,2015-01-22,EXIDE,1900.0,1900.0,1857.44,1874.88,580
9187,2015-01-26,EXIDE,1900.0,1949.97,1900.0,1920.0,820
9743,2015-01-27,EXIDE,1920.0,1920.0,1824.0,1876.0,480
10301,2015-01-28,EXIDE,1840.0,1840.0,1840.0,1840.0,20
10851,2015-01-29,EXIDE,1828.0,1840.0,1775.0,1794.9,700
11385,2015-01-30,EXIDE,1800.1,1800.1,1720.0,1793.17,500
11945,2015-02-02,EXIDE,1800.0,1820.0,1800.0,1820.0,200
12461,2015-02-03,EXIDE,1751.11,1751.11,1729.0,1729.0,580
12980,2015-02-04,EXIDE,1725.0,1750.79,1664.9,1750.79,1280
13484,2015-02-06,EXIDE,1780.0,1780.0,1730.0,1730.0,120
14491,2015-02-10,EXIDE,1705.1,1705.1,1644.0,1650.0,520
15000,2015-02-11,EXIDE,1625.0,1650.0,1610.0,1617.5,520
15515,2015-02-12,EXIDE,1580.25,1599.0,1575.0,1599.0,200
16012,2015-02-13,EXIDE,1624.91,1624.91,1624.91,1624.91,20
16509,2015-02-16,EXIDE,1560.0,1560.0,1543.67,1543.67,100
17004,2015-02-17,EXIDE,1543.0,1550.0,1466.49,1467.0,720
17506,2015-02-18,EXIDE,1460.0,1460.0,1393.65,1394.0,620
18011,2015-02-19,EXIDE,1390.0,1447.99,1390.0,1430.14,1800
18501,2015-02-20,EXIDE,1401.0,1401.0,1358.64,1358.64,1140
18990,2015-02-23,EXIDE,1300.0,1348.0,1300.0,1345.0,340
19536,2015-02-24,EXIDE,1345.0,1345.0,1280.1,1298.79,920
20071,2015-02-25,EXIDE,1290.0,1320.0,1234.0,1244.1,1740
20623,2015-02-26,EXIDE,1245.0,1245.0,1182.0,1189.26,1320
21151,2015-02-27,EXIDE,1160.05,1161.0,1129.8,1130.53,420
21687,2015-03-02,EXIDE,1130.0,1187.05,1120.0,1187.05,780
22192,2015-03-03,EXIDE,1246.4,1246.4,1246.4,1246.4,200
22694,2015-03-04,EXIDE,1308.72,1308.72,1308.7,1308.72,6000
23189,2015-03-05,EXIDE,1374.0,1374.15,1340.0,1374.15,2880
23659,2015-03-06,EXIDE,1442.85,1442.85,1400.01,1439.04,7780
24133,2015-03-09,EXIDE,1489.98,1510.99,1489.98,1510.79,9120
24619,2015-03-10,EXIDE,1569.0,1569.0,1435.26,1435.26,4220
25103,2015-03-11,EXIDE,1363.5,1400.0,1363.5,1366.75,2140
25589,2015-03-12,EXIDE,1313.05,1320.0,1298.42,1299.0,660
26070,2015-03-13,EXIDE,1319.99,1335.0,1290.0,1300.0,2160
26555,2015-03-16,EXIDE,1325.0,1325.0,1290.0,1290.0,240
27026,2015-03-17,EXIDE,1226.0,1255.0,1225.5,1232.0,960
27530,2015-03-18,EXIDE,1186.0,1190.0,1170.4,1171.41,560
28020,2015-03-19,EXIDE,1150.0,1160.0,1113.0,1119.53,1280
28489,2015-03-20,EXIDE,1160.0,1175.5,1160.0,1175.5,2300
28961,2015-03-24,EXIDE,1195.0,1195.0,1121.0,1123.0,960
29465,2015-03-25,EXIDE,1100.0,1100.0,1067.0,1070.0,400
29978,2015-03-26,EXIDE,1030.0,1030.0,1016.5,1016.5,380
30510,2015-03-27,EXIDE,1000.0,1067.32,1000.0,1029.98,6060
31063,2015-03-30,EXIDE,981.08,981.08,978.49,978.49,520
31569,2015-03-31,EXIDE,930.0,1027.41,930.0,1025.63,1680
32073,2015-04-01,EXIDE,1040.0,1076.91,1040.0,1070.0,3980
32582,2015-04-02,EXIDE,1090.0,1123.5,1080.0,1123.5,3800
33087,2015-04-03,EXIDE,1179.0,1179.67,1130.0,1179.67,2900
33590,2015-04-06,EXIDE,1238.65,1238.65,1222.0,1238.65,5140
34094,2015-04-07,EXIDE,1298.99,1300.58,1200.0,1259.0,3520
34579,2015-04-08,EXIDE,1260.0,1260.0,1196.06,1219.63,1620
35070,2015-04-09,EXIDE,1220.0,1239.0,1220.0,1223.17,260
35577,2015-04-10,EXIDE,1180.0,1250.5,1162.02,1170.01,960
36087,2015-04-13,EXIDE,1112.02,1112.02,1111.51,1111.51,680
36558,2015-04-14,EXIDE,1057.0,1130.0,1055.94,1083.75,3360
37040,2015-04-15,EXIDE,1120.0,1130.0,1050.01,1070.38,1340
