,Date,Symbol,Open,High,Low,Close,Volume
152,2015-01-01,FRSM,,38.51,38.51,39.49,1500
668,2015-01-02,FRSM,37.52,39.99,37.52,37.65,12000
1186,2015-01-05,FRSM,37.71,38.5,37.71,38.5,1500
1696,2015-01-06,FRSM,38.0,38.84,37.6,38.84,11500
2213,2015-01-07,FRSM,39.24,40.75,39.24,39.93,48000
2726,2015-01-08,FRSM,40.0,40.0,40.0,40.0,2500
3239,2015-01-09,FRSM,38.9,39.0,38.0,38.13,70500
3759,2015-01-12,FRSM,38.74,38.75,38.0,38.25,5500
4299,2015-01-13,FRSM,38.54,38.54,37.5,38.13,6000
4846,2015-01-14,FRSM,38.05,38.05,38.01,38.01,2500
5391,2015-01-15,FRSM,38.45,38.89,38.0,38.89,13000
5932,2015-01-16,FRSM,39.93,39.93,38.1,38.1,4000
6464,2015-01-19,FRSM,38.44,39.0,38.44,39.0,9500
7001,2015-01-20,FRSM,39.0,39.25,39.0,39.0,16500
7534,2015-01-21,FRSM,39.0,39.5,38.3,39.0,74000
8058,2015-01-22,FRSM,39.5,39.5,38.25,38.25,7500
8569,2015-01-23,FRSM,39.0,39.99,39.0,39.84,41500
9090,2015-01-26,FRSM,39.95,40.25,39.51,39.55,14500
9645,2015-01-27,FRSM,40.25,40.5,40.0,40.0,12000
10202,2015-01-28,FRSM,40.4,42.0,40.4,42.0,72500
10752,2015-01-29,FRSM,43.98,44.1,43.98,44.1,44500
11294,2015-01-30,FRSM,46.0,46.3,43.75,44.75,32000
11848,2015-02-02,FRSM,43.5,44.69,43.5,44.69,2000
12363,2015-02-03,FRSM,43.0,43.3,42.46,43.0,12500
12882,2015-02-04,FRSM,41.2,42.5,40.9,40.94,8000
13388,2015-02-06,FRSM,42.0,42.0,42.0,42.0,8000
13895,2015-02-09,FRSM,42.75,42.75,42.0,42.0,18500
14400,2015-02-10,FRSM,42.75,43.25,42.51,43.17,8000
14907,2015-02-11,FRSM,43.75,45.0,43.0,45.0,16000
15421,2015-02-12,FRSM,43.0,45.5,43.0,45.2,11500
15919,2015-02-13,FRSM,45.5,45.9,43.5,45.45,10000
16413,2015-02-16,FRSM,45.5,45.5,45.5,45.5,500
16910,2015-02-17,FRSM,43.5,43.5,43.23,43.23,67500
17413,2015-02-18,FRSM,41.8,43.0,41.75,42.25,39500
17917,2015-02-19,FRSM,42.12,42.12,42.0,42.0,1000
18411,2015-02-20,FRSM,42.25,43.99,42.25,43.86,11500
18900,2015-02-23,FRSM,45.15,45.5,45.15,45.4,2500
19444,2015-02-24,FRSM,44.8,45.4,44.8,45.17,10000
19982,2015-02-25,FRSM,43.0,44.95,43.0,44.75,6000
20530,2015-02-26,FRSM,44.0,44.9,44.0,44.25,8500
21068,2015-02-27,FRSM,44.3,44.3,44.25,44.25,3500
22103,2015-03-03,FRSM,42.5,42.5,42.05,42.05,6000
22608,2015-03-04,FRSM,42.0,42.0,42.0,42.0,2000
23104,2015-03-05,FRSM,41.5,41.7,41.25,41.7,4000
24048,2015-03-09,FRSM,42.05,42.9,41.95,42.9,16000
24534,2015-03-10,FRSM,0.0,41.26,41.26,42.9,1500
25017,2015-03-11,FRSM,42.0,42.0,42.0,42.0,500
25502,2015-03-12,FRSM,42.5,42.5,41.5,42.5,4500
25986,2015-03-13,FRSM,43.0,43.0,43.0,43.0,1000
26471,2015-03-16,FRSM,44.74,45.15,44.0,45.15,19500
26940,2015-03-17,FRSM,46.25,46.5,44.0,46.0,4000
27445,2015-03-18,FRSM,46.0,46.35,44.2,44.28,53000
27936,2015-03-19,FRSM,44.2,44.99,44.2,44.99,2000
28409,2015-03-20,FRSM,45.99,46.49,45.99,46.49,1000
28877,2015-03-24,FRSM,47.44,47.45,44.2,46.46,8500
29383,2015-03-25,FRSM,47.45,47.45,46.0,46.5,1500
29893,2015-03-26,FRSM,45.5,45.5,44.19,45.0,64500
30421,2015-03-27,FRSM,44.5,44.9,44.1,44.23,28000
30969,2015-03-30,FRSM,44.8,44.8,42.02,42.1,50500
31480,2015-03-31,FRSM,43.9,44.0,43.4,43.96,11000
31985,2015-04-01,FRSM,45.0,45.79,44.9,45.0,4500
32495,2015-04-02,FRSM,45.84,46.7,45.4,45.9,4500
33503,2015-04-06,FRSM,46.25,46.45,46.25,46.45,2000
34009,2015-04-07,FRSM,46.99,46.99,46.95,46.95,1000
34496,2015-04-08,FRSM,47.39,47.89,46.0,47.8,12000
34983,2015-04-09,FRSM,48.0,48.9,47.0,48.9,6500
35488,2015-04-10,FRSM,49.99,51.34,49.99,51.0,10000
36004,2015-04-13,FRSM,52.0,53.0,52.0,53.0,4500
36478,2015-04-14,FRSM,54.0,54.0,51.0,53.0,6000
36957,2015-04-15,FRSM,52.5,53.0,52.0,53.0,7500
37448,2015-04-16,FRSM,54.0,55.65,53.5,55.65,25500
37966,2015-04-17,FRSM,54.0,58.43,54.0,58.39,26500
38471,2015-04-20,FRSM,59.9,59.9,56.5,57.89,6000
38999,2015-04-21,FRSM,58.0,59.0,58.0,59.0,3500
39531,2015-04-22,FRSM,56.5,59.0,56.05,59.0,10500
40063,2015-04-23,FRSM,56.75,58.75,56.75,58.75,3500
42151,2015-04-29,FRSM,58.75,58.75,55.82,55.93,9000
42653,2015-04-30,FRSM,54.0,54.35,54.0,54.35,4000
