,Date,Symbol,Open,High,Low,Close,Volume
280,2015-01-01,FATIMA,35.95,36.5,35.8,36.23,2163000
807,2015-01-02,FATIMA,36.3,37.0,35.95,36.53,1885000
1325,2015-01-05,FATIMA,36.55,37.5,36.45,37.17,11950000
1832,2015-01-06,FATIMA,37.0,37.7,36.8,37.18,4089000
2352,2015-01-07,FATIMA,37.01,37.82,37.01,37.58,9384000
2864,2015-01-08,FATIMA,37.49,37.49,37.16,37.4,6804500
3378,2015-01-09,FATIMA,37.4,37.5,37.01,37.27,6003000
3902,2015-01-12,FATIMA,37.3,37.8,37.3,37.72,2375000
4442,2015-01-13,FATIMA,37.84,37.84,37.5,37.67,341000
4987,2015-01-14,FATIMA,37.3,37.85,37.3,37.51,2441500
5534,2015-01-15,FATIMA,37.5,37.8,37.31,37.43,1986500
6071,2015-01-16,FATIMA,37.68,37.68,36.82,36.86,3687000
6605,2015-01-19,FATIMA,36.8,37.1,36.7,36.74,257500
7141,2015-01-20,FATIMA,37.0,37.36,36.75,36.82,1081500
7678,2015-01-21,FATIMA,37.1,37.69,36.75,37.51,2723500
8199,2015-01-22,FATIMA,37.55,37.89,37.2,37.54,943000
8708,2015-01-23,FATIMA,37.84,37.85,37.1,37.75,3448000
9231,2015-01-26,FATIMA,38.15,38.9,38.15,38.34,857500
9787,2015-01-27,FATIMA,38.5,38.49,37.9,38.07,258500
10345,2015-01-28,FATIMA,38.0,38.35,37.6,38.06,2317500
10895,2015-01-29,FATIMA,38.05,38.25,37.7,38.02,147500
11429,2015-01-30,FATIMA,38.25,38.85,37.93,38.44,3645500
11989,2015-02-02,FATIMA,38.75,38.75,38.26,38.64,1096500
12505,2015-02-03,FATIMA,38.5,38.68,38.21,38.5,1535500
13024,2015-02-04,FATIMA,38.48,38.48,37.38,37.78,1352000
13526,2015-02-06,FATIMA,38.45,38.45,37.5,37.79,111500
14036,2015-02-09,FATIMA,38.0,38.21,37.11,37.43,209000
14536,2015-02-10,FATIMA,37.5,37.65,36.51,37.3,392000
15045,2015-02-11,FATIMA,37.0,37.3,37.0,37.13,121500
15559,2015-02-12,FATIMA,37.25,37.48,36.8,37.34,1056500
16056,2015-02-13,FATIMA,37.7,38.0,37.1,37.85,588500
16552,2015-02-16,FATIMA,37.5,37.5,36.71,36.93,853000
17050,2015-02-17,FATIMA,37.35,37.35,36.32,36.46,202000
17546,2015-02-18,FATIMA,36.47,36.78,36.15,36.33,92500
18055,2015-02-19,FATIMA,35.91,36.93,35.91,36.7,109500
18543,2015-02-20,FATIMA,37.0,37.45,36.9,37.26,3862500
19032,2015-02-23,FATIMA,37.21,38.05,37.21,37.56,4338000
19581,2015-02-24,FATIMA,37.6,37.9,36.99,37.4,697000
20116,2015-02-25,FATIMA,37.54,37.54,37.1,37.17,76500
20667,2015-02-26,FATIMA,37.44,37.45,37.0,37.07,324500
21197,2015-02-27,FATIMA,37.3,37.5,37.0,37.35,1328000
21733,2015-03-02,FATIMA,37.21,37.21,36.5,36.51,291500
22237,2015-03-03,FATIMA,36.7,36.9,35.15,35.57,4879000
22739,2015-03-04,FATIMA,35.85,36.5,35.63,36.25,1959000
23231,2015-03-05,FATIMA,36.05,38.06,36.0,37.93,3823000
23703,2015-03-06,FATIMA,38.3,38.35,37.8,38.17,829500
24174,2015-03-09,FATIMA,38.48,38.48,37.25,37.43,209000
24661,2015-03-10,FATIMA,37.4,38.15,37.15,37.47,1488500
25145,2015-03-11,FATIMA,37.11,38.6,36.5,37.8,442000
25635,2015-03-12,FATIMA,38.25,39.69,38.2,39.37,2826000
26116,2015-03-13,FATIMA,39.7,41.33,39.0,41.33,1834000
26599,2015-03-16,FATIMA,41.4,41.75,40.0,40.51,1901500
27071,2015-03-17,FATIMA,40.8,41.0,39.53,40.67,1119500
27575,2015-03-18,FATIMA,41.0,41.0,39.25,40.0,593000
28062,2015-03-19,FATIMA,39.6,40.38,38.7,39.0,523500
28531,2015-03-20,FATIMA,39.25,40.95,38.95,40.95,2994500
29004,2015-03-24,FATIMA,42.0,42.5,40.0,40.22,853500
29507,2015-03-25,FATIMA,40.0,40.5,38.5,38.9,234500
30022,2015-03-26,FATIMA,39.35,40.15,37.0,37.92,2770500
30554,2015-03-27,FATIMA,38.49,39.19,36.9,37.25,6701500
31109,2015-03-30,FATIMA,37.25,37.38,35.6,36.74,2383000
31616,2015-03-31,FATIMA,37.12,38.57,37.1,38.56,1957000
32119,2015-04-01,FATIMA,38.58,39.0,37.75,37.91,2701500
32626,2015-04-02,FATIMA,38.49,38.49,37.75,37.99,590500
33133,2015-04-03,FATIMA,38.45,39.55,38.06,39.21,939500
33636,2015-04-06,FATIMA,39.74,39.99,39.35,39.81,750000
34136,2015-04-07,FATIMA,39.99,40.19,39.39,39.74,1046500
34622,2015-04-08,FATIMA,40.01,40.2,39.5,39.77,549000
35113,2015-04-09,FATIMA,39.98,40.0,39.3,39.76,1362500
35621,2015-04-10,FATIMA,39.89,41.25,39.5,40.04,2692500
36129,2015-04-13,FATIMA,40.0,40.3,39.66,39.97,233500
36599,2015-04-14,FATIMA,40.01,40.3,39.8,40.03,327500
37084,2015-04-15,FATIMA,40.2,40.85,39.84,40.55,669000
37580,2015-04-16,FATIMA,40.85,40.85,39.69,40.12,3187500
38100,2015-04-17,FATIMA,40.01,41.0,40.0,40.98,904500
38603,2015-04-20,FATIMA,41.0,41.75,41.0,41.11,3633500
39125,2015-04-21,FATIMA,41.02,41.07,39.8,40.31,518000
39662,2015-04-22,FATIMA,40.0,41.85,40.0,41.77,2301500
40188,2015-04-23,FATIMA,39.78,39.85,38.1,38.17,499500
40713,2015-04-24,FATIMA,38.55,38.85,37.56,37.96,887500
41254,2015-04-27,FATIMA,37.99,38.75,37.8,37.87,397000
41768,2015-04-28,FATIMA,38.2,38.39,37.6,37.79,560500
42287,2015-04-29,FATIMA,37.51,37.95,37.3,37.37,401000
42785,2015-04-30,FATIMA,37.5,38.4,37.5,37.93,3288000
43281,2015-05-04,FATIMA,38.29,39.05,38.0,38.41,1258000
43779,2015-05-05,FATIMA,38.41,38.85,38.0,38.54,390500
44286,2015-05-06,FATIMA,38.7,38.87,38.0,38.52,4288500
44788,2015-05-07,FATIMA,38.45,38.7,38.2,38.35,203500
45272,2015-05-08,FATIMA,38.5,38.5,37.76,37.84,326500
45762,2015-05-11,FATIMA,37.55,37.55,36.0,36.17,1532000
46239,2015-05-12,FATIMA,36.5,36.9,35.99,36.32,1786500
46710,2015-05-13,FATIMA,36.5,36.9,36.05,36.77,444000
47185,2015-05-14,FATIMA,36.99,37.75,36.8,37.59,352500
47666,2015-05-15,FATIMA,37.71,37.95,37.5,37.6,182000
48153,2015-05-18,FATIMA,37.65,37.75,36.5,37.04,1192500
48628,2015-05-20,FATIMA,37.58,37.59,35.61,35.63,18015500
49103,2015-05-21,FATIMA,35.85,35.9,35.0,35.46,761000
49571,2015-05-22,FATIMA,35.8,36.0,35.24,35.81,592000
50041,2015-05-25,FATIMA,36.1,36.5,35.95,36.16,1333500
50569,2015-05-27,FATIMA,35.99,36.45,35.83,36.03,260500
51093,2015-05-28,FATIMA,36.39,36.43,36.0,36.31,720500
51620,2015-05-29,FATIMA,36.39,37.5,36.39,37.31,3436000
52178,2015-06-01,FATIMA,37.2,37.85,37.0,37.74,472000
52699,2015-06-02,FATIMA,37.5,38.2,37.5,38.0,1116000
53215,2015-06-03,FATIMA,38.02,38.1,37.51,38.0,2925500
53740,2015-06-04,FATIMA,38.25,39.4,37.71,39.0,2715500
54252,2015-06-05,FATIMA,38.6,39.25,38.46,39.01,1083500
54783,2015-06-08,FATIMA,38.9,39.5,37.06,39.01,366000
55308,2015-06-09,FATIMA,39.15,39.51,38.01,39.01,1777500
55828,2015-06-10,FATIMA,39.1,39.85,39.01,39.72,1531500
56354,2015-06-12,FATIMA,39.95,40.5,39.6,39.95,1023500
56894,2015-06-15,FATIMA,39.89,40.0,39.07,39.19,1423500
57416,2015-06-16,FATIMA,39.0,39.0,38.5,38.91,217500
57948,2015-06-17,FATIMA,38.75,39.1,38.75,38.97,860000
58484,2015-06-18,FATIMA,39.0,39.37,38.55,39.12,356000
58990,2015-06-19,FATIMA,39.1,39.5,39.0,39.24,570500
59480,2015-06-22,FATIMA,39.01,39.4,38.26,38.91,106500
60025,2015-06-23,FATIMA,38.6,38.75,38.35,38.52,173500
60594,2015-06-24,FATIMA,37.95,38.99,37.95,38.29,527500
61139,2015-06-25,FATIMA,38.13,38.9,38.0,38.11,276000
61671,2015-06-26,FATIMA,38.0,39.0,38.0,38.08,213500
62207,2015-06-29,FATIMA,38.0,39.2,38.0,39.07,424500
62698,2015-06-30,FATIMA,39.0,39.5,38.7,39.07,712000
63200,2015-07-01,FATIMA,39.0,39.45,39.0,39.03,150500
63708,2015-07-02,FATIMA,39.39,39.99,39.25,39.78,290500
64208,2015-07-03,FATIMA,39.89,41.39,39.6,40.68,998000
64717,2015-07-06,FATIMA,40.8,40.85,40.01,40.76,749000
65230,2015-07-07,FATIMA,40.61,41.3,40.49,41.14,1893500
65738,2015-07-08,FATIMA,41.15,41.69,40.66,40.85,673500
66253,2015-07-09,FATIMA,40.7,41.1,40.52,40.68,390000
66744,2015-07-10,FATIMA,40.8,41.0,40.5,40.6,428000
67239,2015-07-13,FATIMA,40.5,41.19,40.29,41.0,883000
67749,2015-07-14,FATIMA,41.3,41.39,41.0,41.26,211500
