,Date,Symbol,Open,High,Low,Close,Volume
170,2015-01-01,FCCL,25.95,26.87,25.92,26.76,9462500
687,2015-01-02,FCCL,26.95,27.96,26.32,27.8,26898500
1207,2015-01-05,FCCL,27.88,28.25,27.51,27.57,14793500
1718,2015-01-06,FCCL,27.57,28.38,27.4,27.62,11213500
2235,2015-01-07,FCCL,27.74,28.03,27.66,27.76,5427500
2748,2015-01-08,FCCL,27.93,28.07,27.7,27.92,5772000
3260,2015-01-09,FCCL,27.99,28.6,27.82,28.2,8438500
3783,2015-01-12,FCCL,28.2,28.38,27.76,27.84,4897500
4323,2015-01-13,FCCL,27.9,29.17,27.7,28.82,9710000
4870,2015-01-14,FCCL,29.18,29.29,28.86,29.15,8683500
5414,2015-01-15,FCCL,29.3,29.6,28.95,29.02,9964000
5955,2015-01-16,FCCL,29.1,29.1,28.71,28.79,4215500
6489,2015-01-19,FCCL,28.73,29.4,28.73,28.97,5557000
7023,2015-01-20,FCCL,29.2,29.25,28.75,29.16,9240500
7559,2015-01-21,FCCL,29.22,29.35,28.75,28.91,6323000
8081,2015-01-22,FCCL,28.9,29.1,28.42,28.54,4202000
8592,2015-01-23,FCCL,28.7,29.09,28.1,28.68,8446500
9112,2015-01-26,FCCL,29.77,29.79,29.12,29.23,12915500
9669,2015-01-27,FCCL,29.24,29.44,29.05,29.13,4898000
10226,2015-01-28,FCCL,29.25,29.4,28.8,28.83,4356500
10775,2015-01-29,FCCL,28.83,29.34,28.83,29.27,5893500
11312,2015-01-30,FCCL,29.4,30.64,29.27,30.33,22340000
11872,2015-02-02,FCCL,30.64,31.83,30.51,31.75,19004500
12387,2015-02-03,FCCL,31.8,31.89,30.85,30.92,12609500
12906,2015-02-04,FCCL,31.01,31.79,31.01,31.16,9931500
13411,2015-02-06,FCCL,31.34,32.55,31.34,32.41,20361000
13917,2015-02-09,FCCL,32.7,32.7,31.81,31.98,7032500
14421,2015-02-10,FCCL,32.06,32.1,31.05,31.73,6017000
14931,2015-02-11,FCCL,31.8,32.38,31.8,32.0,9907000
15445,2015-02-12,FCCL,32.0,32.38,30.4,31.56,12020500
15941,2015-02-13,FCCL,31.89,32.26,31.0,31.32,11243000
16436,2015-02-16,FCCL,31.45,32.2,30.55,31.68,16289000
16931,2015-02-17,FCCL,31.68,32.66,31.56,31.99,13890000
17433,2015-02-18,FCCL,32.17,32.17,31.4,31.52,4185000
17937,2015-02-19,FCCL,31.5,31.9,31.4,31.85,2692000
18430,2015-02-20,FCCL,31.99,32.2,30.9,31.14,10382000
18921,2015-02-23,FCCL,31.2,31.66,31.01,31.18,3025000
19467,2015-02-24,FCCL,31.21,31.4,31.1,31.26,909500
20003,2015-02-25,FCCL,31.1,31.58,31.1,31.23,1240500
20552,2015-02-26,FCCL,31.33,31.35,29.95,30.37,7256500
21084,2015-02-27,FCCL,30.41,30.68,30.11,30.22,2070500
21618,2015-03-02,FCCL,30.4,30.4,29.51,29.79,2406000
22124,2015-03-03,FCCL,29.8,30.72,29.6,30.56,4080000
22626,2015-03-04,FCCL,30.63,30.89,30.5,30.52,2421500
23123,2015-03-05,FCCL,30.5,30.94,30.4,30.5,1894000
23590,2015-03-06,FCCL,30.52,31.63,30.52,31.4,2897000
24066,2015-03-09,FCCL,31.5,31.74,30.9,30.98,1644500
24549,2015-03-10,FCCL,31.0,31.0,30.5,30.65,1753000
25033,2015-03-11,FCCL,30.56,31.2,30.05,31.05,3213000
25519,2015-03-12,FCCL,30.5,30.5,29.98,30.14,2047000
