,Date,Symbol,Open,High,Low,Close,Volume
262,2015-01-01,FFBL,45.05,47.47,45.01,47.35,4940000
787,2015-01-02,FFBL,47.94,48.25,46.66,47.44,3891500
1306,2015-01-05,FFBL,47.8,48.95,47.4,47.61,5633500
1813,2015-01-06,FFBL,47.48,47.48,46.65,46.99,2273000
2332,2015-01-07,FFBL,47.25,47.35,46.53,46.72,803000
2845,2015-01-08,FFBL,46.66,47.43,46.52,46.88,1420500
3358,2015-01-09,FFBL,46.85,47.33,46.81,46.85,983500
3884,2015-01-12,FFBL,46.99,48.2,46.99,47.93,2053500
4422,2015-01-13,FFBL,47.99,48.45,47.71,48.03,1990000
4967,2015-01-14,FFBL,48.03,48.99,47.0,47.12,4801000
5514,2015-01-15,FFBL,47.3,47.79,47.01,47.25,1485500
6051,2015-01-16,FFBL,47.5,47.74,47.01,47.13,1213500
6585,2015-01-19,FFBL,47.3,47.45,47.01,47.11,1078500
7121,2015-01-20,FFBL,47.07,48.5,46.91,48.21,6462500
7658,2015-01-21,FFBL,48.49,50.0,48.49,49.48,12539000
8180,2015-01-22,FFBL,49.57,49.57,48.1,48.22,5184000
8688,2015-01-23,FFBL,48.24,48.6,47.85,48.52,1852500
9211,2015-01-26,FFBL,49.35,49.35,48.57,48.65,3481000
9767,2015-01-27,FFBL,48.5,50.5,48.5,50.36,12251000
10325,2015-01-28,FFBL,50.4,51.29,50.36,50.48,8184500
10875,2015-01-29,FFBL,50.8,51.0,49.5,50.12,5827000
11409,2015-01-30,FFBL,50.75,52.62,49.85,52.24,22456000
11969,2015-02-02,FFBL,52.84,53.5,52.15,52.51,8313500
12486,2015-02-03,FFBL,52.75,52.84,52.0,52.66,2249500
13005,2015-02-04,FFBL,52.61,52.99,51.66,51.93,4239000
13509,2015-02-06,FFBL,51.99,52.45,51.67,51.91,2241500
14017,2015-02-09,FFBL,52.2,52.25,51.71,51.79,722000
14517,2015-02-10,FFBL,51.9,52.24,51.2,51.61,1377500
15026,2015-02-11,FFBL,51.89,52.2,49.9,50.28,1724500
15541,2015-02-12,FFBL,50.5,52.03,49.51,51.84,6630000
16037,2015-02-13,FFBL,51.65,52.26,51.11,51.32,2541000
16534,2015-02-16,FFBL,51.3,51.58,50.8,50.92,619500
17030,2015-02-17,FFBL,50.9,51.35,50.25,50.46,1232000
17530,2015-02-18,FFBL,50.5,50.7,49.75,50.28,745000
18037,2015-02-19,FFBL,50.25,50.95,50.2,50.72,1048000
18525,2015-02-20,FFBL,50.99,52.0,50.5,51.59,3950000
19015,2015-02-23,FFBL,51.75,52.75,51.5,52.11,3881000
19561,2015-02-24,FFBL,52.11,54.65,51.98,54.08,8749000
20096,2015-02-25,FFBL,54.1,55.75,53.75,55.24,6383500
20648,2015-02-26,FFBL,55.5,56.15,54.51,54.72,2248000
21177,2015-02-27,FFBL,55.15,55.25,53.9,54.17,3821500
21713,2015-03-02,FFBL,54.59,54.59,53.0,53.22,8161500
22218,2015-03-03,FFBL,53.45,54.39,53.01,53.87,6107000
22720,2015-03-04,FFBL,54.25,55.4,54.15,54.59,5821500
23213,2015-03-05,FFBL,54.84,56.48,54.53,56.36,7298000
23684,2015-03-06,FFBL,56.84,57.25,56.2,56.66,5429000
24158,2015-03-09,FFBL,56.89,56.9,55.7,55.92,1185000
24645,2015-03-10,FFBL,55.4,55.49,53.13,53.17,11554500
25128,2015-03-11,FFBL,52.74,53.15,50.7,51.3,9791000
25615,2015-03-12,FFBL,51.7,52.48,48.74,51.42,21606000
26097,2015-03-13,FFBL,52.0,52.5,51.41,51.72,3033500
26580,2015-03-16,FFBL,52.1,52.19,49.75,50.01,2070500
27052,2015-03-17,FFBL,50.2,51.7,48.95,51.3,3925500
27556,2015-03-18,FFBL,51.55,51.55,48.85,49.89,4738000
28045,2015-03-19,FFBL,47.5,48.55,47.3,48.14,2053000
28513,2015-03-20,FFBL,48.44,50.19,48.44,50.0,3461500
28985,2015-03-24,FFBL,50.89,51.74,50.26,50.55,5552500
29491,2015-03-25,FFBL,50.75,50.93,49.51,49.74,1717000
30003,2015-03-26,FFBL,50.01,50.43,47.26,48.36,5158000
30535,2015-03-27,FFBL,48.2,48.3,45.95,46.09,2599000
31088,2015-03-30,FFBL,45.95,45.95,43.79,44.27,6180000
31595,2015-03-31,FFBL,44.4,46.48,44.4,46.48,3672500
32099,2015-04-01,FFBL,46.99,48.45,45.35,47.59,3945000
32607,2015-04-02,FFBL,47.89,49.3,47.75,48.99,5974000
33112,2015-04-03,FFBL,49.3,50.6,48.8,50.17,3802500
33615,2015-04-06,FFBL,50.39,51.87,49.38,51.44,8274500
34119,2015-04-07,FFBL,51.5,51.7,50.26,50.45,3054500
34604,2015-04-08,FFBL,50.89,51.4,50.55,50.64,2830000
35094,2015-04-09,FFBL,50.6,50.8,49.67,49.89,1241500
35603,2015-04-10,FFBL,50.0,50.4,49.5,49.68,4247500
36111,2015-04-13,FFBL,49.68,49.8,48.2,48.4,1994500
36583,2015-04-14,FFBL,48.1,49.14,47.8,48.15,2553000
37066,2015-04-15,FFBL,48.51,48.9,48.0,48.12,1691500
37564,2015-04-16,FFBL,48.5,50.2,48.5,49.73,8189500
38080,2015-04-17,FFBL,50.1,50.25,49.7,49.81,3373000
38585,2015-04-20,FFBL,50.38,50.7,48.6,49.0,4861000
39107,2015-04-21,FFBL,49.48,49.48,48.3,48.6,1318500
39645,2015-04-22,FFBL,48.88,49.45,48.5,49.0,2360500
40171,2015-04-23,FFBL,49.35,49.37,48.4,48.53,1533500
40693,2015-04-24,FFBL,48.5,49.25,48.45,48.56,3246500
41236,2015-04-27,FFBL,48.8,49.0,47.98,48.16,931500
41749,2015-04-28,FFBL,47.59,49.09,47.59,48.22,3779000
42268,2015-04-29,FFBL,48.0,48.23,47.6,47.85,1040500
42766,2015-04-30,FFBL,48.0,48.7,47.7,48.5,1111500
43262,2015-05-04,FFBL,48.51,49.0,48.31,48.42,831500
43760,2015-05-05,FFBL,48.5,48.51,47.61,47.93,958000
44266,2015-05-06,FFBL,48.2,48.3,47.9,48.14,448500
44770,2015-05-07,FFBL,48.14,48.8,48.01,48.71,1021500
45257,2015-05-08,FFBL,48.8,48.97,48.25,48.4,534000
45745,2015-05-11,FFBL,48.25,48.25,47.15,47.75,1103000
46223,2015-05-12,FFBL,47.6,48.0,47.5,47.75,430500
46692,2015-05-13,FFBL,47.95,47.95,47.5,47.55,235500
47166,2015-05-14,FFBL,47.5,48.5,47.5,47.94,924500
47648,2015-05-15,FFBL,47.98,48.1,47.59,47.62,420000
48134,2015-05-18,FFBL,47.7,47.8,47.5,47.75,503000
48612,2015-05-20,FFBL,48.1,48.1,47.4,47.87,1158000
49087,2015-05-21,FFBL,47.99,48.05,47.8,47.99,875500
49554,2015-05-22,FFBL,48.01,48.01,47.8,47.88,239500
50027,2015-05-25,FFBL,48.48,48.89,48.01,48.15,412000
50553,2015-05-27,FFBL,48.0,48.15,47.75,47.95,1458000
51076,2015-05-28,FFBL,48.0,48.0,47.52,47.73,450000
51603,2015-05-29,FFBL,47.71,47.85,47.65,47.75,451000
52161,2015-06-01,FFBL,47.85,48.15,47.5,48.01,1054500
52680,2015-06-02,FFBL,48.0,49.98,48.0,49.31,4830500
53195,2015-06-03,FFBL,49.32,49.5,48.85,49.03,665500
53720,2015-06-04,FFBL,49.2,49.9,49.15,49.67,2252000
54234,2015-06-05,FFBL,49.7,49.89,49.0,49.38,1023500
54764,2015-06-08,FFBL,49.0,51.84,48.2,51.84,7357000
55290,2015-06-09,FFBL,52.6,54.43,52.5,54.43,10089000
55809,2015-06-10,FFBL,54.8,57.15,54.45,57.15,9908500
56337,2015-06-12,FFBL,61.74,62.98,60.7,62.93,21751500
56876,2015-06-15,FFBL,63.45,63.45,59.79,59.79,11617500
57396,2015-06-16,FFBL,58.25,58.5,56.81,57.03,35370500
57930,2015-06-17,FFBL,57.32,58.38,57.0,57.22,16172500
58466,2015-06-18,FFBL,57.5,57.9,56.5,57.07,9543000
58970,2015-06-19,FFBL,57.2,57.4,55.5,55.86,3135000
59464,2015-06-22,FFBL,56.0,56.05,54.5,55.42,7532000
60006,2015-06-23,FFBL,55.5,58.19,55.01,57.54,18374500
60575,2015-06-24,FFBL,57.79,58.2,56.49,56.62,6103500
61121,2015-06-25,FFBL,56.45,56.5,55.45,55.57,5011000
61652,2015-06-26,FFBL,55.5,56.39,54.5,54.82,4152500
62189,2015-06-29,FFBL,55.4,56.19,54.6,55.95,4132500
62679,2015-06-30,FFBL,55.75,56.0,55.0,55.32,2968000
63183,2015-07-01,FFBL,56.0,58.0,56.0,57.62,8107500
63689,2015-07-02,FFBL,58.2,58.6,57.12,57.51,3875500
64189,2015-07-03,FFBL,58.4,59.2,57.55,58.1,11723500
64699,2015-07-06,FFBL,58.3,58.44,57.05,57.85,3710500
65211,2015-07-07,FFBL,58.1,59.1,57.8,58.24,5443000
65721,2015-07-08,FFBL,58.35,58.4,57.05,57.28,2463000
66235,2015-07-09,FFBL,57.06,57.9,56.6,57.27,2126500
66726,2015-07-10,FFBL,57.5,58.8,57.3,58.34,5973000
67223,2015-07-13,FFBL,58.99,61.25,58.8,61.25,8869500
67730,2015-07-14,FFBL,63.29,64.31,62.5,64.13,13981000
68251,2015-07-15,FFBL,64.4,64.4,61.51,62.44,12046000
68773,2015-07-16,FFBL,62.5,65.4,61.8,64.27,13022500
69307,2015-07-22,FFBL,64.26,66.52,64.26,64.78,6563500
69844,2015-07-23,FFBL,64.75,65.25,63.0,64.34,7186500
70371,2015-07-24,FFBL,64.5,64.75,62.75,62.92,4385000
70902,2015-07-27,FFBL,62.6,62.99,59.78,59.86,4104500
71450,2015-07-28,FFBL,60.35,62.39,59.6,61.26,5107500
72017,2015-07-29,FFBL,61.65,62.24,59.5,61.4,15816500
72566,2015-07-30,FFBL,61.25,61.5,58.6,59.04,5653500
73106,2015-07-31,FFBL,59.2,59.35,58.1,58.53,3469000
73633,2015-08-03,FFBL,58.51,60.5,58.12,59.33,3583000
74128,2015-08-04,FFBL,59.4,59.8,58.5,58.87,2073000
74644,2015-08-05,FFBL,59.0,60.0,58.9,59.47,1673500
75166,2015-08-06,FFBL,60.0,61.55,59.75,61.03,8945500
75687,2015-08-07,FFBL,61.4,64.08,61.2,63.98,12120000
76194,2015-08-10,FFBL,64.49,65.25,63.29,63.44,6451000
76717,2015-08-11,FFBL,63.31,63.8,61.9,62.59,4934000
77234,2015-08-12,FFBL,62.35,63.5,61.75,61.95,3581500
77762,2015-08-13,FFBL,62.01,63.29,61.7,62.44,6044000
78266,2015-08-17,FFBL,62.5,63.32,61.8,62.26,3516500
78776,2015-08-18,FFBL,62.2,63.52,61.75,62.69,5593000
79293,2015-08-19,FFBL,62.9,65.1,62.9,64.07,13409000
79811,2015-08-20,FFBL,64.33,64.7,62.7,63.22,6206500
80311,2015-08-21,FFBL,63.0,63.01,60.16,61.62,10373000
80826,2015-08-24,FFBL,59.11,59.25,58.54,58.54,7143500
81361,2015-08-25,FFBL,58.85,61.46,57.5,61.34,7806000
81904,2015-08-26,FFBL,61.5,61.75,59.91,60.11,3928500
82448,2015-08-27,FFBL,61.41,61.9,60.65,61.37,2327500
82998,2015-08-28,FFBL,61.45,63.43,61.45,62.98,5759500
83556,2015-08-31,FFBL,63.5,66.12,62.6,66.11,16140500
84076,2015-09-01,FFBL,64.0,64.75,62.86,63.18,12200500
84560,2015-09-14,FFBL,61.1,61.45,59.4,59.59,1595000
85038,2015-09-15,FFBL,59.5,61.85,58.76,61.02,6209000
85517,2015-09-16,FFBL,61.6,62.2,60.75,61.93,1941000
86013,2015-09-17,FFBL,62.15,62.85,60.5,60.9,3037500
86476,2015-09-18,FFBL,60.95,61.35,59.32,60.04,2501500
