,Date,Symbol,Open,High,Low,Close,Volume
263,2015-01-01,FFC,117.11,118.58,117.11,118.11,582100
788,2015-01-02,FFC,118.48,120.48,118.2,119.43,713000
1307,2015-01-05,FFC,119.9,121.58,119.5,120.04,1800600
1814,2015-01-06,FFC,120.15,120.9,118.5,119.75,1120000
2333,2015-01-07,FFC,119.97,120.14,119.21,119.42,706000
2846,2015-01-08,FFC,119.5,120.17,119.01,119.98,2429200
3359,2015-01-09,FFC,119.7,120.7,119.7,120.5,1382900
3885,2015-01-12,FFC,120.75,122.25,120.25,121.1,1721600
4423,2015-01-13,FFC,121.25,121.95,120.75,121.44,1001400
4968,2015-01-14,FFC,121.5,122.17,121.2,121.46,1130300
5515,2015-01-15,FFC,121.6,122.7,121.6,122.19,1137300
6052,2015-01-16,FFC,122.1,123.3,122.1,123.11,1048600
6586,2015-01-19,FFC,122.8,124.9,122.8,124.09,1269500
7122,2015-01-20,FFC,124.75,127.0,124.01,126.36,3802100
7659,2015-01-21,FFC,126.94,132.67,126.94,131.95,18187100
8181,2015-01-22,FFC,131.59,132.25,129.0,129.63,5003000
8689,2015-01-23,FFC,129.25,131.6,128.8,130.1,2981900
9212,2015-01-26,FFC,133.01,136.45,132.5,135.02,7502800
9768,2015-01-27,FFC,135.39,137.8,133.5,135.5,5547900
10326,2015-01-28,FFC,135.5,136.5,135.1,135.51,2475500
10876,2015-01-29,FFC,135.75,136.5,132.4,132.94,3232600
11410,2015-01-30,FFC,133.5,135.55,128.51,131.87,12130700
11970,2015-02-02,FFC,132.25,133.3,131.74,132.39,4326700
12487,2015-02-03,FFC,132.26,134.5,132.26,134.1,4612800
13006,2015-02-04,FFC,135.0,137.75,134.6,136.2,6205100
13510,2015-02-06,FFC,137.0,139.99,136.99,137.95,4988900
14018,2015-02-09,FFC,139.19,139.2,136.8,137.11,2186800
14518,2015-02-10,FFC,137.16,138.99,135.5,137.77,2192900
15027,2015-02-11,FFC,138.25,139.4,135.5,135.9,1640800
15542,2015-02-12,FFC,136.75,137.05,132.95,136.55,3358200
16038,2015-02-13,FFC,137.0,137.6,135.5,135.84,1264100
16535,2015-02-16,FFC,136.45,136.51,135.0,135.59,815300
17031,2015-02-17,FFC,135.75,136.69,135.5,136.32,660800
17531,2015-02-18,FFC,136.17,136.5,135.0,135.35,427600
18038,2015-02-19,FFC,135.12,136.5,135.0,136.18,241900
18526,2015-02-20,FFC,135.65,138.2,135.65,136.38,896100
19016,2015-02-23,FFC,136.99,137.89,136.5,137.57,853200
19562,2015-02-24,FFC,137.15,138.9,137.15,138.06,1790500
20097,2015-02-25,FFC,138.49,142.2,138.2,141.51,4893500
20649,2015-02-26,FFC,142.47,144.21,141.9,142.2,3219300
21178,2015-02-27,FFC,142.5,142.79,140.55,141.03,1112700
21714,2015-03-02,FFC,141.9,142.0,135.9,137.13,2324200
22219,2015-03-03,FFC,137.1,140.45,136.75,139.6,3094800
22721,2015-03-04,FFC,140.7,142.85,140.3,141.44,1847600
23214,2015-03-05,FFC,141.5,144.5,141.1,144.0,2353300
23685,2015-03-06,FFC,144.0,147.1,144.0,144.78,2124200
24159,2015-03-09,FFC,145.1,145.5,142.3,142.67,1308500
24646,2015-03-10,FFC,139.2,139.2,133.0,134.99,3088900
25129,2015-03-11,FFC,133.5,135.35,132.0,133.66,1905700
25616,2015-03-12,FFC,134.0,134.85,130.0,133.39,2484500
26098,2015-03-13,FFC,135.0,135.01,132.75,133.96,1194400
26581,2015-03-16,FFC,134.0,134.5,131.5,131.95,663200
27053,2015-03-17,FFC,132.0,134.98,131.05,133.63,1606400
27557,2015-03-18,FFC,134.0,134.0,130.86,131.35,2815200
28046,2015-03-19,FFC,131.45,133.5,131.05,132.61,789700
28514,2015-03-20,FFC,133.0,139.2,133.0,138.99,2646700
28986,2015-03-24,FFC,139.99,145.83,139.99,142.43,3742500
29492,2015-03-25,FFC,143.45,144.5,139.55,140.15,1767800
30004,2015-03-26,FFC,142.0,142.1,134.0,138.08,3365000
30536,2015-03-27,FFC,137.8,138.99,131.25,132.3,3463900
