,Date,Symbol,Open,High,Low,Close,Volume
171212,2016-06-22,FFL,111.0,111.9,105.5,106.04,578900
171725,2016-06-23,FFL,106.11,107.5,103.81,106.58,350200
172252,2016-06-24,FFL,105.51,106.97,101.5,103.3,377600
172759,2016-06-27,FFL,104.5,107.25,104.05,105.85,445000
173253,2016-06-28,FFL,105.99,106.85,104.02,104.46,239700
173747,2016-06-29,FFL,105.85,106.4,105.5,105.82,220200
174231,2016-06-30,FFL,105.67,106.5,104.8,105.06,97700
174695,2016-07-04,FFL,104.25,106.0,104.01,105.15,103500
175159,2016-07-11,FFL,105.8,105.8,104.0,104.32,222500
175658,2016-07-12,FFL,104.55,109.53,104.52,106.07,908100
176168,2016-07-13,FFL,106.0,107.48,104.51,104.83,510000
176681,2016-07-14,FFL,104.86,107.4,104.85,105.6,613100
177176,2016-07-15,FFL,105.75,107.48,105.2,105.45,498900
177675,2016-07-18,FFL,106.0,106.84,104.96,105.15,343900
178184,2016-07-19,FFL,105.25,106.0,104.3,104.58,266800
178692,2016-07-20,FFL,104.39,105.32,103.5,104.05,245700
179195,2016-07-21,FFL,104.01,104.85,103.0,103.44,306200
179693,2016-07-22,FFL,103.4,108.61,102.99,107.67,1421900
180182,2016-07-25,FFL,108.01,108.1,102.9,104.14,854100
180718,2016-07-26,FFL,103.5,104.2,99.5,100.57,953600
181271,2016-07-27,FFL,100.55,103.75,99.0,99.72,606100
181835,2016-07-28,FFL,99.99,100.68,97.0,97.86,320000
182349,2016-07-29,FFL,97.88,97.88,95.0,95.22,375500
182894,2016-08-01,FFL,96.05,96.89,95.03,96.03,391800
183399,2016-08-02,FFL,96.1,100.83,95.9,100.73,955300
183922,2016-08-03,FFL,101.5,102.58,100.4,100.93,540000
184442,2016-08-04,FFL,101.84,101.84,98.45,98.64,267300
184940,2016-08-05,FFL,98.22,99.2,97.5,97.97,97500
185457,2016-08-08,FFL,98.0,98.59,96.01,96.78,331100
185974,2016-08-09,FFL,96.7,97.65,96.31,96.83,160500
186496,2016-08-11,FFL,96.62,99.88,96.2,97.35,543500
187025,2016-08-12,FFL,97.7,98.6,97.5,97.71,230800
187544,2016-08-15,FFL,98.0,98.27,97.02,97.24,137800
188069,2016-08-16,FFL,97.5,98.8,97.41,97.53,250700
188606,2016-08-17,FFL,97.9,98.16,97.0,97.29,172500
189131,2016-08-18,FFL,97.16,97.66,95.01,95.64,226700
189633,2016-08-19,FFL,95.52,95.84,94.71,94.88,358300
190140,2016-08-22,FFL,95.0,94.8,94.75,94.89,90800
190685,2016-08-23,FFL,94.9,95.3,93.5,94.46,139600
191244,2016-08-24,FFL,94.49,94.52,94.16,94.32,57900
191814,2016-08-26,FFL,94.4,95.0,93.09,94.38,174700
192409,2016-08-29,FFL,94.38,97.25,94.38,95.28,644200
192965,2016-09-01,FFL,93.65,94.48,93.01,93.16,142300
193508,2016-09-02,FFL,93.3,94.0,91.0,91.85,117700
194046,2016-09-05,FFL,92.15,92.89,91.4,91.68,143000
194584,2016-09-06,FFL,91.5,91.98,89.7,90.28,166900
195144,2016-09-07,FFL,90.9,93.7,90.51,92.81,304500
195705,2016-09-08,FFL,93.25,93.9,90.56,91.22,222800
196264,2016-09-09,FFL,91.25,91.59,90.6,90.78,125300
196806,2016-09-15,FFL,90.65,91.5,89.9,89.97,160100
197373,2016-09-19,FFL,91.59,91.65,90.0,90.59,167300
197931,2016-09-20,FFL,90.6,90.68,89.76,90.04,159800
198490,2016-09-21,FFL,90.1,90.1,85.55,86.17,205800
199042,2016-09-22,FFL,86.9,88.99,86.9,87.27,164000
199597,2016-09-26,FFL,86.16,88.5,86.15,87.79,101800
200193,2016-09-27,FFL,87.66,88.15,87.01,87.11,55200
200787,2016-09-28,FFL,87.25,87.88,86.6,86.75,51900
201400,2016-09-29,FFL,87.0,88.25,84.8,85.12,169700
201993,2016-09-30,FFL,86.45,89.37,85.5,89.08,234600
202611,2016-10-03,FFL,91.0,93.53,90.01,93.53,646900
203177,2016-10-04,FFL,94.25,98.0,92.21,97.74,985800
203747,2016-10-05,FFL,97.75,97.75,94.02,94.43,478200
204321,2016-10-06,FFL,95.35,95.35,93.0,93.12,113600
204886,2016-10-07,FFL,93.16,93.16,88.8,89.25,330100
205458,2016-10-10,FFL,90.0,90.0,87.5,87.79,320100
206033,2016-10-13,FFL,88.25,88.49,87.01,87.6,215600
206595,2016-10-14,FFL,87.6,87.7,86.0,86.36,199000
207165,2016-10-17,FFL,86.8,87.5,86.1,86.35,78300
207730,2016-10-18,FFL,86.16,86.16,85.0,85.32,135300
208284,2016-10-19,FFL,85.5,86.0,84.5,85.13,159200
208857,2016-10-20,FFL,85.4,88.0,85.4,86.08,167800
209409,2016-10-21,FFL,86.99,86.99,84.52,84.9,91700
209963,2016-10-24,FFL,84.9,84.9,81.01,81.55,197700
210540,2016-10-25,FFL,80.16,80.89,78.5,78.9,160400
211123,2016-10-26,FFL,79.24,79.98,79.1,79.16,73500
211715,2016-10-27,FFL,79.16,79.16,75.21,75.25,188300
212295,2016-10-28,FFL,74.75,74.75,71.51,72.96,162700
212874,2016-10-31,FFL,72.05,73.84,72.0,72.88,46900
213437,2016-11-01,FFL,72.7,76.52,72.3,76.52,160400
214002,2016-11-02,FFL,78.0,80.34,77.5,80.34,180900
214558,2016-11-03,FFL,82.0,82.8,80.0,80.11,97300
215114,2016-11-07,FFL,79.0,80.4,78.21,79.11,140900
215676,2016-11-08,FFL,79.2,81.5,78.5,79.43,113100
216224,2016-11-09,FFL,78.0,79.79,77.0,78.75,97400
216787,2016-11-10,FFL,79.0,81.0,79.0,79.28,171500
217345,2016-11-11,FFL,79.01,81.0,78.9,79.21,149100
217896,2016-11-14,FFL,79.5,79.88,78.8,78.93,62100
218429,2016-11-15,FFL,78.72,79.25,78.41,78.81,41500
218963,2016-11-15,FFL,78.72,79.25,78.41,78.81,41500
219514,2016-11-16,FFL,79.24,79.24,77.87,77.95,75900
220061,2016-11-17,FFL,78.49,78.49,77.7,77.82,37900
220609,2016-11-18,FFL,77.41,78.0,76.85,77.04,78400
221140,2016-11-21,FFL,77.0,80.89,76.12,80.89,229900
221733,2016-11-22,FFL,82.5,84.93,82.0,84.93,347600
222330,2016-11-23,FFL,87.5,89.17,85.6,89.17,936100
222930,2016-11-24,FFL,93.62,93.62,91.7,93.62,1814300
223515,2016-11-25,FFL,97.49,97.49,88.94,89.85,1228000
224122,2016-11-28,FFL,89.0,92.0,87.6,87.82,571900
224680,2016-11-29,FFL,87.99,89.84,86.05,86.71,315400
225226,2016-11-30,FFL,87.0,87.47,85.07,85.24,167300
225783,2016-12-01,FFL,85.99,89.5,85.99,89.5,800500
226333,2016-12-02,FFL,89.99,91.7,87.6,88.1,484400
226876,2016-12-05,FFL,88.0,88.4,87.01,87.25,151500
227435,2016-12-06,FFL,87.5,89.8,87.25,88.0,477900
227984,2016-12-07,FFL,88.0,88.84,86.8,87.07,383000
228524,2016-12-08,FFL,90.0,90.97,88.1,88.57,874800
229068,2016-12-09,FFL,88.2,90.0,87.8,88.25,444700
229620,2016-12-13,FFL,88.99,89.5,87.5,87.85,308000
230166,2016-12-14,FFL,88.05,88.05,86.5,86.89,265700
230714,2016-12-15,FFL,86.95,87.0,85.5,85.67,317400
231248,2016-12-16,FFL,85.99,89.95,85.15,89.95,841100
231788,2016-12-19,FFL,90.05,93.79,89.9,91.53,1424800
232350,2016-12-20,FFL,91.25,91.55,88.8,89.18,494700
232888,2016-12-21,FFL,88.6,89.5,86.35,87.88,422600
233427,2016-12-22,FFL,87.5,89.0,87.05,87.52,231500
233951,2016-12-23,FFL,87.75,88.25,87.06,87.45,103700
234468,2016-12-26,FFL,87.4,89.0,87.0,87.12,167800
235036,2016-12-27,FFL,87.4,89.65,87.35,89.14,309300
235612,2016-12-28,FFL,89.06,89.74,88.1,88.42,200000
236202,2016-12-29,FFL,88.0,88.65,88.0,88.13,115300
236779,2016-12-30,FFL,89.33,90.75,88.29,88.67,477600
237360,2017-06-01,FFL,93.01,94.19,88.72,89.79,97500
237837,2017-06-02,FFL,87.01,89.95,85.31,85.67,126500
238344,2017-06-05,FFL,87.44,89.75,86.0,87.08,157500
238832,2017-06-06,FFL,87.01,90.98,87.0,89.77,181000
239316,2017-06-07,FFL,89.5,90.5,88.13,89.06,101000
239809,2017-06-08,FFL,88.52,89.85,88.2,88.3,28500
240278,2017-06-09,FFL,88.5,90.5,88.0,90.12,167500
240777,2017-06-12,FFL,87.3,88.5,85.62,85.62,91500
241272,2017-06-13,FFL,87.4,87.4,82.0,83.12,98500
241750,2017-06-14,FFL,83.25,83.44,81.25,81.69,67000
242215,2017-06-15,FFL,80.1,83.0,80.02,81.5,38500
242656,2017-06-16,FFL,81.0,81.05,79.57,80.1,56000
243127,2017-06-19,FFL,79.27,80.8,79.0,80.47,266000
243627,2017-06-20,FFL,80.0,80.0,76.45,76.46,237500
244126,2017-06-21,FFL,72.75,78.0,72.64,73.8,179000
244627,2017-06-22,FFL,73.56,76.76,73.0,75.63,142500
