,Date,Symbol,Open,High,Low,Close,Volume
171,2015-01-01,FECTC,80.0,83.26,79.1,83.25,612500
688,2015-01-02,FECTC,84.5,86.42,83.99,84.78,762000
1208,2015-01-05,FECTC,85.0,85.25,82.6,82.94,135500
1719,2015-01-06,FECTC,83.0,84.25,82.0,83.4,135500
2236,2015-01-07,FECTC,81.55,83.8,81.55,82.13,78500
2749,2015-01-08,FECTC,82.0,83.0,81.4,81.57,50500
3261,2015-01-09,FECTC,81.76,84.0,81.76,83.49,134000
3784,2015-01-12,FECTC,84.0,85.25,83.11,83.55,329500
4324,2015-01-13,FECTC,83.5,85.7,82.25,84.74,656500
4871,2015-01-14,FECTC,84.82,86.0,84.0,84.43,363500
5415,2015-01-15,FECTC,85.0,86.0,84.5,84.61,604000
5956,2015-01-16,FECTC,85.39,88.84,85.39,88.84,1633000
6490,2015-01-19,FECTC,91.0,93.28,90.9,93.28,1380500
7024,2015-01-20,FECTC,95.01,97.94,92.0,97.7,945000
7560,2015-01-21,FECTC,97.9,97.9,94.05,94.7,262500
8082,2015-01-22,FECTC,93.14,93.51,91.3,91.55,176000
8593,2015-01-23,FECTC,91.5,96.12,88.0,96.11,881500
9113,2015-01-26,FECTC,99.5,100.91,98.0,100.1,713000
9670,2015-01-27,FECTC,100.0,101.0,98.0,100.41,222500
10227,2015-01-28,FECTC,101.0,101.88,98.1,98.83,172500
10776,2015-01-29,FECTC,98.5,101.35,97.25,97.94,149500
11313,2015-01-30,FECTC,98.61,102.0,98.61,101.28,396500
11873,2015-02-02,FECTC,102.5,106.34,102.5,106.0,768500
12388,2015-02-03,FECTC,108.95,108.95,104.05,104.79,139000
12907,2015-02-04,FECTC,104.0,105.5,100.5,101.25,91000
13412,2015-02-06,FECTC,101.0,102.5,100.0,100.76,212500
13918,2015-02-09,FECTC,101.0,101.5,99.36,99.68,131500
14422,2015-02-10,FECTC,99.1,99.1,94.7,96.95,173000
14932,2015-02-11,FECTC,98.0,99.0,96.0,96.37,193500
15446,2015-02-12,FECTC,95.1,98.0,91.56,94.15,850500
15942,2015-02-13,FECTC,94.0,96.4,92.15,95.34,175000
16437,2015-02-16,FECTC,94.0,94.0,90.6,92.0,102000
16932,2015-02-17,FECTC,92.0,93.7,91.0,91.16,239500
17434,2015-02-18,FECTC,91.0,91.5,88.0,88.7,99000
17938,2015-02-19,FECTC,88.2,93.13,88.14,92.71,165000
18431,2015-02-20,FECTC,93.15,93.99,88.08,88.08,674500
18922,2015-02-23,FECTC,88.0,89.94,87.1,87.56,149000
19468,2015-02-24,FECTC,88.4,88.5,85.0,85.14,111500
20004,2015-02-25,FECTC,85.5,86.5,80.89,81.45,134500
20553,2015-02-26,FECTC,77.38,78.0,77.38,77.38,592500
21085,2015-02-27,FECTC,75.6,81.24,73.52,77.9,3749500
21619,2015-03-02,FECTC,79.7,79.7,77.0,77.12,188000
22125,2015-03-03,FECTC,77.3,80.4,75.7,79.6,389000
22627,2015-03-04,FECTC,80.65,82.19,79.02,79.27,293000
23124,2015-03-05,FECTC,79.79,80.5,79.6,80.04,117000
23591,2015-03-06,FECTC,81.0,83.85,80.0,83.63,426000
24067,2015-03-09,FECTC,84.0,85.4,82.77,83.06,252000
24550,2015-03-10,FECTC,81.9,82.0,78.91,79.46,82000
25034,2015-03-11,FECTC,76.1,80.5,76.0,80.07,163000
25520,2015-03-12,FECTC,81.84,81.84,79.0,79.19,47000
26003,2015-03-13,FECTC,80.0,82.99,80.0,82.88,251000
26487,2015-03-16,FECTC,83.1,83.1,80.75,80.99,120500
26957,2015-03-17,FECTC,79.2,81.0,78.5,80.61,38500
27464,2015-03-18,FECTC,79.4,79.8,76.58,77.21,493000
27954,2015-03-19,FECTC,77.15,79.0,77.15,78.17,36500
28426,2015-03-20,FECTC,79.0,80.5,74.27,74.89,690000
28895,2015-03-24,FECTC,71.55,72.25,71.15,71.15,645500
29402,2015-03-25,FECTC,69.51,70.0,67.8,68.23,596000
29911,2015-03-26,FECTC,68.97,69.0,64.82,64.82,255500
30442,2015-03-27,FECTC,64.0,64.1,61.58,61.58,350500
30994,2015-03-30,FECTC,58.52,60.89,58.51,58.51,609000
31502,2015-03-31,FECTC,56.25,61.43,56.25,61.43,237000
32005,2015-04-01,FECTC,62.0,64.5,60.0,64.5,266500
32516,2015-04-02,FECTC,65.98,67.72,65.98,67.72,73000
33020,2015-04-03,FECTC,71.1,71.1,71.1,71.1,96000
33523,2015-04-06,FECTC,74.65,74.65,74.65,74.65,31000
34027,2015-04-07,FECTC,78.38,78.38,74.0,77.39,878500
34514,2015-04-08,FECTC,78.3,79.4,76.5,76.97,276000
35002,2015-04-09,FECTC,77.99,78.0,75.8,75.98,119500
35508,2015-04-10,FECTC,77.0,77.95,76.3,76.96,140500
36022,2015-04-13,FECTC,76.21,78.99,75.25,77.68,281000
36495,2015-04-14,FECTC,76.2,77.2,74.25,74.95,93500
36975,2015-04-15,FECTC,76.39,76.39,72.9,73.09,112500
37469,2015-04-16,FECTC,74.5,74.5,72.9,73.38,107000
37988,2015-04-17,FECTC,74.66,76.55,73.99,75.61,309500
38492,2015-04-20,FECTC,77.25,77.47,74.7,76.86,278500
39017,2015-04-21,FECTC,75.11,76.4,75.11,75.88,47500
